DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
$(	NE		NE	"			«	Überdies hatte er als Gratias Verehrer gegolten !	sein , wie grad eben jetzt .« Überdies hatte er als Gratias Verehrer gegolten !Und es war auch sicher gschegn ,	9770	0	dickens_chuzzlew_chuzzlew.tsv
$(	NE		NE	"			«	sprach die Jungfrau ermutigend .	Du wagtest dein Leben !« sprach die Jungfrau ermutigend .» Epponina !	2243	0	dahn_bataver_bataver.tsv
$(	ADV		NE	"		Sie hat nicht gezaudert ...	«	» Es ist unumstößlich , daß ohne den Eingriff der Vorsehung dieser Unglückliche niemals das Verbrechen angezeigt hätte , von dem er Zeuge war .	entdeckt werden , das wußte sie .Sie hat nicht gezaudert ... « » Es ist unumstößlich , daß ohne den Eingriff der Vorsehung dieser Unglückliche niemals das Verbrechen angezeigt hätte , von dem er Zeuge war .Sagen Sie doch , ob diese Sie	9725	5	gaboriau_strick_strick.tsv
$(	NE		NE	"			«	Heinrich von Schauenberg stand auf , und sprach : » Witiko vom Witikohause , Herr im mittäglichen Böhmen unter dem Herzoge Wladislaw , ich , Heinrich von Schauenberg , gebe dir in Gutem und Treuem meine Tochter Bertha , daß sie dir in freiem Willen als Ehegemahlin folge , daß du sie ehrest und liebest , und ihr treu bist , so lange du lebst , und daß sie dich ehret und liebt und dir treu ist , so lange sie lebt .	gilt es gleich auf das Leben .« Heinrich von Schauenberg stand auf , und sprach : » Witiko vom Witikohause , Herr im mittäglichen Böhmen unter dem Herzoge Wladislaw , ich , Heinrich von Schauenberg , gebe dir in Gutem und Treuem meine Tochter Bertha , daß sie dir in freiem Willen als Ehegemahlin folge , daß du sie ehrest und liebest , und ihr treu bist , so lange du lebst , und daß sie dich ehret und liebt und dir treu ist , so lange sie lebt .Der Schaffner geleitete ihn .	14756	0	stifter_witiko_witiko.tsv
$(	NE		NE	"			«	» So ?	Aber jetzt quälen sie mich damit !« » So ?» Das geht so schon Jahre .	4350	0	stratz_englfrau_englfrau.tsv
$(	NE		NE	"			«	» Verzeihen Sie , ich bin anderer Ansicht .	so ist es um so besser .« » Verzeihen Sie , ich bin anderer Ansicht .Ich passe nicht mehr hierher , die	7208	0	kraftr_kaiserk1_kaiserk1.tsv
$(	VVFIN		NE	"			«	Ich bin mehrere Tage daheim geblieben .	» Das willst du doch !« Ich bin mehrere Tage daheim geblieben .« Solch Fest ist Punkt zehn beendet	1660	0	megede_ueberka2_ueberka2.tsv
$(	PTKVZ		VVINF	"		» Ich weiß nicht	«	, sagte Eibenschütz .	der Schreiber seinen Vorgesetzten so freundlich .» Ich weiß nicht « , sagte Eibenschütz .Er sah , daß sie in die	2337	4	roth_falschge_falschge.tsv
$(	NN		XY	"			«	Der arme Herr Zipfer , der Held , der mit den ausschweifendsten Gedanken an Herzenssiege zum Feste gekommen war , saß als Mittelpunkt aller Geselligkeit da , aber in anderer Weise , als er gedacht .	wia schwer als 's mir fallt .« Der arme Herr Zipfer , der Held , der mit den ausschweifendsten Gedanken an Herzenssiege zum Feste gekommen war , saß als Mittelpunkt aller Geselligkeit da , aber in anderer Weise , als er gedacht .Aber es hat sein müass'n .	7551	0	adolph_toechter_toechter.tsv
$(	VVPP		NE	"			»	Hat er lange hier gewohnt ?	sie , und wir flogen weg .» Hat er lange hier gewohnt ?« » Kleinmütiger !	611	0	turgenev_visionen_visionen.tsv
$(	VVFIN		NE	"		Sie hat nicht gezaudert ... «	»	Es ist unumstößlich , daß ohne den Eingriff der Vorsehung dieser Unglückliche niemals das Verbrechen angezeigt hätte , von dem er Zeuge war .	entdeckt werden , das wußte sie .Sie hat nicht gezaudert ... « » Es ist unumstößlich , daß ohne den Eingriff der Vorsehung dieser Unglückliche niemals das Verbrechen angezeigt hätte , von dem er Zeuge war .Sagen Sie doch , ob diese Sie	9725	6	gaboriau_strick_strick.tsv
$(	NE		NE	"		« Heinrich von Schauenberg stand auf , und sprach :	»	Witiko vom Witikohause , Herr im mittäglichen Böhmen unter dem Herzoge Wladislaw , ich , Heinrich von Schauenberg , gebe dir in Gutem und Treuem meine Tochter Bertha , daß sie dir in freiem Willen als Ehegemahlin folge , daß du sie ehrest und liebest , und ihr treu bist , so lange du lebst , und daß sie dich ehret und liebt und dir treu ist , so lange sie lebt .	gilt es gleich auf das Leben .« Heinrich von Schauenberg stand auf , und sprach : » Witiko vom Witikohause , Herr im mittäglichen Böhmen unter dem Herzoge Wladislaw , ich , Heinrich von Schauenberg , gebe dir in Gutem und Treuem meine Tochter Bertha , daß sie dir in freiem Willen als Ehegemahlin folge , daß du sie ehrest und liebest , und ihr treu bist , so lange du lebst , und daß sie dich ehret und liebt und dir treu ist , so lange sie lebt .Der Schaffner geleitete ihn .	14756	10	stifter_witiko_witiko.tsv
$(	NE		NE	"		«	»	So ?	Aber jetzt quälen sie mich damit !« » So ?» Das geht so schon Jahre .	4350	1	stratz_englfrau_englfrau.tsv
$(	ADJD		NE	"		«	»	Verzeihen Sie , ich bin anderer Ansicht .	so ist es um so besser .« » Verzeihen Sie , ich bin anderer Ansicht .Ich passe nicht mehr hierher , die	7208	1	kraftr_kaiserk1_kaiserk1.tsv
$(	NE		NE	"			»	Ich weiß nicht « , sagte Eibenschütz .	der Schreiber seinen Vorgesetzten so freundlich .» Ich weiß nicht « , sagte Eibenschütz .Er sah , daß sie in die	2337	0	roth_falschge_falschge.tsv
$(	NN		NE	"		Meine Frau :	»	Böser Mann !	uns , sie nicht zu verlassen .Meine Frau : » Böser Mann !– Man geht ja auch in der	2714	3	knigge_claus_claus.tsv
$(	NE		NE	-			–	Gewiß .	und ging es mit ihnen durch .– Gewiß .hieß er lernen , doch auch hierin	670	0	xenophon_erinneru_erinneru.tsv
$(	NE		VVFIN	-			–	Wir sechs Jungen wären ihr lieber als du Alter !	und brauchen wie heute meine Mutter ?– Wir sechs Jungen wären ihr lieber als du Alter !– Es wird immer Menschen geben ,	3183	0	koenig_nero_nero.tsv
$(	NE		NE	-		Seltsam ist's , daß unser Blut	–	Vermischte man 's – an Farbe , Wärm' und Schwere Den Unterschied verneint , und doch so mächtig Sich trennt durch Vorurteil .	) König .Seltsam ist's , daß unser Blut – Vermischte man 's – an Farbe , Wärm' und Schwere Den Unterschied verneint , und doch so mächtig Sich trennt durch Vorurteil .( Sie gehn ab .	1319	6	shakespr_endegut_endegut.tsv
$(	NN		NE	-		Seltsam ist's , daß unser Blut – Vermischte man 's	–	an Farbe , Wärm' und Schwere Den Unterschied verneint , und doch so mächtig Sich trennt durch Vorurteil .	) König .Seltsam ist's , daß unser Blut – Vermischte man 's – an Farbe , Wärm' und Schwere Den Unterschied verneint , und doch so mächtig Sich trennt durch Vorurteil .( Sie gehn ab .	1319	10	shakespr_endegut_endegut.tsv
$(	NE		NE	-			–	Aber in welcher Gemeinschaft ist dann der Gerechte ein besserer Genosse als der Kitharenspieler , so wie dieser ein besserer als der Gerechte ist zum Schlagen der Kithara ?	und besserer Genosse als der Bauverständige ?– Aber in welcher Gemeinschaft ist dann der Gerechte ein besserer Genosse als der Kitharenspieler , so wie dieser ein besserer als der Gerechte ist zum Schlagen der Kithara ?– Der Brettspieler .	216	0	platon_platowr3_platowr3.tsv
$(	NE		NE	-			–	Also : die Kraft der allgemeinen Anziehung ist überall proportional der Quantität von Materie , heißt eigentlich : die Kraft der Anziehung ist überall der Kraft der Anziehung gleich .	– nach der Schwere ?– Also : die Kraft der allgemeinen Anziehung ist überall proportional der Quantität von Materie , heißt eigentlich : die Kraft der Anziehung ist überall der Kraft der Anziehung gleich .– Nach was bestimmen wir sie ?	3255	0	ritter_jungpsys_jungphys.tsv
