DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
ADJD	ADJD		ADJD	ansichtig		Alle schwiegen und schienen sich vor der Erscheinung meines Prinzen in sich selbst zurückzuziehen , wie Tauben , die des Habichts	ansichtig	werden .	alles nur Illusion und Leiden wäre ?Alle schwiegen und schienen sich vor der Erscheinung meines Prinzen in sich selbst zurückzuziehen , wie Tauben , die des Habichts ansichtig werden .« Meinem Prinzen erschien eine Nacht in	104	21	queiroz_stadtgeb_stadtgeb.tsv
ADJD	NE		NN	einhart		Und auf allen Bildern erschienen jetzt	Einhart	und Johanna .	hatte , warf einen spitzen Bootsschatten .Und auf allen Bildern erschienen jetzt Einhart und Johanna .Wetter voll Drohung zogen über den Gebirgen	630	6	hauptmac_einhart_einhart.tsv
ADJD	ADJD		ADJD	freundlich		Mama war an der Landestelle Euch entgegengekommen , zu Hause dampfte schon der Tee , mein Platz war leer , aber Ihr gedachtet meiner	freundlich	und erzähltet , was Ihr in Hamburg gesehen und erlebt .	ist nicht Liebe Alles , Alles ?Mama war an der Landestelle Euch entgegengekommen , zu Hause dampfte schon der Tee , mein Platz war leer , aber Ihr gedachtet meiner freundlich und erzähltet , was Ihr in Hamburg gesehen und erlebt .O Du Einziger , Du Seligkeit für	3367	24	antholog_liebesbr_liebesbr.tsv
ADJD	ADJD		ADJD	gottesfürchtig		Ihr aber kennet mich und wisset , daß ich	gottesfürchtig	war mein Leben und mich Euch so leicht nicht hingegeben , daß Ihr müßtet besorgen , als könnt ich mich leichten Herzens mit einem anderen vergessen .	stellt , wie sie mir sagen .Ihr aber kennet mich und wisset , daß ich gottesfürchtig war mein Leben und mich Euch so leicht nicht hingegeben , daß Ihr müßtet besorgen , als könnt ich mich leichten Herzens mit einem anderen vergessen .Dazu fühlte er sich von unsichtbaren Augen	3573	9	david_hanna1_hanna1.tsv
ADJD	ADJD		ADJD	groß		« Dann erst er sein Gebet beschloß , ( Weiß nicht , ob 's klein war oder	groß	) , Sprach dann , sich segnend : » Herr !	küßt' er , der ihm heilig .« Dann erst er sein Gebet beschloß , ( Weiß nicht , ob 's klein war oder groß ) , Sprach dann , sich segnend : » Herr !So traf er in der Nacht einmal	1742	17	antholog_schulged_schulged.tsv
ADJD	ADJD		ADJD	gut		» Sie haben es	gut	getroffen , heute kann man ihn um alles bitten , er hat sich sattgebetet .	« Sie schwieg .» Sie haben es gut getroffen , heute kann man ihn um alles bitten , er hat sich sattgebetet .« » Wir haben ihm die Hände	1848	4	antholog_russchri_russchri.tsv
ADJD	ADJD		ADJA	göttlich		Das	göttlich	Gute , das vom Herrn ausgeht , wird allen im Himmel im allgemeinen und einzelnen mitgeteilt , doch allenthalben nach der Fähigkeit es aufzunehmen , denn einige nehmen wenig auf , und andere viel .	aus dem himmlisch Guten ; 9511 .Das göttlich Gute , das vom Herrn ausgeht , wird allen im Himmel im allgemeinen und einzelnen mitgeteilt , doch allenthalben nach der Fähigkeit es aufzunehmen , denn einige nehmen wenig auf , und andere viel ." Und sie sahen den Gott Israels	13841	1	swedborg_mose2_mose2.tsv
ADJD	ADJD		ADJD	klein		« Dann erst er sein Gebet beschloß , ( Weiß nicht , ob 's	klein	war oder groß ) , Sprach dann , sich segnend : » Herr !	küßt' er , der ihm heilig .« Dann erst er sein Gebet beschloß , ( Weiß nicht , ob 's klein war oder groß ) , Sprach dann , sich segnend : » Herr !So traf er in der Nacht einmal	1742	14	antholog_schulged_schulged.tsv
ADJD	ADJD		ADJD	kurz		« Dem Wirt gefielen die Späße seines Gastes durchaus nicht , und er beschloß , es	kurz	zu machen und ihm den verwünschten Ritterschlag sogleich zu erteilen , ehe ein neues Unglück dazwischenkomme .	ist in solchen Schenken das Übliche .« Dem Wirt gefielen die Späße seines Gastes durchaus nicht , und er beschloß , es kurz zu machen und ihm den verwünschten Ritterschlag sogleich zu erteilen , ehe ein neues Unglück dazwischenkomme .» Ihr seid ein alberner , nichtsnutziger	1709	16	cervante_quijote1_quijote1.tsv
ADJD	ADJD		ADJD	lang		Über dem purpurnen langen Ärmelkleid trug sie ein himmelblaues , zart mit Gold gesäumtes , seidenes Obergewand , fast ebenso	lang	und mit weiten Armschlitzen , alles ohne Gürtel oder andere Zutaten , weit in wallenden Falten .	und schaute unverwandt auf die Erscheinung .Über dem purpurnen langen Ärmelkleid trug sie ein himmelblaues , zart mit Gold gesäumtes , seidenes Obergewand , fast ebenso lang und mit weiten Armschlitzen , alles ohne Gürtel oder andere Zutaten , weit in wallenden Falten .‹ Der Pfad war hier neben dem	1530	20	keller_zuercher_zuercher.tsv
ADJD	ADJD		ADJD	leer		Mama war an der Landestelle Euch entgegengekommen , zu Hause dampfte schon der Tee , mein Platz war	leer	, aber Ihr gedachtet meiner freundlich und erzähltet , was Ihr in Hamburg gesehen und erlebt .	ist nicht Liebe Alles , Alles ?Mama war an der Landestelle Euch entgegengekommen , zu Hause dampfte schon der Tee , mein Platz war leer , aber Ihr gedachtet meiner freundlich und erzähltet , was Ihr in Hamburg gesehen und erlebt .O Du Einziger , Du Seligkeit für	3367	18	antholog_liebesbr_liebesbr.tsv
ADJD	ADJD		ADJD	leicht		Ihr aber kennet mich und wisset , daß ich gottesfürchtig war mein Leben und mich Euch so	leicht	nicht hingegeben , daß Ihr müßtet besorgen , als könnt ich mich leichten Herzens mit einem anderen vergessen .	stellt , wie sie mir sagen .Ihr aber kennet mich und wisset , daß ich gottesfürchtig war mein Leben und mich Euch so leicht nicht hingegeben , daß Ihr müßtet besorgen , als könnt ich mich leichten Herzens mit einem anderen vergessen .Dazu fühlte er sich von unsichtbaren Augen	3573	17	david_hanna1_hanna1.tsv
ADJD	NN		ADJD	locker			Locker	.	etwas beängstigende Einsamkeit schützte , weich .Locker .Walter litt es Clarissens wegen , damit	11592	0	musil_mannohne_mannohne.tsv
ADJD	ADJD		ADJD	reichlich		« Dann erinnerte ich mich , daß ich jetzt alle diese Dinge	reichlich	besitze und mich auf dem Wege befinde , mir meinen Unterhalt auch ohne die Gewehre verschaffen zu können , wenn meine Munition einmal verbraucht sein würde .	, ohne alle Nothwendigkeiten des Lebens .« Dann erinnerte ich mich , daß ich jetzt alle diese Dinge reichlich besitze und mich auf dem Wege befinde , mir meinen Unterhalt auch ohne die Gewehre verschaffen zu können , wenn meine Munition einmal verbraucht sein würde .Ich hatte einen Theil des Tages für	800	12	defoe_crusoe_crusoe.tsv
ADJD	VVPP		VVPP	sattgebetet		» Sie haben es gut getroffen , heute kann man ihn um alles bitten , er hat sich	sattgebetet	.	« Sie schwieg .» Sie haben es gut getroffen , heute kann man ihn um alles bitten , er hat sich sattgebetet .« » Wir haben ihm die Hände	1848	18	antholog_russchri_russchri.tsv
ADJD	ADJD		ADJD	schmutzig		« entgegnete der Hampelmann , » und ich will mich nicht	schmutzig	machen .	Verstanden ?« entgegnete der Hampelmann , » und ich will mich nicht schmutzig machen .Hebe es sorgfältig in die Polster des	1089	11	collodi_pinocchi_pinocchi.tsv
ADJD	NN		ADJD	segnend			Segnend	walte sein Gedächtnis , Unsterblich fruchtend um uns her ; Das ist an uns sein groß Vermächtnis , So treu und deutsch zu sein wie er .	hielten die heimischen Helden nicht stand .Segnend walte sein Gedächtnis , Unsterblich fruchtend um uns her ; Das ist an uns sein groß Vermächtnis , So treu und deutsch zu sein wie er .Das Christentum vernichtete scheinbar die alten Götter	2247	0	scherer_dtbild_dtbild.tsv
ADJD	ADJD		ADJD	ungefähr		Aber ich kann mir schon	ungefähr	denken , wie das eigentlich war .	zwanzig Jahren das so gedacht haben !Aber ich kann mir schon ungefähr denken , wie das eigentlich war .« sagte sie .	1823	5	bahr_omensch_omensch.tsv
ADJD	ADJD		ADJD	ungefähr		Es wird	ungefähr	zwei Jahre her sein , seit die Schwester Virginia dieses Zimmer verließ .	die sich mit unserer Klostermauer verbindet .Es wird ungefähr zwei Jahre her sein , seit die Schwester Virginia dieses Zimmer verließ .Besser , meiner Treu' , Als wir	3715	2	buelau_geheim_geheim.tsv
ADJD	ADJD		ADJD	unsterblich		Segnend walte sein Gedächtnis ,	Unsterblich	fruchtend um uns her ; Das ist an uns sein groß Vermächtnis , So treu und deutsch zu sein wie er .	hielten die heimischen Helden nicht stand .Segnend walte sein Gedächtnis , Unsterblich fruchtend um uns her ; Das ist an uns sein groß Vermächtnis , So treu und deutsch zu sein wie er .Das Christentum vernichtete scheinbar die alten Götter	2247	5	scherer_dtbild_dtbild.tsv
