DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
ADV	ADV		ADV	bald		Die Alte sagte zu ihm , er solle auf ihren Sohn warten , er werde	bald	kommen .	Bauer ging wieder zu den Winden .Die Alte sagte zu ihm , er solle auf ihren Sohn warten , er werde bald kommen .« – Da sprach zu ihm der	2029	15	dietrich_russmaer_russmaer.tsv
ADV	ADV		ADV	besonders			Besonders	ein Wort des Vorsitzenden drang Diethelm ins Herz , denn er hatte gesagt : Ein Verbrechen , das ungesühnt in der Seele ruht , gleicht dem Brand in einem Kohlenbergwerk ; man stopft es zu und will das Feuer ersticken , aber es brennt weiter , unterirdisch , ungesehen , und eine Öffnung , die sich auftut , läßt die Flamme emporschlagen .	» Da hilft kein ' Sympathie .Besonders ein Wort des Vorsitzenden drang Diethelm ins Herz , denn er hatte gesagt : Ein Verbrechen , das ungesühnt in der Seele ruht , gleicht dem Brand in einem Kohlenbergwerk ; man stopft es zu und will das Feuer ersticken , aber es brennt weiter , unterirdisch , ungesehen , und eine Öffnung , die sich auftut , läßt die Flamme emporschlagen .Hat mein Vater verkauft ?	1525	0	auerbach_diethelm_diethelm.tsv
ADV	ADV		ADV	da		Vorsehung , die	da	alles lenkt zum Heile , Schenkt durch ihr Licht dem Himmel Ruh , darinnen Ewig der andere kreist mit größter Eile .	ich des Schicksals Willkür gern erfahren .Vorsehung , die da alles lenkt zum Heile , Schenkt durch ihr Licht dem Himmel Ruh , darinnen Ewig der andere kreist mit größter Eile .« In seiner Tiefe sah ich im	4877	3	dante_goettko1_goettko1.tsv
ADV	ADV		ADV	dann		«	Dann	stürzte sie wiederum , als habe sie ein Unrecht gegen Paaker begangen , zu dem Leichnam zurück , neben dem sie zusammensank .	Nebsecht , « rief ein Unterbefehlshaber .« Dann stürzte sie wiederum , als habe sie ein Unrecht gegen Paaker begangen , zu dem Leichnam zurück , neben dem sie zusammensank .Und wäre das Postament dort Mena's Zelt	5207	1	ebers_uarda_uarda.tsv
ADV	ADJA		VVFIN	darinnen		Vorsehung , die da alles lenkt zum Heile , Schenkt durch ihr Licht dem Himmel Ruh ,	darinnen	Ewig der andere kreist mit größter Eile .	ich des Schicksals Willkür gern erfahren .Vorsehung , die da alles lenkt zum Heile , Schenkt durch ihr Licht dem Himmel Ruh , darinnen Ewig der andere kreist mit größter Eile .« In seiner Tiefe sah ich im	4877	17	dante_goettko1_goettko1.tsv
ADV	PIS		ADV	etwas		Wie kann sie's nur wagen , anständige Personen um ihren Besuch zu bitten , alles bloß , um ihnen	etwas	von ihrer Unschuld vorzuklagen ?	hat , ist kaum zu glauben .Wie kann sie's nur wagen , anständige Personen um ihren Besuch zu bitten , alles bloß , um ihnen etwas von ihrer Unschuld vorzuklagen ?.	1292	19	fontane_5schloes_5schloes.tsv
ADV	ADV		ADV	hier			Hier	und hier !	Hände die Finte nicht parieren konnten .Hier und hier !Und jetzt , und jetzt !	4117	0	kipling_dbuchneu_dbuchneu.tsv
ADV	ADV		ADV	hier		Hier und	hier	!	Hände die Finte nicht parieren konnten .Hier und hier !Und jetzt , und jetzt !	4117	2	kipling_dbuchneu_dbuchneu.tsv
ADV	ADV		ADV	hier		Du bleibst	hier	und schwörst , oder du kommst in des Rates Gefängnis .	Dresden mit ihm wider uns aufreizest !Du bleibst hier und schwörst , oder du kommst in des Rates Gefängnis .Ihrer Hunderte oder Taufende sind erstochen ,	7	2	schrecke_meyenbur_meyenbur.tsv
ADV	ADV		ADV	hier		Ein Ort Wyck wird schon auf Dankwerth's Karte von 1240 angeführt ;	hier	hatten an einer Bucht Fischer ihre Hütten sich gebaut .	eine Allee vom steilen Ufer trennt .Ein Ort Wyck wird schon auf Dankwerth's Karte von 1240 angeführt ; hier hatten an einer Bucht Fischer ihre Hütten sich gebaut .Der bedeutendste Ort auf Föhr ist der	2453	12	kobbe_nordost_nordost.tsv
