DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
APPO	APPR		APPO	entgegen		Jeder Unruhe , « fuhr er immer in demselben festen Ton fort , » welche heute Abend in den Straßen von Paris stattfinden könnte , soll sofort mit scharfer Waffe und ohne jede Schonung	entgegen	getreten werden .	eines gegen mich gerichteten Attentats werden .Jeder Unruhe , « fuhr er immer in demselben festen Ton fort , » welche heute Abend in den Straßen von Paris stattfinden könnte , soll sofort mit scharfer Waffe und ohne jede Schonung entgegen getreten werden .Sodann , « fuhr er fort ,	5386	34	meding_legionen_legionen.tsv
APPO	APPR		APPO	entlang		Sie las : Und weiter den schaurig fernen Rand der finsteren Mauer	entlang	säumt es sich , wölkt es sich silbern und freundlich .	und las : » Wertes Fräulein !Sie las : Und weiter den schaurig fernen Rand der finsteren Mauer entlang säumt es sich , wölkt es sich silbern und freundlich .Bon ihm !	918	12	ernst_strandlb_strandlb.tsv
APPO	APPR		APPO	entlang		« Als sie den steilen Fußweg den Berg hinunter zurückgelegt hatten und nun ihre Wanderung am tosenden Wasser	entlang	fortsetzten , drückte der Basti das Fränzeli vom Bach weg auf die andere Seite des Weges und noch ein gutes Stück weit in die Wiese hinein .	» Alles « , bestätigte Barbarossa .« Als sie den steilen Fußweg den Berg hinunter zurückgelegt hatten und nun ihre Wanderung am tosenden Wasser entlang fortsetzten , drückte der Basti das Fränzeli vom Bach weg auf die andere Seite des Weges und noch ein gutes Stück weit in die Wiese hinein .Sie selbst zog sich ein wenig hinter	89	18	spyri_gottfrnd_gottfrnd.tsv
APPO	APPO		APPO	entlang		Als die Fuhrwerke sich im Schneckentempo wieder in Bewegung setzten , drang sie allmählich bis zum Trottoir vor , 73 sprang vom Rad und begann auf dem Fußsteig neben ihrem Rad	entlang	zu laufen .	, wollte ihr der Mut sinken .Als die Fuhrwerke sich im Schneckentempo wieder in Bewegung setzten , drang sie allmählich bis zum Trottoir vor , 73 sprang vom Rad und begann auf dem Fußsteig neben ihrem Rad entlang zu laufen .Trotz der erhobenen Hand eines Polizisten tauchte	971	31	bodkin_beckgef_beckgef.tsv
APPO	APPR		APPO	entlang		An der Küste	entlang	stand in der Regel ein Kranz von Bäumen , dahinter lagen Felder und oben auf dem Gipfel der kleinen Hügel begannen die Bäume von neuem .	größer und besser wurden die Häuser .An der Küste entlang stand in der Regel ein Kranz von Bäumen , dahinter lagen Felder und oben auf dem Gipfel der kleinen Hügel begannen die Bäume von neuem .Es war Abend , als die wilden	1018	3	lagerloe_nielsho1_nielsho1.tsv
APPO	APPO		APPO	entlang		Moengal aber schaute mit scharfem Aug' den Waldpfad	entlang	durch die Lichtung der Tannen .	Er war sehr unglücklich .Moengal aber schaute mit scharfem Aug' den Waldpfad entlang durch die Lichtung der Tannen .Er hob seinen Arm , er ließ	1767	8	scheffel_ekkehard_ekkehard.tsv
APPO	APPO		APPO	gegenüber		Nannte Pardelstein ihn nicht oder vielleicht nur beiläufig , so stand dies im Einklang mit seiner scharf ausgeprägten Neigung , sich in Geheimnisse zu hüllen , sogar einem bewährten Freunde	gegenüber	mit seinem Vertrauen nicht über eine bestimmte Grenze hinauszugehen .	erwiderte : » Also Wolfrade Ecke .Nannte Pardelstein ihn nicht oder vielleicht nur beiläufig , so stand dies im Einklang mit seiner scharf ausgeprägten Neigung , sich in Geheimnisse zu hüllen , sogar einem bewährten Freunde gegenüber mit seinem Vertrauen nicht über eine bestimmte Grenze hinauszugehen .Doch anderes beunruhigt mich noch .	3835	30	moellhsn_vaquero_vaquero.tsv
APPO	APPR		APPO	gegenüber		Man sagt es harmlos , wie man Selbstverständlichkeiten auszusprechen pflegt , daß der Besitz der Produktionsmittel dem Kapitalisten bei den Lohnverhandlungen den Arbeitern	gegenüber	unter allen Umständen ein Übergewicht verschaffen muß , dessen Ausdruck eben der Mehrwert oder Kapitalzins ist und immer sein wird .	Lösung der Aufgabe möglich erscheinen ließen .Man sagt es harmlos , wie man Selbstverständlichkeiten auszusprechen pflegt , daß der Besitz der Produktionsmittel dem Kapitalisten bei den Lohnverhandlungen den Arbeitern gegenüber unter allen Umständen ein Übergewicht verschaffen muß , dessen Ausdruck eben der Mehrwert oder Kapitalzins ist und immer sein wird .Die Beseitigung des arbeitlosen Einkommens , des	3374	23	gesell_freiland_freiland.tsv
APPO	APPR		APPO	gegenüber		Dadurch drang der Geist des Volks in das Kirchenregiment ein , und die Kirche wurde die Vertraute , – die Führerin dieses Geistes , – dadurch aber auch wurden die Beschlüsse der Konzilien mit freudigem Vertrauen vom Volke aufgenommen und aller weltlichen Macht	gegenüber	vertreten und verteidigt ; – in dem gegenwärtigen großen und für eine lange Zukunft entscheidenden Augenblick , « fuhr er mit erhöhter Stimme fort , » in welchem es darauf ankommt , den vertrauensvollen und freudigen Gehorsam für die Kirche wiederzugewinnen und die Völker auf die Seite der kirchlichen Autorität zu bringen , da scheint es mir geboten , jenes alte ursprüngliche Verhältnis der Christengemeinschaft wiederherzustellen , das historisch wie dogmatisch dem Geiste und der Entwickelung der Kirche entspricht , – es scheint mir geboten , den christlichen Gemeinden die Vertretung auf dem Konzil wiederzugeben .	in alle Welt hin ergießen soll .Dadurch drang der Geist des Volks in das Kirchenregiment ein , und die Kirche wurde die Vertraute , – die Führerin dieses Geistes , – dadurch aber auch wurden die Beschlüsse der Konzilien mit freudigem Vertrauen vom Volke aufgenommen und aller weltlichen Macht gegenüber vertreten und verteidigt ; – in dem gegenwärtigen großen und für eine lange Zukunft entscheidenden Augenblick , « fuhr er mit erhöhter Stimme fort , » in welchem es darauf ankommt , den vertrauensvollen und freudigen Gehorsam für die Kirche wiederzugewinnen und die Völker auf die Seite der kirchlichen Autorität zu bringen , da scheint es mir geboten , jenes alte ursprüngliche Verhältnis der Christengemeinschaft wiederherzustellen , das historisch wie dogmatisch dem Geiste und der Entwickelung der Kirche entspricht , – es scheint mir geboten , den christlichen Gemeinden die Vertretung auf dem Konzil wiederzugeben .So wird , « sagte er freundlich	1491	43	meding_2kaiserk_2kaiserk.tsv
APPO	APPR		APPO	gegenüber		Wenn man sich einem Hemmnis	gegenüber	sieht , so handelt es sich darum , zu überlegen , wie man damit am besten fertig wird .	Dinge auch in der menschlichen Gesellschaft .Wenn man sich einem Hemmnis gegenüber sieht , so handelt es sich darum , zu überlegen , wie man damit am besten fertig wird .Darum weichen die Himmelskörper nicht ab von	324	5	wilhelm_i-ging_iging.tsv
