DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
APPRART	APPRART		APPRART	am		« Als Hauptmann Dobbin	am	Nachmittag voller Mitgefühl zu ihnen zurückkehrte , tat es ihm im Herzen wohl , zu sehen , wie Amelia wieder jung geworden war , wie sie lachte , zwitscherte und wohlbekannte alte Lieder am Klavier sang , unterbrochen erst von der Haustürklingel , mit der Mr. Sedleys Rückkehr aus der City angekündigt wurde .	von ihrer Gesellschaft bezaubert sein müßten .« Als Hauptmann Dobbin am Nachmittag voller Mitgefühl zu ihnen zurückkehrte , tat es ihm im Herzen wohl , zu sehen , wie Amelia wieder jung geworden war , wie sie lachte , zwitscherte und wohlbekannte alte Lieder am Klavier sang , unterbrochen erst von der Haustürklingel , mit der Mr. Sedleys Rückkehr aus der City angekündigt wurde .Aber sie hatte nun einmal beschlossen ,	7655	4	thackera_2jahrma1_2jahrma1.tsv
APPRART	APPRART		APPRART	am		« Als Hauptmann Dobbin am Nachmittag voller Mitgefühl zu ihnen zurückkehrte , tat es ihm im Herzen wohl , zu sehen , wie Amelia wieder jung geworden war , wie sie lachte , zwitscherte und wohlbekannte alte Lieder	am	Klavier sang , unterbrochen erst von der Haustürklingel , mit der Mr. Sedleys Rückkehr aus der City angekündigt wurde .	von ihrer Gesellschaft bezaubert sein müßten .« Als Hauptmann Dobbin am Nachmittag voller Mitgefühl zu ihnen zurückkehrte , tat es ihm im Herzen wohl , zu sehen , wie Amelia wieder jung geworden war , wie sie lachte , zwitscherte und wohlbekannte alte Lieder am Klavier sang , unterbrochen erst von der Haustürklingel , mit der Mr. Sedleys Rückkehr aus der City angekündigt wurde .Aber sie hatte nun einmal beschlossen ,	7655	38	thackera_2jahrma1_2jahrma1.tsv
APPRART	APPRART		APPRART	am		Vielleicht meinte der Unglücksmann es ehrlich , als er dir schrieb , ehrlich , als er Selbstmord beging , ehrlich , als er	am	selben Abend zu Florine zurückkehrte .	Mal in eurem Leben unvernünftig seid !Vielleicht meinte der Unglücksmann es ehrlich , als er dir schrieb , ehrlich , als er Selbstmord beging , ehrlich , als er am selben Abend zu Florine zurückkehrte .Alle Frauen , alle , verstehst du	1649	23	balzac_evastoch_evastoch.tsv
APPRART	APPRART		APPRART	beim		« Der lange Rock des Priesters flatterte im Winde , und sein rosenrotes , mit unzähligen Pockennarben übersätes Gesicht wurde	beim	Gehen purpurfarben .	von dem viel stärkeren Manne niedergerungen .« Der lange Rock des Priesters flatterte im Winde , und sein rosenrotes , mit unzähligen Pockennarben übersätes Gesicht wurde beim Gehen purpurfarben .Edineks Rührung verwandelte sich in Wut ,	2138	20	ebnresch_erzauto_erzauto.tsv
APPRART	APPRART		APPRART	beim		Ebenso hast du wohl vergessen , daß ihre Hände es waren , die deiner braven , sterbenden Mutter die Augen zudrückten , während du	beim	Kartenspiel diesen letzten Liebesdienst versäumtest ?	eigenen Vater vor dem Anblick graute .Ebenso hast du wohl vergessen , daß ihre Hände es waren , die deiner braven , sterbenden Mutter die Augen zudrückten , während du beim Kartenspiel diesen letzten Liebesdienst versäumtest ?Dein ganzes Benehmen gegen uns während einer	2455	24	marlitt_thuererz_thuererz.tsv
APPRART	APPRART		APPRART	im			Im	Gegenteil erwies sich ihre Schuld und sie selbst gestand sie ein , und erst auf ihr Bekenntnis hin erlangte sie Verzeihung .	plötzlich die Sache günstiger angelassen hätte .Im Gegenteil erwies sich ihre Schuld und sie selbst gestand sie ein , und erst auf ihr Bekenntnis hin erlangte sie Verzeihung .In dieser Erzählung ist jedoch unwahr ,	1254	0	buelau_geheim_geheim.tsv
APPRART	APPRART		APPRART	im		Seht euch	im	Louvre das Bild Girodets an : Atala portée au tombeau .	ein , Besseres vorbringen zu können .Seht euch im Louvre das Bild Girodets an : Atala portée au tombeau .Es liegt nicht in meiner Absicht ,	452	2	stendhal_aphosten_aphosten.tsv
APPRART	APPRART		APPRART	im		« Als Hauptmann Dobbin am Nachmittag voller Mitgefühl zu ihnen zurückkehrte , tat es ihm	im	Herzen wohl , zu sehen , wie Amelia wieder jung geworden war , wie sie lachte , zwitscherte und wohlbekannte alte Lieder am Klavier sang , unterbrochen erst von der Haustürklingel , mit der Mr. Sedleys Rückkehr aus der City angekündigt wurde .	von ihrer Gesellschaft bezaubert sein müßten .« Als Hauptmann Dobbin am Nachmittag voller Mitgefühl zu ihnen zurückkehrte , tat es ihm im Herzen wohl , zu sehen , wie Amelia wieder jung geworden war , wie sie lachte , zwitscherte und wohlbekannte alte Lieder am Klavier sang , unterbrochen erst von der Haustürklingel , mit der Mr. Sedleys Rückkehr aus der City angekündigt wurde .Aber sie hatte nun einmal beschlossen ,	7655	15	thackera_2jahrma1_2jahrma1.tsv
APPRART	APPRART		APPRART	im		Möge sein Wein nicht die Eigenschaft jenes Getränkes haben , das die Zauberjungfrau	im	berühmten Oldenburger Horn unserm Ahnherrn , dem Grafen Otto darbot .	, so stehe ich zu Diensten .Möge sein Wein nicht die Eigenschaft jenes Getränkes haben , das die Zauberjungfrau im berühmten Oldenburger Horn unserm Ahnherrn , dem Grafen Otto darbot .Mühsam rang der Graf nach Fassung ,	3710	13	bechstei_dunkelgr_dunkelgr.tsv
APPRART	APPRART		APPRART	im		und der Kultus , welcher ihnen ohne Zweifel	im	Heidentume zukam , scheint sich selbst auf das Mittelalter übertragen zu haben .	und da der Sonne freien Durchgang .und der Kultus , welcher ihnen ohne Zweifel im Heidentume zukam , scheint sich selbst auf das Mittelalter übertragen zu haben .Wahrscheinlich gehören sie zu der Gruppe der	1956	8	masius_ndtland_ndtland.tsv
