DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
CARD	CARD		CARD	106		da in einer fabel bei Saxo gramm. p. 48 ein Horvendilus filius Gervendili vorkommt und ahd. der eigenname Kêrwentil ( Schm. 2 , 334 ) und Gêrentil ( trad. fuld. 2 ,	106	) , geir ( hasta ) aber besser zu ör stimmt als zu eyra ( auris ) , so darf die letzte erklärung auf beifall rechnenso legt auch Uhland ( über Thor s. 47 ff. ) aus , in Grôa sieht er wachsthum der saat , in Örvandill aufschießen des keims .	ist Wendel ein name des teufels .da in einer fabel bei Saxo gramm. p. 48 ein Horvendilus filius Gervendili vorkommt und ahd. der eigenname Kêrwentil ( Schm. 2 , 334 ) und Gêrentil ( trad. fuld. 2 , 106 ) , geir ( hasta ) aber besser zu ör stimmt als zu eyra ( auris ) , so darf die letzte erklärung auf beifall rechnenso legt auch Uhland ( über Thor s. 47 ff. ) aus , in Grôa sieht er wachsthum der saat , in Örvandill aufschießen des keims .soll Wendel auf die verwandlungen des flöteblasenden	11316	32	grimm_demyth_demyth.tsv
CARD	CARD		CARD	152		– Nachforschen also werden wir bei dem GotteHiemit ist offenbar Apollo in jener nemlichen Beziehung gemeint , in welcher wir oben , B. IV , Cap. 5 , die apollinische Religion als die von Plato bevorzugte trafen ( s. Anm.	152	) Man beachte auch in beiden Stellen die Ausdrucksweise , daß der Gott den erforderlichen Kultus » erklärt « .	– Ja , durchaus wohl .– Nachforschen also werden wir bei dem GotteHiemit ist offenbar Apollo in jener nemlichen Beziehung gemeint , in welcher wir oben , B. IV , Cap. 5 , die apollinische Religion als die von Plato bevorzugte trafen ( s. Anm. 152 ) Man beachte auch in beiden Stellen die Ausdrucksweise , daß der Gott den erforderlichen Kultus » erklärt « .– Bei diesem und all derartigem werden	4409	40	platon_staat_staat.tsv
CARD	CARD		CARD	2		da in einer fabel bei Saxo gramm. p. 48 ein Horvendilus filius Gervendili vorkommt und ahd. der eigenname Kêrwentil ( Schm.	2	, 334 ) und Gêrentil ( trad. fuld. 2 , 106 ) , geir ( hasta ) aber besser zu ör stimmt als zu eyra ( auris ) , so darf die letzte erklärung auf beifall rechnenso legt auch Uhland ( über Thor s. 47 ff. ) aus , in Grôa sieht er wachsthum der saat , in Örvandill aufschießen des keims .	ist Wendel ein name des teufels .da in einer fabel bei Saxo gramm. p. 48 ein Horvendilus filius Gervendili vorkommt und ahd. der eigenname Kêrwentil ( Schm. 2 , 334 ) und Gêrentil ( trad. fuld. 2 , 106 ) , geir ( hasta ) aber besser zu ör stimmt als zu eyra ( auris ) , so darf die letzte erklärung auf beifall rechnenso legt auch Uhland ( über Thor s. 47 ff. ) aus , in Grôa sieht er wachsthum der saat , in Örvandill aufschießen des keims .soll Wendel auf die verwandlungen des flöteblasenden	11316	21	grimm_demyth_demyth.tsv
CARD	CARD		CARD	2		da in einer fabel bei Saxo gramm. p. 48 ein Horvendilus filius Gervendili vorkommt und ahd. der eigenname Kêrwentil ( Schm. 2 , 334 ) und Gêrentil ( trad. fuld.	2	, 106 ) , geir ( hasta ) aber besser zu ör stimmt als zu eyra ( auris ) , so darf die letzte erklärung auf beifall rechnenso legt auch Uhland ( über Thor s. 47 ff. ) aus , in Grôa sieht er wachsthum der saat , in Örvandill aufschießen des keims .	ist Wendel ein name des teufels .da in einer fabel bei Saxo gramm. p. 48 ein Horvendilus filius Gervendili vorkommt und ahd. der eigenname Kêrwentil ( Schm. 2 , 334 ) und Gêrentil ( trad. fuld. 2 , 106 ) , geir ( hasta ) aber besser zu ör stimmt als zu eyra ( auris ) , so darf die letzte erklärung auf beifall rechnenso legt auch Uhland ( über Thor s. 47 ff. ) aus , in Grôa sieht er wachsthum der saat , in Örvandill aufschießen des keims .soll Wendel auf die verwandlungen des flöteblasenden	11316	30	grimm_demyth_demyth.tsv
CARD	CARD		CARD	334		da in einer fabel bei Saxo gramm. p. 48 ein Horvendilus filius Gervendili vorkommt und ahd. der eigenname Kêrwentil ( Schm. 2 ,	334	) und Gêrentil ( trad. fuld. 2 , 106 ) , geir ( hasta ) aber besser zu ör stimmt als zu eyra ( auris ) , so darf die letzte erklärung auf beifall rechnenso legt auch Uhland ( über Thor s. 47 ff. ) aus , in Grôa sieht er wachsthum der saat , in Örvandill aufschießen des keims .	ist Wendel ein name des teufels .da in einer fabel bei Saxo gramm. p. 48 ein Horvendilus filius Gervendili vorkommt und ahd. der eigenname Kêrwentil ( Schm. 2 , 334 ) und Gêrentil ( trad. fuld. 2 , 106 ) , geir ( hasta ) aber besser zu ör stimmt als zu eyra ( auris ) , so darf die letzte erklärung auf beifall rechnenso legt auch Uhland ( über Thor s. 47 ff. ) aus , in Grôa sieht er wachsthum der saat , in Örvandill aufschießen des keims .soll Wendel auf die verwandlungen des flöteblasenden	11316	23	grimm_demyth_demyth.tsv
CARD	CARD		CARD	47		da in einer fabel bei Saxo gramm. p. 48 ein Horvendilus filius Gervendili vorkommt und ahd. der eigenname Kêrwentil ( Schm. 2 , 334 ) und Gêrentil ( trad. fuld. 2 , 106 ) , geir ( hasta ) aber besser zu ör stimmt als zu eyra ( auris ) , so darf die letzte erklärung auf beifall rechnenso legt auch Uhland ( über Thor s.	47	ff. ) aus , in Grôa sieht er wachsthum der saat , in Örvandill aufschießen des keims .	ist Wendel ein name des teufels .da in einer fabel bei Saxo gramm. p. 48 ein Horvendilus filius Gervendili vorkommt und ahd. der eigenname Kêrwentil ( Schm. 2 , 334 ) und Gêrentil ( trad. fuld. 2 , 106 ) , geir ( hasta ) aber besser zu ör stimmt als zu eyra ( auris ) , so darf die letzte erklärung auf beifall rechnenso legt auch Uhland ( über Thor s. 47 ff. ) aus , in Grôa sieht er wachsthum der saat , in Örvandill aufschießen des keims .soll Wendel auf die verwandlungen des flöteblasenden	11316	66	grimm_demyth_demyth.tsv
CARD	CARD		CARD	48		da in einer fabel bei Saxo gramm. p.	48	ein Horvendilus filius Gervendili vorkommt und ahd. der eigenname Kêrwentil ( Schm. 2 , 334 ) und Gêrentil ( trad. fuld. 2 , 106 ) , geir ( hasta ) aber besser zu ör stimmt als zu eyra ( auris ) , so darf die letzte erklärung auf beifall rechnenso legt auch Uhland ( über Thor s. 47 ff. ) aus , in Grôa sieht er wachsthum der saat , in Örvandill aufschießen des keims .	ist Wendel ein name des teufels .da in einer fabel bei Saxo gramm. p. 48 ein Horvendilus filius Gervendili vorkommt und ahd. der eigenname Kêrwentil ( Schm. 2 , 334 ) und Gêrentil ( trad. fuld. 2 , 106 ) , geir ( hasta ) aber besser zu ör stimmt als zu eyra ( auris ) , so darf die letzte erklärung auf beifall rechnenso legt auch Uhland ( über Thor s. 47 ff. ) aus , in Grôa sieht er wachsthum der saat , in Örvandill aufschießen des keims .soll Wendel auf die verwandlungen des flöteblasenden	11316	8	grimm_demyth_demyth.tsv
CARD	CARD		CARD	5		– Nachforschen also werden wir bei dem GotteHiemit ist offenbar Apollo in jener nemlichen Beziehung gemeint , in welcher wir oben , B. IV , Cap.	5	, die apollinische Religion als die von Plato bevorzugte trafen ( s. Anm. 152 ) Man beachte auch in beiden Stellen die Ausdrucksweise , daß der Gott den erforderlichen Kultus » erklärt « .	– Ja , durchaus wohl .– Nachforschen also werden wir bei dem GotteHiemit ist offenbar Apollo in jener nemlichen Beziehung gemeint , in welcher wir oben , B. IV , Cap. 5 , die apollinische Religion als die von Plato bevorzugte trafen ( s. Anm. 152 ) Man beachte auch in beiden Stellen die Ausdrucksweise , daß der Gott den erforderlichen Kultus » erklärt « .– Bei diesem und all derartigem werden	4409	26	platon_staat_staat.tsv
CARD	CARD		CARD	drei		Da schrieb der Vandalenkönig einen Brief an Pharas , Hüter des griechischen Heeres , und bat um	drei	Dinge : eine Laute , ein Brot und einen Schwamm .	Numidien auf einem kleinen Berge ein .Da schrieb der Vandalenkönig einen Brief an Pharas , Hüter des griechischen Heeres , und bat um drei Dinge : eine Laute , ein Brot und einen Schwamm .Gelimer entrann und langte noch denselben Tag	11	17	grimm_sagen_g376.tsv
CARD	VVFIN		CARD	dreihundert		Es waren wenigstens noch zwei bis	dreihundert	auf dem Verdeck .	zu schieben und man wird geschoben .Es waren wenigstens noch zwei bis dreihundert auf dem Verdeck .Es enthielt französische Tapeten und Kronleuchter ,	1519	6	hacklaen_orient1_orient1.tsv
CARD	CARD		ADV	fünfundzwanzig		Je reiner und argloser eine Jungfrau ist , desto leichter gibt sie sich hin ; denn da sie ohne Mißtrauen ist , so ist sie ohne Kraft , und es ist ein Sieg , den jeder Mann von	fünfundzwanzig	Jahren erringen kann , wenn er will .	ging aber nie in ihre Wohnung .Je reiner und argloser eine Jungfrau ist , desto leichter gibt sie sich hin ; denn da sie ohne Mißtrauen ist , so ist sie ohne Kraft , und es ist ein Sieg , den jeder Mann von fünfundzwanzig Jahren erringen kann , wenn er will .Um keinen Preis wäre er in den	3150	38	dumasjun_kamelie1_kamelie1.tsv
CARD	ADJD		CARD	fünfzig		– Für die geb' ich keine	fünfzig	Cents mehr !	schon auf dem letzten Felde auf !– Für die geb' ich keine fünfzig Cents mehr !... Ich gäbe gleich zehn Jahre meines	878	6	verne_excentr2_excentr2.tsv
CARD	CARD		CARD	hundert		Nummer Sieben bekommt eine Prämie von	hundert	Pfund .	zu Hause , seit elf Uhr .Nummer Sieben bekommt eine Prämie von hundert Pfund .» Unsere einzige Chance wäre , wenn	637	6	wallacee_frosch_frosch.tsv
CARD	NE		CARD	iv		– Nachforschen also werden wir bei dem GotteHiemit ist offenbar Apollo in jener nemlichen Beziehung gemeint , in welcher wir oben , B.	IV	, Cap. 5 , die apollinische Religion als die von Plato bevorzugte trafen ( s. Anm. 152 ) Man beachte auch in beiden Stellen die Ausdrucksweise , daß der Gott den erforderlichen Kultus » erklärt « .	– Ja , durchaus wohl .– Nachforschen also werden wir bei dem GotteHiemit ist offenbar Apollo in jener nemlichen Beziehung gemeint , in welcher wir oben , B. IV , Cap. 5 , die apollinische Religion als die von Plato bevorzugte trafen ( s. Anm. 152 ) Man beachte auch in beiden Stellen die Ausdrucksweise , daß der Gott den erforderlichen Kultus » erklärt « .– Bei diesem und all derartigem werden	4409	23	platon_staat_staat.tsv
