DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
FM.xy	NE		CARD	(86			(86	) Sokrates : Wenn er sie aber in diesem Leben nicht erlangt hat und daher nicht wußte : so hat er sie ja offenbar in einer andern Zeit gehabt und gelernt .	der Redekünstler , niemals unrecht tut .(86 ) Sokrates : Wenn er sie aber in diesem Leben nicht erlangt hat und daher nicht wußte : so hat er sie ja offenbar in einer andern Zeit gehabt und gelernt .Sokrates : Handelt ihr aber ungerecht ,	11527	0	platon_platowr2_platowr2.tsv
FM.xy	TRUNC		CARD	1500-50.		(	1500-50.	) Bei der Nacht ist meine Frau auch so schön , Bei Tag mag ich nicht mit ihr gehn .	wir müssen in das ander Land .( 1500-50. ) Bei der Nacht ist meine Frau auch so schön , Bei Tag mag ich nicht mit ihr gehn .Wo sind unsere hiesigen Knaben , Die	503	1	arnim_wundhor3_wh3.tsv
FM.xy	ADJA		ADJA	17.		[	17.	December .	es ist doch ein gutes Väterchen .[ 17. December .Wenn ich mir die 2 Tage denke	3944	1	goethe_br-frau1_br-frau1.tsv
FM.xy	CARD		ADJA	44.		46. (	44.	) ( Wir entsandten sie ) mit den deutlichen Beweisen und den Schriften ; und zu dir sandten wir die Ermahnung hinab , auf daß du den Menschen erklärest , was zu ihnen hinabgesandt ward , und daß sie es bedenken .	ist die Fahrt ( dorthin ) .46. ( 44. ) ( Wir entsandten sie ) mit den deutlichen Beweisen und den Schriften ; und zu dir sandten wir die Ermahnung hinab , auf daß du den Menschen erklärest , was zu ihnen hinabgesandt ward , und daß sie es bedenken .15. O ihr , die ihr glaubt	6303	2	henning_koran_koran.tsv
FM.xy	CARD		ADJA	46.			46.	( 44. ) ( Wir entsandten sie ) mit den deutlichen Beweisen und den Schriften ; und zu dir sandten wir die Ermahnung hinab , auf daß du den Menschen erklärest , was zu ihnen hinabgesandt ward , und daß sie es bedenken .	ist die Fahrt ( dorthin ) .46. ( 44. ) ( Wir entsandten sie ) mit den deutlichen Beweisen und den Schriften ; und zu dir sandten wir die Ermahnung hinab , auf daß du den Menschen erklärest , was zu ihnen hinabgesandt ward , und daß sie es bedenken .15. O ihr , die ihr glaubt	6303	0	henning_koran_koran.tsv
FM.xy	NE		NE	a			A	, B , C , D , – Der Prinz Aldrovan tritt ein .	Angelica tritt heraus .A , B , C , D , – Der Prinz Aldrovan tritt ein .Verloren !	489	0	tieck_ungeheu_ungeheu.tsv
FM.xy	NE		XY	b		A ,	B	, C , D , – Der Prinz Aldrovan tritt ein .	Angelica tritt heraus .A , B , C , D , – Der Prinz Aldrovan tritt ein .Verloren !	489	2	tieck_ungeheu_ungeheu.tsv
FM.xy	NE		ADV	beiseite.		(	Beiseite.	) .	Awers warum noch jümmers Se ?( Beiseite. ) .Peter Mumm auf Stuhl 1 , Frau	228	1	meyerj_rinaldo_rinaldo.tsv
FM.xy	NE		NE	c		A , B ,	C	, D , – Der Prinz Aldrovan tritt ein .	Angelica tritt heraus .A , B , C , D , – Der Prinz Aldrovan tritt ein .Verloren !	489	4	tieck_ungeheu_ungeheu.tsv
FM.xy	NE		NE	clavigo			Clavigo	!	Luft !Clavigo !Luft !	1115	0	goethe_clavigo_clavig01.tsv
FM.xy	NE		XY	d		A , B , C ,	D	, – Der Prinz Aldrovan tritt ein .	Angelica tritt heraus .A , B , C , D , – Der Prinz Aldrovan tritt ein .Verloren !	489	6	tieck_ungeheu_ungeheu.tsv
FM.xy	NN		NN	dezember		[ 17.	December	.	es ist doch ein gutes Väterchen .[ 17. December .Wenn ich mir die 2 Tage denke	3944	2	goethe_br-frau1_br-frau1.tsv
FM.xy	NE		NE	heinrich			Heinrich	– dann hinter dumpfen , wankenden Mauern Auf den Schatten des alten Fritz zu lauern , Daß der noch einmal durch ein Wunder Zusammenkitte den bröckligen Plunder , Der doch in kurzem – Nettelbeck Na meinetwegen !	Gneisenau So ?Heinrich – dann hinter dumpfen , wankenden Mauern Auf den Schatten des alten Fritz zu lauern , Daß der noch einmal durch ein Wunder Zusammenkitte den bröckligen Plunder , Der doch in kurzem – Nettelbeck Na meinetwegen !Aequam memento – !	487	0	heyse_colberg_colberg.tsv
FM.xy	NE		NE	jantje		»	Jantje	Klaas – Jantje Klaas ... !	; ich werde deshalb vorstellig werden .» Jantje Klaas – Jantje Klaas ... !Er glaubte noch immer zu träumen .	5448	1	lauff_pittjepi_pittjepi.tsv
FM.xy	NE		NE	jantje		» Jantje Klaas –	Jantje	Klaas ... !	; ich werde deshalb vorstellig werden .» Jantje Klaas – Jantje Klaas ... !Er glaubte noch immer zu träumen .	5448	4	lauff_pittjepi_pittjepi.tsv
FM.xy	NE		NE	klaas		» Jantje	Klaas	– Jantje Klaas ... !	; ich werde deshalb vorstellig werden .» Jantje Klaas – Jantje Klaas ... !Er glaubte noch immer zu träumen .	5448	2	lauff_pittjepi_pittjepi.tsv
FM.xy	NE		NE	klara		Darauf hockte er wieder wie gewöhnlich ruhig auf seinem Platz und blieb in dieser Stellung , bis er eine halbe Stunde später ein Stück Kreide aus der Tasche holte und innen an die Wagendecke schrieb :	Klara	Peggotty – .	» Sir ?Darauf hockte er wieder wie gewöhnlich ruhig auf seinem Platz und blieb in dieser Stellung , bis er eine halbe Stunde später ein Stück Kreide aus der Tasche holte und innen an die Wagendecke schrieb : Klara Peggotty – .» Du meine Güte , nichts ist	4909	36	dickens_coppmey1_coppmey1.tsv
FM.xy	NE		NE	max		(	Max	Semmelbrott .	wenn ihm einer mit Gedichten kommt .( Max Semmelbrott .Durch den Überschwall und Übelschwall von gebundner	719	1	liliencr_maecen_maecen.tsv
FM.xy	NE		NE	peggotty		Darauf hockte er wieder wie gewöhnlich ruhig auf seinem Platz und blieb in dieser Stellung , bis er eine halbe Stunde später ein Stück Kreide aus der Tasche holte und innen an die Wagendecke schrieb : Klara	Peggotty	– .	» Sir ?Darauf hockte er wieder wie gewöhnlich ruhig auf seinem Platz und blieb in dieser Stellung , bis er eine halbe Stunde später ein Stück Kreide aus der Tasche holte und innen an die Wagendecke schrieb : Klara Peggotty – .» Du meine Güte , nichts ist	4909	37	dickens_coppmey1_coppmey1.tsv
FM.xy	NE		NE	ps.49/15			Ps.49/15	: " Wie das Vieh werden sie gelegt werden in die Hölle , der Tod wird sie abweiden " .	weil sie vom Manne genommen ist .Ps.49/15 : " Wie das Vieh werden sie gelegt werden in die Hölle , der Tod wird sie abweiden " ." Um euch zu gründen als Überreste	15195	0	swedborg_mose1_mose1.tsv
FM.xy	NE		NE	semmelbrott		( Max	Semmelbrott	.	wenn ihm einer mit Gedichten kommt .( Max Semmelbrott .Durch den Überschwall und Übelschwall von gebundner	719	2	liliencr_maecen_maecen.tsv
FM.xy	NN		NN	sokrates		(86 )	Sokrates	: Wenn er sie aber in diesem Leben nicht erlangt hat und daher nicht wußte : so hat er sie ja offenbar in einer andern Zeit gehabt und gelernt .	der Redekünstler , niemals unrecht tut .(86 ) Sokrates : Wenn er sie aber in diesem Leben nicht erlangt hat und daher nicht wußte : so hat er sie ja offenbar in einer andern Zeit gehabt und gelernt .Sokrates : Handelt ihr aber ungerecht ,	11527	2	platon_platowr2_platowr2.tsv
FM.xy	FM		PWS	was		Wer – – –	was	– – – wo – – – ?	.Wer – – – was – – – wo – – – ?.	2444	4	brust_spiele_spiele.tsv
FM.xy	PWS		PWS	wer			Wer	– – – was – – – wo – – – ?	.Wer – – – was – – – wo – – – ?.	2444	0	brust_spiele_spiele.tsv
FM.xy	PWAV		PWAV	wo		Wer – – – was – – –	wo	– – – ?	.Wer – – – was – – – wo – – – ?.	2444	8	brust_spiele_spiele.tsv
