DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
FM	NN		FM	as		" Un as hei so nu noch vertellt , Dunn was mi dat doch liksterwelt ,	As	würd sick achter mi wat rögen .	Denn unnen hadd sei keinen Bodd’n ." Un as hei so nu noch vertellt , Dunn was mi dat doch liksterwelt , As würd sick achter mi wat rögen ." Na , dat was gaud ,	2611	16	reuter_laeus1_laeus1.tsv
FM	ADJD		ADJD	as		" Un	as	hei so nu noch vertellt , Dunn was mi dat doch liksterwelt , As würd sick achter mi wat rögen .	Denn unnen hadd sei keinen Bodd’n ." Un as hei so nu noch vertellt , Dunn was mi dat doch liksterwelt , As würd sick achter mi wat rögen ." Na , dat was gaud ,	2611	2	reuter_laeus1_laeus1.tsv
FM	FM		NN	divisor		– Up sin Postament un in de Gedichten würd hei Japhetus	Divisor	näumt , wil dat hei dat Land Meckelnborg för ümmer in drei Deil deilt hett , ahn Feldmäters , blot dörch » Sonderinteressen « , as sei up Stun'ns dortau seggen .	– Also de is dat ?– Up sin Postament un in de Gedichten würd hei Japhetus Divisor näumt , wil dat hei dat Land Meckelnborg för ümmer in drei Deil deilt hett , ahn Feldmäters , blot dörch » Sonderinteressen « , as sei up Stun'ns dortau seggen .– Wo ?	86	11	reuter_meklnbrg_meklnbrg.tsv
FM	PROAV		NE	dortau		– Up sin Postament un in de Gedichten würd hei Japhetus Divisor näumt , wil dat hei dat Land Meckelnborg för ümmer in drei Deil deilt hett , ahn Feldmäters , blot dörch » Sonderinteressen « , as sei up Stun'ns	dortau	seggen .	– Also de is dat ?– Up sin Postament un in de Gedichten würd hei Japhetus Divisor näumt , wil dat hei dat Land Meckelnborg för ümmer in drei Deil deilt hett , ahn Feldmäters , blot dörch » Sonderinteressen « , as sei up Stun'ns dortau seggen .– Wo ?	86	41	reuter_meklnbrg_meklnbrg.tsv
FM	ADV		VVFIN	hei		" Un as	hei	so nu noch vertellt , Dunn was mi dat doch liksterwelt , As würd sick achter mi wat rögen .	Denn unnen hadd sei keinen Bodd’n ." Un as hei so nu noch vertellt , Dunn was mi dat doch liksterwelt , As würd sick achter mi wat rögen ." Na , dat was gaud ,	2611	3	reuter_laeus1_laeus1.tsv
FM	XY		ADJA	hei		– Up sin Postament un in de Gedichten würd	hei	Japhetus Divisor näumt , wil dat hei dat Land Meckelnborg för ümmer in drei Deil deilt hett , ahn Feldmäters , blot dörch » Sonderinteressen « , as sei up Stun'ns dortau seggen .	– Also de is dat ?– Up sin Postament un in de Gedichten würd hei Japhetus Divisor näumt , wil dat hei dat Land Meckelnborg för ümmer in drei Deil deilt hett , ahn Feldmäters , blot dörch » Sonderinteressen « , as sei up Stun'ns dortau seggen .– Wo ?	86	9	reuter_meklnbrg_meklnbrg.tsv
FM	NE		NE	ingres		Abermals Dickens und Thackeray , auch Tennyson und Byron ( der damals noch nicht vergessen war ) , dann Tizian und Velasquez , der junge Millais und Hollman Hunt 43 ( neue Sterne ) ; Monsieur	Ingres	, Monsieur Delacroix , Balzac , George Sand , der gute Dumas , Edgar Allan Poe ; das alte Griechenland in seiner Herrlichkeit , das alte Rom in seiner Größe !	alles nur mit der linken Hand .Abermals Dickens und Thackeray , auch Tennyson und Byron ( der damals noch nicht vergessen war ) , dann Tizian und Velasquez , der junge Millais und Hollman Hunt 43 ( neue Sterne ) ; Monsieur Ingres , Monsieur Delacroix , Balzac , George Sand , der gute Dumas , Edgar Allan Poe ; das alte Griechenland in seiner Herrlichkeit , das alte Rom in seiner Größe !Er wurde zur Legende , zur Mythe	5013	36	dumaurie_trilby_trilby.tsv
FM	NE		NN	japhetus		– Up sin Postament un in de Gedichten würd hei	Japhetus	Divisor näumt , wil dat hei dat Land Meckelnborg för ümmer in drei Deil deilt hett , ahn Feldmäters , blot dörch » Sonderinteressen « , as sei up Stun'ns dortau seggen .	– Also de is dat ?– Up sin Postament un in de Gedichten würd hei Japhetus Divisor näumt , wil dat hei dat Land Meckelnborg för ümmer in drei Deil deilt hett , ahn Feldmäters , blot dörch » Sonderinteressen « , as sei up Stun'ns dortau seggen .– Wo ?	86	10	reuter_meklnbrg_meklnbrg.tsv
FM	NN		NN	kalverhandel		Maren lööv Anna von wegen den	Kalverhandel	und funn den Braden wunnerschöön , eet aver wenig , ebenso Maria ; Paul hau in as en Döscher , he harr den Morgen nix eten un mark nu , dat he holl un boll weer .	Stunn seten all üm den Disch .Maren lööv Anna von wegen den Kalverhandel und funn den Braden wunnerschöön , eet aver wenig , ebenso Maria ; Paul hau in as en Döscher , he harr den Morgen nix eten un mark nu , dat he holl un boll weer .« De Jung weer as mit Bloot	4649	6	fehrs_maren_maren.tsv
FM	VVFIN		NE	liksterwelt		" Un as hei so nu noch vertellt , Dunn was mi dat doch	liksterwelt	, As würd sick achter mi wat rögen .	Denn unnen hadd sei keinen Bodd’n ." Un as hei so nu noch vertellt , Dunn was mi dat doch liksterwelt , As würd sick achter mi wat rögen ." Na , dat was gaud ,	2611	14	reuter_laeus1_laeus1.tsv
