DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
ITJ	NE		NN	ach		« Nun begann der Förster zu bitten und zu flehen : »	Ach	, laß mich doch hier , wenn 's auch nur im Keller ist !	, mit einem auf der Diele .« Nun begann der Förster zu bitten und zu flehen : » Ach , laß mich doch hier , wenn 's auch nur im Keller ist !» Halt !	1276	12	proehle_harzsag1_harzsag1.tsv
ITJ	NN		NN	ach		»	Ach	nein , Ingmar , « sagte sie , » mache dich um meinetwillen nicht unglücklich .	und sah ihn einen Augenblick an .» Ach nein , Ingmar , « sagte sie , » mache dich um meinetwillen nicht unglücklich .Aber es nützt ja nicht , über	943	1	lagerloe_jerusal2_jerusal2.tsv
ITJ	NN		ITJ	ach			Ach	, wenn alle die , die , so oft er vorüberkommt , brüllen : » In die Rhone !	gewöhnen « , wie Tartarin sagte .Ach , wenn alle die , die , so oft er vorüberkommt , brüllen : » In die Rhone !Trompetensignale vermischten sich mit dem Schall der	1986	0	daudet_porttara_porttara.tsv
ITJ	NE		NN	ach		« »	Ach	, Vater , da steht sie schon .	, ob er schlief oder wachte .« » Ach , Vater , da steht sie schon .« Der Herzog nickte ihm freundlich zu	70	2	schrecke_deutherz_deutherz.tsv
ITJ	NE		NN	ach		« »	Ach	, mein Gott , weil man einmal zufällig lacht , wollen Sie Händel anfangen !	Hunde statt mit Ihrer Rolle beschäftigen .« » Ach , mein Gott , weil man einmal zufällig lacht , wollen Sie Händel anfangen !Abends spielt er seine Partie Lotto mit	644	2	kock_chipolat_chipolat.tsv
ITJ	VVFIN		VVFIN	ach		» Ich bin nicht mehr Lehrer « , sagte Wudhof mit bösem Lächeln , »	ach	, tun Sie doch nicht so .	: » Da bist du gekommen .» Ich bin nicht mehr Lehrer « , sagte Wudhof mit bösem Lächeln , » ach , tun Sie doch nicht so .» Na , wo bist du denn	125	15	stehr_mandelha_mandelha.tsv
ITJ	APPR		VVFIN	ach		« » Ja ,	ach	ja !	diesem Schauspiel keinen Höllenlärm machen würde .« » Ja , ach ja !» Ich gehe diese Nacht noch zu	4677	4	vossr_brutusdu_brutusdu.tsv
ITJ	NE		ITJ	bravo		»	Bravo	!	hinstreuen und in die Erd' sinken .» Bravo !« – Wie mir wird ?	360	1	claudius_wandsbek_wandsbek.tsv
ITJ	NE		NE	ha			Ha	, glaubt du daß ich kann ?	Ihr werdet das nicht tun !Ha , glaubt du daß ich kann ?Genoveva .	3836	0	hebbel_genoveva_genoveva.tsv
ITJ	NE		VVFIN	he		Er setzte sich auf den Thron , den spitzen Pfahl , und sagte zu seinen Untertanen : »	He	, du , Gevatterin !	daß ich dich ans Trockene setze !Er setzte sich auf den Thron , den spitzen Pfahl , und sagte zu seinen Untertanen : » He , du , Gevatterin !Jeder zieht an seiner Seite .	1518	18	etzel_jurte_jurte.tsv
ITJ	NE		ITJ	hoho		« » Ja , aber eine junge Dame – ganz einsam – und nun soll ich ... « »	Hoho	!	Ich weiß alles .« » Ja , aber eine junge Dame – ganz einsam – und nun soll ich ... « » Hoho !Eine nette Komödie !	2683	19	kraftr_nobody1_nobody1.tsv
ITJ	VVFIN		NE	hoho		Großes Fest –	hoho	!	, das wird eine Überraschung sein !Großes Fest – hoho !« » Von mir kein Wörterl ,	228	3	schnitzl_neuelied_neuelied.tsv
ITJ	NE		NE	hurra		Nein , unsere Verbindung mit Schweden , wesentlich durch Begriffe wie » Nordisch-österreichische Bank « hergestellt , drückt sich etwa in der Möglichkeit aus , daß hier anwesende Stockholmer als Fremde , die sie sind , vor ein kosmetisches Geschäft geführt werden und daselbst » das vierfache schwedische ›	Hurrah	‹ auf › Farina Gegenüber ‹ « , ausbringen müssen , wofür die Zeitungen die achtfache Zeilentaxe nehmen .	Republik um den Hals gehängt hat .Nein , unsere Verbindung mit Schweden , wesentlich durch Begriffe wie » Nordisch-österreichische Bank « hergestellt , drückt sich etwa in der Möglichkeit aus , daß hier anwesende Stockholmer als Fremde , die sie sind , vor ein kosmetisches Geschäft geführt werden und daselbst » das vierfache schwedische › Hurrah ‹ auf › Farina Gegenüber ‹ « , ausbringen müssen , wofür die Zeitungen die achtfache Zeilentaxe nehmen .Aber es ist vielleicht die wienerischeste aller	3628	49	kraus_walpurgi_walpurgi.tsv
ITJ	ADV		ADV	ja		» Na	ja	!	« » Ein Akrostichon !» Na ja !» Nehmen Sie sich mit dem Schimpfen	5741	2	meredith_rhoda2_rhoda2.tsv
ITJ	NE		NE	jawohl		« – »	Jawohl	, Herr Regierungsrat , sie haben's getroffen .	Herr Regierungsrat « , sag ich .« – » Jawohl , Herr Regierungsrat , sie haben's getroffen .» Ruschenbusch « , sagt darauf der	28	3	anekdote_anonymus_examen.tsv
