DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
KOKOM	KOKOM		KOKOM	als		« Der Student Jewjeni hatte bei dem Erscheinen der Herrschaft den Leutnant Blagonow betroffen angesehen , und auch er schien jetzt , sich zuweilen die Stirn reibend , eifrig in seinen Erinnerungen zu suchen , wie dies bei seinem Anblick vorher Herr Sacharin getan hatte ; zwar fuhr er fort , zu essen und zu trinken und die ihm Zunächstsitzenden mit seinen Reden nach dem Muster des Aksakowschen Artikels der Moskauer Zeitung zu unterhalten , aber immer wieder und wieder wendeten sich seine Blicke zu Blagonow hin , und wenn er den jungen Mann eine Zeitlang betrachtet hatte , so schüttelte er wohl den Kopf ,	als	ob er die in ihm aufsteigenden Gedanken für töricht und unmöglich halte .	, ich werde dich nicht verlassen .« Der Student Jewjeni hatte bei dem Erscheinen der Herrschaft den Leutnant Blagonow betroffen angesehen , und auch er schien jetzt , sich zuweilen die Stirn reibend , eifrig in seinen Erinnerungen zu suchen , wie dies bei seinem Anblick vorher Herr Sacharin getan hatte ; zwar fuhr er fort , zu essen und zu trinken und die ihm Zunächstsitzenden mit seinen Reden nach dem Muster des Aksakowschen Artikels der Moskauer Zeitung zu unterhalten , aber immer wieder und wieder wendeten sich seine Blicke zu Blagonow hin , und wenn er den jungen Mann eine Zeitlang betrachtet hatte , so schüttelte er wohl den Kopf , als ob er die in ihm aufsteigenden Gedanken für töricht und unmöglich halte .« » Niemals , « rief Pawjel	3521	106	meding_plewna_plewna.tsv
KOKOM	KOKOM		APPR	als		Als Blondus dort umherging , wie vor ihm Cola di Rienzo , und in der Stille dieser Trümmer nichts hörte	als	das Säuseln des Windes in den Halmen , das Gezirp der Grille und das melancholische Blöken weidender Schafe , fragte er , was man wohl vom übrigen Rom denken solle , wenn selbst diese große Kaiserresidenz in namenlose Wildnis versunken sei .	großartige Trümmerwelt des damaligen Palatin schildern ?Als Blondus dort umherging , wie vor ihm Cola di Rienzo , und in der Stille dieser Trümmer nichts hörte als das Säuseln des Windes in den Halmen , das Gezirp der Grille und das melancholische Blöken weidender Schafe , fragte er , was man wohl vom übrigen Rom denken solle , wenn selbst diese große Kaiserresidenz in namenlose Wildnis versunken sei .Die lateinische Sprache in dieser Chronik und	26218	20	gregorov_stadtrom_stadtrom.tsv
KOKOM	APPR		APPR	als		Das lange , schmale Gesicht mit der feingeformten Stirn , der scharfgeschnittenen Nase , den dünnen Lippen und dem spitzen bartlosen Kinn schien mehr einem vornehmen Staatsmann	als	einem Krieger anzugehören .	der Burg , Heinrich von Plauen .Das lange , schmale Gesicht mit der feingeformten Stirn , der scharfgeschnittenen Nase , den dünnen Lippen und dem spitzen bartlosen Kinn schien mehr einem vornehmen Staatsmann als einem Krieger anzugehören .Der eine , ein Mann nicht viel	3200	27	wichert_plauen_plauen.tsv
KOKOM	KOKOM		KOKOM	als		Er rasierte sich nur selten , und obgleich er sich die Hände und das Gesicht wusch , so schien es doch ,	als	tue er nur so , wie wenn er sich wüsche ; auch hätte man ihn mit keiner Seife rein bekommen können .	friedlich und rührte keine Karte an .Er rasierte sich nur selten , und obgleich er sich die Hände und das Gesicht wusch , so schien es doch , als tue er nur so , wie wenn er sich wüsche ; auch hätte man ihn mit keiner Seife rein bekommen können .Und er erzählte ihm das , was	5055	22	gontscha_oblomow_oblomow.tsv
KOKOM	APPR		KOKOM	als		Wenn Du zufriedner mit mir bist	als	ehedem , so lasse Dir sagen , daß meine Zufriedenheit sich wahrlich um ein Geringes erwerben läßt : um etwas Aufmerksamkeit auf meine billigsten Wünsche .	, so müßte es gewallacht werden .Wenn Du zufriedner mit mir bist als ehedem , so lasse Dir sagen , daß meine Zufriedenheit sich wahrlich um ein Geringes erwerben läßt : um etwas Aufmerksamkeit auf meine billigsten Wünsche .Es ist nun drei Jahre alt und	392	6	gneisena_briefe_gneisena.tsv
KOKOM	KOKOM		KOKOM	als		Paß mal auf , ich lasse sie jetzt in Bataillonen antreten , thue ,	als	wenn es Scherz sei , und meine es blutig ernst .	einen Stall , « scherzte Ella .Paß mal auf , ich lasse sie jetzt in Bataillonen antreten , thue , als wenn es Scherz sei , und meine es blutig ernst .« Inzwischen hatte die älteste Schwester schon	1813	14	georgy_memoiren_memoiren.tsv
KOKOM	KOKOM		APPR	als		Ein untergebener muß nicht klüger seyn	als	der Hoffmeister .	fein bald in das Qvartier käme .Ein untergebener muß nicht klüger seyn als der Hoffmeister .Da ist ein leichtfertiger Bube / der	155	6	weise_masaniel_masaniel.tsv
KOKOM	KOKOM		KOKOM	als		Wenn sie , wie es wahrscheinlich erscheint , beständig ihre weiblichen Nebenbuhler wegtreiben und ihre hellen Farben oder andere Reize entfalten und damit die Männchen anzuziehen versuchen , so können wir verstehen , wie es gekommen ist , daß sie allmählich mittelst der geschlechtlichen Zuchtwahl und der geschlechtlich beschränkten Vererbung schöner	als	die Männchen geworden sind , während die letzteren nicht modificiert oder nur unbedeutend modificiert wurden .	und heller gefärbt als ihre Männchen .Wenn sie , wie es wahrscheinlich erscheint , beständig ihre weiblichen Nebenbuhler wegtreiben und ihre hellen Farben oder andere Reize entfalten und damit die Männchen anzuziehen versuchen , so können wir verstehen , wie es gekommen ist , daß sie allmählich mittelst der geschlechtlichen Zuchtwahl und der geschlechtlich beschränkten Vererbung schöner als die Männchen geworden sind , während die letzteren nicht modificiert oder nur unbedeutend modificiert wurden .Ich wünschte gleichermaßen festzustellen , in wie	4316	51	darwin_abstammu_abstammu.tsv
KOKOM	KOKOM		KOKOM	als		Von mehr	als	einem gnadenbilde wird gemeldet , daß es einen ring vom finger , einen schuh vom fuß fallen ließ zur gabe für die vor ihm betenden .	E. Jacobi handwörterb .Von mehr als einem gnadenbilde wird gemeldet , daß es einen ring vom finger , einen schuh vom fuß fallen ließ zur gabe für die vor ihm betenden .sie wurden auch feierlich verbrannt , so	3127	2	grimm_demyth_demyth.tsv
KOKOM	KOKOM		KOKOM	als		Damit wird weiter zusammenhängen , daß die illyrische Nationalität sich in dem Bereich der makedonischen Statthalterschaft besser behauptet hat	als	in dem der dalmatischen : in jenem lebt sie heute noch fort und es muß in der Kaiserzeit , abgesehen von dem griechischen Apollonia und der italischen Kolonie Dyrrachium , neben den beiden Reichssprachen im Binnenland , die des Volkes , die illyrische , geblieben sein .	Stadt als römische Bürgergemeinde eingerichtet wurde .Damit wird weiter zusammenhängen , daß die illyrische Nationalität sich in dem Bereich der makedonischen Statthalterschaft besser behauptet hat als in dem der dalmatischen : in jenem lebt sie heute noch fort und es muß in der Kaiserzeit , abgesehen von dem griechischen Apollonia und der italischen Kolonie Dyrrachium , neben den beiden Reichssprachen im Binnenland , die des Volkes , die illyrische , geblieben sein .Aber Verstärkung durch dort angesiedelte Veteranen und	1432	19	mommsen_roem08_roem08.tsv
