DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
KOUI	APPR		KOUI	ohne		Meine Gründe bekehrten noch manchen andern , namentlich Collins und Ralph ; da sie aber beide ,	ohne	die geringste Reue , mir großes Unrecht gethan hatten , und da ich an Keiths , eines anderen Freidenkers , Benehmen , sowie an mein eigenes Verfahren gegen Vernon und Miß Read , welches mich oft sehr quälte , dachte , so geriet ich auf die Vermutung , daß wenn diese Lehre auch wahr sein möchte , sie doch nicht sehr von Nutzen sei .	, als eben die Widerlegung selbst .Meine Gründe bekehrten noch manchen andern , namentlich Collins und Ralph ; da sie aber beide , ohne die geringste Reue , mir großes Unrecht gethan hatten , und da ich an Keiths , eines anderen Freidenkers , Benehmen , sowie an mein eigenes Verfahren gegen Vernon und Miß Read , welches mich oft sehr quälte , dachte , so geriet ich auf die Vermutung , daß wenn diese Lehre auch wahr sein möchte , sie doch nicht sehr von Nutzen sei .Es fielen mir einige Bände gegen den	1163	17	franklin_frankleb_frankleb.tsv
KOUI	APPR		APPR	ohne		Während dieser langen stürmischen Tage sahen sich Gordon und seine Kameraden auf das Schiff beschränkt ,	ohne	daß sie deshalb unthätig blieben .	Briant wird von Allen hochgeschätzt .. .Während dieser langen stürmischen Tage sahen sich Gordon und seine Kameraden auf das Schiff beschränkt , ohne daß sie deshalb unthätig blieben .Dein Auftreten ihm gegenüber kann aber nur	604	16	verne_ferien1_ferien1.tsv
KOUI	KOUI		KOUI	ohne		Demokrit z. B. rühmt als solches die » Gemütsruhe « , in der sich's » sanft lebe ,	ohne	Furcht und ohne Aufregung « .	er keiner Macht der Welt gehört .Demokrit z. B. rühmt als solches die » Gemütsruhe « , in der sich's » sanft lebe , ohne Furcht und ohne Aufregung « .Auf diese äußerste Spitze interesseloser Herzlichkeit getrieben	2847	18	stirner_einzige_einzige.tsv
KOUI	KOUI		KOUI	ohne		Hatte nun Leuchtenburg entweder in Seelbergs Gesellschaft oder , wenn Dieser sinnlichen Vergnügungen nachrennte ,	ohne	ihn den ganzen Tag durch sich so herumgetrieben , so kramte er , wenn sie des Abends miteinander allein waren , seinen ganzen Vorrath von gesammleten hämischen Bemerkungen aus .	, um seine Anekdotensucht zu befriedigen .Hatte nun Leuchtenburg entweder in Seelbergs Gesellschaft oder , wenn Dieser sinnlichen Vergnügungen nachrennte , ohne ihn den ganzen Tag durch sich so herumgetrieben , so kramte er , wenn sie des Abends miteinander allein waren , seinen ganzen Vorrath von gesammleten hämischen Bemerkungen aus .« Jetzt wurde aber wirklich von vielen	2508	15	knigge_seelberg_seelberg.tsv
KOUI	KOUI		KOUI	ohne		« Die von der Lokomotive nachgeschleppten Wagen sind so eingerichtet , daß die Passagiere die Reise durch ganz Amerika machen können ,	ohne	nötig zu haben , nur einmal auszusteigen .	obgleich er sich immer so stellt .« Die von der Lokomotive nachgeschleppten Wagen sind so eingerichtet , daß die Passagiere die Reise durch ganz Amerika machen können , ohne nötig zu haben , nur einmal auszusteigen .» Sonnenstrahl hat seinen Willen durchgesetzt .	1568	22	kraftr_vestali4_vestali4.tsv
KOUI	KOUI		KOUI	ohne		Ich sage Ihnen , wir wären durchgekommen ; ich sage Ihnen , wir hätten das Unsrige davongetragen ,	ohne	den Jammermann !	Ihre noch unerschaffenen unsterblichen Werke brächten .Ich sage Ihnen , wir wären durchgekommen ; ich sage Ihnen , wir hätten das Unsrige davongetragen , ohne den Jammermann !» Sie können sich leicht sehr arg	206	18	raabe_keltisch_keltisch.tsv
KOUI	APPR		KOUI	statt		Und ihr kam die Frage , warum der Geliebte nicht hier sein könnte , in diesen Räumen ,	statt	des anderen , für den ihr Herz längst erstorben war .	stieg ihr unwillkürlich Stassingks Bild auf .Und ihr kam die Frage , warum der Geliebte nicht hier sein könnte , in diesen Räumen , statt des anderen , für den ihr Herz längst erstorben war .Dann , Maria , wirft Du vielleicht	483	18	ompteda_maria_maria.tsv
KOUI	KOUI		APPR	um			Um	den Riegel am Hudson für Clinton zu verstärken , eine Wegnahme Westpoints völlig unmöglich zu machen , hatte Steuben von Washington Befehl erhalten , aus der in Westpoint , Fishhill und der umliegenden zweiten , sehr starken Division neun Bataillone Riflemen auszuheben , von denen vier Bataillone unter General Howe südlich an den Hudson vorgeschoben werden sollten , fünf Bataillone aber direkt zu Washingtons Hauptarmee zu stoßen hätten .	« fragte er .Um den Riegel am Hudson für Clinton zu verstärken , eine Wegnahme Westpoints völlig unmöglich zu machen , hatte Steuben von Washington Befehl erhalten , aus der in Westpoint , Fishhill und der umliegenden zweiten , sehr starken Division neun Bataillone Riflemen auszuheben , von denen vier Bataillone unter General Howe südlich an den Hudson vorgeschoben werden sollten , fünf Bataillone aber direkt zu Washingtons Hauptarmee zu stoßen hätten .– » Willst du den Brief mir	5514	0	brachvog_steuben_steuben.tsv
KOUI	KOUI		KOUI	um			Um	sich über ihre Echtheit zu vergewissern , ließ man den Notar , der sie ausgestellt hatte , nach Paris kommen .	daß er gründliche Rechtsstudien getrieben hatte .Um sich über ihre Echtheit zu vergewissern , ließ man den Notar , der sie ausgestellt hatte , nach Paris kommen .Wenn man ihn wegen der Geschicklichkeit und	271	0	alexis_hendel05_hendel05.tsv
KOUI	KOUI		KOUI	um		Wie kann sie's nur wagen , anständige Personen um ihren Besuch zu bitten , alles bloß ,	um	ihnen etwas von ihrer Unschuld vorzuklagen ?	hat , ist kaum zu glauben .Wie kann sie's nur wagen , anständige Personen um ihren Besuch zu bitten , alles bloß , um ihnen etwas von ihrer Unschuld vorzuklagen ?.	1292	17	fontane_5schloes_5schloes.tsv
