DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
KOUS	KOUS		APPR	als		Die Schwester : Ich weiß : Du liebst ...	Als	der Vorhang gefallen war und der Kronleuchter aufflammte , herrschte Schweigen , in dem man sie atmen hörte .	« , riefen sie im Chor .Die Schwester : Ich weiß : Du liebst ... Als der Vorhang gefallen war und der Kronleuchter aufflammte , herrschte Schweigen , in dem man sie atmen hörte .Sie wuchsen vor ihm empor .	1093	9	schickel_benkal_benkal.tsv
KOUS	KOUS		KOUS	als			Als	ich , wie mir der Narr , der schöne Bogislaus gerathen hatte , von hinten an ihn heranzukommen suchte , um ihm meinen Dank für den Doktor der Weltweisheit mit Rührung anzubringen , und Sie mich mit aus seiner Stube schoben , um , wie Sie sagten , der greulichen Scene ein Ende zu machen , da habe ich freilich schon merken können , in was für einer heiteren Schule er Sie gehabt hat , Rosine .	Können Sie Verwesung riechen ?Als ich , wie mir der Narr , der schöne Bogislaus gerathen hatte , von hinten an ihn heranzukommen suchte , um ihm meinen Dank für den Doktor der Weltweisheit mit Rührung anzubringen , und Sie mich mit aus seiner Stube schoben , um , wie Sie sagten , der greulichen Scene ein Ende zu machen , da habe ich freilich schon merken können , in was für einer heiteren Schule er Sie gehabt hat , Rosine .Können Sie Blut sehen ?	2986	0	raabe_lar_lar.tsv
KOUS	KOUS		KOUS	als		Jakobine und ihr Bruder erzählten nun ihre Begebenheiten , und ihre Augen standen voll Freudenthränen ,	als	sie von ihres Retters Liebe zu ihnen sprachen .	wo bliebt ihr ?Jakobine und ihr Bruder erzählten nun ihre Begebenheiten , und ihre Augen standen voll Freudenthränen , als sie von ihres Retters Liebe zu ihnen sprachen .Jetzt erhob sich wieder eine frohe Verwirrung	2509	16	lafonta_flaming_flaming.tsv
KOUS	KOUS		KOUS	als		Und erst , wenn er da gar gekocht ist , heisse ich ihn willkommen ,	als	meine Speise .	ist's , der jede Sache heiligt .Und erst , wenn er da gar gekocht ist , heisse ich ihn willkommen , als meine Speise .Tapfer sein ist gut .	4896	15	nietzsch_zara_zara.tsv
KOUS	KOKOM		KOKOM	als		Bei keinem Theologen ferner , ja wohl überhaupt bei keinem namhaften deutschen Schriftsteller seines Jahrhunderts begegnen uns so viele dem Volksmund entstammte Sprichwörter ,	als	bei ihm , dem sie ungesucht in Büchern , Predigten und akademischen Vorlesungen , wie in Gesprächen und Briefen sich aufdrängten .	Sachsen , nach einem alten Holzschnitt .Bei keinem Theologen ferner , ja wohl überhaupt bei keinem namhaften deutschen Schriftsteller seines Jahrhunderts begegnen uns so viele dem Volksmund entstammte Sprichwörter , als bei ihm , dem sie ungesucht in Büchern , Predigten und akademischen Vorlesungen , wie in Gesprächen und Briefen sich aufdrängten .Aber sie war in seinem Innern wohl	2238	24	koestlin_luther_luther.tsv
KOUS	APPR		KOUS	bis		was mag das sein ?! « 11 Betrachten wir das in sich selbst überaus lockere Wasser , das sich doch ohne allen fühlbaren Widerstand in zahllose kleinste Tröpfchen zerteilen läßt ; dieses höchstwichtige Naturelement , das in sich alle Urkeime des animalen wie des planetaren Lebens birgt , und zugleich von dir nie berechenbaren Kräften geschwängert ist , gehorcht im freien Zustande ganz unbedingt dem ihm innewohnenden Gesetze der Schwere ; laut diesem Gesetze , dessen es durch ein eigenes Wahrnehmungsvermögen gewahr wird , empfindet es die leiseste Abdachung ( Gefälle ) irgend eines Territoriums , fängt da sogleich an , nach einer größeren Niederung hin sich fort zu bewegen , und hat so lange keine Rast und Ruhe , als	bis	es des Meeres größte Territorialniederung vollends erreicht hat .	Erde ein mächtiger Schlag geschehen wäre ?was mag das sein ?! « 11 Betrachten wir das in sich selbst überaus lockere Wasser , das sich doch ohne allen fühlbaren Widerstand in zahllose kleinste Tröpfchen zerteilen läßt ; dieses höchstwichtige Naturelement , das in sich alle Urkeime des animalen wie des planetaren Lebens birgt , und zugleich von dir nie berechenbaren Kräften geschwängert ist , gehorcht im freien Zustande ganz unbedingt dem ihm innewohnenden Gesetze der Schwere ; laut diesem Gesetze , dessen es durch ein eigenes Wahrnehmungsvermögen gewahr wird , empfindet es die leiseste Abdachung ( Gefälle ) irgend eines Territoriums , fängt da sogleich an , nach einer größeren Niederung hin sich fort zu bewegen , und hat so lange keine Rast und Ruhe , als bis es des Meeres größte Territorialniederung vollends erreicht hat .« 1 Blum , Messenhauser und Becher	1490	121	lorber_rblum1_rblum1.tsv
KOUS	KOUS		KOUS	da		Ein Ereignis verdient besonders hervorgehoben zu werden ,	da	es das Verhalten der Truppe trefflich charakterisiert und wenigstens ein Beispiel dafür gibt , dass die Truppen ansatzweise zu Pflicht und Gehorsam zurückgefunden hatten .	zu Cassius Dio ( 80,2 ) .Ein Ereignis verdient besonders hervorgehoben zu werden , da es das Verhalten der Truppe trefflich charakterisiert und wenigstens ein Beispiel dafür gibt , dass die Truppen ansatzweise zu Pflicht und Gehorsam zurückgefunden hatten .Alexanders Regierung war ein nutzloser Kampf gegen	51	8	gibbon_verfall1_verfall1.tsv
KOUS	KOUS		KOUS	da		Was nützt das Stillstehen ,	da	wir doch nichts wissen , da nur die Götter wissen , was unser harrt am Ende dieses mühevollen , unebenen , staubigen Weges , der unserm Lebensweg gleicht ?	Aber so ist das Leben .Was nützt das Stillstehen , da wir doch nichts wissen , da nur die Götter wissen , was unser harrt am Ende dieses mühevollen , unebenen , staubigen Weges , der unserm Lebensweg gleicht ?Wir sehen sie vielleicht nie wieder .	5955	5	couperus_komoedia_komoedia.tsv
KOUS	KOUS		KOUS	da		Was nützt das Stillstehen , da wir doch nichts wissen ,	da	nur die Götter wissen , was unser harrt am Ende dieses mühevollen , unebenen , staubigen Weges , der unserm Lebensweg gleicht ?	Aber so ist das Leben .Was nützt das Stillstehen , da wir doch nichts wissen , da nur die Götter wissen , was unser harrt am Ende dieses mühevollen , unebenen , staubigen Weges , der unserm Lebensweg gleicht ?Wir sehen sie vielleicht nie wieder .	5955	11	couperus_komoedia_komoedia.tsv
KOUS	KOUS		KOUS	dass		Ein Ereignis verdient besonders hervorgehoben zu werden , da es das Verhalten der Truppe trefflich charakterisiert und wenigstens ein Beispiel dafür gibt ,	dass	die Truppen ansatzweise zu Pflicht und Gehorsam zurückgefunden hatten .	zu Cassius Dio ( 80,2 ) .Ein Ereignis verdient besonders hervorgehoben zu werden , da es das Verhalten der Truppe trefflich charakterisiert und wenigstens ein Beispiel dafür gibt , dass die Truppen ansatzweise zu Pflicht und Gehorsam zurückgefunden hatten .Alexanders Regierung war ein nutzloser Kampf gegen	51	23	gibbon_verfall1_verfall1.tsv
