DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
NE	NE		NE	Abbe		» Höre , Cäsar , ich hoffe , du lädtst den Herrn	Abbé	Loraux zum Diner ein !	Mein Bruder !» Höre , Cäsar , ich hoffe , du lädtst den Herrn Abbé Loraux zum Diner ein !» Mein Bruder !	1455	12	balzac_birottea_birottea.tsv
NE	NN		NE	Charlier		– So lautet ja wohl Ihr Arrangement ,	Carlier	?	das Wort › Pondichery ‹ sagen .– So lautet ja wohl Ihr Arrangement , Carlier ?Vor dem Eingang des Panorama finden Sie	1174	8	retcliff_nenasahi_nenasahi.tsv
NE	NE		NE	Collins		Meine Gründe bekehrten noch manchen andern , namentlich	Collins	und Ralph ; da sie aber beide , ohne die geringste Reue , mir großes Unrecht gethan hatten , und da ich an Keiths , eines anderen Freidenkers , Benehmen , sowie an mein eigenes Verfahren gegen Vernon und Miß Read , welches mich oft sehr quälte , dachte , so geriet ich auf die Vermutung , daß wenn diese Lehre auch wahr sein möchte , sie doch nicht sehr von Nutzen sei .	, als eben die Widerlegung selbst .Meine Gründe bekehrten noch manchen andern , namentlich Collins und Ralph ; da sie aber beide , ohne die geringste Reue , mir großes Unrecht gethan hatten , und da ich an Keiths , eines anderen Freidenkers , Benehmen , sowie an mein eigenes Verfahren gegen Vernon und Miß Read , welches mich oft sehr quälte , dachte , so geriet ich auf die Vermutung , daß wenn diese Lehre auch wahr sein möchte , sie doch nicht sehr von Nutzen sei .Es fielen mir einige Bände gegen den	1163	8	franklin_frankleb_frankleb.tsv
NE	NE		NE	Cäsar		» Höre ,	Cäsar	, ich hoffe , du lädtst den Herrn Abbé Loraux zum Diner ein !	Mein Bruder !» Höre , Cäsar , ich hoffe , du lädtst den Herrn Abbé Loraux zum Diner ein !» Mein Bruder !	1455	3	balzac_birottea_birottea.tsv
NE	NE		ADJA	Dankwerth		Ein Ort Wyck wird schon auf	Dankwerth's	Karte von 1240 angeführt ; hier hatten an einer Bucht Fischer ihre Hütten sich gebaut .	eine Allee vom steilen Ufer trennt .Ein Ort Wyck wird schon auf Dankwerth's Karte von 1240 angeführt ; hier hatten an einer Bucht Fischer ihre Hütten sich gebaut .Der bedeutendste Ort auf Föhr ist der	2453	6	kobbe_nordost_nordost.tsv
NE	NE		NE	Diethelm		Besonders ein Wort des Vorsitzenden drang	Diethelm	ins Herz , denn er hatte gesagt : Ein Verbrechen , das ungesühnt in der Seele ruht , gleicht dem Brand in einem Kohlenbergwerk ; man stopft es zu und will das Feuer ersticken , aber es brennt weiter , unterirdisch , ungesehen , und eine Öffnung , die sich auftut , läßt die Flamme emporschlagen .	» Da hilft kein ' Sympathie .Besonders ein Wort des Vorsitzenden drang Diethelm ins Herz , denn er hatte gesagt : Ein Verbrechen , das ungesühnt in der Seele ruht , gleicht dem Brand in einem Kohlenbergwerk ; man stopft es zu und will das Feuer ersticken , aber es brennt weiter , unterirdisch , ungesehen , und eine Öffnung , die sich auftut , läßt die Flamme emporschlagen .Hat mein Vater verkauft ?	1525	6	auerbach_diethelm_diethelm.tsv
NE	VVFIN		NE	E		‹ » Kind , Würmle , « suchte sie die Kleine zu trösten , » was fallt dir denn ein – wer wird so weine , dummes Dingele – « Sie schöpfte Atem : » Jetz isch 's Kätterle lang tot ; ihr ältster Bub hat's Häusle und	e	Stub voller Kinder .	« bat die Frau .‹ » Kind , Würmle , « suchte sie die Kleine zu trösten , » was fallt dir denn ein – wer wird so weine , dummes Dingele – « Sie schöpfte Atem : » Jetz isch 's Kätterle lang tot ; ihr ältster Bub hat's Häusle und e Stub voller Kinder .Es ist nicht auszudenken , was aus	459	48	villinge_rebaechl_rebaechl.tsv
NE	NN		NE	Espel		« Ein Schauer überlief	Espel	; er schob alles zusammen mit einer hastigen Bewegung heftig von sich in die dunkelste Ecke seines Schreibtisches unter das darüber angebrachte Büchergestell .	Wer von euch führt mich hin ?« Ein Schauer überlief Espel ; er schob alles zusammen mit einer hastigen Bewegung heftig von sich in die dunkelste Ecke seines Schreibtisches unter das darüber angebrachte Büchergestell .Wo wohnt er ?	131	4	herbert_rufnacht_rufnacht.tsv
NE	NE		NE	Fischer		Ein Ort Wyck wird schon auf Dankwerth's Karte von 1240 angeführt ; hier hatten an einer Bucht	Fischer	ihre Hütten sich gebaut .	eine Allee vom steilen Ufer trennt .Ein Ort Wyck wird schon auf Dankwerth's Karte von 1240 angeführt ; hier hatten an einer Bucht Fischer ihre Hütten sich gebaut .Der bedeutendste Ort auf Föhr ist der	2453	17	kobbe_nordost_nordost.tsv
NE	NE		NE	Grotschnut		« fragte	Grotschnut	.	, statt daheim auf ihren Eiern .« fragte Grotschnut .Die geht in keinen Ameisenhaufen .	528	2	volbehr_koenigbo_koenigbo.tsv
NE	NE		NE	Häusle		‹ » Kind , Würmle , « suchte sie die Kleine zu trösten , » was fallt dir denn ein – wer wird so weine , dummes Dingele – « Sie schöpfte Atem : » Jetz isch 's Kätterle lang tot ; ihr ältster Bub hat's	Häusle	und e Stub voller Kinder .	« bat die Frau .‹ » Kind , Würmle , « suchte sie die Kleine zu trösten , » was fallt dir denn ein – wer wird so weine , dummes Dingele – « Sie schöpfte Atem : » Jetz isch 's Kätterle lang tot ; ihr ältster Bub hat's Häusle und e Stub voller Kinder .Es ist nicht auszudenken , was aus	459	46	villinge_rebaechl_rebaechl.tsv
NE	NE		VVFIN	Höre		»	Höre	, Cäsar , ich hoffe , du lädtst den Herrn Abbé Loraux zum Diner ein !	Mein Bruder !» Höre , Cäsar , ich hoffe , du lädtst den Herrn Abbé Loraux zum Diner ein !» Mein Bruder !	1455	1	balzac_birottea_birottea.tsv
NE	ADJD		ADJA	Isch		‹ » Kind , Würmle , « suchte sie die Kleine zu trösten , » was fallt dir denn ein – wer wird so weine , dummes Dingele – « Sie schöpfte Atem : » Jetz	isch	's Kätterle lang tot ; ihr ältster Bub hat's Häusle und e Stub voller Kinder .	« bat die Frau .‹ » Kind , Würmle , « suchte sie die Kleine zu trösten , » was fallt dir denn ein – wer wird so weine , dummes Dingele – « Sie schöpfte Atem : » Jetz isch 's Kätterle lang tot ; ihr ältster Bub hat's Häusle und e Stub voller Kinder .Es ist nicht auszudenken , was aus	459	36	villinge_rebaechl_rebaechl.tsv
NE	NE		NE	Keith		Meine Gründe bekehrten noch manchen andern , namentlich Collins und Ralph ; da sie aber beide , ohne die geringste Reue , mir großes Unrecht gethan hatten , und da ich an	Keiths	, eines anderen Freidenkers , Benehmen , sowie an mein eigenes Verfahren gegen Vernon und Miß Read , welches mich oft sehr quälte , dachte , so geriet ich auf die Vermutung , daß wenn diese Lehre auch wahr sein möchte , sie doch nicht sehr von Nutzen sei .	, als eben die Widerlegung selbst .Meine Gründe bekehrten noch manchen andern , namentlich Collins und Ralph ; da sie aber beide , ohne die geringste Reue , mir großes Unrecht gethan hatten , und da ich an Keiths , eines anderen Freidenkers , Benehmen , sowie an mein eigenes Verfahren gegen Vernon und Miß Read , welches mich oft sehr quälte , dachte , so geriet ich auf die Vermutung , daß wenn diese Lehre auch wahr sein möchte , sie doch nicht sehr von Nutzen sei .Es fielen mir einige Bände gegen den	1163	32	franklin_frankleb_frankleb.tsv
NE	NN		NN	Krag		« murmelte	Krag	.	in der brennenden Sommerhitze zu erquicken .« murmelte Krag .Das kleine Fischerdorf , das dem Ort	3275	2	elvestad_zweidame_zweidame.tsv
