DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
PDAT	ADJD		PDAT	dasselbe		Zwar das Lob selber , das ich meinen Vätern hier erteile , käme ihm , wenn er noch lebte , noch so bedeutend vor als es mir selber leer erscheint , wenn ich mir ihn in der Ewigkeit vorstelle , wo er sich unter den Seligen nicht sonderlich damit brüsten wird , daß er im Jahr 1818 von meinem Lehrstuhl herab wieder als Kirchenkomponist der Baireuther Markgrafschaft ausgerufen worden ; – und ganz	dasselbe	und dieselbe Kälte gegen alles Loben soll mein Sohn von mir voraussetzen , wenn er einst in der Zeit , wo ich schon ein Seliger bin , den allgemeinen Beifall , den meine Werke gewonnen , feurig der Welt erzählt ; er soll aber , sowenig als ich , deshalb kälter oder kürzer malen .	abgeht , noch nachfragen zu können .Zwar das Lob selber , das ich meinen Vätern hier erteile , käme ihm , wenn er noch lebte , noch so bedeutend vor als es mir selber leer erscheint , wenn ich mir ihn in der Ewigkeit vorstelle , wo er sich unter den Seligen nicht sonderlich damit brüsten wird , daß er im Jahr 1818 von meinem Lehrstuhl herab wieder als Kirchenkomponist der Baireuther Markgrafschaft ausgerufen worden ; – und ganz dasselbe und dieselbe Kälte gegen alles Loben soll mein Sohn von mir voraussetzen , wenn er einst in der Zeit , wo ich schon ein Seliger bin , den allgemeinen Beifall , den meine Werke gewonnen , feurig der Welt erzählt ; er soll aber , sowenig als ich , deshalb kälter oder kürzer malen .Jedem Feste folgen Werkeltage ; aber aus	24	73	jeanpaul_selber_selber.tsv
PDAT	PDAT		PDAT	dasselbe		Daß " Jehovah sprach zu Abram " , 1. Mose 12/1 , bedeutet die allererste Weisung , damit hat es die Bewandtnis : Das Geschichtliche ist hier vorbildend , die Worte selbst aber sind ( sinnbildlich ) bezeichnend ; in der Alten Kirche war eine solche Ausdrucksweise , daß sie , wenn etwas wahr war , sagten : Jehovah sprach , oder Jehovah redete , und das bedeutet , es sei so ( wie früher gezeigt worden ) : nachdem aber die ( sinnbildlichen ) Bezeichnungen in Vorbildungen verwandelt worden waren , da redete Jehovah oder der Herr wirklich mit ihnen , und wenn dann gesagt wird : Jehovah sprach , oder Jehovah redete mit einem , so bedeutet es	dasselbe	wir früher .	, was ohne Erklärung erhellen kann .Daß " Jehovah sprach zu Abram " , 1. Mose 12/1 , bedeutet die allererste Weisung , damit hat es die Bewandtnis : Das Geschichtliche ist hier vorbildend , die Worte selbst aber sind ( sinnbildlich ) bezeichnend ; in der Alten Kirche war eine solche Ausdrucksweise , daß sie , wenn etwas wahr war , sagten : Jehovah sprach , oder Jehovah redete , und das bedeutet , es sei so ( wie früher gezeigt worden ) : nachdem aber die ( sinnbildlichen ) Bezeichnungen in Vorbildungen verwandelt worden waren , da redete Jehovah oder der Herr wirklich mit ihnen , und wenn dann gesagt wird : Jehovah sprach , oder Jehovah redete mit einem , so bedeutet es dasselbe wir früher .4711 .	38025	120	swedborg_mose1_mose1.tsv
PDAT	PDAT		PDAT	denselben		Nur draußen auf dem Corridor vernehm' ich deutlich , wie sie ausruft : Ich bin nur ein armes Mädchen , aber dieses Schloß soll eher über mir zusammenstürzen – Damit ging er hinaus und noch	denselben	Tag verließ er das Schloß , und wir sahen ihn viele Jahre nicht wieder .	sie laut und heftig sprechen hörte .Nur draußen auf dem Corridor vernehm' ich deutlich , wie sie ausruft : Ich bin nur ein armes Mädchen , aber dieses Schloß soll eher über mir zusammenstürzen – Damit ging er hinaus und noch denselben Tag verließ er das Schloß , und wir sahen ihn viele Jahre nicht wieder .Bis Mitternacht blieb Alles drüben still .	847	35	heyse_imgrafen_imgrafen.tsv
PDAT	NN		PDAT	diese			Diesem	allem nach / und weil man im gemeinen Sprichwort zusagen pflegt / Es lasse sich auch wol eines Königs Gut verthun / so möchte ich gern von jemand vernemmen / auff was Weis und Weg solches geschehen möchte ?	übermachter Bezahlung ) genügen lassen muß .Diesem allem nach / und weil man im gemeinen Sprichwort zusagen pflegt / Es lasse sich auch wol eines Königs Gut verthun / so möchte ich gern von jemand vernemmen / auff was Weis und Weg solches geschehen möchte ?Jhr denckt gewiß ihr führet Mist auß	12	0	grimmels_plutonis_plutonis.tsv
PDAT	PDAT		PDAT	diese		Hatte nun Leuchtenburg entweder in Seelbergs Gesellschaft oder , wenn	Dieser	sinnlichen Vergnügungen nachrennte , ohne ihn den ganzen Tag durch sich so herumgetrieben , so kramte er , wenn sie des Abends miteinander allein waren , seinen ganzen Vorrath von gesammleten hämischen Bemerkungen aus .	, um seine Anekdotensucht zu befriedigen .Hatte nun Leuchtenburg entweder in Seelbergs Gesellschaft oder , wenn Dieser sinnlichen Vergnügungen nachrennte , ohne ihn den ganzen Tag durch sich so herumgetrieben , so kramte er , wenn sie des Abends miteinander allein waren , seinen ganzen Vorrath von gesammleten hämischen Bemerkungen aus .« Jetzt wurde aber wirklich von vielen	2508	10	knigge_seelberg_seelberg.tsv
PDAT	PDS		PDS	diese		In Niederösterreich zog der Herzog die niederländischen Truppen des Grafen von Boucquoi an sich , und	diese	kaiserlich bayerische Armee , nach ihrer Vereinigung zu fünfzigtausend Mann angewachsen , drang ohne Zeitverlust in das böhmische Gebiet .	der Ulmische Vergleich ihrem Schicksal überließ .In Niederösterreich zog der Herzog die niederländischen Truppen des Grafen von Boucquoi an sich , und diese kaiserlich bayerische Armee , nach ihrer Vereinigung zu fünfzigtausend Mann angewachsen , drang ohne Zeitverlust in das böhmische Gebiet .Bernhard steht in der neuern Geschichte als	4132	16	schiller_30jkrieg_30jkrieg.tsv
PDAT	PDAT		PDAT	diese		Und	diese	Kunst uns Lehrlingen , die wir ein so steifes schweizerisches Mundwerk hatten und so gar keinen Schwung in der Einbildungskraft und so gar keinen Wortvorrat , beizubringen , war eine noch viel größere Kunst .	, ohne etwas davon zu verstehen .Und diese Kunst uns Lehrlingen , die wir ein so steifes schweizerisches Mundwerk hatten und so gar keinen Schwung in der Einbildungskraft und so gar keinen Wortvorrat , beizubringen , war eine noch viel größere Kunst .Überhaupt ward hauptsächlich darauf gesehen , daß	4250	1	gotthelf_schulmei_schulmei.tsv
PDAT	PDAT		PDAT	diese		Denn diese ist nichts anders als in der selbstständigen Wirklichkeit der Individuen die absolute geistige Einheit ihres Wesens ; ein an sich allgemeines Selbstbewußtsein , das sich in einem andern Bewußtsein so wirklich ist , daß dieses vollkommene Selbstständigkeit hat , oder ein Ding für es , und daß es eben darin der Einheit mit ihm sich bewußt ist , und in dieser Einheit mit	diesem	gegenständlichen Wesen erst Selbstbewußtsein ist .	wirkliche Sittlichkeit zu erwerben und hervorzubringen .Denn diese ist nichts anders als in der selbstständigen Wirklichkeit der Individuen die absolute geistige Einheit ihres Wesens ; ein an sich allgemeines Selbstbewußtsein , das sich in einem andern Bewußtsein so wirklich ist , daß dieses vollkommene Selbstständigkeit hat , oder ein Ding für es , und daß es eben darin der Einheit mit ihm sich bewußt ist , und in dieser Einheit mit diesem gegenständlichen Wesen erst Selbstbewußtsein ist .Der Bruder ist die Seite , nach	3877	65	hegel_phaenom_phaenom.tsv
PDAT	PDAT		PDAT	diese		« In	diesem	Augenblicke und während der Herzog mit dem , was vor seinen Augen vorging , zu sehr beschäftigt war , als daß er hätte darauf achten können , was hinter ihm geschah , schlich sich Oliver le Dain hinter den König und flüsterte ihm ins Ohr : » Es ist der Zigeuner Hayraddin Maugrabin !	« – » Amen !« In diesem Augenblicke und während der Herzog mit dem , was vor seinen Augen vorging , zu sehr beschäftigt war , als daß er hätte darauf achten können , was hinter ihm geschah , schlich sich Oliver le Dain hinter den König und flüsterte ihm ins Ohr : » Es ist der Zigeuner Hayraddin Maugrabin !– Nun denn , Dunois , so	3471	2	scott_quentind_quentind.tsv
PDAT	PDAT		PDAT	diese		Und nach langer Zeit hob sie sich empor , warf noch einen Blick auf den herrlichen Erzengel Michael und den armen Teufel darunter , setzte sich und 109 verfaßte einen Brief , in welchem folgende Worte geschrieben standen : Die Jungfrau starrte ihn ängstlich an , in der Meinung , daß er plötzlich irre redete ; doch wie er ihr ruhig und frei ins Antlitz blickte , lachte sie laut auf und rief : Mit	diesen	Worten erhob sie sich , nahm den Knaben auf den Arm und winkte mir , die kleine Leiche zu tragen .	Augen strahlten vor Freude und Schönheit .Und nach langer Zeit hob sie sich empor , warf noch einen Blick auf den herrlichen Erzengel Michael und den armen Teufel darunter , setzte sich und 109 verfaßte einen Brief , in welchem folgende Worte geschrieben standen : Die Jungfrau starrte ihn ängstlich an , in der Meinung , daß er plötzlich irre redete ; doch wie er ihr ruhig und frei ins Antlitz blickte , lachte sie laut auf und rief : Mit diesen Worten erhob sie sich , nahm den Knaben auf den Arm und winkte mir , die kleine Leiche zu tragen .Ich meinestheils war auch nicht gerade blind	289	75	hoffmaha_phaeaken_phaeaken.tsv
