DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
PDS	PDS		PDS	die		Dann gehen wir zuletzt alle nach Wien – Ihre Gattin folgt – Ihr erstes Kind wird auf einen Heiligen getauft –	Das	ist die Sprache der Welt , der gesunden Vernunft , der Verhältnisse , in denen Sie leben , die Sprache des Trostes , der Erhebung für – die Gräfin selbst – !	meine Ergebung – durch meine Demuth .Dann gehen wir zuletzt alle nach Wien – Ihre Gattin folgt – Ihr erstes Kind wird auf einen Heiligen getauft – Das ist die Sprache der Welt , der gesunden Vernunft , der Verhältnisse , in denen Sie leben , die Sprache des Trostes , der Erhebung für – die Gräfin selbst – !Selbst Armgart soll nicht wieder vor mir	239	21	gutzkow_zauber8_zauber8.tsv
PDS	PDS		PDS	die		« »	Das	glaube ich Ihnen ohne alle Versicherung .	» Und geistesgegenwärtig ?« » Das glaube ich Ihnen ohne alle Versicherung .Man wird gar nicht umhin können ,	11449	2	may_ulan03_ulan03.tsv
PDS	PDS		PDS	die			Das	waren die Buben !	Stille ringsum sie nicht schlafen ließe .Das waren die Buben !Aber sie war nicht recht bei der	1263	0	schnitzl_fraubeat_fraubeat.tsv
PDS	PDS		PDS	die			Das	ist indeß dahin zu verstehen , daß Jovita Foley die Lissy Wag sozusagen ganz in sich aufgehen ließ .	die bei der Eröffnung unsrer Weltausstellung !Das ist indeß dahin zu verstehen , daß Jovita Foley die Lissy Wag sozusagen ganz in sich aufgehen ließ .Auf sie , die einzige Heldin neben	1872	0	verne_excentr1_excentr1.tsv
PDS	ART		PDS	die		»	Das	bedurfte , nach der Anmerkung die ich eben machte , keiner Frage « , sprach der Sultan .	im mindesten darum zu bekümmern hätte .» Das bedurfte , nach der Anmerkung die ich eben machte , keiner Frage « , sprach der Sultan .Der gutherzige Azor glaubte , daß seine	3475	1	wieland_spiegel_spiegel.tsv
PDS	ART		PDS	die		–	Das	kam noch ordentlich forsch raus .	Ihr Schlottern und Zangen !– Das kam noch ordentlich forsch raus .Er legte noch mal los ; aber	1915	1	gillhoff_swehn_swehn.tsv
PDS	PDS		PDS	die			Das	waren die getrosten fünf entschloßnen Helden , Gewillt , der Königin zum Brautkampf sich zu melden .	Tadel Und des Poseidon selbstbewußter Herrscheradel .Das waren die getrosten fünf entschloßnen Helden , Gewillt , der Königin zum Brautkampf sich zu melden .Jetzt gleich wie wenn zu eines Neubaus	5765	0	spittelr_olympfr_olympfr.tsv
PDS	PDS		PDS	die		» Und warum	das	?	Bäume nicht höchlichst verwundert ihre Zuckerperrücken ?» Und warum das ?– Vor Sonnenaufgang auf dem Eise –	10352	3	hahnhahn_pereg_pereg.tsv
PDS	PDS		PDS	die		Und wohin soll	das	führen ?	Deuter Wovon handelten sie ?Und wohin soll das führen ?So kann uns ja jeder hinübersehen .	1135	3	sternhei_hose_hose.tsv
PDS	PDS		PDS	die		» Aber was war	das	für ein Weibergeschrei in Deinem Zelte ?	in Hand ihren unerwarteten Gästen entgegen .» Aber was war das für ein Weibergeschrei in Deinem Zelte ?« Ende des ersten Bandes .	2266	4	ebers_uarda_uarda.tsv
PDS	PDS		PDS	die		Aber in Ermanglung von Feinden haben Sie vielleicht Neider ; Sie sollen mit neunzehn Jahren Kapitän werden ,	das	ist ein hoher Posten in Ihrem Stande ; Sie sollen ein hübsches Mädchen heiraten , das Sie liebt , das ist ein seltenes Glück bei allen Ständen der Erde .	Sein Palast wurde mir zum Paradies .Aber in Ermanglung von Feinden haben Sie vielleicht Neider ; Sie sollen mit neunzehn Jahren Kapitän werden , das ist ein hoher Posten in Ihrem Stande ; Sie sollen ein hübsches Mädchen heiraten , das Sie liebt , das ist ein seltenes Glück bei allen Ständen der Erde .Aber er lebte und starb im Rufe	2882	18	dumasalt_montchr1_montchr1.tsv
PDS	PDS		PDS	die		Aber in Ermanglung von Feinden haben Sie vielleicht Neider ; Sie sollen mit neunzehn Jahren Kapitän werden , das ist ein hoher Posten in Ihrem Stande ; Sie sollen ein hübsches Mädchen heiraten , das Sie liebt ,	das	ist ein seltenes Glück bei allen Ständen der Erde .	Sein Palast wurde mir zum Paradies .Aber in Ermanglung von Feinden haben Sie vielleicht Neider ; Sie sollen mit neunzehn Jahren Kapitän werden , das ist ein hoher Posten in Ihrem Stande ; Sie sollen ein hübsches Mädchen heiraten , das Sie liebt , das ist ein seltenes Glück bei allen Ständen der Erde .Aber er lebte und starb im Rufe	2882	38	dumasalt_montchr1_montchr1.tsv
PDS	PDS		PDS	die		Hole zum Glauben mit einem besonnenen Überglauben aus ; achte vorzüglich auf	das	, was , ohne deine Schuld und Würdigkeit wiederkommend , wie ein Geist erscheint und geht , was plötzlich in der Nacht herunterfällt als ein Manna , das entweder ernährt , oder sanft ausheilt .	Leute , die er tragen mag .Hole zum Glauben mit einem besonnenen Überglauben aus ; achte vorzüglich auf das , was , ohne deine Schuld und Würdigkeit wiederkommend , wie ein Geist erscheint und geht , was plötzlich in der Nacht herunterfällt als ein Manna , das entweder ernährt , oder sanft ausheilt .Übrigens fällt durch Montesquieus Bemerkung ein Lorbeerkranz	451	12	jeanpaul_daemmer_daemmer.tsv
PDS	PDS		PDS	die		« » Hab ich dich	das	je fühlen lassen ?	aufräumen , überhaupt im ganzen Haus .« » Hab ich dich das je fühlen lassen ?Im Keller ist ja Platz !	25	5	bahr_omensch_omensch.tsv
PDS	ART		PDS	die		Der letztere stellte	das	sehr entschieden in Abrede .	welche dem General nicht ausgehändigt waren .Der letztere stellte das sehr entschieden in Abrede .Ich fragte die Yerbateros : Das meinige	8677	3	may_amrio_0inhalt.tsv
PDS	PDS		PDS	die		Sodann durch den Segen , von dem hier gehandelt wird ; und daß der Zustand ein ganz umgekehrter ist , wird vorgebildet dadurch , daß Jakob sich fälschlich für Esau ausgab , daß er nämlich mit den Kleidern Esaus angetan ward , und mit den Fellen von Ziegenböcklein ; denn in diesem Zustand fließt und wirkt das vernünftig Wahre , das noch nicht so verbunden ist mit dem vernünftig Guten , oder was gleich , der Verstand , der noch nicht so verbunden ist mit dem Willen , solchergestalt in das Natürliche ein , und bringt	das	, was dort ist , solcherweise in eine umgekehrte Ordnung .	gleich , aber nicht der inneren .Sodann durch den Segen , von dem hier gehandelt wird ; und daß der Zustand ein ganz umgekehrter ist , wird vorgebildet dadurch , daß Jakob sich fälschlich für Esau ausgab , daß er nämlich mit den Kleidern Esaus angetan ward , und mit den Fellen von Ziegenböcklein ; denn in diesem Zustand fließt und wirkt das vernünftig Wahre , das noch nicht so verbunden ist mit dem vernünftig Guten , oder was gleich , der Verstand , der noch nicht so verbunden ist mit dem Willen , solchergestalt in das Natürliche ein , und bringt das , was dort ist , solcherweise in eine umgekehrte Ordnung .Und weil beide , nämlich Edom und	12531	96	swedborg_mose1_mose1.tsv
PDS	PDS		PDS	die		Es wäre mir leicht , Fürsten zu nennen , die ein entfalnes Wort mit zweytausend Pfunden Goldes , und die freyern Klagen mit der Verstümmelung bestraften , und in	deren	Reiche keine andre Stimme gehört wurde , als die Stimme der Schmeicheley .	die Klagen , selbst der Unterdrükten .Es wäre mir leicht , Fürsten zu nennen , die ein entfalnes Wort mit zweytausend Pfunden Goldes , und die freyern Klagen mit der Verstümmelung bestraften , und in deren Reiche keine andre Stimme gehört wurde , als die Stimme der Schmeicheley .Wann die Grundgeseze fest stehen , wann	1221	29	haller_alfred_alfred.tsv
PDS	PDS		PDS	diejenige		Es ist aber niemals die ganze Luft , welche bei den Verbrennungen verbraucht wird , sondern nur ein Teil von ihr , wie denn die Luft kein einheitlicher Stoff ist , sondern aus zwei voneinander verschiedenen Stoffen besteht , von denen	derjenige	, der bei der Verbrennung verbraucht wird , Sauerstoff heißt .	Stoffe von größerem Gewicht zu bilden .Es ist aber niemals die ganze Luft , welche bei den Verbrennungen verbraucht wird , sondern nur ein Teil von ihr , wie denn die Luft kein einheitlicher Stoff ist , sondern aus zwei voneinander verschiedenen Stoffen besteht , von denen derjenige , der bei der Verbrennung verbraucht wird , Sauerstoff heißt .Es ist also , um diese Erörterungen	357	41	ostwald_muehle_muehle.tsv
PDS	PDS		PDS	diese		« »	Dies	ist also das Gemach , das so lange verschlossen blieb , « sagte Amine , die am andern Morgen eintrat , als Philipp noch lange , in Folge der letzten Nachtwache , in tiefem Schlafe lag .	daß Ihr einer Verläumdung unfähig seid .« » Dies ist also das Gemach , das so lange verschlossen blieb , « sagte Amine , die am andern Morgen eintrat , als Philipp noch lange , in Folge der letzten Nachtwache , in tiefem Schlafe lag .Was Ihr angebt , habe ich wohl	7036	2	marryat_flieholl_flieholl.tsv
PDS	PDAT		PDS	diese			Dieser	trägt auch meistens nur Cocospalmen , die überall fortkommen , den Pandanus und einige andere Arten von Laubholz , zu denen die mit den eigenthümlichen , dem Schachtelhalm gleichenden Nadeln versehene Casuarine gehört .	manchen nur in zwei Hauptklassen getheilt .Dieser trägt auch meistens nur Cocospalmen , die überall fortkommen , den Pandanus und einige andere Arten von Laubholz , zu denen die mit den eigenthümlichen , dem Schachtelhalm gleichenden Nadeln versehene Casuarine gehört .Endlich gaben sie es auf , und	2021	0	gerstaec_3suedsee_3suedsee.tsv
PDS	PDS		PDS	diese		Du mußt die Klügere sein und	dies	eine Mal noch nachgeben .	Lubin Herr von Sotenville .Du mußt die Klügere sein und dies eine Mal noch nachgeben .Claudine .	360	6	moliere_georgeda_georgeda.tsv
