DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
PIAT	PIAT		PIAT	alle		Gleichzeitig pilgerten drei einzelne Schläge von Sankt Nikolai in	alle	Fernen hinein , drei einzelne Schläge , die sich in gemessenen Intervallen aneinander reihten , was andeuten sollte : in einer Stunde wird Christian Franz Malthus begraben .	Zeiger der Rathausuhr rückte auf zwei .Gleichzeitig pilgerten drei einzelne Schläge von Sankt Nikolai in alle Fernen hinein , drei einzelne Schläge , die sich in gemessenen Intervallen aneinander reihten , was andeuten sollte : in einer Stunde wird Christian Franz Malthus begraben .Der Kopf kroch in die Schultern zurück	2171	9	lauff_sinter_sinter.tsv
PIAT	PIAT		PIAT	alle		Also passen Sie auf , schreiben Sie alles richtig nach : Montag gibt es Speck , Hafergrütze und Kartoffeln , Dienstag : Hafergrütze , Kartoffeln und Speck , Mittwoch : Kartoffeln , Hafergrütze und Speck , Donnerstag : Speck , Kartoffeln und Hafergrütze , Freitag : Hafergrütze , Speck und Kartoffeln , Sonnabend : Kartoffeln , Speck und Hafergrütze , und am Sonntag werden die übriggebliebenen Reste	aller	dieser verschiedenen Mahlzeiten aufgewärmt , und dazu gibt es präserviertes Rindfleisch .	, gerade nach den Zelten zu .Also passen Sie auf , schreiben Sie alles richtig nach : Montag gibt es Speck , Hafergrütze und Kartoffeln , Dienstag : Hafergrütze , Kartoffeln und Speck , Mittwoch : Kartoffeln , Hafergrütze und Speck , Donnerstag : Speck , Kartoffeln und Hafergrütze , Freitag : Hafergrütze , Speck und Kartoffeln , Sonnabend : Kartoffeln , Speck und Hafergrütze , und am Sonntag werden die übriggebliebenen Reste aller dieser verschiedenen Mahlzeiten aufgewärmt , und dazu gibt es präserviertes Rindfleisch .« » Ich ?	3644	67	kraftr_vestali2_vestali2.tsv
PIAT	PIAT		PIAT	alle		– Er war von Natur anspruchslos und bescheiden , und die schwierige Kunst , sich auf das äußerste einzuschränken , lernte er , da er auch besonnen und ehrenhaft war , verhältnismäßig schnell und leicht ; aber bei	aller	Sparsamkeit , der er sich befleißigte , gingen seine geringen Geldmittel nach kurzer Zeit schon auf die Neige , und er sah , daß der Tag nicht mehr fern war , wo er gänzlich verarmt dastehen würde .	wohl meine Mutter sehr lieb gehabt ?– Er war von Natur anspruchslos und bescheiden , und die schwierige Kunst , sich auf das äußerste einzuschränken , lernte er , da er auch besonnen und ehrenhaft war , verhältnismäßig schnell und leicht ; aber bei aller Sparsamkeit , der er sich befleißigte , gingen seine geringen Geldmittel nach kurzer Zeit schon auf die Neige , und er sah , daß der Tag nicht mehr fern war , wo er gänzlich verarmt dastehen würde .– Wie tief der Eindruck gewesen sein	119	38	lindaur_ganzlebn_ganzlebn.tsv
PIAT	NN		NN	einerlei			Einerlei	, ich druck 's doch .	Toast auf die teuren Abwesenden vorbehält .Einerlei , ich druck 's doch .Herje .	4460	0	ibsen_bundjuge_bundjuge.tsv
PIAT	PIS		PIAT	etwas		Auch ihr Mann hatte	etwas	Rätselhaftes .	, was sie dachte und that .Auch ihr Mann hatte etwas Rätselhaftes .In ganz Paris war sie als die	684	4	maupassa_unsherz_unsherz.tsv
PIAT	NN		PIS	jede			Jede	ihrer Bewegungen ist vollkommen .	großen schlanken Freunde im Café Karambol .Jede ihrer Bewegungen ist vollkommen .Aber meine » heilige Stunde « ist	12	0	altenbrg_prosaskz_herbst.tsv
PIAT	PIAT		PIAT	jede		Wir hatten beide einander unbeabsichtigt verletzt und fürchteten uns vor	jedem	neuen Wort .	Augenblick , und er währte lange .Wir hatten beide einander unbeabsichtigt verletzt und fürchteten uns vor jedem neuen Wort .» Mein Ehrenwort , Herr Oberst .	938	10	zweig_ungeduld_ungeduld.tsv
PIAT	PIAT		PIAT	keine		Besonders der Schluß läßt darin nichts zu wünschen übrig : › Wie wir hören , war diese von Herrn Professor Weber ganz neu entdeckte Berühmtheit längere Zeit Hauslehrer bei dem Sohne eines der ersten Grundbesitzer unsres Landes , mit dessen Erziehung sie aber durchaus	kein	glänzendes Resultat erzielte .	Er reichte ihm das Zeitungsblatt hin .Besonders der Schluß läßt darin nichts zu wünschen übrig : › Wie wir hören , war diese von Herrn Professor Weber ganz neu entdeckte Berühmtheit längere Zeit Hauslehrer bei dem Sohne eines der ersten Grundbesitzer unsres Landes , mit dessen Erziehung sie aber durchaus kein glänzendes Resultat erzielte .Einen Willen haben und ihn unter allen	4803	44	wernere_vineta_vineta.tsv
PIAT	PIAT		PIAT	keine		– Dann sind Sie auch	kein	ordentlicher Candidat !	– Rauchen Sie Taback ?– Dann sind Sie auch kein ordentlicher Candidat !Nein .	9867	5	immerman_epigonen_epigonen.tsv
PIAT	PIAT		PIAT	keine		Uebrigens lege ich ihm	keine	besondere Wichtigkeit bei .	Ihm war kalt .Uebrigens lege ich ihm keine besondere Wichtigkeit bei .« Das russische Kostüm bedeutete , daß	1231	4	schubin_geleise_geleise.tsv
