DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
PIS	PIS		PIS	alle		« » Wie Sie wollen , Herr Graf –	Alles	was ich höre , beweist aber , daß Sie als tapfrer Mann und als Ehrenmann gehandelt haben .	Seine Zeit ist auch vorbei .« » Wie Sie wollen , Herr Graf – Alles was ich höre , beweist aber , daß Sie als tapfrer Mann und als Ehrenmann gehandelt haben .Vielleicht folgt er ihm selbst bald !	2337	9	retcliff_solferin_solferin.tsv
PIS	PIS		PIS	alle		Nun wissen Sie	Alles	, und nun falle ich hoffentlich wieder bei Ihnen in Gnade .	kein alter Ego ist es gerne .Nun wissen Sie Alles , und nun falle ich hoffentlich wieder bei Ihnen in Gnade .Freilich , wir werden Alle alt ,	1677	3	stettenh_wippch02_wippch02.tsv
PIS	PIS		PIS	alle		Diesem	allem	nach / und weil man im gemeinen Sprichwort zusagen pflegt / Es lasse sich auch wol eines Königs Gut verthun / so möchte ich gern von jemand vernemmen / auff was Weis und Weg solches geschehen möchte ?	übermachter Bezahlung ) genügen lassen muß .Diesem allem nach / und weil man im gemeinen Sprichwort zusagen pflegt / Es lasse sich auch wol eines Königs Gut verthun / so möchte ich gern von jemand vernemmen / auff was Weis und Weg solches geschehen möchte ?Jhr denckt gewiß ihr führet Mist auß	12	1	grimmels_plutonis_plutonis.tsv
PIS	PIS		PIS	alle		Er hatte ja	alles	versucht , was in seiner Macht stand , um es zu überwinden .	war im Sommer des Jahres 1876 .Er hatte ja alles versucht , was in seiner Macht stand , um es zu überwinden .« Mehr als zwei Jahre waren vergangen	3448	3	jaegerh_kristian_kristian.tsv
PIS	PIS		PIS	alle		Napoleon ist ein großer Spekulant , er setzte bisher	alles	auf eine Karte ; solange trauten wir ihm nicht .	durch seine Kontinentalpolitik täglich fester macht .Napoleon ist ein großer Spekulant , er setzte bisher alles auf eine Karte ; solange trauten wir ihm nicht .Das sollten Sie doch nicht vergessen ,	20798	9	alexis_ruhe_ruhe.tsv
PIS	PIS		PIS	alle		» Erzähle mir	alles	, was .	dem Bankeinbruch schien ihm sehr nahezugehen .» Erzähle mir alles , was .Price aufs neue .	1252	3	wallacee_toechter_toechter.tsv
PIS	PIS		PIS	alle		Also passen Sie auf , schreiben Sie	alles	richtig nach : Montag gibt es Speck , Hafergrütze und Kartoffeln , Dienstag : Hafergrütze , Kartoffeln und Speck , Mittwoch : Kartoffeln , Hafergrütze und Speck , Donnerstag : Speck , Kartoffeln und Hafergrütze , Freitag : Hafergrütze , Speck und Kartoffeln , Sonnabend : Kartoffeln , Speck und Hafergrütze , und am Sonntag werden die übriggebliebenen Reste aller dieser verschiedenen Mahlzeiten aufgewärmt , und dazu gibt es präserviertes Rindfleisch .	, gerade nach den Zelten zu .Also passen Sie auf , schreiben Sie alles richtig nach : Montag gibt es Speck , Hafergrütze und Kartoffeln , Dienstag : Hafergrütze , Kartoffeln und Speck , Mittwoch : Kartoffeln , Hafergrütze und Speck , Donnerstag : Speck , Kartoffeln und Hafergrütze , Freitag : Hafergrütze , Speck und Kartoffeln , Sonnabend : Kartoffeln , Speck und Hafergrütze , und am Sonntag werden die übriggebliebenen Reste aller dieser verschiedenen Mahlzeiten aufgewärmt , und dazu gibt es präserviertes Rindfleisch .« » Ich ?	3644	7	kraftr_vestali2_vestali2.tsv
PIS	NN		PIS	eine			Eines	, was er ihr auch nicht gesagt hat , hat sie kombiniert : Oha .	durchs Telephon auch noch erzählen sollen .Eines , was er ihr auch nicht gesagt hat , hat sie kombiniert : Oha .Und deshalb kann dieses Buch , das	794	0	kraus_grosszei_grosszei.tsv
PIS	PIS		PIS	eins		Aber noch	eins	, mein Gestrenger , und nur für deine Lauscher bestimmt .	Immer das Beste .Aber noch eins , mein Gestrenger , und nur für deine Lauscher bestimmt .Keine Umstände .	7951	2	lauff_seherin_seherin.tsv
PIS	PIAT		PIS	etwas		Daß " Jehovah sprach zu Abram " , 1. Mose 12/1 , bedeutet die allererste Weisung , damit hat es die Bewandtnis : Das Geschichtliche ist hier vorbildend , die Worte selbst aber sind ( sinnbildlich ) bezeichnend ; in der Alten Kirche war eine solche Ausdrucksweise , daß sie , wenn	etwas	wahr war , sagten : Jehovah sprach , oder Jehovah redete , und das bedeutet , es sei so ( wie früher gezeigt worden ) : nachdem aber die ( sinnbildlichen ) Bezeichnungen in Vorbildungen verwandelt worden waren , da redete Jehovah oder der Herr wirklich mit ihnen , und wenn dann gesagt wird : Jehovah sprach , oder Jehovah redete mit einem , so bedeutet es dasselbe wir früher .	, was ohne Erklärung erhellen kann .Daß " Jehovah sprach zu Abram " , 1. Mose 12/1 , bedeutet die allererste Weisung , damit hat es die Bewandtnis : Das Geschichtliche ist hier vorbildend , die Worte selbst aber sind ( sinnbildlich ) bezeichnend ; in der Alten Kirche war eine solche Ausdrucksweise , daß sie , wenn etwas wahr war , sagten : Jehovah sprach , oder Jehovah redete , und das bedeutet , es sei so ( wie früher gezeigt worden ) : nachdem aber die ( sinnbildlichen ) Bezeichnungen in Vorbildungen verwandelt worden waren , da redete Jehovah oder der Herr wirklich mit ihnen , und wenn dann gesagt wird : Jehovah sprach , oder Jehovah redete mit einem , so bedeutet es dasselbe wir früher .4711 .	38025	52	swedborg_mose1_mose1.tsv
