DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
PPER	PPER		PPER	du			Du	bist es mehr vielleicht als ich .	Ein sechsfüßiger jambischer Vers .Du bist es mehr vielleicht als ich .V. 6 .	1449	0	plautus_menaechm_menaechm.tsv
PPER	PPER		PPER	du		‹ » Kind , Würmle , « suchte sie die Kleine zu trösten , » was fallt	dir	denn ein – wer wird so weine , dummes Dingele – « Sie schöpfte Atem : » Jetz isch 's Kätterle lang tot ; ihr ältster Bub hat's Häusle und e Stub voller Kinder .	« bat die Frau .‹ » Kind , Würmle , « suchte sie die Kleine zu trösten , » was fallt dir denn ein – wer wird so weine , dummes Dingele – « Sie schöpfte Atem : » Jetz isch 's Kätterle lang tot ; ihr ältster Bub hat's Häusle und e Stub voller Kinder .Es ist nicht auszudenken , was aus	459	17	villinge_rebaechl_rebaechl.tsv
PPER	PPER		PPER	er		Als	er	in die Nähe des Hotels » Preußische Krone « gekommen war , wurde die Tür aufgerissen , und der Kreisbaumeister Mulvert sprang als Anführer einiger Männer torkelnd auf die Straße .	auch etwas wie kalter Triumph enthielt .Als er in die Nähe des Hotels » Preußische Krone « gekommen war , wurde die Tür aufgerissen , und der Kreisbaumeister Mulvert sprang als Anführer einiger Männer torkelnd auf die Straße .Die Witwe des Umgekommenen saß wie entgeistert	1369	1	stehr_maechler_maechler.tsv
PPER	PPER		PPER	er		Wehe aber , wenn die Gesellschaft , die sich da im Weinhaus zusammenfand , ihm nicht genehm war , wenn beschränkte , spießige Köpfe an der Tafelrunde ihn störten , dann muß	er	vollständig unerträglich gewesen sein , einen ganz fürchterlichen Gebrauch von seiner Kunst , Fratzen zu schneiden , Leute in Verlegenheit zu bringen , zu erschrecken , gemacht haben .	nichts tun als nippen und gähnen .Wehe aber , wenn die Gesellschaft , die sich da im Weinhaus zusammenfand , ihm nicht genehm war , wenn beschränkte , spießige Köpfe an der Tafelrunde ihn störten , dann muß er vollständig unerträglich gewesen sein , einen ganz fürchterlichen Gebrauch von seiner Kunst , Fratzen zu schneiden , Leute in Verlegenheit zu bringen , zu erschrecken , gemacht haben .Im Grunde ist natürlich immer Hoffmann selbst	976	32	benjamin_radio_radio.tsv
PPER	PPER		PPER	er		Wehe aber , wenn die Gesellschaft , die sich da im Weinhaus zusammenfand ,	ihm	nicht genehm war , wenn beschränkte , spießige Köpfe an der Tafelrunde ihn störten , dann muß er vollständig unerträglich gewesen sein , einen ganz fürchterlichen Gebrauch von seiner Kunst , Fratzen zu schneiden , Leute in Verlegenheit zu bringen , zu erschrecken , gemacht haben .	nichts tun als nippen und gähnen .Wehe aber , wenn die Gesellschaft , die sich da im Weinhaus zusammenfand , ihm nicht genehm war , wenn beschränkte , spießige Köpfe an der Tafelrunde ihn störten , dann muß er vollständig unerträglich gewesen sein , einen ganz fürchterlichen Gebrauch von seiner Kunst , Fratzen zu schneiden , Leute in Verlegenheit zu bringen , zu erschrecken , gemacht haben .Im Grunde ist natürlich immer Hoffmann selbst	976	14	benjamin_radio_radio.tsv
PPER	PPER		PPER	er		Sie nannte	ihn	» mein Junge « .	» Demnächst gibts ja eine Wiederholung !Sie nannte ihn » mein Junge « .Manchmal werden Sie sich doch meiner erinnern	6623	2	flaubert_bovary_bovary.tsv
PPER	PPER		PPER	er		Wehe aber , wenn die Gesellschaft , die sich da im Weinhaus zusammenfand , ihm nicht genehm war , wenn beschränkte , spießige Köpfe an der Tafelrunde	ihn	störten , dann muß er vollständig unerträglich gewesen sein , einen ganz fürchterlichen Gebrauch von seiner Kunst , Fratzen zu schneiden , Leute in Verlegenheit zu bringen , zu erschrecken , gemacht haben .	nichts tun als nippen und gähnen .Wehe aber , wenn die Gesellschaft , die sich da im Weinhaus zusammenfand , ihm nicht genehm war , wenn beschränkte , spießige Köpfe an der Tafelrunde ihn störten , dann muß er vollständig unerträglich gewesen sein , einen ganz fürchterlichen Gebrauch von seiner Kunst , Fratzen zu schneiden , Leute in Verlegenheit zu bringen , zu erschrecken , gemacht haben .Im Grunde ist natürlich immer Hoffmann selbst	976	27	benjamin_radio_radio.tsv
PPER	PPER		PPER	er		Beide , Selmann und Tobias , waren vor allen Dingen geschäftig ,	ihn	loszumachen , und schnitten mit Messern so lange , bis alle Bande entzwei waren .	« – Tobias Knaut !Beide , Selmann und Tobias , waren vor allen Dingen geschäftig , ihn loszumachen , und schnitten mit Messern so lange , bis alle Bande entzwei waren .Ein so unbeweglicher lange anhaltender Blick mußte	4068	12	wezel_knaut_knaut.tsv
PPER	PPER		FM	es		‹ » Kind , Würmle , « suchte sie die Kleine zu trösten , » was fallt dir denn ein – wer wird so weine , dummes Dingele – « Sie schöpfte Atem : » Jetz isch	's	Kätterle lang tot ; ihr ältster Bub hat's Häusle und e Stub voller Kinder .	« bat die Frau .‹ » Kind , Würmle , « suchte sie die Kleine zu trösten , » was fallt dir denn ein – wer wird so weine , dummes Dingele – « Sie schöpfte Atem : » Jetz isch 's Kätterle lang tot ; ihr ältster Bub hat's Häusle und e Stub voller Kinder .Es ist nicht auszudenken , was aus	459	37	villinge_rebaechl_rebaechl.tsv
PPER	PPER		PPER	es		Du bist	es	mehr vielleicht als ich .	Ein sechsfüßiger jambischer Vers .Du bist es mehr vielleicht als ich .V. 6 .	1449	2	plautus_menaechm_menaechm.tsv
