DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
PPOSS	NN		NN	eurige		« » Ich war noch nicht in Mekka , denn mein Glaube ist nicht der	Eurige	.	: » Wohl beinahe zwanzig Tage .« » Ich war noch nicht in Mekka , denn mein Glaube ist nicht der Eurige .« » Ja .	11279	15	may_wueste_0inhalt.tsv
PPOSS	NN		PPOSS	ihr		Und darum sind wir fröhlich alle Zeit und haben keine so finstere Wolke auf der Stirn , wie auf der	Ihren	liegt , so lange wie wir nun schon miteinander sprechen , Sie lieber , guter Mensch !	Der Glaube trügt nicht .Und darum sind wir fröhlich alle Zeit und haben keine so finstere Wolke auf der Stirn , wie auf der Ihren liegt , so lange wie wir nun schon miteinander sprechen , Sie lieber , guter Mensch !Ach , wenn Sie wüßten , wie	5327	20	spielhag_opfer_opfer.tsv
PPOSS	NN		NN	ihrige		Wahrlich , eine That , wie die	Ihrige	, gehört heutiges Tages zu den schönen Fabeln .	.Wahrlich , eine That , wie die Ihrige , gehört heutiges Tages zu den schönen Fabeln .Wie sehr , geliebter Bellisle , rührt	435	7	zschokke_wolfenbt_wolfenbt.tsv
PPOSS	NN		NN	ihrige		« Ganz der	Ihrige	, » Das thun Grashüpfer nie ; sie hüpfen und springen und machen immer , was sie für Fortschritte halten , bis sie , wenn sie nicht ins Wasser springen und 222 vorzeitig von einem Karpfen oder Frosch verschluckt werden , an der Erschöpfung sterben , welche unausgesetztes Hüpfen und Springen bewirkt .	« » Sonnabend – übermorgen ?« Ganz der Ihrige , » Das thun Grashüpfer nie ; sie hüpfen und springen und machen immer , was sie für Fortschritte halten , bis sie , wenn sie nicht ins Wasser springen und 222 vorzeitig von einem Karpfen oder Frosch verschluckt werden , an der Erschöpfung sterben , welche unausgesetztes Hüpfen und Springen bewirkt .» Aber « , sagte der Troubadour	2206	3	bulwer_kenelm1_kenelm1.tsv
PPOSS	NN		NN	ihrige		Ich habe in meiner Einsamkeit die alte Gesundheit mit Gottes Hülfe wiedergewonnen , und befinde mich wie seit 10 Jahren nicht , von unsrer politischen Welt aber habe ich kein Wort gehört ; daß der König in Doberan war , sehe ich heut aus einem Briefe meiner Frau , sonst könnte ich das D. in dem	Ihrigen	nicht deuten .	Kegel dorthinkommen und richte mich ein .Ich habe in meiner Einsamkeit die alte Gesundheit mit Gottes Hülfe wiedergewonnen , und befinde mich wie seit 10 Jahren nicht , von unsrer politischen Welt aber habe ich kein Wort gehört ; daß der König in Doberan war , sehe ich heut aus einem Briefe meiner Frau , sonst könnte ich das D. in dem Ihrigen nicht deuten .In dieser Ungewißheit verliere ich alle Lust	2125	56	bismarck_erinner1_erinner1.tsv
PPOSS	NN		NN	ihrige		Sie war stille geworden , ihre Ideen waren lichter , sie kümmerte sich wieder um die	Ihrigen	; aber eine tiefe Schwermut lag auf ihrer Seele , und ihre physischen Kräfte nahmen rasch ab .	in der Pflege des Arztes gestanden .Sie war stille geworden , ihre Ideen waren lichter , sie kümmerte sich wieder um die Ihrigen ; aber eine tiefe Schwermut lag auf ihrer Seele , und ihre physischen Kräfte nahmen rasch ab .Martha lauschte dem verhallenden Rollen der Räder	1323	16	spyri_ausleben_ausleben.tsv
PPOSS	NN		NN	ihrige		diesen Morgen , als ich Sie im Kreise Der	Ihrigen	, in Vaters Armen fand , Mich einen Fremdlich sah in diesem Kreise – Wie drängte mich 's in diesem Augenblick , Ihm um den Hals zu fallen , Vater ihn Zu nennen !	sah ich mich vor diesen Fahnen .diesen Morgen , als ich Sie im Kreise Der Ihrigen , in Vaters Armen fand , Mich einen Fremdlich sah in diesem Kreise – Wie drängte mich 's in diesem Augenblick , Ihm um den Hals zu fallen , Vater ihn Zu nennen !) Questenberg .	503	9	schiller_wallens1_wallenst.tsv
PPOSS	NN		NN	ihrige		Kehren Sie also zu den	Ihrigen	zurück !	mag ich auch Sie nicht haben .Kehren Sie also zu den Ihrigen zurück !« fuhr ich fort .	2128	5	may_amrio_0inhalt.tsv
PPOSS	ADJA		NN	ihrige		Die Wiener Luft tat das	ihrige	hinzu .	diese Wiener Versammlung Größeres leisten sollen !Die Wiener Luft tat das ihrige hinzu .Ein Diplomatenkongreß kann niemals schöpferisch wirken ;	107	5	treitsch_gesc19-1_gesc19-1.tsv
PPOSS	ADJA		ADJA	ihrige		Wir sind am Ende unsrer Tage weise und manchmal fromm ; die Abbés dagegen werden mit dem Sinken der	ihrigen	ausschweifender .	machen ihr Glück mittels ihrer Geliebten .Wir sind am Ende unsrer Tage weise und manchmal fromm ; die Abbés dagegen werden mit dem Sinken der ihrigen ausschweifender .Die Männer stellen uns nach ; die	1672	19	daucourt_themidor_themidor.tsv
PPOSS	NN		NN	meinige		In seinem Hause wurden wir getraut , und dann schrieb ich den	Meinigen	und bat sie , mir zu verzeihen .	Mit diesen Worten eilte sie hinaus .In seinem Hause wurden wir getraut , und dann schrieb ich den Meinigen und bat sie , mir zu verzeihen .« gab sie hastig zur Antwort .	1410	12	gluemer_gesuehnt_gesuehnt.tsv
PPOSS	ADJA		PPOSS	meinige		Zwar sollten Dinge , die sich im Felde der bloßen Vernunft ausmachen lassen , oder sich doch dafür ausgeben , fest genug auf innern und objectiven Gründen ruhen und das Criterium der Wahrheit in sich selber tragen : aber eine solche Philosophie giebt es noch nicht , und die	meinige	ist noch weit davon entfernt .	wenn kein besonderer Unfall dazwischen kommt .Zwar sollten Dinge , die sich im Felde der bloßen Vernunft ausmachen lassen , oder sich doch dafür ausgeben , fest genug auf innern und objectiven Gründen ruhen und das Criterium der Wahrheit in sich selber tragen : aber eine solche Philosophie giebt es noch nicht , und die meinige ist noch weit davon entfernt .Gern wünschte ich Montag früh die Elegien	7116	49	goethe_brschil1_brschil1.tsv
PPOSS	PIS		PIS	meinige		Dein Beispiel schützt mich vor allen Einflüssen der Torheit und des Lasters , Deine Achtung sichert mir die	meinige	zu .	, unterhaltend und von goldener Treuherzigkeit .Dein Beispiel schützt mich vor allen Einflüssen der Torheit und des Lasters , Deine Achtung sichert mir die meinige zu .Seine Studien auf der damals noch bestehenden	386	18	genee_kleist_kleist.tsv
PPOSS	ADJA		ADV	meinige		« Unsere Augen begegneten sich ; in den	meinigen	mußte viel zu lesen sein .	die Kraft , ihm zu zürnen .« Unsere Augen begegneten sich ; in den meinigen mußte viel zu lesen sein .Donnerstag .	1690	8	ruettena_tagebuch_tagebuch.tsv
