DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
PRELAT	PRELAT		PRELAT	die		» Mein Herr Marquis , da man annimmt , daß die Personen ,	deren	Entmündigung beantragt wird , nicht für ihrer Vernunft mächtig angesehen werden , ist die Zustellung des Antrags überflüssig .	ihr Sohn unsinnige Ausgaben gemacht hat .» Mein Herr Marquis , da man annimmt , daß die Personen , deren Entmündigung beantragt wird , nicht für ihrer Vernunft mächtig angesehen werden , ist die Zustellung des Antrags überflüssig .Wir können also offen vor diesen Herren	816	13	balzac_entmuend_entmuend.tsv
PRELAT	PRELAT		PRELAT	die		An der Straße von Neudorf nach Landsee im Schloßgraben unterhalb der Ruine Landsee stehen die Mauerreste einer Mühle , bei	deren	Bau der Teufel störend seine Hand im Spiel hatte , weil er den Bau an dieser Stelle nicht dulden wollte .	ihn von seinem boshaften Tun abschrecken .An der Straße von Neudorf nach Landsee im Schloßgraben unterhalb der Ruine Landsee stehen die Mauerreste einer Mühle , bei deren Bau der Teufel störend seine Hand im Spiel hatte , weil er den Bau an dieser Stelle nicht dulden wollte .An der Straße von Neudorf nach Landsee	0	20	sagen_burgenla_landsee.tsv
PRELAT	PRELAT		PRELAT	die		Er sprach auszeichnend vortrefflich über Regierungsgeschäfte , über Revolutionen in der Geschichte der Menschheit , über künftige wichtige Folgen kaum hervorkeimender Ursachen , über Erwartungen im System der Politik ; dann malte er Staaten und Menschen nach dem Leben und aus der Geschichte mit leichten , aber treffenden Umrissen ,	deren	Ähnlichkeit auffiel , ordnete Massen und verteilte Licht und Schatten mit schöpferischen Zügen einer Meisterhand .	, für einen großen glänzenden Mann .Er sprach auszeichnend vortrefflich über Regierungsgeschäfte , über Revolutionen in der Geschichte der Menschheit , über künftige wichtige Folgen kaum hervorkeimender Ursachen , über Erwartungen im System der Politik ; dann malte er Staaten und Menschen nach dem Leben und aus der Geschichte mit leichten , aber treffenden Umrissen , deren Ähnlichkeit auffiel , ordnete Massen und verteilte Licht und Schatten mit schöpferischen Zügen einer Meisterhand .Daher rührt der feierliche Ernst , die	193	50	sturz_biodenkw_biodenkw.tsv
PRELAT	PRELAT		PRELAT	die		Triumphierend stand der Verfyhrer izt yber dem Erschlagenen , in frolokendem Stolz bæumt er sich hoch auf ; hoch und fyrchterlich , so fyrchterlich hebt sich die schwarze Sæule von Rauch hoch yber den Aschen-Haufe der einsamen Hytte ,	deren	Bewohner auf dem Felde ruhig arbeiteten ; indeß daß die Flamme jede hæußliche Bequemlichkeit , ihren ganzen Reichthum verzehrte .	O !Triumphierend stand der Verfyhrer izt yber dem Erschlagenen , in frolokendem Stolz bæumt er sich hoch auf ; hoch und fyrchterlich , so fyrchterlich hebt sich die schwarze Sæule von Rauch hoch yber den Aschen-Haufe der einsamen Hytte , deren Bewohner auf dem Felde ruhig arbeiteten ; indeß daß die Flamme jede hæußliche Bequemlichkeit , ihren ganzen Reichthum verzehrte .Unstæt und flychtig muß ich seyn .	1510	39	gessner_todabels_todabels.tsv
PRELAT	PRELAT		PRELAT	die		Sein Werk , um mit Schopenhauer zu reden , als ein heiliges Depositum und die wahre Frucht seines Daseins zum Eigentum der Menschheit zu machen , es niederlegend für eine besser urteilende Nachwelt , dies wurde ihm zum Zweck , der allen anderen Zwecken vorgeht und für den er die Dornenkrone trägt , welche einst zum Lorbeerkranze ausschlagen soll : auf die Sicherstellung seines Werkes konzentrierte sein Streben sich ebenso entschieden , wie das des Insekts , in seiner letzten Gestalt , auf die Sicherstellung seiner Eier und Vorsorge für die Brut ,	deren	Dasein es nie erlebt : es deponiert die Eier da , wo sie , wie es sicher weiß , einst Leben und Nahrung finden werden , und stirbt getrost .	dann käme das Reich der Jugend .Sein Werk , um mit Schopenhauer zu reden , als ein heiliges Depositum und die wahre Frucht seines Daseins zum Eigentum der Menschheit zu machen , es niederlegend für eine besser urteilende Nachwelt , dies wurde ihm zum Zweck , der allen anderen Zwecken vorgeht und für den er die Dornenkrone trägt , welche einst zum Lorbeerkranze ausschlagen soll : auf die Sicherstellung seines Werkes konzentrierte sein Streben sich ebenso entschieden , wie das des Insekts , in seiner letzten Gestalt , auf die Sicherstellung seiner Eier und Vorsorge für die Brut , deren Dasein es nie erlebt : es deponiert die Eier da , wo sie , wie es sicher weiß , einst Leben und Nahrung finden werden , und stirbt getrost .Nun , Wille und Ziel jener Hartmannschen	1622	93	nietzsch_unzeit1_unzeit1.tsv
PRELAT	PRELAT		PRELAT	die		Er war zwischen zwei Pferden eingeklemmt ,	deren	Reiter nicht die geringste Bereitwilligkeit zeigten , ihm freie Bahn zu geben .	ich es meinem Vorgesetzten versprochen habe .Er war zwischen zwei Pferden eingeklemmt , deren Reiter nicht die geringste Bereitwilligkeit zeigten , ihm freie Bahn zu geben .» Aber May , begreifen Sie denn	1428	7	wallacee_3cordova_3cordova.tsv
PRELAT	PRELAT		PRELAT	die		« « Das Mädchen blieb vor der wunderbaren Pflanze stehen ,	deren	grüne Blätter süß und erquickend dufteten ; deren Blumen m dem klaren Sonnenscheine wie ein Farbenfeuerwerk strahlten , und aus jeder klang es heraus , als verberge sie den tiefen Born der Melodien , den Jahrtausende nicht zu erschöpfen vermögen .	doch Gott lenkte es zum Guten .« « Das Mädchen blieb vor der wunderbaren Pflanze stehen , deren grüne Blätter süß und erquickend dufteten ; deren Blumen m dem klaren Sonnenscheine wie ein Farbenfeuerwerk strahlten , und aus jeder klang es heraus , als verberge sie den tiefen Born der Melodien , den Jahrtausende nicht zu erschöpfen vermögen .von Liebe zur Liebe , von der	12292	11	andersen_saemmaer_saemmaer.tsv
PRELAT	PDS		PDS	die		« « Das Mädchen blieb vor der wunderbaren Pflanze stehen , deren grüne Blätter süß und erquickend dufteten ;	deren	Blumen m dem klaren Sonnenscheine wie ein Farbenfeuerwerk strahlten , und aus jeder klang es heraus , als verberge sie den tiefen Born der Melodien , den Jahrtausende nicht zu erschöpfen vermögen .	doch Gott lenkte es zum Guten .« « Das Mädchen blieb vor der wunderbaren Pflanze stehen , deren grüne Blätter süß und erquickend dufteten ; deren Blumen m dem klaren Sonnenscheine wie ein Farbenfeuerwerk strahlten , und aus jeder klang es heraus , als verberge sie den tiefen Born der Melodien , den Jahrtausende nicht zu erschöpfen vermögen .von Liebe zur Liebe , von der	12292	19	andersen_saemmaer_saemmaer.tsv
PRELAT	PRELAT		PRELAT	die		Eben die edelsten Keime deiner Originalität erforderten von jeher eine gewisse stete Temperatur ,	deren	Wechsel soviel möglich nur von dir abhängen mußte , eine heimlich melancholische Beschränkung , als graue Folie jener unerklärbar tiefen Herzensfreudigkeit , die so recht aus dem innigen Gefühl unseres Selbst hervorquillt .	nimmst , bin ich ganz einverstanden .Eben die edelsten Keime deiner Originalität erforderten von jeher eine gewisse stete Temperatur , deren Wechsel soviel möglich nur von dir abhängen mußte , eine heimlich melancholische Beschränkung , als graue Folie jener unerklärbar tiefen Herzensfreudigkeit , die so recht aus dem innigen Gefühl unseres Selbst hervorquillt .– glaubst dich gegängelt von einem wunderlichen	439	14	moerike_nolten_nolten.tsv
PRELAT	PRELAT		PRELAT	die		Unerachtet ihrer geringen , immer mehr abnehmenden Bedeutsamkeit in der politischen wie in der merkantilischen Welt waren meiner Vaterstadt mit dem Namen und dem Schatten dessen , was sie als freie Hansestadt gewesen , auch alle andren Ehren geblieben ,	deren	sie in den Tagen ihres jetzt verblichenen Glanzes sich erfreut hatte .	– 28. Septbr. 1807 .Unerachtet ihrer geringen , immer mehr abnehmenden Bedeutsamkeit in der politischen wie in der merkantilischen Welt waren meiner Vaterstadt mit dem Namen und dem Schatten dessen , was sie als freie Hansestadt gewesen , auch alle andren Ehren geblieben , deren sie in den Tagen ihres jetzt verblichenen Glanzes sich erfreut hatte .Man vergleiche z. B. die Briefe vom	14	40	schopenj_jugendlb_jugendlb.tsv
