DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
PRELS	ART		PRELS	die		Besonders ein Wort des Vorsitzenden drang Diethelm ins Herz , denn er hatte gesagt : Ein Verbrechen ,	das	ungesühnt in der Seele ruht , gleicht dem Brand in einem Kohlenbergwerk ; man stopft es zu und will das Feuer ersticken , aber es brennt weiter , unterirdisch , ungesehen , und eine Öffnung , die sich auftut , läßt die Flamme emporschlagen .	» Da hilft kein ' Sympathie .Besonders ein Wort des Vorsitzenden drang Diethelm ins Herz , denn er hatte gesagt : Ein Verbrechen , das ungesühnt in der Seele ruht , gleicht dem Brand in einem Kohlenbergwerk ; man stopft es zu und will das Feuer ersticken , aber es brennt weiter , unterirdisch , ungesehen , und eine Öffnung , die sich auftut , läßt die Flamme emporschlagen .Hat mein Vater verkauft ?	1525	18	auerbach_diethelm_diethelm.tsv
PRELS	PRELS		PRELS	die		Jetzt drohte den Jägern dasselbe Schicksal ,	das	Don Antonio von ihnen bereitet worden war und das ihnen zwei Tage zuvor auf dem Eiland gedroht hatte .	es angebunden war , zu zerreißen .Jetzt drohte den Jägern dasselbe Schicksal , das Don Antonio von ihnen bereitet worden war und das ihnen zwei Tage zuvor auf dem Eiland gedroht hatte .« Nach diesen Worten warf sich Pepe	11175	7	ferry_waldlauf_waldlauf.tsv
PRELS	PRELS		PRELS	die		Jetzt drohte den Jägern dasselbe Schicksal , das Don Antonio von ihnen bereitet worden war und	das	ihnen zwei Tage zuvor auf dem Eiland gedroht hatte .	es angebunden war , zu zerreißen .Jetzt drohte den Jägern dasselbe Schicksal , das Don Antonio von ihnen bereitet worden war und das ihnen zwei Tage zuvor auf dem Eiland gedroht hatte .« Nach diesen Worten warf sich Pepe	11175	16	ferry_waldlauf_waldlauf.tsv
PRELS	PRELS		PRELS	die		In diesem ersten Schritt des Dädalus in der Kunst lag etwas Hohes und Göttliches ,	das	die Verehrung und Bewundrung der Nachwelt auf sich zog und den Namen des Künstlers unsterblich machte , der dennoch seinen Ruhm durch eine grausame und schwarze Tat befleckte .	ist , die Sphinx zu töten .In diesem ersten Schritt des Dädalus in der Kunst lag etwas Hohes und Göttliches , das die Verehrung und Bewundrung der Nachwelt auf sich zog und den Namen des Künstlers unsterblich machte , der dennoch seinen Ruhm durch eine grausame und schwarze Tat befleckte .Vom Polynikes , mit dem Kopf auf	1739	15	moritz_goetterl_goetterl.tsv
PRELS	PRELS		PRELS	die		« Dann stürzte sie wiederum , als habe sie ein Unrecht gegen Paaker begangen , zu dem Leichnam zurück , neben	dem	sie zusammensank .	Nebsecht , « rief ein Unterbefehlshaber .« Dann stürzte sie wiederum , als habe sie ein Unrecht gegen Paaker begangen , zu dem Leichnam zurück , neben dem sie zusammensank .Und wäre das Postament dort Mena's Zelt	5207	21	ebers_uarda_uarda.tsv
PRELS	ART		PRELS	die		Und ihr kam die Frage , warum der Geliebte nicht hier sein könnte , in diesen Räumen , statt des anderen , für	den	ihr Herz längst erstorben war .	stieg ihr unwillkürlich Stassingks Bild auf .Und ihr kam die Frage , warum der Geliebte nicht hier sein könnte , in diesen Räumen , statt des anderen , für den ihr Herz längst erstorben war .Dann , Maria , wirft Du vielleicht	483	23	ompteda_maria_maria.tsv
PRELS	ART		PRELS	die		Nun solle ich sehen , rief sie , wie sie marschieren könne , und schlug einen Schritt ein ,	den	ich sogleich zu mäßigen suchte .	Aber nein !Nun solle ich sehen , rief sie , wie sie marschieren könne , und schlug einen Schritt ein , den ich sogleich zu mäßigen suchte .Ich sagte aber , das gäbe sich	5080	19	kuegelgn_altmann_altmann.tsv
PRELS	PRELS		PRELS	die		Sie hatten keinen gelehrten Begriff von der Kunst , aber eine desto größere Meinung von ihrer eignen Geschicklichkeit ; und wirklich konnt es ihnen an Anlage nicht fehlen , da die Abderiten überhaupt geborne Gaukler , Spaßmacher und Pantomimen waren , an	denen	immer jedes Glied ihres Leibes mit reden half , so wenig auch das , was sie sagten , zu bedeuten haben mochte .	sich sehr viel mit ihrem Theater .Sie hatten keinen gelehrten Begriff von der Kunst , aber eine desto größere Meinung von ihrer eignen Geschicklichkeit ; und wirklich konnt es ihnen an Anlage nicht fehlen , da die Abderiten überhaupt geborne Gaukler , Spaßmacher und Pantomimen waren , an denen immer jedes Glied ihres Leibes mit reden half , so wenig auch das , was sie sagten , zu bedeuten haben mochte .» « Da seht nun selbst ,	862	42	wieland_abdera_abdera.tsv
PRELS	PRELS		PRELS	die		Von dem einsamen Zimmer aus flogen seine Gedanken in entgegengesetzter Richtung , bald nach den Sanddünen , zwischen	denen	das einsame Gut des Großvaters lag , bald nach dem lebhaften Edelhofe auf Fühnen , wo die neuen Freunde wohnten .	dem Theater eine wirklich reizende Erscheinung .Von dem einsamen Zimmer aus flogen seine Gedanken in entgegengesetzter Richtung , bald nach den Sanddünen , zwischen denen das einsame Gut des Großvaters lag , bald nach dem lebhaften Edelhofe auf Fühnen , wo die neuen Freunde wohnten .» Denkt euch nur , mitten in	644	18	andersen_oz_oz.tsv
PRELS	PRELS		PRELS	die		Wie ich genauer hinsehe , erkenne ich in allen Dingen dieselbe Schwermut , jeder Menschenblick ist ängstlich und falsch , jeder Ton gebrochen ... Auf allen Dingen liegt ein grauer Nebel ,	der	jedes Licht verdeckt und jede Freude erstickt .	Wir fahren immer weiter und weiter .Wie ich genauer hinsehe , erkenne ich in allen Dingen dieselbe Schwermut , jeder Menschenblick ist ängstlich und falsch , jeder Ton gebrochen ... Auf allen Dingen liegt ein grauer Nebel , der jedes Licht verdeckt und jede Freude erstickt .Daß er ein Mensch war , der	1600	32	antholog_pfeiffen_pfeiffen.tsv
