DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
PWAV	NE		ADV	demgemäß			Demgemäß	hat die Liebe des Thieres zu seiner Brut , gleich dem Geschlechtstriebe , eine Stärke , welche die der bloß aus das eigene Individuum gerichteten Bestrebungen weit übertrifft .	» Julius Cäsar « von Shakespeare .Demgemäß hat die Liebe des Thieres zu seiner Brut , gleich dem Geschlechtstriebe , eine Stärke , welche die der bloß aus das eigene Individuum gerichteten Bestrebungen weit übertrifft .In schwierigen Fällen kann man sogar die	4437	0	schopenh_weltwil2_weltwil2.tsv
PWAV	PWAV		PWAV	wie		Nansen saß auf dem Tische im Salon ; er stellte einen Verletzten vor , der ein Bein gebrochen hatte , und wir andern sahen zu ,	wie	der Doctor es anstellte .	und wie ein Nothverband angelegt wird .Nansen saß auf dem Tische im Salon ; er stellte einen Verletzten vor , der ein Bein gebrochen hatte , und wir andern sahen zu , wie der Doctor es anstellte .Am meisten hatten wir davor Furcht ,	1676	26	nansen_nachtei3_nachtei3.tsv
PWAV	PWAV		PWAV	wie		Wol verstehe ich nicht ,	wie	ich Dir Schrecken einflößen konnte – aber ich habe ja kein Recht , Dir angenehm zu sein – und vielleicht , weil Du mich nicht bei der Fürstin erwartetest – – « Nur einmal führten sie das Gespräch , was jetzt folgte , und deshalb heben wir es aus den täglichen Erzählungen hervor , da es hinreichend zeigt , wie nah sich Guntram den Knaben hatte kommen lassen , wie dieser ihm zum Vertrauten heran gewachsen war .	, daß Du ruhig sein willst .Wol verstehe ich nicht , wie ich Dir Schrecken einflößen konnte – aber ich habe ja kein Recht , Dir angenehm zu sein – und vielleicht , weil Du mich nicht bei der Fürstin erwartetest – – « Nur einmal führten sie das Gespräch , was jetzt folgte , und deshalb heben wir es aus den täglichen Erzählungen hervor , da es hinreichend zeigt , wie nah sich Guntram den Knaben hatte kommen lassen , wie dieser ihm zum Vertrauten heran gewachsen war .« » Aber die , « fuhr	2332	5	paalzow_thyrnau1_thyrnau1.tsv
PWAV	PWAV		PWAV	wie		Wol verstehe ich nicht , wie ich Dir Schrecken einflößen konnte – aber ich habe ja kein Recht , Dir angenehm zu sein – und vielleicht , weil Du mich nicht bei der Fürstin erwartetest – – « Nur einmal führten sie das Gespräch , was jetzt folgte , und deshalb heben wir es aus den täglichen Erzählungen hervor , da es hinreichend zeigt ,	wie	nah sich Guntram den Knaben hatte kommen lassen , wie dieser ihm zum Vertrauten heran gewachsen war .	, daß Du ruhig sein willst .Wol verstehe ich nicht , wie ich Dir Schrecken einflößen konnte – aber ich habe ja kein Recht , Dir angenehm zu sein – und vielleicht , weil Du mich nicht bei der Fürstin erwartetest – – « Nur einmal führten sie das Gespräch , was jetzt folgte , und deshalb heben wir es aus den täglichen Erzählungen hervor , da es hinreichend zeigt , wie nah sich Guntram den Knaben hatte kommen lassen , wie dieser ihm zum Vertrauten heran gewachsen war .« » Aber die , « fuhr	2332	65	paalzow_thyrnau1_thyrnau1.tsv
PWAV	PWAV		PWAV	wie		Wol verstehe ich nicht , wie ich Dir Schrecken einflößen konnte – aber ich habe ja kein Recht , Dir angenehm zu sein – und vielleicht , weil Du mich nicht bei der Fürstin erwartetest – – « Nur einmal führten sie das Gespräch , was jetzt folgte , und deshalb heben wir es aus den täglichen Erzählungen hervor , da es hinreichend zeigt , wie nah sich Guntram den Knaben hatte kommen lassen ,	wie	dieser ihm zum Vertrauten heran gewachsen war .	, daß Du ruhig sein willst .Wol verstehe ich nicht , wie ich Dir Schrecken einflößen konnte – aber ich habe ja kein Recht , Dir angenehm zu sein – und vielleicht , weil Du mich nicht bei der Fürstin erwartetest – – « Nur einmal führten sie das Gespräch , was jetzt folgte , und deshalb heben wir es aus den täglichen Erzählungen hervor , da es hinreichend zeigt , wie nah sich Guntram den Knaben hatte kommen lassen , wie dieser ihm zum Vertrauten heran gewachsen war .« » Aber die , « fuhr	2332	75	paalzow_thyrnau1_thyrnau1.tsv
PWAV	PWAV		PWAV	wie		Ich rief mir meine geliebte Mutter und die Bibel wieder in's Gedächtniß , und wäre mir gestattet gewesen , länger unter der Obhut meiner Erzieherin zu weilen , so zweifle ich nicht , daß ich die Reinheit meines Herzens ,	wie	meiner Sitten , wieder gewonnen haben würde .	ihre Nähe in den Himmel versetzt .Ich rief mir meine geliebte Mutter und die Bibel wieder in's Gedächtniß , und wäre mir gestattet gewesen , länger unter der Obhut meiner Erzieherin zu weilen , so zweifle ich nicht , daß ich die Reinheit meines Herzens , wie meiner Sitten , wieder gewonnen haben würde .Mit Scham und Zerknirschung blickte ich auf	957	40	marryat_flottofz_flottofz.tsv
PWAV	PWAV		PWAV	wie		» Schön Dank , « erwiderten einige , und der Jäger fuhr leiser zu Tonele fort : Der Hansjörg hatte sich von dem Erath seinen Finger in einem mit Spiritus gefüllten Glase aufbewahren lassen , er wollte dies dem Kätherle schenken ; aber trotz seiner sonstigen Derbheit fürchtete sich das Mädchen davor ,	wie	vor einem Gespenste , es wagte kaum das Glas anzurühren .	die Hände über dem Kopfe zusammen .» Schön Dank , « erwiderten einige , und der Jäger fuhr leiser zu Tonele fort : Der Hansjörg hatte sich von dem Erath seinen Finger in einem mit Spiritus gefüllten Glase aufbewahren lassen , er wollte dies dem Kätherle schenken ; aber trotz seiner sonstigen Derbheit fürchtete sich das Mädchen davor , wie vor einem Gespenste , es wagte kaum das Glas anzurühren .Es sah den blutenden Knaben , nahm	2003	53	auerbach_dorfg01_dorfg01.tsv
PWAV	PWAV		PWAV	wie		Durch den Geldumlaufszwang ,	wie	ihn das Freigeld bedingt , wird ferner : Ich muß gestehen , das Krämergeschäft wird durch das Freigeld gewaltig vereinfacht .	, bedeutet sie Nachfrage nach Geld .Durch den Geldumlaufszwang , wie ihn das Freigeld bedingt , wird ferner : Ich muß gestehen , das Krämergeschäft wird durch das Freigeld gewaltig vereinfacht .Aber das Angebot von Waren hängt ,	2082	4	gesell_freiland_freiland.tsv
PWAV	PWAV		PWAV	wie		Der Urahndl sah ihr eine Weile schweigend zu ,	wie	sie die Birne schälte , und fragte dann : » Tuats ös heutigstags die Facken mit dö Schälen fuattern ?	» Was moanst , frag' i !Der Urahndl sah ihr eine Weile schweigend zu , wie sie die Birne schälte , und fragte dann : » Tuats ös heutigstags die Facken mit dö Schälen fuattern ?« Die Stina verstellte ihm den Weg	7531	9	greinz_landl_landl.tsv
PWAV	PWAV		PWAV	wie		Eurybates , der es zuerst gewahr wurde , und ,	wie	die meisten Athener , ein guter Schwimmer ist , springt ihr augenblicklich nach , erfaßt sie beym ersten Auftauchen mit beiden Armen , und bringt sie glücklich ans Land .	Eurybates war auch dabey .Eurybates , der es zuerst gewahr wurde , und , wie die meisten Athener , ein guter Schwimmer ist , springt ihr augenblicklich nach , erfaßt sie beym ersten Auftauchen mit beiden Armen , und bringt sie glücklich ans Land .An einem dieser letzten Abende führte uns	3547	10	wieland_aristipp_aristipp.tsv
