DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
TRUNC	TRUNC		TRUNC	apollo-		Die Langeweile ist eine Tochter des Lichts , eine sogenannte Soiree ist nichts als eine mit	Apollo-	oder Milly- oder Wachskerzen beleuchtete Langeweile !	Hörerinnen , braucht die meisten Kerzen .Die Langeweile ist eine Tochter des Lichts , eine sogenannte Soiree ist nichts als eine mit Apollo- oder Milly- oder Wachskerzen beleuchtete Langeweile !Mein Bedienter wollte ihr nachstürzen , ich	535	16	saphir_albumges_albumges.tsv
TRUNC	TRUNC		TRUNC	buchen-		Sie trugen inwendig und auswendig gleichfalls ihr Flickwerk und ihre Erdgerüche an sich und um sich , und was die letzteren anbetraf , so hatten der Wald mit seinen	Buchen-	und Tannendüften und die Wiesen mit ihrem Heugeruch recht häufig das Beste dazuzutun , um die Atmosphäre für fremde heikle Nasen zu verbessern .	ausgenommen , sondern auch im Gegenteil .Sie trugen inwendig und auswendig gleichfalls ihr Flickwerk und ihre Erdgerüche an sich und um sich , und was die letzteren anbetraf , so hatten der Wald mit seinen Buchen- und Tannendüften und die Wiesen mit ihrem Heugeruch recht häufig das Beste dazuzutun , um die Atmosphäre für fremde heikle Nasen zu verbessern .Wir trugen den Frühjahrsregenschmutz , jegliche Gewitterspur	1374	29	raabe_altenest_altenest.tsv
TRUNC	TRUNC		TRUNC	christen-		Ich erschein hier , Von dem Schimpfe des Verrates Mein Zamora zu befrein – « Meinen Vater , der den	Christen-	Glauben selbst mit Macht beschirmte , Ihn , das Schrecken der Almanzors , Ihn , der Ehre deines Reiches Ersten Sproß , in deiner Krone Ihn , den ersten Edelstein .	geb ich meinen Schwersten väterlichen Fluch !Ich erschein hier , Von dem Schimpfe des Verrates Mein Zamora zu befrein – « Meinen Vater , der den Christen- Glauben selbst mit Macht beschirmte , Ihn , das Schrecken der Almanzors , Ihn , der Ehre deines Reiches Ersten Sproß , in deiner Krone Ihn , den ersten Edelstein .« Tausend hundert zweiunddreißig , Am dreizehnten	862	20	herder_cid_cid.tsv
TRUNC	TRUNC		TRUNC	granat-		Die mühsam geflickten Dammgräben rissen , das Wasser gurgelte hervor , die aus klaffenden Unterständen aufgescheuchten Verteidiger standen knietief im Wasser hinter zerfetzten Brustwehren , wo	Granat-	und Minensplitter umherwirbelten .	aus seiner Grundmauer herausgehoben und umhergeschleudert .Die mühsam geflickten Dammgräben rissen , das Wasser gurgelte hervor , die aus klaffenden Unterständen aufgescheuchten Verteidiger standen knietief im Wasser hinter zerfetzten Brustwehren , wo Granat- und Minensplitter umherwirbelten .Sie schlugen auch in das große Bruch	3570	26	bleibtre_bismarc4_bismarc4.tsv
TRUNC	TRUNC		TRUNC	hin-		Die letzten Stunden , wenn ich nicht irre , brachten ein wiederholtes	Hin-	und Wiedergehen zwischen Ihnen und Theodor , wie es solche Gelegenheiten pflegen .	Gute Nacht , Bruder .Die letzten Stunden , wenn ich nicht irre , brachten ein wiederholtes Hin- und Wiedergehen zwischen Ihnen und Theodor , wie es solche Gelegenheiten pflegen .Diese Freien müssen durch uns Verknechtete ein	5506	12	kuernber_amerika_amerika.tsv
TRUNC	TRUNC		TRUNC	hin-		Elma und Kamp sahen durch das Fenster , wie Reuschhagen unaufhörlich vor dem Hause	hin-	und herging .	Worten wurde es still im Raum .Elma und Kamp sahen durch das Fenster , wie Reuschhagen unaufhörlich vor dem Hause hin- und herging .Jedenfalls fort !	882	14	harich_angst_angst.tsv
TRUNC	TRUNC		TRUNC	hin-		Da ließ sich vom Fenster her ein Klirren , Picken und Schwirren vernehmen , und als die Mutter das Gesicht erhob , sah sie das Vöglein , dem die Freiheit nicht gefallen wollte , über die geschlossene Scheibe ängstlich	hin-	und widerflattern .	thränennasses Mündchen mit Küssen und Küssen .Da ließ sich vom Fenster her ein Klirren , Picken und Schwirren vernehmen , und als die Mutter das Gesicht erhob , sah sie das Vöglein , dem die Freiheit nicht gefallen wollte , über die geschlossene Scheibe ängstlich hin- und widerflattern .Mein gutes , mein liebes Kind !	885	39	ganghofe_fliegsom_fliegsom.tsv
TRUNC	TRUNC		TRUNC	hirten-		– Denken Sie an den liebenswürdigen Chatterton , Chatterton , um die Mitte des vorigen Jahrhunderts lebend , opferte sein großes Dichtertalent seltsamerweise in Erfindung alt Angelsächsischer	Hirten-	und Kriegsgedichte , welche er niemals als seine Kinder öffentlich anerkannte .	, als Geistlicher , zu gewissenhaft .– Denken Sie an den liebenswürdigen Chatterton , Chatterton , um die Mitte des vorigen Jahrhunderts lebend , opferte sein großes Dichtertalent seltsamerweise in Erfindung alt Angelsächsischer Hirten- und Kriegsgedichte , welche er niemals als seine Kinder öffentlich anerkannte .Ein starker Mann , welcher den Arm	3956	27	alexis_walladmr_walladmr.tsv
TRUNC	TRUNC		TRUNC	interims-		Sollen wir zurückgezogenen einflußlosen Schriftsteller , die wir doch auch gewohnt sind , den Samen reeller Thatsachen von den Blüten der Erscheinung abzustreifen und in unserer Art auch Etwas für die Geschichte zu thun , die Gründlichkeit nur der Paulskirche und den Protokollen unserer Ständekammern ,	Interims-	und Verwaltungsräthe überlassen ?	Also Das nicht , lieber Leser !Sollen wir zurückgezogenen einflußlosen Schriftsteller , die wir doch auch gewohnt sind , den Samen reeller Thatsachen von den Blüten der Erscheinung abzustreifen und in unserer Art auch Etwas für die Geschichte zu thun , die Gründlichkeit nur der Paulskirche und den Protokollen unserer Ständekammern , Interims- und Verwaltungsräthe überlassen ?.	42976	46	gutzkow_ritter_ritter.tsv
TRUNC	NN		TRUNC	kopf-		Seit 20 Jahren und länger waren von diesem Stuhl nichts als liebende Worte und sanfte Ermahnungen und mütterliche Liebe gekommen – vielfaches	Kopf-	und Herzweh war dort geheilt – irdische und himmlische Schwierigkeiten dort gelöst worden – und alles von einem guten liebevollen Weibe , Gott segne es !	alles in der Welt nicht entbehren .Seit 20 Jahren und länger waren von diesem Stuhl nichts als liebende Worte und sanfte Ermahnungen und mütterliche Liebe gekommen – vielfaches Kopf- und Herzweh war dort geheilt – irdische und himmlische Schwierigkeiten dort gelöst worden – und alles von einem guten liebevollen Weibe , Gott segne es !Er hatte eine eigene Art zu quieken	5468	22	beecher_onkeltom_onkeltom.tsv
TRUNC	TRUNC		ADJA	lymphatisch-		Sie selbst ist , wie Sie wissen , häßlich , aber von schöner Figur und	lymphatisch-	nervösem Temperament .	als die Frauen Spaniens und Italiens .Sie selbst ist , wie Sie wissen , häßlich , aber von schöner Figur und lymphatisch- nervösem Temperament .Vielleicht nehmen sie die Kraft dazu aus	1809	15	stendhal_liebe_liebe.tsv
TRUNC	TRUNC		TRUNC	menschen-		Sein erstes und bestes Werk ist der Roman » Lebensläufe in aufsteigender Linie « , in welchem er seine eigene Jugendgeschichte , ob auch breit und mit zahlreichen Abschweifungen , voll tiefer Empfindung und Wärme , mit großer Anschaulichkeit und reicher	Menschen-	und Herzenskenntniß behandelt .	guten , ein wenig philiströsen Hausverstandes .Sein erstes und bestes Werk ist der Roman » Lebensläufe in aufsteigender Linie « , in welchem er seine eigene Jugendgeschichte , ob auch breit und mit zahlreichen Abschweifungen , voll tiefer Empfindung und Wärme , mit großer Anschaulichkeit und reicher Menschen- und Herzenskenntniß behandelt .Nicht bloß , weil er hauptsächlich in	783	41	hoefer_litgesch_litgesch.tsv
TRUNC	NN		TRUNC	milly-		Die Langeweile ist eine Tochter des Lichts , eine sogenannte Soiree ist nichts als eine mit Apollo- oder	Milly-	oder Wachskerzen beleuchtete Langeweile !	Hörerinnen , braucht die meisten Kerzen .Die Langeweile ist eine Tochter des Lichts , eine sogenannte Soiree ist nichts als eine mit Apollo- oder Milly- oder Wachskerzen beleuchtete Langeweile !Mein Bedienter wollte ihr nachstürzen , ich	535	18	saphir_albumges_albumges.tsv
TRUNC	NE		NE	nie-		« »	Nie-	, niemals !	« lächelte diese .« » Nie- , niemals !Der Brief lautete : » Sie haben	10520	2	kraftr_kaiserk1_kaiserk1.tsv
TRUNC	NN		NN	permisse		Freilich geben edle Seelen – z. B. mein Großonkel – Summen Geldes – da dieses dem Gifte so ähnlich und wie dieses in großen Portionen gefährlich ist und nur in kleinen offizinell – wie Materialhändler dieses Gift-Metall oder Metallgift nur gegen obrigkeitliche	Permisse	und Scheine aus ; aber das ist gutes Herz , der andere soll sich nicht damit vergiften durch die große Portion .	ja sonst unbezahlt wütig fressen könnte .Freilich geben edle Seelen – z. B. mein Großonkel – Summen Geldes – da dieses dem Gifte so ähnlich und wie dieses in großen Portionen gefährlich ist und nur in kleinen offizinell – wie Materialhändler dieses Gift-Metall oder Metallgift nur gegen obrigkeitliche Permisse und Scheine aus ; aber das ist gutes Herz , der andere soll sich nicht damit vergiften durch die große Portion .Was mich wundert , ist die allgemeine	5763	42	jeanpaul_titan_titan.tsv
TRUNC	TRUNC		TRUNC	post-		Wie weit das Wachstum des Egoismus oder der Ich-Sucht seinen Giftbaum-Schatten wirft , sehen wir sogar aus der Wahl der jetzigen Freuden , welche meist in einem	Post-	und Wirtshaus-Leben bestehen ; wie der Anwachs der Klubs , Harmonien , Museen u. s. w. bezeugt .	in die kurzen Gelegenheits-Sprüche einzupressen sind .Wie weit das Wachstum des Egoismus oder der Ich-Sucht seinen Giftbaum-Schatten wirft , sehen wir sogar aus der Wahl der jetzigen Freuden , welche meist in einem Post- und Wirtshaus-Leben bestehen ; wie der Anwachs der Klubs , Harmonien , Museen u. s. w. bezeugt .Und ohnehin viel Bücher , besonders wenn	160	27	jeanpaul_friedens_friedens.tsv
TRUNC	TRUNC		TRUNC	rind-		« Es war ein Llanero , ein	Rind-	und Pferdehirt der Pampas oder richtiger der Llanos .	« » Es ist gut !« Es war ein Llanero , ein Rind- und Pferdehirt der Pampas oder richtiger der Llanos .Eine erste Kajüte – irgend eine ,	7174	7	kraftr_nobody4_nobody4.tsv
TRUNC	TRUNC		TRUNC	sorgen-		» Ich habe noch einen wichtigen Gang vor , « entschuldigte er sich , » einen Krankenbesuch , bei dem ich wohl ein	Sorgen-	oder Sektbrecherchen brauchen könnte , aber – – « » Haste denn nich meinen Louis jesehn , Louis jesehn , Louis jesehn !	Dinge sind drei , Herr Pastor !» Ich habe noch einen wichtigen Gang vor , « entschuldigte er sich , » einen Krankenbesuch , bei dem ich wohl ein Sorgen- oder Sektbrecherchen brauchen könnte , aber – – « » Haste denn nich meinen Louis jesehn , Louis jesehn , Louis jesehn !Auf dreien auch nicht !	1118	23	rose_sorgen_sorgen.tsv
TRUNC	TRUNC		TRUNC	sozietäts-		So schön gebaute Leute , als man unter den Einwohnern der	Sozietäts-	und Freundschaftlichen Inseln und den Marquesas ziemlich häufig antrifft , gibt es in Tanna nur sehr wenige .	von mehr als gewöhnlicher Größe darunter .So schön gebaute Leute , als man unter den Einwohnern der Sozietäts- und Freundschaftlichen Inseln und den Marquesas ziemlich häufig antrifft , gibt es in Tanna nur sehr wenige .Die große Anzahl von Eingeborenen , die	1066	11	antholog_suedsee_suedsee.tsv
