DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
VAFIN	VAFIN		VAFIN	haben		« Erstes Kapitel Womit meine Lebensgeschichte eingeleitet wird Meine vielfachen Bitten , mir die Angabe der Ursache zu einer an ihr vorher nie bemerkten Gemüthsaufregung nicht länger vorzuenthalten , fanden nach langem Widerstande Eingang in ihr Ohr , und ich erfuhr Folgendes : daß ihr Verlobter ihr am Morgen begegnet	habe	, als sie von einer Standesperson aus unserer Kundschaft auf dem Wege Behufs neuer Bestellungen angesprochen worden .	Kauflustiger , so leicht verirren konnte .« Erstes Kapitel Womit meine Lebensgeschichte eingeleitet wird Meine vielfachen Bitten , mir die Angabe der Ursache zu einer an ihr vorher nie bemerkten Gemüthsaufregung nicht länger vorzuenthalten , fanden nach langem Widerstande Eingang in ihr Ohr , und ich erfuhr Folgendes : daß ihr Verlobter ihr am Morgen begegnet habe , als sie von einer Standesperson aus unserer Kundschaft auf dem Wege Behufs neuer Bestellungen angesprochen worden .Bedeutende Summen an die verschiedenen Behörden gespendet	1055	50	kohn_jgilblas_jgilblas.tsv
VAFIN	VAFIN		VAFIN	haben		« Dann stürzte sie wiederum , als	habe	sie ein Unrecht gegen Paaker begangen , zu dem Leichnam zurück , neben dem sie zusammensank .	Nebsecht , « rief ein Unterbefehlshaber .« Dann stürzte sie wiederum , als habe sie ein Unrecht gegen Paaker begangen , zu dem Leichnam zurück , neben dem sie zusammensank .Und wäre das Postament dort Mena's Zelt	5207	7	ebers_uarda_uarda.tsv
VAFIN	VAFIN		VAFIN	haben		Darab erzählte , daß man Schehanna in dem Viertel der Eingeborenen gefunden	hatte	– hilflos und verstört , von Tür zu Tür schwankend , um nach ihrer Mutter zu fragen .	er wieder seiner Stimme Herr wurde .Darab erzählte , daß man Schehanna in dem Viertel der Eingeborenen gefunden hatte – hilflos und verstört , von Tür zu Tür schwankend , um nach ihrer Mutter zu fragen .Aber laßt uns den Todeskampf kurz machen	1893	12	bruun_unbgott2_unbgott2.tsv
VAFIN	VAFIN		VAFIN	haben		Dies plötzliche nun in die Verbannung und in einen Kerker gerufene Glück	hatte	sogar etwas Romantisches für die Welt , die im Grunde das Regelwidrige dem Regelmäßigen vorzieht , nur darf sie es in ihren nächsten Interessen nicht berühren und ihr nicht irgend welche Opfer auferlegen .	der Gerechtigkeit schon müssen aufhalten lassen .Dies plötzliche nun in die Verbannung und in einen Kerker gerufene Glück hatte sogar etwas Romantisches für die Welt , die im Grunde das Regelwidrige dem Regelmäßigen vorzieht , nur darf sie es in ihren nächsten Interessen nicht berühren und ihr nicht irgend welche Opfer auferlegen .Warum sollte man das Ergebniß jener zweihundertjährigen	24893	12	gutzkow_ritter_ritter.tsv
VAFIN	VAFIN		VAFIN	haben		Besonders ein Wort des Vorsitzenden drang Diethelm ins Herz , denn er	hatte	gesagt : Ein Verbrechen , das ungesühnt in der Seele ruht , gleicht dem Brand in einem Kohlenbergwerk ; man stopft es zu und will das Feuer ersticken , aber es brennt weiter , unterirdisch , ungesehen , und eine Öffnung , die sich auftut , läßt die Flamme emporschlagen .	» Da hilft kein ' Sympathie .Besonders ein Wort des Vorsitzenden drang Diethelm ins Herz , denn er hatte gesagt : Ein Verbrechen , das ungesühnt in der Seele ruht , gleicht dem Brand in einem Kohlenbergwerk ; man stopft es zu und will das Feuer ersticken , aber es brennt weiter , unterirdisch , ungesehen , und eine Öffnung , die sich auftut , läßt die Flamme emporschlagen .Hat mein Vater verkauft ?	1525	12	auerbach_diethelm_diethelm.tsv
VAFIN	VAFIN		VAFIN	haben		Bevor er aber eine Antwort erhalten	hatte	, kamen drei große Männer in Zivil aus der Platanenallee , mit einigen Arbeitern zwischen sich .	sind älter , aber nicht geringer .Bevor er aber eine Antwort erhalten hatte , kamen drei große Männer in Zivil aus der Platanenallee , mit einigen Arbeitern zwischen sich .Aufrecht wie das Schicksal saß sie da	4101	6	bruun_oanda_oanda.tsv
VAFIN	VAFIN		VAFIN	haben		Ein Ort Wyck wird schon auf Dankwerth's Karte von 1240 angeführt ; hier	hatten	an einer Bucht Fischer ihre Hütten sich gebaut .	eine Allee vom steilen Ufer trennt .Ein Ort Wyck wird schon auf Dankwerth's Karte von 1240 angeführt ; hier hatten an einer Bucht Fischer ihre Hütten sich gebaut .Der bedeutendste Ort auf Föhr ist der	2453	13	kobbe_nordost_nordost.tsv
VAFIN	VAFIN		VAFIN	haben		Meine Gründe bekehrten noch manchen andern , namentlich Collins und Ralph ; da sie aber beide , ohne die geringste Reue , mir großes Unrecht gethan	hatten	, und da ich an Keiths , eines anderen Freidenkers , Benehmen , sowie an mein eigenes Verfahren gegen Vernon und Miß Read , welches mich oft sehr quälte , dachte , so geriet ich auf die Vermutung , daß wenn diese Lehre auch wahr sein möchte , sie doch nicht sehr von Nutzen sei .	, als eben die Widerlegung selbst .Meine Gründe bekehrten noch manchen andern , namentlich Collins und Ralph ; da sie aber beide , ohne die geringste Reue , mir großes Unrecht gethan hatten , und da ich an Keiths , eines anderen Freidenkers , Benehmen , sowie an mein eigenes Verfahren gegen Vernon und Miß Read , welches mich oft sehr quälte , dachte , so geriet ich auf die Vermutung , daß wenn diese Lehre auch wahr sein möchte , sie doch nicht sehr von Nutzen sei .Es fielen mir einige Bände gegen den	1163	26	franklin_frankleb_frankleb.tsv
VAFIN	VVFIN		NE	haben_es		‹ » Kind , Würmle , « suchte sie die Kleine zu trösten , » was fallt dir denn ein – wer wird so weine , dummes Dingele – « Sie schöpfte Atem : » Jetz isch 's Kätterle lang tot ; ihr ältster Bub	hat's	Häusle und e Stub voller Kinder .	« bat die Frau .‹ » Kind , Würmle , « suchte sie die Kleine zu trösten , » was fallt dir denn ein – wer wird so weine , dummes Dingele – « Sie schöpfte Atem : » Jetz isch 's Kätterle lang tot ; ihr ältster Bub hat's Häusle und e Stub voller Kinder .Es ist nicht auszudenken , was aus	459	45	villinge_rebaechl_rebaechl.tsv
VAFIN	VAFIN		VAFIN	sein		Du	bist	es mehr vielleicht als ich .	Ein sechsfüßiger jambischer Vers .Du bist es mehr vielleicht als ich .V. 6 .	1449	1	plautus_menaechm_menaechm.tsv
VAFIN	VAFIN		VAFIN	sein		Die Langeweile	ist	eine Tochter des Lichts , eine sogenannte Soiree ist nichts als eine mit Apollo- oder Milly- oder Wachskerzen beleuchtete Langeweile !	Hörerinnen , braucht die meisten Kerzen .Die Langeweile ist eine Tochter des Lichts , eine sogenannte Soiree ist nichts als eine mit Apollo- oder Milly- oder Wachskerzen beleuchtete Langeweile !Mein Bedienter wollte ihr nachstürzen , ich	535	2	saphir_albumges_albumges.tsv
VAFIN	VAFIN		VAFIN	sein		Die Langeweile ist eine Tochter des Lichts , eine sogenannte Soiree	ist	nichts als eine mit Apollo- oder Milly- oder Wachskerzen beleuchtete Langeweile !	Hörerinnen , braucht die meisten Kerzen .Die Langeweile ist eine Tochter des Lichts , eine sogenannte Soiree ist nichts als eine mit Apollo- oder Milly- oder Wachskerzen beleuchtete Langeweile !Mein Bedienter wollte ihr nachstürzen , ich	535	11	saphir_albumges_albumges.tsv
VAFIN	VAFIN		VAFIN	sein		Wie ich genauer hinsehe , erkenne ich in allen Dingen dieselbe Schwermut , jeder Menschenblick	ist	ängstlich und falsch , jeder Ton gebrochen ... Auf allen Dingen liegt ein grauer Nebel , der jedes Licht verdeckt und jede Freude erstickt .	Wir fahren immer weiter und weiter .Wie ich genauer hinsehe , erkenne ich in allen Dingen dieselbe Schwermut , jeder Menschenblick ist ängstlich und falsch , jeder Ton gebrochen ... Auf allen Dingen liegt ein grauer Nebel , der jedes Licht verdeckt und jede Freude erstickt .Daß er ein Mensch war , der	1600	15	antholog_pfeiffen_pfeiffen.tsv
VAFIN	VAFIN		VAFIN	sein		Jetzt sag ,	ist	denn da schon was fertig gemacht ?	Erinnere ihn nur dran .Jetzt sag , ist denn da schon was fertig gemacht ?Ich habe als Soldat mitgespielt in der	984	3	auerbach_dorfg09_dorfg09.tsv
