DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
VAIMP	NE		VAFIN	sein		– »	Sei	still , Mutter , wofür hin ich denn da ?	eines Tages auf seinen Raub herabzustürzen .– » Sei still , Mutter , wofür hin ich denn da ?« fragte Vetter Leo .	3867	2	suderman_sorge_sorge.tsv
VAIMP	NE		VAIMP	sein		« » Je , Herr ,	Sei	hewwen mi sülwst seggt : wat schrewen is , is schrewen , un in minen nigen Kuntrakt von vergangen Johr steiht dat schrewen , dat ick von jeden Schepel einen Schepel Mahllohn hewwen sall .	üm sick von frischen tau faten .« » Je , Herr , Sei hewwen mi sülwst seggt : wat schrewen is , is schrewen , un in minen nigen Kuntrakt von vergangen Johr steiht dat schrewen , dat ick von jeden Schepel einen Schepel Mahllohn hewwen sall .« Worüm was min Unkel Hers '	5152	6	reuter_2franz_2franz.tsv
VAIMP	NE		VAFIN	sein		Pascal drückte ihr die Augen zu , neigte sich über sie , um sie noch einmal zu umarmen , und flüsterte mit leiser Stimme : »	Sei	ruhig , Mutter , deine Herzensgüte ist mein bestes Erbteil ... « » Aber , Papa , vergißt du denn , daß du jetzt nur noch mit Herrn Carvayan zu rechnen hast ?	, wenn ich dir genommen würde ?Pascal drückte ihr die Augen zu , neigte sich über sie , um sie noch einmal zu umarmen , und flüsterte mit leiser Stimme : » Sei ruhig , Mutter , deine Herzensgüte ist mein bestes Erbteil ... « » Aber , Papa , vergißt du denn , daß du jetzt nur noch mit Herrn Carvayan zu rechnen hast ?Das ist das Ende der Welt !	264	26	ohnet_steinbru_steinbru.tsv
VAIMP	NN		VAFIN	sein		( zur Prothoe )	Sei	ruhig !	der Otrere Schatten , zu gefallen .( zur Prothoe ) Sei ruhig !Ich erschien , Wehmüthig strebender Gefühle voll	2622	4	kleist_penthes_penthes.tsv
VAIMP	NE		VAFIN	sein		"	Sei	unbesorgt , Sammy , sei unbesorgt " , sagte er , als er nach ungeheurer Anstrengung und verschiedentlichem konvulsivischem Stampfen auf den Boden seine Stimme wieder erlangt hatte .	" Schicken Sie den Wirt !" Sei unbesorgt , Sammy , sei unbesorgt " , sagte er , als er nach ungeheurer Anstrengung und verschiedentlichem konvulsivischem Stampfen auf den Boden seine Stimme wieder erlangt hatte .Der fremde Gentleman wünschte sodann den andern	7800	1	dickens_pickwick_pickwick.tsv
VAIMP	NE		VAFIN	sein		Laß endlich doch des Tadels Eifer ruhn ,	Sei	nachsichtsvoll , wie 's einer Mutter ziemt , Ertrage seine Kälte ohne Zorn Und gieb dem Hof nicht Anlaß , dich zu fliehn .	so das Reich in Zwietracht stürzen ?Laß endlich doch des Tadels Eifer ruhn , Sei nachsichtsvoll , wie 's einer Mutter ziemt , Ertrage seine Kälte ohne Zorn Und gieb dem Hof nicht Anlaß , dich zu fliehn .Glaubt er , du seist von Juniens	1148	8	racine_britanni_britanni.tsv
VAIMP	NE		VAFIN	sein			Sei	barmherzig !	meines Herzens versetzt mir die Luft .Sei barmherzig !Marie .	386	0	goethe_clavigo_clavig01.tsv
VAIMP	NE		VAFIN	sein		« Nachdem er ihr aber erst erzählt hatte , wie Alles im Schlosse war und zuging , da ließ sie ihm keine Ruhe mehr und sagte : »	Sei	kein Thor und überzeuge dich von Allem .	und reiche Kaufleute in großen Städten .« Nachdem er ihr aber erst erzählt hatte , wie Alles im Schlosse war und zuging , da ließ sie ihm keine Ruhe mehr und sagte : » Sei kein Thor und überzeuge dich von Allem .Man kann sich denken mit welcher Freude	3096	28	wolf_hausmrch_hausmrch.tsv
VAIMP	NE		VAFIN	sein		Die zweite : »	Sei	so geistreich wie möglich , ohne unausstehlich zu werden !	« schrie der Haushofmeister erschrocken .Die zweite : » Sei so geistreich wie möglich , ohne unausstehlich zu werden !» Ach , Majestät !	87	4	perrault_maerchen_dornroes.tsv
VAIMP	NN		VAFIN	sein		»	Sei	vernünftig und bleib zu Haus « , erwiderte der Landrichter .	von Salten , aber nicht hier !» Sei vernünftig und bleib zu Haus « , erwiderte der Landrichter .« Hier hielt er plötzlich inne ,	822	1	muegge_malanger_malanger.tsv
VAIMP	NE		VAFIN	sein		18 Aus dem Gemach ging der mächtige Fürst Und grüßte freundlich den fremden König : »	Sei	willkommen , Sigurd ; was kamst du nicht längst ?	du das Leben Oder alterst unvermählt .18 Aus dem Gemach ging der mächtige Fürst Und grüßte freundlich den fremden König : » Sei willkommen , Sigurd ; was kamst du nicht längst ?Freyr .	2600	16	simrock_edda_edda1.tsv
VAIMP	NN		VAIMP	sein			Seid	bedankt : Ich nehm's als Ehrentitel willig an .	Ei , wunderlicher » Sängerkrieg « !Seid bedankt : Ich nehm's als Ehrentitel willig an .( zu Mechthild , ihr den Schleier	502	0	lienhard_ofterdin_ofterdin.tsv
