DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
VAINF	VAFIN		VAINF	haben		Sie hatten keinen gelehrten Begriff von der Kunst , aber eine desto größere Meinung von ihrer eignen Geschicklichkeit ; und wirklich konnt es ihnen an Anlage nicht fehlen , da die Abderiten überhaupt geborne Gaukler , Spaßmacher und Pantomimen waren , an denen immer jedes Glied ihres Leibes mit reden half , so wenig auch das , was sie sagten , zu bedeuten	haben	mochte .	sich sehr viel mit ihrem Theater .Sie hatten keinen gelehrten Begriff von der Kunst , aber eine desto größere Meinung von ihrer eignen Geschicklichkeit ; und wirklich konnt es ihnen an Anlage nicht fehlen , da die Abderiten überhaupt geborne Gaukler , Spaßmacher und Pantomimen waren , an denen immer jedes Glied ihres Leibes mit reden half , so wenig auch das , was sie sagten , zu bedeuten haben mochte .» « Da seht nun selbst ,	862	63	wieland_abdera_abdera.tsv
VAINF	VAFIN		VAINF	haben		Wehe aber , wenn die Gesellschaft , die sich da im Weinhaus zusammenfand , ihm nicht genehm war , wenn beschränkte , spießige Köpfe an der Tafelrunde ihn störten , dann muß er vollständig unerträglich gewesen sein , einen ganz fürchterlichen Gebrauch von seiner Kunst , Fratzen zu schneiden , Leute in Verlegenheit zu bringen , zu erschrecken , gemacht	haben	.	nichts tun als nippen und gähnen .Wehe aber , wenn die Gesellschaft , die sich da im Weinhaus zusammenfand , ihm nicht genehm war , wenn beschränkte , spießige Köpfe an der Tafelrunde ihn störten , dann muß er vollständig unerträglich gewesen sein , einen ganz fürchterlichen Gebrauch von seiner Kunst , Fratzen zu schneiden , Leute in Verlegenheit zu bringen , zu erschrecken , gemacht haben .Im Grunde ist natürlich immer Hoffmann selbst	976	60	benjamin_radio_radio.tsv
VAINF	VAINF		VAINF	haben		Er scheint sich nicht schlecht gehalten zu	haben	, wenn man ihn hört .	wir Ulmer die Wiener überflügelt hätten ?Er scheint sich nicht schlecht gehalten zu haben , wenn man ihn hört .Meine Tante schreibt mir , er sei	4745	7	eyth_ulm_ulm.tsv
VAINF	VAFIN		VAFIN	haben		Prinz Biribinker , sagte die Hummel , wenn sie Langeweile	haben	, so versichere ich sie , daß es mir noch schlimmer geht : Die Fee Melisotte , unsre Königin , hat mir seit etlichen Wochen die Ehre angethan , mich zu ihrem Liebling zu erkiesen ; aber ich gestehe ihnen , daß ich der Last meines Amtes nicht gewachsen bin .	Sapperment !Prinz Biribinker , sagte die Hummel , wenn sie Langeweile haben , so versichere ich sie , daß es mir noch schlimmer geht : Die Fee Melisotte , unsre Königin , hat mir seit etlichen Wochen die Ehre angethan , mich zu ihrem Liebling zu erkiesen ; aber ich gestehe ihnen , daß ich der Last meines Amtes nicht gewachsen bin .Sey es so , weil ihrs für	886	10	wieland_sylvio_sylvio.tsv
VAINF	VAFIN		VAFIN	haben		Der Präsident erteilte jedoch Kozina eine strenge Rüge und fügte hinzu , dass nach allem , was bisher sichergestellt wurde , die Choden sich ihrer Obrigkeit gegenüber wie Rebellen benommen	haben	, und insbesondere er , Kozina , möge bedenken , was hier auf dem Spiele stehe .	und verschwand dann in der Menge .Der Präsident erteilte jedoch Kozina eine strenge Rüge und fügte hinzu , dass nach allem , was bisher sichergestellt wurde , die Choden sich ihrer Obrigkeit gegenüber wie Rebellen benommen haben , und insbesondere er , Kozina , möge bedenken , was hier auf dem Spiele stehe .Der Greis hob die Hand und segnete	3059	30	jirasek_chodisch_chodisch.tsv
VAINF	VAFIN		VAINF	haben		« » Erzählen Sie mir , wie Sie die Maurer besiegt	haben	!	Leo hält so viel von Ihnen !« » Erzählen Sie mir , wie Sie die Maurer besiegt haben !Wenn ich ihr aber etwas sage ,	1308	11	musil_mannohne_mannohne.tsv
VAINF	VAINF		VAINF	haben		Mein Wirt freute sich , dieses Gespräch mit angehört zu	haben	, und sagte mir : » Da Sie die Absicht haben , einige Zeit hier am Orte zu verweilen , so tun Sie gut , wenn Sie dem Capitano oder Landvogt einen Besuch machen .	für einige Augenblicke beraubt gewesen bin .Mein Wirt freute sich , dieses Gespräch mit angehört zu haben , und sagte mir : » Da Sie die Absicht haben , einige Zeit hier am Orte zu verweilen , so tun Sie gut , wenn Sie dem Capitano oder Landvogt einen Besuch machen .Nach den Menuetten kamen die Kontertänze an	6475	10	casanova_band06_casa6.tsv
VAINF	VAFIN		VAINF	haben		» Ich fürchte , daß die Kinder dafür büßen müssen , wenn die Eltern ein Unrecht begangen	haben	.	Gespenster gibt , die ungerufen kommen ?» Ich fürchte , daß die Kinder dafür büßen müssen , wenn die Eltern ein Unrecht begangen haben .Er prüfte nochmals Puls und Herzschlag ,	340	17	gluemer_gesuehnt_gesuehnt.tsv
VAINF	VAINF		VAINF	sein		Wehe aber , wenn die Gesellschaft , die sich da im Weinhaus zusammenfand , ihm nicht genehm war , wenn beschränkte , spießige Köpfe an der Tafelrunde ihn störten , dann muß er vollständig unerträglich gewesen	sein	, einen ganz fürchterlichen Gebrauch von seiner Kunst , Fratzen zu schneiden , Leute in Verlegenheit zu bringen , zu erschrecken , gemacht haben .	nichts tun als nippen und gähnen .Wehe aber , wenn die Gesellschaft , die sich da im Weinhaus zusammenfand , ihm nicht genehm war , wenn beschränkte , spießige Köpfe an der Tafelrunde ihn störten , dann muß er vollständig unerträglich gewesen sein , einen ganz fürchterlichen Gebrauch von seiner Kunst , Fratzen zu schneiden , Leute in Verlegenheit zu bringen , zu erschrecken , gemacht haben .Im Grunde ist natürlich immer Hoffmann selbst	976	36	benjamin_radio_radio.tsv
VAINF	VAINF		VAINF	sein		Und ihr kam die Frage , warum der Geliebte nicht hier	sein	könnte , in diesen Räumen , statt des anderen , für den ihr Herz längst erstorben war .	stieg ihr unwillkürlich Stassingks Bild auf .Und ihr kam die Frage , warum der Geliebte nicht hier sein könnte , in diesen Räumen , statt des anderen , für den ihr Herz längst erstorben war .Dann , Maria , wirft Du vielleicht	483	11	ompteda_maria_maria.tsv
VAINF	VAINF		VAINF	sein		Meine Gründe bekehrten noch manchen andern , namentlich Collins und Ralph ; da sie aber beide , ohne die geringste Reue , mir großes Unrecht gethan hatten , und da ich an Keiths , eines anderen Freidenkers , Benehmen , sowie an mein eigenes Verfahren gegen Vernon und Miß Read , welches mich oft sehr quälte , dachte , so geriet ich auf die Vermutung , daß wenn diese Lehre auch wahr	sein	möchte , sie doch nicht sehr von Nutzen sei .	, als eben die Widerlegung selbst .Meine Gründe bekehrten noch manchen andern , namentlich Collins und Ralph ; da sie aber beide , ohne die geringste Reue , mir großes Unrecht gethan hatten , und da ich an Keiths , eines anderen Freidenkers , Benehmen , sowie an mein eigenes Verfahren gegen Vernon und Miß Read , welches mich oft sehr quälte , dachte , so geriet ich auf die Vermutung , daß wenn diese Lehre auch wahr sein möchte , sie doch nicht sehr von Nutzen sei .Es fielen mir einige Bände gegen den	1163	72	franklin_frankleb_frankleb.tsv
VAINF	VAINF		VAINF	sein		was mag das	sein	?! « 11 Betrachten wir das in sich selbst überaus lockere Wasser , das sich doch ohne allen fühlbaren Widerstand in zahllose kleinste Tröpfchen zerteilen läßt ; dieses höchstwichtige Naturelement , das in sich alle Urkeime des animalen wie des planetaren Lebens birgt , und zugleich von dir nie berechenbaren Kräften geschwängert ist , gehorcht im freien Zustande ganz unbedingt dem ihm innewohnenden Gesetze der Schwere ; laut diesem Gesetze , dessen es durch ein eigenes Wahrnehmungsvermögen gewahr wird , empfindet es die leiseste Abdachung ( Gefälle ) irgend eines Territoriums , fängt da sogleich an , nach einer größeren Niederung hin sich fort zu bewegen , und hat so lange keine Rast und Ruhe , als bis es des Meeres größte Territorialniederung vollends erreicht hat .	Erde ein mächtiger Schlag geschehen wäre ?was mag das sein ?! « 11 Betrachten wir das in sich selbst überaus lockere Wasser , das sich doch ohne allen fühlbaren Widerstand in zahllose kleinste Tröpfchen zerteilen läßt ; dieses höchstwichtige Naturelement , das in sich alle Urkeime des animalen wie des planetaren Lebens birgt , und zugleich von dir nie berechenbaren Kräften geschwängert ist , gehorcht im freien Zustande ganz unbedingt dem ihm innewohnenden Gesetze der Schwere ; laut diesem Gesetze , dessen es durch ein eigenes Wahrnehmungsvermögen gewahr wird , empfindet es die leiseste Abdachung ( Gefälle ) irgend eines Territoriums , fängt da sogleich an , nach einer größeren Niederung hin sich fort zu bewegen , und hat so lange keine Rast und Ruhe , als bis es des Meeres größte Territorialniederung vollends erreicht hat .« 1 Blum , Messenhauser und Becher	1490	3	lorber_rblum1_rblum1.tsv
VAINF	VAINF		VAINF	sein		Läßt Sokrates sich dergleichen irgend angelegen	sein	?	des Gefängnisses dir aufmachen gewollt hat .Läßt Sokrates sich dergleichen irgend angelegen sein ?Hippias : Ja .	6908	6	platon_platowr1_platowr1.tsv
