DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
VMINF	VMINF		VMINF	dürfen		Die letztere erwiderte den Gruß des Fürsten nur mit einer stummen Verneigung , und als er ihr jetzt gegenüberstand und fortfuhr : » Das bedeutet Glück für den ganzen Tag , Jungfrau , so früh am Morgen schon sich Eures Anblicks freuen zu	dürfen	« – da entgegnete sie mit niedergeschlagenen Augen und lächelndem Munde : » So denkt mein Vater auch , darum hat er mich in die Schreibstube bestellt , um ihm bei seinen Pergamenten zu helfen .	kräftige Gesellen und allerlei wundersames Gerät .Die letztere erwiderte den Gruß des Fürsten nur mit einer stummen Verneigung , und als er ihr jetzt gegenüberstand und fortfuhr : » Das bedeutet Glück für den ganzen Tag , Jungfrau , so früh am Morgen schon sich Eures Anblicks freuen zu dürfen « – da entgegnete sie mit niedergeschlagenen Augen und lächelndem Munde : » So denkt mein Vater auch , darum hat er mich in die Schreibstube bestellt , um ihm bei seinen Pergamenten zu helfen .Da lächelte Eggeling van Strobecke höhnisch und	5619	43	carlssen_stadtjun_stadtjun.tsv
VMINF	VMINF		VMINF	können		Nach dieser Zeit hat man die Zwerghöhle nicht wieder finden	können	.	und ging dann in ihre Stube .Nach dieser Zeit hat man die Zwerghöhle nicht wieder finden können .Sie ging also mit ihm und der	3111	10	proehle_harzsag1_harzsag1.tsv
VMINF	VMFIN		VMINF	können		« Seine Augen hatten sich an die Dunkelheit gewöhnt und er hätte seinen Angreifer erkennen	können	, wäre das Gesicht unbedeckt gewesen ; aber wo das Gesicht sein sollte , war ein schwarzer Fleck .	Gunners an der Tür vorbeigehen hörte .« Seine Augen hatten sich an die Dunkelheit gewöhnt und er hätte seinen Angreifer erkennen können , wäre das Gesicht unbedeckt gewesen ; aber wo das Gesicht sein sollte , war ein schwarzer Fleck .Jetzt mußte sie noch einmal vierundzwanzig Stunden	2076	15	wallacee_handsup_handsup.tsv
VMINF	VMINF		VMINF	können		Und wenn sich endlich dieser Unglückliche vergiftet ; wenn er , nachdem er sich vergiftet , erfährt , daß der Himmel ihn noch retten wollen : was fehlet diesem schmerzlichen und fürchterlichen Augenblicke , wo sich zu den Schrecknissen des Todes marternde Vorstellungen , wie glücklich er habe leben	können	, gesellen ; was fehlt ihm , frage ich , um der Tragödie würdig zu sein ?	verlangen , nichts als Tränen geben .Und wenn sich endlich dieser Unglückliche vergiftet ; wenn er , nachdem er sich vergiftet , erfährt , daß der Himmel ihn noch retten wollen : was fehlet diesem schmerzlichen und fürchterlichen Augenblicke , wo sich zu den Schrecknissen des Todes marternde Vorstellungen , wie glücklich er habe leben können , gesellen ; was fehlt ihm , frage ich , um der Tragödie würdig zu sein ?Was liegt daran , welches der Rang	5058	49	lessing_hamburg_hamburg.tsv
VMINF	VMFIN		VMINF	können		ihr euch noch oft beizeiten mit der Flucht retten	können	.	» Das mag noch hingehen !ihr euch noch oft beizeiten mit der Flucht retten können .« sagte der Fuchs .	6	9	lessing_fabeln_hirschfu.tsv
VMINF	VMFIN		VMINF	können		« Ja , so hatte der sprechen	können	, der mit seinen fünfzigmal zehntausend muskelstarrenden , erlesenen Kriegern , funkelnd im Schmucke seiner haarscharfen Waffen , durch diese Schluchten nach Osten gezogen war .	Auch in mir , Pythagoras !« Ja , so hatte der sprechen können , der mit seinen fünfzigmal zehntausend muskelstarrenden , erlesenen Kriegern , funkelnd im Schmucke seiner haarscharfen Waffen , durch diese Schluchten nach Osten gezogen war .Nein , jetzt ist das , was	5736	7	colerus_pythagor_pythagor.tsv
VMINF	VMFIN		VMINF	können		Es klingt fast wie Satire , wenn man sagt : daß die Weiber einander nicht sehr lieben und leiden	können	, und daß sie mit ihren freundlichen Worten gegeneinander oft mehr der Nachtigall nachahmen , welche nach Bechsteins VermutungDessen Anweisung , Vögel zu fangen .	nichts als nützlich und – schwer .Es klingt fast wie Satire , wenn man sagt : daß die Weiber einander nicht sehr lieben und leiden können , und daß sie mit ihren freundlichen Worten gegeneinander oft mehr der Nachtigall nachahmen , welche nach Bechsteins VermutungDessen Anweisung , Vögel zu fangen .Lavater malte in einer Stufenfolge von vierundzwanzig	587	19	jeanpaul_levana_levana.tsv
VMINF	VMFIN		VMINF	können		Alle seine Schätze würden England nicht einmal den Schwanz eines Adlers geben	können	!	die in den Schlachten › Vorwärts !Alle seine Schätze würden England nicht einmal den Schwanz eines Adlers geben können !Die Schlacht ist verloren .	1645	12	balzac_landlebn_landlebn.tsv
VMINF	VMFIN		VMINF	können		» Ach , meine Seele « , sagte Herr Kortüm und blieb wieder stehen : » Einmal neu beginnen	können	!	« rief eine zornige Stimme .» Ach , meine Seele « , sagte Herr Kortüm und blieb wieder stehen : » Einmal neu beginnen können !« » Machen Sie doch wenigstens kein	16366	19	kluge_kortuem_kortuem.tsv
VMINF	VMINF		VMINF	können		Er hatte sie nicht töten , sich nicht demütigen und in den Staub werfen	können	, wie sein alter Freund , der große , zu Boden geschmetterte alte Mann mit der schmerzerfüllten Greisenhaftigkeit , der im Unglück seines Herzens wieder zum Kinde geworden war .	er selbst sein Glück dabei lassen .Er hatte sie nicht töten , sich nicht demütigen und in den Staub werfen können , wie sein alter Freund , der große , zu Boden geschmetterte alte Mann mit der schmerzerfüllten Greisenhaftigkeit , der im Unglück seines Herzens wieder zum Kinde geworden war .Ach , er litt durch die Vernunft	1382	14	zola_lourdes_lourdes.tsv
VMINF	VMINF		VMINF	können		Sie wird sich nicht halten	können	, war die allgemeine Ansicht .	und Annika war unter ihnen nicht .Sie wird sich nicht halten können , war die allgemeine Ansicht .« Das Wetter war flau geworden ,	2288	5	wichert_fuertot_fuertot.tsv
VMINF	VMINF		VMINF	können		Es hatte viel Mühe gekostet , den alten Staub und Schmutz , die Spinnengewebe und den Wurmfraß so weit fortzuschaffen und wegzuwaschen , um einige dieser Räume notdürftig bewohnbar machen zu	können	.	welche in den obern Stock führte .Es hatte viel Mühe gekostet , den alten Staub und Schmutz , die Spinnengewebe und den Wurmfraß so weit fortzuschaffen und wegzuwaschen , um einige dieser Räume notdürftig bewohnbar machen zu können .« Der Graf von Epaville begab sich	339	31	schueckg_rheider_rheider.tsv
