DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
VMPP	VVFIN		VMPP	sollen		«– » Allerdings , und wie hätte ich es nicht	gesollt	?	» Wirklich ?«– » Allerdings , und wie hätte ich es nicht gesollt ?Als Schuri halblaut den Namen der Schalldirne	1912	10	sue_paris_paris.tsv
VMPP	VVPP		VMPP	wollen		Ich habe nichts getan was schlimm an sich , Doch viel gewollt , gemocht , gewünscht , getrachtet ; Still zugesehen , wenn es andre taten ; Hier Übles nicht	gewollt	, doch zugegriffen Und nicht bedacht daß Übel sich erzeuge .	, da man den Lauf begann .Ich habe nichts getan was schlimm an sich , Doch viel gewollt , gemocht , gewünscht , getrachtet ; Still zugesehen , wenn es andre taten ; Hier Übles nicht gewollt , doch zugegriffen Und nicht bedacht daß Übel sich erzeuge .Es ist des Unglücks eigentlichstes Unglück ,	2248	30	grillprz_medea_medea.tsv
VMPP	VVPP		VMPP	wollen		Gott aber hat dies in seiner Güte und Liebe nicht	gewollt	, und ich bin – « » Als Sie sich vor Ihrer Reise bei mir befanden , waren Sie bereits verliebt !	jetzt vorhaben , geradezu geboren bin .Gott aber hat dies in seiner Güte und Liebe nicht gewollt , und ich bin – « » Als Sie sich vor Ihrer Reise bei mir befanden , waren Sie bereits verliebt !» Nein , im Gegentheile .	3283	10	may_ulan05_ulan05.tsv
VMPP	VVPP		VMPP	wollen		Wenn Theseus auch	gewollt	hätte , und er verlangte wirklich nach den Buttersemmeln , das Geschick und der Schiffer Ulrich wollten nicht .	hatte das Frühstück im Stiche gelassen .Wenn Theseus auch gewollt hätte , und er verlangte wirklich nach den Buttersemmeln , das Geschick und der Schiffer Ulrich wollten nicht .Es wäre eine Schande für die Abendzeitung	1164	3	laube_biederme_biederme.tsv
VMPP	VVPP		VMPP	wollen		Und die Leser würden sagen : » Dieser Friedell ist ein Idiot « , und die Schauspieler : » Dieser Friedell ist ein Schwein « , und die Schauspielerinnen : » Er hat eben von mir nicht erreicht , was er	gewollt	hat .	Was wäre also die Folge ?Und die Leser würden sagen : » Dieser Friedell ist ein Idiot « , und die Schauspieler : » Dieser Friedell ist ein Schwein « , und die Schauspielerinnen : » Er hat eben von mir nicht erreicht , was er gewollt hat .Wir brauchen außerdem auch Sammlung : zu	3292	41	friedell_wozuthea_wozuthea.tsv
VMPP	VVPP		VMPP	wollen		Anstatt weiter nach Paris zu gehen , was er ursprünglich	gewollt	, eilt er spornstreichs nach Falkenburg zu seinen Eltern zurück ; erklärt , daß er ohne Carola nicht leben könne , und scheint keine Mühe gehabt zu haben , jene für seine Wünsche zu stimmen .	Herren im Kloster für unstatthaft galt .Anstatt weiter nach Paris zu gehen , was er ursprünglich gewollt , eilt er spornstreichs nach Falkenburg zu seinen Eltern zurück ; erklärt , daß er ohne Carola nicht leben könne , und scheint keine Mühe gehabt zu haben , jene für seine Wünsche zu stimmen .Am Tage , nachdem ich abgereist ,	4804	10	spielhag_frgebor_frgebor.tsv
VMPP	VVPP		VMPP	wollen		Stephanie hatte	gewollt	, ihr Günstling sollte wie sie gekleidet sein , ihr Bett sollte an der Seite des ihrigen stehen , es sollte ihr an nichts mangeln ; die gute Großmutter hatte Alles bewilligt , so daß Zizine behandelt wurde , als ob sie zur Familie gehörte .	, weil Zizine nicht dabei war .Stephanie hatte gewollt , ihr Günstling sollte wie sie gekleidet sein , ihr Bett sollte an der Seite des ihrigen stehen , es sollte ihr an nichts mangeln ; die gute Großmutter hatte Alles bewilligt , so daß Zizine behandelt wurde , als ob sie zur Familie gehörte .« » Nehmen Sie , was Ihnen	1933	2	kock_zizine_zizine.tsv
VMPP	VVPP		VMPP	wollen		Während dieser Zeit horchte ich aufmerksam auf das , was hinter mir gesagt wurde ; wenn die Marquise	gewollt	hätte , dass ich es nicht hörte , würde sie gewiss ihrem Gemahl den Wink gegeben haben , leiser zu sprechen .	, wieder nach Hause zu kommen .Während dieser Zeit horchte ich aufmerksam auf das , was hinter mir gesagt wurde ; wenn die Marquise gewollt hätte , dass ich es nicht hörte , würde sie gewiss ihrem Gemahl den Wink gegeben haben , leiser zu sprechen .« unterbrach sie .	1300	18	louvet_faublas2_faublas2.tsv
VMPP	VVFIN		VMPP	wollen		Was ich	gewollt	, das werd ich immer wollen .	, du einz'ger , treubewährter Freund !Was ich gewollt , das werd ich immer wollen .Doch sieh' , der Himmel will mir	329	2	corneill_cinna_Kopie_von_cinna.tsv
VMPP	VMPP		VMPP	wollen		Stellte sie mit mühsamer Selbstbeherrschung das Personal zur Rede , ließ sie sich Herrn Trübsand oder Fräulein Traube kommen , so zogen diese höchst verlegene Gesichter und versicherten achselzuckend mit einem hilflosen Ausdruck im Gesicht : » Die jungen Salomons haben es so	gewollt	.	Toten , vom Schlafe der Lebenden .Stellte sie mit mühsamer Selbstbeherrschung das Personal zur Rede , ließ sie sich Herrn Trübsand oder Fräulein Traube kommen , so zogen diese höchst verlegene Gesichter und versicherten achselzuckend mit einem hilflosen Ausdruck im Gesicht : » Die jungen Salomons haben es so gewollt .» Ja , wie kommst Du denn	4329	43	hollaend_salomons_salomons.tsv
VMPP	VMPP		VMPP	wollen		Wie sah er denn auch nur gerade heute den alten Mevissen so ernst und feierlich in seinem Stuhl sitzen , den treuen Hüter der Geheimnisse , die so ganz , ganz anders , als vielleicht sein Vater	gewollt	, in sein Leben eingriffen – !	geben , daß sie ihn liebten .Wie sah er denn auch nur gerade heute den alten Mevissen so ernst und feierlich in seinem Stuhl sitzen , den treuen Hüter der Geheimnisse , die so ganz , ganz anders , als vielleicht sein Vater gewollt , in sein Leben eingriffen – !Das stille Leben eines Landpfarrers hatte ihm	4021	37	gutzkow_zauber8_zauber8.tsv
VMPP	VMPP		VMPP	wollen		Ich gedachte oft , mich für einen Hermaphroditen auszugeben , ob ich vielleicht dardurch erlangen möchte , öffentlich Hosen zu tragen und für einen jungen Kerl zu passirn ; hergegen hatte ich aber durch meine unmäßigen Begierden so viel Kerl empfinden lassen , wer ich wäre , daß ich das Herz nicht hatte , ins Werk zu setzen , was ich gerne	gewollt	; denn so viel Zeugen würden sonst ein anders von mir gesagt und verursacht haben , daß es dahin kommen wäre , daß mich beides Medici und Hebammen beschauen müßten .	Aber was wars drum ?Ich gedachte oft , mich für einen Hermaphroditen auszugeben , ob ich vielleicht dardurch erlangen möchte , öffentlich Hosen zu tragen und für einen jungen Kerl zu passirn ; hergegen hatte ich aber durch meine unmäßigen Begierden so viel Kerl empfinden lassen , wer ich wäre , daß ich das Herz nicht hatte , ins Werk zu setzen , was ich gerne gewollt ; denn so viel Zeugen würden sonst ein anders von mir gesagt und verursacht haben , daß es dahin kommen wäre , daß mich beides Medici und Hebammen beschauen müßten .Beide Teil sagten , ich wäre der	131	62	grimmels_courasch_courasch.tsv
VMPP	VVFIN		VMPP	wollen		Wronskiy führte das Rennen und that somit , was er	gewollt	, und was ihm Kord geraten hatte – jetzt war er seines Erfolges sicher .	– » Etwa eine halbe Stunde .Wronskiy führte das Rennen und that somit , was er gewollt , und was ihm Kord geraten hatte – jetzt war er seines Erfolges sicher .« » Ich sage nur das Eine	9865	10	tolstoi_annakar1_annakar1.tsv
VMPP	VMPP		VMPP	wollen		« » Daß doch jeder verlangt , man soll ihm glauben , « antwortete der Schüler : » Hätte ich aber das	gewollt	, wäre ich dort geblieben bei meinen Rabbinen , vielleicht wäre mir 's gelungen , noch ein Stockwerk auf den babylonischen Talmudbau zu zimmern , der mit dem Ende in den Himmel hineinragen soll ; ich aber will Erkenntnis , will Gewißheit .	brauchte ich die Bibel gar nicht .« » Daß doch jeder verlangt , man soll ihm glauben , « antwortete der Schüler : » Hätte ich aber das gewollt , wäre ich dort geblieben bei meinen Rabbinen , vielleicht wäre mir 's gelungen , noch ein Stockwerk auf den babylonischen Talmudbau zu zimmern , der mit dem Ende in den Himmel hineinragen soll ; ich aber will Erkenntnis , will Gewißheit .» Nein , ich kann nicht ,	4024	22	auerbach_spinoza_spinoza.tsv
VMPP	VMPP		VMPP	wollen		Die auf dieser errichtete Burg hieß » der Vestenstein « ; auch der Ursprung ihrer Benennung war nicht mehr bekannt , ob der Erbauer sie damit als den » festen Stein « bezeichnen	gewollt	oder nach uns vielfach bräuchlich gewesener Weise sich eine Zurufs-Namenbildung » Faß-den-Stein !	Der Emporsteigende erschrak beinahe .Die auf dieser errichtete Burg hieß » der Vestenstein « ; auch der Ursprung ihrer Benennung war nicht mehr bekannt , ob der Erbauer sie damit als den » festen Stein « bezeichnen gewollt oder nach uns vielfach bräuchlich gewesener Weise sich eine Zurufs-Namenbildung » Faß-den-Stein !Ach Gott , wüßt sie nur mein	428	33	jensen_vestenst_vestenst.tsv
VMPP	VMPP		VMPP	wollen		Mit sich allein , abgeschieden , als wären sie gar nicht auf der Welt , träumten sie , aber anders , als es die Amazone	gewollt	, zu zweien , Hand in Hand geschlungen , Aug in Auge versunken .	neckische Spiel der zwei letzten Tage .Mit sich allein , abgeschieden , als wären sie gar nicht auf der Welt , träumten sie , aber anders , als es die Amazone gewollt , zu zweien , Hand in Hand geschlungen , Aug in Auge versunken .Auf den Zehen schleichen wir hinaus ,	1442	25	dingelst_amazone_amazone.tsv
