DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
VVFIN	VVFIN		VVFIN	auferlegen		Dies plötzliche nun in die Verbannung und in einen Kerker gerufene Glück hatte sogar etwas Romantisches für die Welt , die im Grunde das Regelwidrige dem Regelmäßigen vorzieht , nur darf sie es in ihren nächsten Interessen nicht berühren und ihr nicht irgend welche Opfer	auferlegen	.	der Gerechtigkeit schon müssen aufhalten lassen .Dies plötzliche nun in die Verbannung und in einen Kerker gerufene Glück hatte sogar etwas Romantisches für die Welt , die im Grunde das Regelwidrige dem Regelmäßigen vorzieht , nur darf sie es in ihren nächsten Interessen nicht berühren und ihr nicht irgend welche Opfer auferlegen .Warum sollte man das Ergebniß jener zweihundertjährigen	24893	45	gutzkow_ritter_ritter.tsv
VVFIN	VVFIN		VVFIN	bleiben		Du	bleibst	hier und schwörst , oder du kommst in des Rates Gefängnis .	Dresden mit ihm wider uns aufreizest !Du bleibst hier und schwörst , oder du kommst in des Rates Gefängnis .Ihrer Hunderte oder Taufende sind erstochen ,	7	1	schrecke_meyenbur_meyenbur.tsv
VVFIN	VVFIN		VVFIN	brauchen		Ich	brauch'	ihn !	Nein , das will ich nicht !Ich brauch' ihn !Und der Hals mußte frei sein .	1986	1	buelowf_novellen_novellen.tsv
VVFIN	VVFIN		VVFIN	dringen		Besonders ein Wort des Vorsitzenden	drang	Diethelm ins Herz , denn er hatte gesagt : Ein Verbrechen , das ungesühnt in der Seele ruht , gleicht dem Brand in einem Kohlenbergwerk ; man stopft es zu und will das Feuer ersticken , aber es brennt weiter , unterirdisch , ungesehen , und eine Öffnung , die sich auftut , läßt die Flamme emporschlagen .	» Da hilft kein ' Sympathie .Besonders ein Wort des Vorsitzenden drang Diethelm ins Herz , denn er hatte gesagt : Ein Verbrechen , das ungesühnt in der Seele ruht , gleicht dem Brand in einem Kohlenbergwerk ; man stopft es zu und will das Feuer ersticken , aber es brennt weiter , unterirdisch , ungesehen , und eine Öffnung , die sich auftut , läßt die Flamme emporschlagen .Hat mein Vater verkauft ?	1525	5	auerbach_diethelm_diethelm.tsv
VVFIN	VVFIN		VVFIN	erkennen		Wie ich genauer hinsehe ,	erkenne	ich in allen Dingen dieselbe Schwermut , jeder Menschenblick ist ängstlich und falsch , jeder Ton gebrochen ... Auf allen Dingen liegt ein grauer Nebel , der jedes Licht verdeckt und jede Freude erstickt .	Wir fahren immer weiter und weiter .Wie ich genauer hinsehe , erkenne ich in allen Dingen dieselbe Schwermut , jeder Menschenblick ist ängstlich und falsch , jeder Ton gebrochen ... Auf allen Dingen liegt ein grauer Nebel , der jedes Licht verdeckt und jede Freude erstickt .Daß er ein Mensch war , der	1600	5	antholog_pfeiffen_pfeiffen.tsv
VVFIN	VVFIN		VVFIN	erzählen		Darab	erzählte	, daß man Schehanna in dem Viertel der Eingeborenen gefunden hatte – hilflos und verstört , von Tür zu Tür schwankend , um nach ihrer Mutter zu fragen .	er wieder seiner Stimme Herr wurde .Darab erzählte , daß man Schehanna in dem Viertel der Eingeborenen gefunden hatte – hilflos und verstört , von Tür zu Tür schwankend , um nach ihrer Mutter zu fragen .Aber laßt uns den Todeskampf kurz machen	1893	1	bruun_unbgott2_unbgott2.tsv
VVFIN	VVFIN		VVFIN	gleichen		Besonders ein Wort des Vorsitzenden drang Diethelm ins Herz , denn er hatte gesagt : Ein Verbrechen , das ungesühnt in der Seele ruht ,	gleicht	dem Brand in einem Kohlenbergwerk ; man stopft es zu und will das Feuer ersticken , aber es brennt weiter , unterirdisch , ungesehen , und eine Öffnung , die sich auftut , läßt die Flamme emporschlagen .	» Da hilft kein ' Sympathie .Besonders ein Wort des Vorsitzenden drang Diethelm ins Herz , denn er hatte gesagt : Ein Verbrechen , das ungesühnt in der Seele ruht , gleicht dem Brand in einem Kohlenbergwerk ; man stopft es zu und will das Feuer ersticken , aber es brennt weiter , unterirdisch , ungesehen , und eine Öffnung , die sich auftut , läßt die Flamme emporschlagen .Hat mein Vater verkauft ?	1525	25	auerbach_diethelm_diethelm.tsv
VVFIN	VVFIN		VVFIN	hinsehen		Wie ich genauer	hinsehe	, erkenne ich in allen Dingen dieselbe Schwermut , jeder Menschenblick ist ängstlich und falsch , jeder Ton gebrochen ... Auf allen Dingen liegt ein grauer Nebel , der jedes Licht verdeckt und jede Freude erstickt .	Wir fahren immer weiter und weiter .Wie ich genauer hinsehe , erkenne ich in allen Dingen dieselbe Schwermut , jeder Menschenblick ist ängstlich und falsch , jeder Ton gebrochen ... Auf allen Dingen liegt ein grauer Nebel , der jedes Licht verdeckt und jede Freude erstickt .Daß er ein Mensch war , der	1600	3	antholog_pfeiffen_pfeiffen.tsv
VVFIN	VVFIN		VVFIN	hören		Er scheint sich nicht schlecht gehalten zu haben , wenn man ihn	hört	.	wir Ulmer die Wiener überflügelt hätten ?Er scheint sich nicht schlecht gehalten zu haben , wenn man ihn hört .Meine Tante schreibt mir , er sei	4745	12	eyth_ulm_ulm.tsv
VVFIN	VVFIN		VVFIN	kommen		Du bleibst hier und schwörst , oder du	kommst	in des Rates Gefängnis .	Dresden mit ihm wider uns aufreizest !Du bleibst hier und schwörst , oder du kommst in des Rates Gefängnis .Ihrer Hunderte oder Taufende sind erstochen ,	7	8	schrecke_meyenbur_meyenbur.tsv
