DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
VVIMP	VVFIN		NE	bergen		Hab' Mitleid ,	birg	nicht überreiche Gabe , Der Welt Anrecht , in dir und in dem Grabe .	selbst gesinnt , dein eigner Feind .Hab' Mitleid , birg nicht überreiche Gabe , Der Welt Anrecht , in dir und in dem Grabe .Wir wünschen Blüte der Vollkommenheit , Auf	403	3	shakespr_sonett_sonett1a.tsv
VVIMP	VVFIN		VVFIN	ergreifen		Eine hübsche junge Dame in der siebzehnten Reihe (	ergreift	den fremden Herrn am Kragen ) .	noch von der » Cameliendame « .Eine hübsche junge Dame in der siebzehnten Reihe ( ergreift den fremden Herrn am Kragen ) .Und die Anna Boleyn kann nicht auch	23	9	presber_theater_theater.tsv
VVIMP	NN		VVIMP	geben			Gebt	Raum , daß ich sie wegführe , damit sie ihre Strafe für ihr Verbrechen finden möge .	mit dem Gedanken an Indien ausgesöhnt .Gebt Raum , daß ich sie wegführe , damit sie ihre Strafe für ihr Verbrechen finden möge .Glaubt Ihr denn , ich hätte mich	2043	0	scott_hochhexe_hochhexe.tsv
VVIMP	NE		VVFIN	gehen		»	Geh	du voran , lieber Freund .	es mit dieser Sache in Beziehung ?» Geh du voran , lieber Freund .» Hat sie dir etwas mitgeteilt ?	3370	1	elvestad_feind_feind.tsv
VVIMP	NE		ADJA	grüßen		Nicht weit von der Kirchenthüre stand die Bärbel seiner harrend ; indem sie ihr Gesangbuch hart an die Brust drückte , sagte sie zu Reinhard : »	Grüß	Gott !	können auch bei dem Verein sein ?Nicht weit von der Kirchenthüre stand die Bärbel seiner harrend ; indem sie ihr Gesangbuch hart an die Brust drückte , sagte sie zu Reinhard : » Grüß Gott !Um den Tisch unter dem Nußbaum saß	1406	27	auerbach_dorfg03_dorfg03.tsv
VVIMP	NE		NN	halten		« – »	Halt	!	– » Gewiß .« – » Halt !« fragte der Großherzog .	9336	3	may_waldro31_waldro31.tsv
VVIMP	NE		NN	halten		« »	Halt	, ich protestiere !	die goldene Kette in die Hand .« » Halt , ich protestiere !« Deshalb habe ich dich zum Zweikampf	5775	2	kraftr_kaiserk2_kaiserk2.tsv
VVIMP	NE		NN	heiraten		« »	Heirate	überhaupt nie , Dorian .	ich will dir meine Seele zeigen .« » Heirate überhaupt nie , Dorian .Ihre Begleiterin sah mit neidischen Blicken zu	3689	2	wilde_dorian_gray.tsv
VVIMP	VVFIN		VVFIN	hören		–	hört	ihn an !	« Er schleuderte ihn von sich .– hört ihn an !» So – o ... So ...	1138	1	lie_grossvat_grossvat.tsv
VVIMP	NE		VVIMP	lassen			Laß	ihn , laß mich , Laß uns nicht aufgeopfert werden !	Erbarmung , Gebieterin !Laß ihn , laß mich , Laß uns nicht aufgeopfert werden !Um deine Hülfe , Gnädigste !	729	0	kleist_schroff_schroff.tsv
VVIMP	NE		VVIMP	lassen		Laß ihn , laß mich ,	Laß	uns nicht aufgeopfert werden !	Erbarmung , Gebieterin !Laß ihn , laß mich , Laß uns nicht aufgeopfert werden !Um deine Hülfe , Gnädigste !	729	6	kleist_schroff_schroff.tsv
VVIMP	VVFIN		VVFIN	lassen		Wart ein Weilchen Und	laß	das Fräulein sitzen .	( Eine riesige Schildkröte kommt gekrochen .Wart ein Weilchen Und laß das Fräulein sitzen .Ich schaff dir einen Stuhl .	2704	4	ernst_ortrun_ortrun.tsv
VVIMP	VVFIN		VVFIN	lassen		Laß ihn ,	laß	mich , Laß uns nicht aufgeopfert werden !	Erbarmung , Gebieterin !Laß ihn , laß mich , Laß uns nicht aufgeopfert werden !Um deine Hülfe , Gnädigste !	729	3	kleist_schroff_schroff.tsv
VVIMP	VVFIN		VVFIN	lassen		« » Na ,	laß	nur Otto wiederkommen .	» Komm mir nicht mit Beleidigungen .« » Na , laß nur Otto wiederkommen .« Martha fuhr auf und entzog Maria	4291	4	wiesebac_erundich_erundich.tsv
VVIMP	VVIMP		VVIMP	retten			Rettet	euch selber , indem ihr Rußland rettet und meine Heimat dazu !	der Deutschland jetzt schon notgedrungen feilscht .Rettet euch selber , indem ihr Rußland rettet und meine Heimat dazu !Dem Frieden der russischen Jesellschaft !	5670	0	stratz_lichtost_lichtost.tsv
VVIMP	ADJA		VVIMP	s.		Wie weit das Wachstum des Egoismus oder der Ich-Sucht seinen Giftbaum-Schatten wirft , sehen wir sogar aus der Wahl der jetzigen Freuden , welche meist in einem Post- und Wirtshaus-Leben bestehen ; wie der Anwachs der Klubs , Harmonien , Museen u.	s.	w. bezeugt .	in die kurzen Gelegenheits-Sprüche einzupressen sind .Wie weit das Wachstum des Egoismus oder der Ich-Sucht seinen Giftbaum-Schatten wirft , sehen wir sogar aus der Wahl der jetzigen Freuden , welche meist in einem Post- und Wirtshaus-Leben bestehen ; wie der Anwachs der Klubs , Harmonien , Museen u. s. w. bezeugt .Und ohnehin viel Bücher , besonders wenn	160	42	jeanpaul_friedens_friedens.tsv
VVIMP	NN		NN	schicken		Oll Bräuker drift mit sine Ossen furt Un is in Ganzen gaud tau	Schick	, Doch de oll Bramwin hett sin Nück , Un as’t en beten länger durt , Ward em tau Sinn so schwerenothschen : Em is , as fang ’n de Ossen an tau danzen , Un danzten vör em einen Schott’schen : Un wat dat Düllst noch is : up einmal warden ’t acht .	sei drünk all unner ’n Disch .Oll Bräuker drift mit sine Ossen furt Un is in Ganzen gaud tau Schick , Doch de oll Bramwin hett sin Nück , Un as’t en beten länger durt , Ward em tau Sinn so schwerenothschen : Em is , as fang ’n de Ossen an tau danzen , Un danzten vör em einen Schott’schen : Un wat dat Düllst noch is : up einmal warden ’t acht .Un wenn Ji Einen kennt , dei	1823	13	reuter_laeus1_laeus1.tsv
VVIMP	VVIMP		VVIMP	sehen			Siehe	, schon fühlst du , daß dir die Weisheit kommt und machst gute Erfahrung , sitze also fein ruhig , bis du klüger wirst .	» Halt !Siehe , schon fühlst du , daß dir die Weisheit kommt und machst gute Erfahrung , sitze also fein ruhig , bis du klüger wirst .« Also ließ der Schüler ihn herunter	8849	0	grimm_khmaerch_khmaerch.tsv
VVIMP	VVFIN		VVFIN	sehen		Und	sieh	, Melanie , weiter will ich auch jetzt nichts , oder sag' ich lieber , will ich auch in Zukunft nichts .	mir geplaudert und gelacht und gescherzt .Und sieh , Melanie , weiter will ich auch jetzt nichts , oder sag' ich lieber , will ich auch in Zukunft nichts .Also nichts von Liebe .	2078	1	fontane_adultera_adultera.tsv
VVIMP	VVIMP		VVIMP	sehen		Doch	siehe	jetzt ein weiß Gesandtenfähnlein lachen !	ist eine vom Olymp dort oben !Doch siehe jetzt ein weiß Gesandtenfähnlein lachen !» Und mächtig rief des Schulzen Tugendwehgeschrei	3867	1	spittelr_olympfr_olympfr.tsv
VVIMP	VVIMP		VVIMP	sehen		Nahe der alten Schiffbrücke beim Holztor legte das Schiff an , und	siehe	, da war das schimmernde Kreuz kein Luftgebilde ; sondern ein ehernes kunstvolles Kruzifix von wundersamer Meisterarbeit .	das Volk aber nennt sie Heiligkreuz .Nahe der alten Schiffbrücke beim Holztor legte das Schiff an , und siehe , da war das schimmernde Kreuz kein Luftgebilde ; sondern ein ehernes kunstvolles Kruzifix von wundersamer Meisterarbeit .rief er – und seitdem liegt auf	7366	12	bechstei_dtsagen_dtsagen.tsv
VVIMP	VVFIN		ADJD	tauen		Pussehl kumm , mi is dat hier	tau	grugelich .	Dann freut er sich !Pussehl kumm , mi is dat hier tau grugelich .Dann freut er sich !	1145	7	seidelh_flemmin2_flemmin2.tsv
VVIMP	VVFIN		VVFIN	vergessen		Deßhalb	vergeßt	Alles , was Ihr von mir gehört haben mögt , ob es gleich wahr ist , und wendet Euch auf die Wege des Binnenlandes .	sie so gut als Euch berücksichtigen .Deßhalb vergeßt Alles , was Ihr von mir gehört haben mögt , ob es gleich wahr ist , und wendet Euch auf die Wege des Binnenlandes .Ich will nicht sagen , daß ,	4835	1	cooper_steppe_steppe.tsv
VVIMP	NE		NN	verzeihen		Da kam sie schnell herzu und sagte leise : »	Verzeih	.	Auch nach rückwärts sich bemüht .Da kam sie schnell herzu und sagte leise : » Verzeih .Sie hatte sich um das , was	392	10	ponten_7quellen_7quellen.tsv
