DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
VVINF	VVINF		VVINF	bedenken		Der Präsident erteilte jedoch Kozina eine strenge Rüge und fügte hinzu , dass nach allem , was bisher sichergestellt wurde , die Choden sich ihrer Obrigkeit gegenüber wie Rebellen benommen haben , und insbesondere er , Kozina , möge	bedenken	, was hier auf dem Spiele stehe .	und verschwand dann in der Menge .Der Präsident erteilte jedoch Kozina eine strenge Rüge und fügte hinzu , dass nach allem , was bisher sichergestellt wurde , die Choden sich ihrer Obrigkeit gegenüber wie Rebellen benommen haben , und insbesondere er , Kozina , möge bedenken , was hier auf dem Spiele stehe .Der Greis hob die Hand und segnete	3059	39	jirasek_chodisch_chodisch.tsv
VVINF	VVINF		VVINF	befreien		Wenn ihr › Nüchternen ‹ doch nicht in so törichter Weise glaubtet , das Geheimnis des Seins von seinem Schleier	befreien	zu können .	, seines Eigentums wäre niemand sicher .Wenn ihr › Nüchternen ‹ doch nicht in so törichter Weise glaubtet , das Geheimnis des Seins von seinem Schleier befreien zu können .» Wie kannst du im Ernste solche	119	20	lasswitz_erz_nullpnk2.tsv
VVINF	VVINF		VVFIN	bramarbasieren		In Italien , mochte der aus Venedig	bramarbasieren	, weiß jeder Anfänger besser Bescheid .	seinen dunklen Andeutungen nicht recht klug .In Italien , mochte der aus Venedig bramarbasieren , weiß jeder Anfänger besser Bescheid .Ihm sollte er nicht alle Entwürfe willig	1337	7	pastor_duerer_duerer.tsv
VVINF	VVFIN		VVINF	emporschlagen		Besonders ein Wort des Vorsitzenden drang Diethelm ins Herz , denn er hatte gesagt : Ein Verbrechen , das ungesühnt in der Seele ruht , gleicht dem Brand in einem Kohlenbergwerk ; man stopft es zu und will das Feuer ersticken , aber es brennt weiter , unterirdisch , ungesehen , und eine Öffnung , die sich auftut , läßt die Flamme	emporschlagen	.	» Da hilft kein ' Sympathie .Besonders ein Wort des Vorsitzenden drang Diethelm ins Herz , denn er hatte gesagt : Ein Verbrechen , das ungesühnt in der Seele ruht , gleicht dem Brand in einem Kohlenbergwerk ; man stopft es zu und will das Feuer ersticken , aber es brennt weiter , unterirdisch , ungesehen , und eine Öffnung , die sich auftut , läßt die Flamme emporschlagen .Hat mein Vater verkauft ?	1525	62	auerbach_diethelm_diethelm.tsv
VVINF	VVPP		VVINF	erfahren		Warum wollt Ihr denn bloß wissen , worin des Christen Bestimmung und Beruf bestehe , warum nicht vor Allem	erfahren	, was des Menschen würdig ist ?	Zuhörer in Menge um sich versammeln !Warum wollt Ihr denn bloß wissen , worin des Christen Bestimmung und Beruf bestehe , warum nicht vor Allem erfahren , was des Menschen würdig ist ?Laßt die Lehrer , die man Prediger	91	19	stirner_texte_gegenwor.tsv
VVINF	VVINF		VVINF	erhalten		Livius gibt zwar nur einen Grund seiner Verstellung an , nämlich den , in Sicherheit zu leben und sich sein Erbe zu	erhalten	.	Schlacht nahm ihr Feuer noch zu .Livius gibt zwar nur einen Grund seiner Verstellung an , nämlich den , in Sicherheit zu leben und sich sein Erbe zu erhalten .Denn wenn ihnen der Sieg nicht beim	4164	22	machiave_itagesch_itagesch.tsv
VVINF	VVINF		VVINF	erkiesen		Prinz Biribinker , sagte die Hummel , wenn sie Langeweile haben , so versichere ich sie , daß es mir noch schlimmer geht : Die Fee Melisotte , unsre Königin , hat mir seit etlichen Wochen die Ehre angethan , mich zu ihrem Liebling zu	erkiesen	; aber ich gestehe ihnen , daß ich der Last meines Amtes nicht gewachsen bin .	Sapperment !Prinz Biribinker , sagte die Hummel , wenn sie Langeweile haben , so versichere ich sie , daß es mir noch schlimmer geht : Die Fee Melisotte , unsre Königin , hat mir seit etlichen Wochen die Ehre angethan , mich zu ihrem Liebling zu erkiesen ; aber ich gestehe ihnen , daß ich der Last meines Amtes nicht gewachsen bin .Sey es so , weil ihrs für	886	45	wieland_sylvio_sylvio.tsv
VVINF	VVINF		VVINF	ersticken		Besonders ein Wort des Vorsitzenden drang Diethelm ins Herz , denn er hatte gesagt : Ein Verbrechen , das ungesühnt in der Seele ruht , gleicht dem Brand in einem Kohlenbergwerk ; man stopft es zu und will das Feuer	ersticken	, aber es brennt weiter , unterirdisch , ungesehen , und eine Öffnung , die sich auftut , läßt die Flamme emporschlagen .	» Da hilft kein ' Sympathie .Besonders ein Wort des Vorsitzenden drang Diethelm ins Herz , denn er hatte gesagt : Ein Verbrechen , das ungesühnt in der Seele ruht , gleicht dem Brand in einem Kohlenbergwerk ; man stopft es zu und will das Feuer ersticken , aber es brennt weiter , unterirdisch , ungesehen , und eine Öffnung , die sich auftut , läßt die Flamme emporschlagen .Hat mein Vater verkauft ?	1525	40	auerbach_diethelm_diethelm.tsv
VVINF	VVINF		VVINF	fallen		Wo blieb da der Schutzengel , der ungesehen kein Haar von unserm Haupte	fallen	läßt ?	die andern Opfer jener blutigen Mainacht ?Wo blieb da der Schutzengel , der ungesehen kein Haar von unserm Haupte fallen läßt ?Hat Gott nicht zugelassen , daß euer	2598	13	dahn_julian_julian.tsv
VVINF	VVFIN		VVINF	finden		« » Sie haben recht , « sagte er mit flüsternder Stimme , » sehen Sie nach , ob Sie das Gesuchte	finden	.	dessen vornehm nachlässiger und degagierter Haltung .« » Sie haben recht , « sagte er mit flüsternder Stimme , » sehen Sie nach , ob Sie das Gesuchte finden .Daneben berichtete man ausführlich von der Begegnung	3685	22	meding_euromine_euromine.tsv
VVINF	VVFIN		VVINF	halten		Ich dachte das große Spital müßte ihn locken , und ich wenigstens würde ihn für eine Person erster Linie	halten	.	1825-1882 ) , Kliniker in Heidelberg .Ich dachte das große Spital müßte ihn locken , und ich wenigstens würde ihn für eine Person erster Linie halten .Weber , den ich sehr wenig kenne	1608	19	ebstein_arztbrie_arztbrie.tsv
VVINF	VVFIN		VVINF	knallen		An Staub und Hitze und brüllende Ochsen und Kaffern , die mit langen Peitschen	knallen	, und an eine üppige Matratze im Wagen , auf der der Ouwbaas liegt .	der richtige Ausdruck für so etwas ?An Staub und Hitze und brüllende Ochsen und Kaffern , die mit langen Peitschen knallen , und an eine üppige Matratze im Wagen , auf der der Ouwbaas liegt .– Auf Pad ?	2408	14	faber_tausend_tausend.tsv
