DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
VVIZU	VVFIN		VVIZU	abbrechen		Sie beeilte sich , den Kopf wieder unter dem Kranze hervorzuziehen , und schritt auf ihn zu , um seinem Grimm durch irgend ein scherzendes Wort die Spitze	abzubrechen	.	der üppigen grünen Umrahmung gewahr ward .Sie beeilte sich , den Kopf wieder unter dem Kranze hervorzuziehen , und schritt auf ihn zu , um seinem Grimm durch irgend ein scherzendes Wort die Spitze abzubrechen .» Sehr wohl , Herr Baron !	958	28	wolzogen_thronfo2_thronfo2.tsv
VVIZU	VVIZU		VVIZU	abliefern		Ich sehe mich um in dem Lokahle und sehe dort verschiedene Gesichter , die imstande waren , ihren eigenen Vater und Mutter an Moses Löwenthalen	abzuliefern	.	Hunde in die Vossische Zeitung setzen !Ich sehe mich um in dem Lokahle und sehe dort verschiedene Gesichter , die imstande waren , ihren eigenen Vater und Mutter an Moses Löwenthalen abzuliefern .Nun tun Sie mir den Gefallen und	553	25	reuter_braesig_braesig.tsv
VVIZU	VVIZU		VVIZU	anblasen		Als wenn er von den äußersten Grenzen der Erde daherkäme , um Toby	anzublasen	.	wußte davon ein Lied zu singen .Als wenn er von den äußersten Grenzen der Erde daherkäme , um Toby anzublasen .Im Winter zu warten war 's freilich	5024	13	dickens_3weihnac_3weihnac.tsv
VVIZU	VVIZU		VVIZU	anbringen		Als ich , wie mir der Narr , der schöne Bogislaus gerathen hatte , von hinten an ihn heranzukommen suchte , um ihm meinen Dank für den Doktor der Weltweisheit mit Rührung	anzubringen	, und Sie mich mit aus seiner Stube schoben , um , wie Sie sagten , der greulichen Scene ein Ende zu machen , da habe ich freilich schon merken können , in was für einer heiteren Schule er Sie gehabt hat , Rosine .	Können Sie Verwesung riechen ?Als ich , wie mir der Narr , der schöne Bogislaus gerathen hatte , von hinten an ihn heranzukommen suchte , um ihm meinen Dank für den Doktor der Weltweisheit mit Rührung anzubringen , und Sie mich mit aus seiner Stube schoben , um , wie Sie sagten , der greulichen Scene ein Ende zu machen , da habe ich freilich schon merken können , in was für einer heiteren Schule er Sie gehabt hat , Rosine .Können Sie Blut sehen ?	2986	32	raabe_lar_lar.tsv
VVIZU	VVIZU		VVIZU	anklagen		« – » Und wenn es genügt ,	anzuklagen	, wird man keinen mehr freisprechen können « , erwiderte ich und sprang auf von dem Tribunal .	, weise ich die Klage ab .« – » Und wenn es genügt , anzuklagen , wird man keinen mehr freisprechen können « , erwiderte ich und sprang auf von dem Tribunal .Neulich verklagt bei mir ein solcher Angeber	7620	8	dahn_julian_julian.tsv
VVIZU	VVIZU		VVIZU	ansehen		Vor uns stand der Nezanum , ein alter Kurde , dem der Schreck	anzusehen	war , und ein jüngerer Stammesgenosse , den ich sofort erkannte .	unter den Vorwürfen der andern da .Vor uns stand der Nezanum , ein alter Kurde , dem der Schreck anzusehen war , und ein jüngerer Stammesgenosse , den ich sofort erkannte .« » Ja , « stieß er	7915	13	may_frmdpfad_0inhalt.tsv
VVIZU	VVFIN		VVIZU	auffordern		Ich bin belohnt genug , daß ich nicht zu spät kam , um seine Rechnung und sein Vergehn gegen Sie ins Gleiche zu bringen , und durch meine Anzeige die Polizei	aufzufordern	, ihm das Handwerk , wo nicht ganz zu legen , doch solchem eine zweckmäßigere Richtung für das gemeine Beste zu geben .	über alle gemeine Mitgesellen seiner Kunst .Ich bin belohnt genug , daß ich nicht zu spät kam , um seine Rechnung und sein Vergehn gegen Sie ins Gleiche zu bringen , und durch meine Anzeige die Polizei aufzufordern , ihm das Handwerk , wo nicht ganz zu legen , doch solchem eine zweckmäßigere Richtung für das gemeine Beste zu geben .« Wie Sabathier am Ende seines lehrreichen	9450	31	thuemmel_provinz_provinz.tsv
VVIZU	VVIZU		VVIZU	aufnehmen		Das göttlich Gute , das vom Herrn ausgeht , wird allen im Himmel im allgemeinen und einzelnen mitgeteilt , doch allenthalben nach der Fähigkeit es	aufzunehmen	, denn einige nehmen wenig auf , und andere viel .	aus dem himmlisch Guten ; 9511 .Das göttlich Gute , das vom Herrn ausgeht , wird allen im Himmel im allgemeinen und einzelnen mitgeteilt , doch allenthalben nach der Fähigkeit es aufzunehmen , denn einige nehmen wenig auf , und andere viel ." Und sie sahen den Gott Israels	13841	25	swedborg_mose2_mose2.tsv
VVIZU	VVFIN		VVIZU	aufweisen		Pfeilwunden hatte fast ein jeder der Soldaten und Hauptleute	aufzuweisen	.	die Morgenstunden wurde das Siegesfest gefeiert .Pfeilwunden hatte fast ein jeder der Soldaten und Hauptleute aufzuweisen .Verwirrt durch den Anblick des toten Hundes	9163	9	stucken_weissgo1_weissgo1.tsv
VVIZU	VVIZU		VVIZU	ausdenken		Und nun kommt eine so überraschende und doch so folgerichtige Wendung , wie ein Romancier sie nie	auszudenken	wagte , und wie nur die Wirklichkeit , die allemal höchste Dichterin , sie erfindet .	Wohin soll er gehen ?Und nun kommt eine so überraschende und doch so folgerichtige Wendung , wie ein Romancier sie nie auszudenken wagte , und wie nur die Wirklichkeit , die allemal höchste Dichterin , sie erfindet .Er steht wieder auf dem Bahnhof ,	538	17	zweig_histpers_histpers.tsv
