DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
VVPP	ADV		VVPP	anhören		Mein Wirt freute sich , dieses Gespräch mit	angehört	zu haben , und sagte mir : » Da Sie die Absicht haben , einige Zeit hier am Orte zu verweilen , so tun Sie gut , wenn Sie dem Capitano oder Landvogt einen Besuch machen .	für einige Augenblicke beraubt gewesen bin .Mein Wirt freute sich , dieses Gespräch mit angehört zu haben , und sagte mir : » Da Sie die Absicht haben , einige Zeit hier am Orte zu verweilen , so tun Sie gut , wenn Sie dem Capitano oder Landvogt einen Besuch machen .Nach den Menuetten kamen die Kontertänze an	6475	8	casanova_band06_casa6.tsv
VVPP	VVPP		VVPP	befördern		Aber Samen könnte von diesen seltenen Wanderern nur durch den Schmutz , der an ihren Füßen oder Schnäbeln hängt ,	befördert	werden , was an sich ein seltener Zufall ist .	, unser Klima nicht aushalten können .Aber Samen könnte von diesen seltenen Wanderern nur durch den Schmutz , der an ihren Füßen oder Schnäbeln hängt , befördert werden , was an sich ein seltener Zufall ist .Die Pflanzenwelten weit entfernter Erdteile würden durch	1156	20	darwin_arten_arten.tsv
VVPP	VVPP		VVPP	beschränken		Während dieser langen stürmischen Tage sahen sich Gordon und seine Kameraden auf das Schiff	beschränkt	, ohne daß sie deshalb unthätig blieben .	Briant wird von Allen hochgeschätzt .. .Während dieser langen stürmischen Tage sahen sich Gordon und seine Kameraden auf das Schiff beschränkt , ohne daß sie deshalb unthätig blieben .Dein Auftreten ihm gegenüber kann aber nur	604	14	verne_ferien1_ferien1.tsv
VVPP	VVPP		VVPP	besiegen		« » Erzählen Sie mir , wie Sie die Maurer	besiegt	haben !	Leo hält so viel von Ihnen !« » Erzählen Sie mir , wie Sie die Maurer besiegt haben !Wenn ich ihr aber etwas sage ,	1308	10	musil_mannohne_mannohne.tsv
VVPP	VVINF		VVPP	einfallen		Ist Euch noch niemals	eingefallen	, daß nur eines nottut , ein einziger Schritt zur 137 Befreiung ?	Markt des Universums muß es werden .Ist Euch noch niemals eingefallen , daß nur eines nottut , ein einziger Schritt zur 137 Befreiung ?Aber am ersten Tage , den ich	684	4	hirschfg_below_below.tsv
VVPP	VVIZU		VVPP	entgegenkommen		Mama war an der Landestelle Euch	entgegengekommen	, zu Hause dampfte schon der Tee , mein Platz war leer , aber Ihr gedachtet meiner freundlich und erzähltet , was Ihr in Hamburg gesehen und erlebt .	ist nicht Liebe Alles , Alles ?Mama war an der Landestelle Euch entgegengekommen , zu Hause dampfte schon der Tee , mein Platz war leer , aber Ihr gedachtet meiner freundlich und erzähltet , was Ihr in Hamburg gesehen und erlebt .O Du Einziger , Du Seligkeit für	3367	6	antholog_liebesbr_liebesbr.tsv
VVPP	VVPP		VVPP	erfüllen		Der Zigeuner freute sich sehr , wie er am nächsten Tage seine Wünsche	erfüllt	sah .	– » Es soll dir werden !Der Zigeuner freute sich sehr , wie er am nächsten Tage seine Wünsche erfüllt sah .« – » So bitte ich «	356	13	haltrich_maerchen_volkmaer.tsv
VVPP	VVPP		VVPP	erleben		Mama war an der Landestelle Euch entgegengekommen , zu Hause dampfte schon der Tee , mein Platz war leer , aber Ihr gedachtet meiner freundlich und erzähltet , was Ihr in Hamburg gesehen und	erlebt	.	ist nicht Liebe Alles , Alles ?Mama war an der Landestelle Euch entgegengekommen , zu Hause dampfte schon der Tee , mein Platz war leer , aber Ihr gedachtet meiner freundlich und erzähltet , was Ihr in Hamburg gesehen und erlebt .O Du Einziger , Du Seligkeit für	3367	34	antholog_liebesbr_liebesbr.tsv
VVPP	ADJD		ADJD	fassen		Da stürzt' er sich in wildem Grimm auf mich , Mit aller Macht mich an der Kehle	fassend	.	’Η̃ν δὲ Τιθωνιάδος εροτὴ λευχείμονος ’Ηου̃ς .Da stürzt' er sich in wildem Grimm auf mich , Mit aller Macht mich an der Kehle fassend .Hier weicht die Dichterin auffallend vom Text	1625	17	gregorov_athenais_athenais.tsv
VVPP	VVPP		VVPP	finden		» Wo haben Sie das	gefunden	?	Sie es mir doch nicht glauben .» Wo haben Sie das gefunden ?Und dazu reicht es bei Ihnen nicht	3150	5	wallacee_feuerim_feuerim.tsv
