DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
XY	XY		XY	*		‹	*	1904 * Mir ist , ich wäre ein Adler und trüge mich selbst und meine Last dünkte mir köstlich und ein tiefes Wohlgefühl durchströmte mich .	wieder fallend , erheben wir uns .‹ * 1904 * Mir ist , ich wäre ein Adler und trüge mich selbst und meine Last dünkte mir köstlich und ein tiefes Wohlgefühl durchströmte mich .Er wendet sich an das reine Denken	869	1	morgenst_stufen_stufen.tsv
XY	XY		XY	*		‹ * 1904	*	Mir ist , ich wäre ein Adler und trüge mich selbst und meine Last dünkte mir köstlich und ein tiefes Wohlgefühl durchströmte mich .	wieder fallend , erheben wir uns .‹ * 1904 * Mir ist , ich wäre ein Adler und trüge mich selbst und meine Last dünkte mir köstlich und ein tiefes Wohlgefühl durchströmte mich .Er wendet sich an das reine Denken	869	3	morgenst_stufen_stufen.tsv
XY	XY		XY	*		«	*	Das ging bei Tage an , denn da war Direktor Fischel in seinem Büro , in der Nacht aber war er Mensch , und das verschlimmerte ungemein das Verhältnis zwischen ihm und Klementine .	» Also , was ist geschehen ?« * Das ging bei Tage an , denn da war Direktor Fischel in seinem Büro , in der Nacht aber war er Mensch , und das verschlimmerte ungemein das Verhältnis zwischen ihm und Klementine .Ihren Hauptgesprächsstoff bildeten aber , wie es	3868	1	musil_mannohne_mannohne.tsv
XY	XY		XY	*		Sie beschlossen , Herrn d' Est	*	nicht mehr zu empfangen , und vereinbarten , daß Fanchonnette jede weitere Beziehung zu ihm abbrechen solle .	Tat bei d' Est * gelassen .Sie beschlossen , Herrn d' Est * nicht mehr zu empfangen , und vereinbarten , daß Fanchonnette jede weitere Beziehung zu ihm abbrechen solle .Sie bat diese um Verzeihung und erzählte	5655	6	bretonne_zeitgeno_zeitgeno.tsv
XY	NE		XY	*			*	Leider hat nun der gute Junge noch einen rechten Skandal hier erleben müssen .	Wir waren eine Station weiter .* Leider hat nun der gute Junge noch einen rechten Skandal hier erleben müssen .Der Schnellzug hatte dort nicht gehalten .	1571	0	ruettena_tagebuch_tagebuch.tsv
XY	XY		XY	b		« Als August Stumpe sofort das »	b	« richtig traf , unterbrach ihn der Doktor und sagte : Der Dentist aber war so wie so pleite .	so bitte ich um bezüglich Nachricht .« Als August Stumpe sofort das » b « richtig traf , unterbrach ihn der Doktor und sagte : Der Dentist aber war so wie so pleite .In der Sache selbst hatten Sie nämlich	1591	7	kellerp_altenrod_altenrod.tsv
XY	NN		NN	campanern		« Die Zeitumstände hätten es dir anrathen sollen , Titus Manlius , und euch , versammelte Väter , nun nicht länger mit uns befehlsweise zu reden ; da ihr sahet , daß Latium durch die Gnade der Götter an Volksmenge und Kriegsmacht zu den gesegnetsten Staten gehört , daß es die Samniten besiegt hat , mit den Sidicinern und	Campanern	sich verbündet hat , jetzt auch die Volsker sich angeschlossen hat , ja daß selbst eure Pflanzstädte der Römischen Regierung die Latinische vorgezogen haben .	Consuln und insbesondre dem Papirius gebühre .« Die Zeitumstände hätten es dir anrathen sollen , Titus Manlius , und euch , versammelte Väter , nun nicht länger mit uns befehlsweise zu reden ; da ihr sahet , daß Latium durch die Gnade der Götter an Volksmenge und Kriegsmacht zu den gesegnetsten Staten gehört , daß es die Samniten besiegt hat , mit den Sidicinern und Campanern sich verbündet hat , jetzt auch die Volsker sich angeschlossen hat , ja daß selbst eure Pflanzstädte der Römischen Regierung die Latinische vorgezogen haben .Einen Sieg , den die schnelle Umänderung	27625	59	livius_roemisch_roemisch.tsv
XY	NE		NE	deianeira		« Allein	Deianeira	hatte jetzt des Herakles Hand ergriffen und führte ihn bergab wie ein Kind .	oder Unbill des Schicksals zu trauern .« Allein Deianeira hatte jetzt des Herakles Hand ergriffen und führte ihn bergab wie ein Kind .Dann wird er Hyllos lehren , die	2243	2	couperus_herakles_herakles.tsv
XY	NE		NE	dexippi		Es half nichts mehr , ihre Gesandten durch weinfeste Obristen unter den Tisch trinken und in diesem Zustande aushorchen zu lassen ; es machte keinen Eindruck mehr , wenn der Kaiser ihre Deputationen mit absichtlichem Pomp vor der halbmondförmigen Fronte empfing , er selber im Purpur auf hoher Bühne , vor ihm die goldenen Legionsadler und die kaiserlichen Bildnisse und die mit Gold geschriebenen Heeresverzeichnisse auf silbernen LanzenHist. Aug. , Bonosus , c. 14. –	Dexippi	fragm. 24 ap. Müller .	zu erwähnenden ) Schlacht bei Langres .Es half nichts mehr , ihre Gesandten durch weinfeste Obristen unter den Tisch trinken und in diesem Zustande aushorchen zu lassen ; es machte keinen Eindruck mehr , wenn der Kaiser ihre Deputationen mit absichtlichem Pomp vor der halbmondförmigen Fronte empfing , er selber im Purpur auf hoher Bühne , vor ihm die goldenen Legionsadler und die kaiserlichen Bildnisse und die mit Gold geschriebenen Heeresverzeichnisse auf silbernen LanzenHist. Aug. , Bonosus , c. 14. – Dexippi fragm. 24 ap. Müller .Allein die Gewaltsamkeit ihrer Sukzession , der	3593	75	burckhar_constant_constant.tsv
XY	NE		NE	eph.		; 1. Kor. XII , 28 , XIV , 29–37 ;	Eph.	III , 5, IV , 11 ; Offenb. I , 3 ; XVI , 6, XVIII , 20 , 24 , XXII , 9. ähnlich denen des Alten Testaments .	hatte mehrere Propheten und Prophetinnen ,Apostelg .; 1. Kor. XII , 28 , XIV , 29–37 ; Eph. III , 5, IV , 11 ; Offenb. I , 3 ; XVI , 6, XVIII , 20 , 24 , XXII , 9. ähnlich denen des Alten Testaments .Diese besondere Art der Begeisterung scheint in	3176	11	renan_apostel_apostel.tsv
XY	XY		XY	ff		1692	ff	.	securus et coelum intuens etc. Herc .1692 ff .Epitrap .	6857	1	preller_grmyth2_grmyth2.tsv
XY	VVFIN		ADJA	fragm.		Es half nichts mehr , ihre Gesandten durch weinfeste Obristen unter den Tisch trinken und in diesem Zustande aushorchen zu lassen ; es machte keinen Eindruck mehr , wenn der Kaiser ihre Deputationen mit absichtlichem Pomp vor der halbmondförmigen Fronte empfing , er selber im Purpur auf hoher Bühne , vor ihm die goldenen Legionsadler und die kaiserlichen Bildnisse und die mit Gold geschriebenen Heeresverzeichnisse auf silbernen LanzenHist. Aug. , Bonosus , c. 14. – Dexippi	fragm.	24 ap. Müller .	zu erwähnenden ) Schlacht bei Langres .Es half nichts mehr , ihre Gesandten durch weinfeste Obristen unter den Tisch trinken und in diesem Zustande aushorchen zu lassen ; es machte keinen Eindruck mehr , wenn der Kaiser ihre Deputationen mit absichtlichem Pomp vor der halbmondförmigen Fronte empfing , er selber im Purpur auf hoher Bühne , vor ihm die goldenen Legionsadler und die kaiserlichen Bildnisse und die mit Gold geschriebenen Heeresverzeichnisse auf silbernen LanzenHist. Aug. , Bonosus , c. 14. – Dexippi fragm. 24 ap. Müller .Allein die Gewaltsamkeit ihrer Sukzession , der	3593	76	burckhar_constant_constant.tsv
XY	CARD		XY	i		]	I	?	ALICE HEMINGWAY .] I ?He doesn't want you to marry me	2879	1	london_drift_drift.tsv
