DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
APPO	APPO		APPO	entlang		Nein , es saßen mehrere Herren in einem offenen Wagen , der dort an dem Parkgitter	entlang	fuhr und dann in den Hof einbog .	eines Wagens machte die beiden aufmerksam .Nein , es saßen mehrere Herren in einem offenen Wagen , der dort an dem Parkgitter entlang fuhr und dann in den Hof einbog .Es war in den letzten Tagen des	3166	16	wernere_hexengol_hexengol.tsv
APPO	APPO		APPO	entlang		Seine Ufer sind hohe Berge , die mit Felsenabhängen steil aus der unbekannten , grünen Tiefe emporsteigen ; wo Wasser und Land sich berühren , zieht eine beständige Linie dem Gebirg	entlang	, welche alle die wechselnden Formen , die als Ufer an jenes hintreten , scharf hervorhebt und so den ganzen Umriß der Seiten des Gebirgs als vielbuchtigen Rand in diesen Spiegel schneidet ; hier und dort treten Vorgebirge in denselben und lassen schon von weitem stille Buchten voll neuer Bilder vermuten , welche sich hinter ihnen auftun werden ; beruhigend liegt der See mit seiner Spiegelglätte und Farbeneinheit , die tief und voll verborgener Lichter ist , in der Formen- und Farbenfülle der Umgebung ; von den trotzigen Zacken des Bristen- und Urirothstocks bis zur letzten Felsplatte und Fichte des Ufers herab ist sie gewaltig und wird , da kein Blick sie auszuschöpfen vermag , am Ende verwirrend und drückend .	dem Wandel der Zeiten unterworfen sind .Seine Ufer sind hohe Berge , die mit Felsenabhängen steil aus der unbekannten , grünen Tiefe emporsteigen ; wo Wasser und Land sich berühren , zieht eine beständige Linie dem Gebirg entlang , welche alle die wechselnden Formen , die als Ufer an jenes hintreten , scharf hervorhebt und so den ganzen Umriß der Seiten des Gebirgs als vielbuchtigen Rand in diesen Spiegel schneidet ; hier und dort treten Vorgebirge in denselben und lassen schon von weitem stille Buchten voll neuer Bilder vermuten , welche sich hinter ihnen auftun werden ; beruhigend liegt der See mit seiner Spiegelglätte und Farbeneinheit , die tief und voll verborgener Lichter ist , in der Formen- und Farbenfülle der Umgebung ; von den trotzigen Zacken des Bristen- und Urirothstocks bis zur letzten Felsplatte und Fichte des Ufers herab ist sie gewaltig und wird , da kein Blick sie auszuschöpfen vermag , am Ende verwirrend und drückend .In großen Gruppierungen um ein ausstrahlendes Zentralgebiet	366	31	ratzel_erdenmac_erdenmac.tsv
APPO	APPR		APPO	gegenüber		Ja damals – Morgen , wenn ich erwache , erster Feiertag , spitzenfrische Morgenröte und draußen Kinder , die stolz und neidesfroh die Vorzüge ihrer Puppen spazieren führen und minderbeglückten , weniger bedachten Gespielinnen	gegenüber	preisen .	Und ein purpurnes Laken von Disteln .Ja damals – Morgen , wenn ich erwache , erster Feiertag , spitzenfrische Morgenröte und draußen Kinder , die stolz und neidesfroh die Vorzüge ihrer Puppen spazieren führen und minderbeglückten , weniger bedachten Gespielinnen gegenüber preisen .Dummheit , erhabene Göttin , Unsere Patronin	11	34	hille_ichbin_ichbin.tsv
APPO	APPR		APPO	gegenüber		Der Hauptzeitvertreib der Kinder der Nachbarschaft hatte darin bestanden , sich in Haufen auf den Türschwellen zu versammeln und , zum großen Behagen der Nächstwohnenden überhaupt und der nervenschwachen Dame	gegenüber	insbesondere , unaufhörliche Klopfübungen aller Art anzustellen .	Zeit begann unsere Bekanntschaft mit ihm .Der Hauptzeitvertreib der Kinder der Nachbarschaft hatte darin bestanden , sich in Haufen auf den Türschwellen zu versammeln und , zum großen Behagen der Nächstwohnenden überhaupt und der nervenschwachen Dame gegenüber insbesondere , unaufhörliche Klopfübungen aller Art anzustellen .Der Besitzer geriet in Verlegenheit und das	165	30	dickens_londoner_londoner.tsv
APPO	ADV		APPR	gegenüber		Dann lachte sie laut und herzlich und rief : » Später , später mehr davon ; jetzt wollen wir nichts von fremden Leuten wissen , auch nichts von der Vergangenheit und nicht einmal etwas von der Zukunft , sondern , uns	gegenüber	sitzend , nur von dem Glücke der Gegenwart plaudern !	» Das wollen wir erst sehen !Dann lachte sie laut und herzlich und rief : » Später , später mehr davon ; jetzt wollen wir nichts von fremden Leuten wissen , auch nichts von der Vergangenheit und nicht einmal etwas von der Zukunft , sondern , uns gegenüber sitzend , nur von dem Glücke der Gegenwart plaudern !« – da leuchtete plötzlich ihr Auge	5679	41	hacklaen_bombardi_bombardi.tsv
APPO	APPR		APPO	gegenüber		Einige Haufen von Zischmenmachern , die aus dem Bannat von einem Jahrmarkte kamen , lärmten und rauchten in der Schenke mit demjenigen Stolze , den sie als städtische Bürger dem Bauer	gegenüber	hegten und pflegten ; der meiste Spectakel ging aber von der Gegend aus , wo die Fässer voll sprudelnden Weins lagen , und wo Joschuch's Begleiter , Gabor , einen Trupp von alten Bekannten bewirthete , die sich aus dem Dorfe zu ihm gefunden hatten .	andere Gruppen von Zechenden und Sprechenden .Einige Haufen von Zischmenmachern , die aus dem Bannat von einem Jahrmarkte kamen , lärmten und rauchten in der Schenke mit demjenigen Stolze , den sie als städtische Bürger dem Bauer gegenüber hegten und pflegten ; der meiste Spectakel ging aber von der Gegend aus , wo die Fässer voll sprudelnden Weins lagen , und wo Joschuch's Begleiter , Gabor , einen Trupp von alten Bekannten bewirthete , die sich aus dem Dorfe zu ihm gefunden hatten .« Noch hatte die Sonne die Mittagshöhe	1454	31	spindler_herbstvi_herbstvi.tsv
APPO	APPR		ADV	gegenüber		So kann der Selbstmord , so paradox es klingt , gerade in den weniger radikalen Fällen eher als begründet erscheinen ; aber dem tiefen und totalen Fertigsein mit dem Leben ist er nicht angemessen ; diesem	gegenüber	gilt die Schopenhauersche Entscheidung – die er , wie so vieles andere , so tiefsinnig behauptet und so schlecht beweist – , daß das äußere Vernichten des Lebens ein ganz zweckloser und widersprechender Ausdruck der inneren Lösung des Lebens von sich selbst wäre .	der auch der Tod eingeordnet ist .So kann der Selbstmord , so paradox es klingt , gerade in den weniger radikalen Fällen eher als begründet erscheinen ; aber dem tiefen und totalen Fertigsein mit dem Leben ist er nicht angemessen ; diesem gegenüber gilt die Schopenhauersche Entscheidung – die er , wie so vieles andere , so tiefsinnig behauptet und so schlecht beweist – , daß das äußere Vernichten des Lebens ein ganz zweckloser und widersprechender Ausdruck der inneren Lösung des Lebens von sich selbst wäre .Wer das Leben überwunden hat , wie	1059	36	simmel_schoniet_schoniet.tsv
APPO	APPO		APPO	gegenüber		Mit elnem Wort , Cortes erachtete es für angemessen , sich den Verschwörern	gegenüber	zu beherrschen .	ihnen der Generalkapitän doch die Schande .Mit elnem Wort , Cortes erachtete es für angemessen , sich den Verschwörern gegenüber zu beherrschen .Man ließ den Verurteilten beim Pater Juan	7551	13	schurig_cortes_cortes.tsv
APPO	APPR		ADV	gegenüber		» Ich dächte doch , meine Stellung Ihnen	gegenüber	läge nun offen zu Tage : in die Falle gelockt habe ich Sie und Ihre Freundinnen , und Sie sind hineingegangen , wie die Maus an den gebratenen Speck .	Sind Sie darüber noch im unklaren ?» Ich dächte doch , meine Stellung Ihnen gegenüber läge nun offen zu Tage : in die Falle gelockt habe ich Sie und Ihre Freundinnen , und Sie sind hineingegangen , wie die Maus an den gebratenen Speck .« Man hoffte , in vierzehn Tagen	7349	8	kraftr_vestali4_vestali4.tsv
APPO	APPO		APPO	gegenüber		Ich gehe sogar so weit , dem Kranken	gegenüber	zu behaupten , diese Kraft tue das wirklich , mache den Menschen nach ihrem Belieben krank zu bestimmten Zwecken , wähle nach ihrem Belieben zu bestimmten Zwecken Ort , Zeit und Art der Erkrankung aus .	Dann würde sich von Herzen freuen .Ich gehe sogar so weit , dem Kranken gegenüber zu behaupten , diese Kraft tue das wirklich , mache den Menschen nach ihrem Belieben krank zu bestimmten Zwecken , wähle nach ihrem Belieben zu bestimmten Zwecken Ort , Zeit und Art der Erkrankung aus .Ist es mir gelungen ?	3782	8	groddeck_es_es.tsv
