DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
APZR	APPR		APPR	an		Aber Samen könnte von diesen seltenen Wanderern nur durch den Schmutz , der an ihren Füßen oder Schnäbeln hängt , befördert werden , was	an	sich ein seltener Zufall ist .	, unser Klima nicht aushalten können .Aber Samen könnte von diesen seltenen Wanderern nur durch den Schmutz , der an ihren Füßen oder Schnäbeln hängt , befördert werden , was an sich ein seltener Zufall ist .Die Pflanzenwelten weit entfernter Erdteile würden durch	1156	24	darwin_arten_arten.tsv
APZR	APPR		APPR	an		Schon von der Lühe	an	flaute der Wind gehörig ab , und beim Swiensand verlor er seine ganze Kraft .	gerettet hat , ist sie gestorben .Schon von der Lühe an flaute der Wind gehörig ab , und beim Swiensand verlor er seine ganze Kraft .* * * Und dann – im	928	4	fock_nachstur_nachstur.tsv
APZR	APZR		APZR	an		Als aber der Tag anbrach und der König beim Fortgehen die beiden Kleinen mit sich nehmen wollte , so erschien Vastolla nebst ihrem Manne , warf sich ihm zu Füßen und bat ihn um Gnade , indem sie ihm ausführlich erzählte , wie es ihr von Anfang	an	ergangen war .	ihn bis in die Fußspitzen durchdrang .Als aber der Tag anbrach und der König beim Fortgehen die beiden Kleinen mit sich nehmen wollte , so erschien Vastolla nebst ihrem Manne , warf sich ihm zu Füßen und bat ihn um Gnade , indem sie ihm ausführlich erzählte , wie es ihr von Anfang an ergangen war .Während er nun die Treppe hinaufstieg und	183	47	basile_pentamer_pentamer.tsv
APZR	APZR		APZR	an		Ich bekam die Gelbsucht , und von dieser Zeit	an	datiert sich manches Schmerzliche für mich .	kaum mehr in die Küche wagte .Ich bekam die Gelbsucht , und von dieser Zeit an datiert sich manches Schmerzliche für mich .Das junge Mädchen , das früher Holz	761	9	kernerma_jkerner_jkerner.tsv
APZR	APZR		PTKVZ	aus		Man hat sie nur von Helsingfors	aus	mit so großer Vorsicht weitergegeben , weil man keine Erklärung dafür weiß und daher an eine Täuschung denken mußte .	; eine andere Erklärung ist undenkbar .Man hat sie nur von Helsingfors aus mit so großer Vorsicht weitergegeben , weil man keine Erklärung dafür weiß und daher an eine Täuschung denken mußte .Allerdings konnte dieser wegen leichten Nebels ,	1569	6	lasswitz_auf2plan_auf2plan.tsv
APZR	APPR		APPR	aus		Und Frau Krug machte große Augen , als sie die prächtigen Kabinetts der Luftschiffgondel sah : buntes Glas in allen Wänden und prächtige Balkons , von denen	aus	man in die Tiefe und zum Sternenhimmel blicken konnte .	neuen großen Auftrag für den Architekten .Und Frau Krug machte große Augen , als sie die prächtigen Kabinetts der Luftschiffgondel sah : buntes Glas in allen Wänden und prächtige Balkons , von denen aus man in die Tiefe und zum Sternenhimmel blicken konnte .Krug auch nach Kairo gerufen ; Miß	1612	27	scheerba_grautuch_grautuch.tsv
APZR	APZR		APZR	aus		Robert hatte schnell das größte , im Hintergrund liegende Faß erstiegen , von wo	aus	er den ganzen mittleren Gang bis zur Treppe übersehen konnte .	Will denn nie eure Stunde kommen ?Robert hatte schnell das größte , im Hintergrund liegende Faß erstiegen , von wo aus er den ganzen mittleren Gang bis zur Treppe übersehen konnte .Du stolzes Kloster , ihr stolzen Burgen	1202	14	eyth_fst-moen_fst-moen.tsv
APZR	APZR		APZR	aus		‹ Von dort	aus	an einer kleinen Gulch oder Ravine hinaufgehend , erreichte ich nach etwa einer halben Meile einen Platz der bedeutend ausgearbeitet zu seyn schien , sah aber nur an der linken Seite desselben , und zwar ziemlich am Berge droben , einige Neger beschäftigt .	das ganze Land sey in Aufruhr .‹ Von dort aus an einer kleinen Gulch oder Ravine hinaufgehend , erreichte ich nach etwa einer halben Meile einen Platz der bedeutend ausgearbeitet zu seyn schien , sah aber nur an der linken Seite desselben , und zwar ziemlich am Berge droben , einige Neger beschäftigt .So kam der 20. Mai heran und	1870	3	gerstaec_2califor_2califor.tsv
APZR	ADV		APZR	her		Es wird ungefähr zwei Jahre	her	sein , seit die Schwester Virginia dieses Zimmer verließ .	die sich mit unserer Klostermauer verbindet .Es wird ungefähr zwei Jahre her sein , seit die Schwester Virginia dieses Zimmer verließ .Besser , meiner Treu' , Als wir	3715	5	buelau_geheim_geheim.tsv
APZR	ADV		APZR	her		Das Beispiel des Fürsten wirkt mächtig um sich	her	, und fordert mit heimlicher Gewalt jeden Staatsbürger zu ähnlichen Handlungen auf , die in dem Kreise des Privatmanns irgend zu leisten sind , vorzüglich also zu sittlichen .	wovon ein anderer nichts begreifen kann !Das Beispiel des Fürsten wirkt mächtig um sich her , und fordert mit heimlicher Gewalt jeden Staatsbürger zu ähnlichen Handlungen auf , die in dem Kreise des Privatmanns irgend zu leisten sind , vorzüglich also zu sittlichen .18. ) Der Sinnende Ulyß gegen dem	3685	8	goethe_propylae_propylae.tsv
