DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
CARD	CARD		CARD	11		was mag das sein ?! «	11	Betrachten wir das in sich selbst überaus lockere Wasser , das sich doch ohne allen fühlbaren Widerstand in zahllose kleinste Tröpfchen zerteilen läßt ; dieses höchstwichtige Naturelement , das in sich alle Urkeime des animalen wie des planetaren Lebens birgt , und zugleich von dir nie berechenbaren Kräften geschwängert ist , gehorcht im freien Zustande ganz unbedingt dem ihm innewohnenden Gesetze der Schwere ; laut diesem Gesetze , dessen es durch ein eigenes Wahrnehmungsvermögen gewahr wird , empfindet es die leiseste Abdachung ( Gefälle ) irgend eines Territoriums , fängt da sogleich an , nach einer größeren Niederung hin sich fort zu bewegen , und hat so lange keine Rast und Ruhe , als bis es des Meeres größte Territorialniederung vollends erreicht hat .	Erde ein mächtiger Schlag geschehen wäre ?was mag das sein ?! « 11 Betrachten wir das in sich selbst überaus lockere Wasser , das sich doch ohne allen fühlbaren Widerstand in zahllose kleinste Tröpfchen zerteilen läßt ; dieses höchstwichtige Naturelement , das in sich alle Urkeime des animalen wie des planetaren Lebens birgt , und zugleich von dir nie berechenbaren Kräften geschwängert ist , gehorcht im freien Zustande ganz unbedingt dem ihm innewohnenden Gesetze der Schwere ; laut diesem Gesetze , dessen es durch ein eigenes Wahrnehmungsvermögen gewahr wird , empfindet es die leiseste Abdachung ( Gefälle ) irgend eines Territoriums , fängt da sogleich an , nach einer größeren Niederung hin sich fort zu bewegen , und hat so lange keine Rast und Ruhe , als bis es des Meeres größte Territorialniederung vollends erreicht hat .« 1 Blum , Messenhauser und Becher	1490	6	lorber_rblum1_rblum1.tsv
CARD	CARD		CARD	1240		Ein Ort Wyck wird schon auf Dankwerth's Karte von	1240	angeführt ; hier hatten an einer Bucht Fischer ihre Hütten sich gebaut .	eine Allee vom steilen Ufer trennt .Ein Ort Wyck wird schon auf Dankwerth's Karte von 1240 angeführt ; hier hatten an einer Bucht Fischer ihre Hütten sich gebaut .Der bedeutendste Ort auf Föhr ist der	2453	9	kobbe_nordost_nordost.tsv
CARD	ADJA		CARD	137		Ist Euch noch niemals eingefallen , daß nur eines nottut , ein einziger Schritt zur	137	Befreiung ?	Markt des Universums muß es werden .Ist Euch noch niemals eingefallen , daß nur eines nottut , ein einziger Schritt zur 137 Befreiung ?Aber am ersten Tage , den ich	684	15	hirschfg_below_below.tsv
CARD	CARD		CARD	17			17	.	er mich so lieber leiden mochte .17 .Dies ging mir durch die Seele ,	655	0	tieck_tonelli_tonelli.tsv
CARD	CARD		CARD	1818		Zwar das Lob selber , das ich meinen Vätern hier erteile , käme ihm , wenn er noch lebte , noch so bedeutend vor als es mir selber leer erscheint , wenn ich mir ihn in der Ewigkeit vorstelle , wo er sich unter den Seligen nicht sonderlich damit brüsten wird , daß er im Jahr	1818	von meinem Lehrstuhl herab wieder als Kirchenkomponist der Baireuther Markgrafschaft ausgerufen worden ; – und ganz dasselbe und dieselbe Kälte gegen alles Loben soll mein Sohn von mir voraussetzen , wenn er einst in der Zeit , wo ich schon ein Seliger bin , den allgemeinen Beifall , den meine Werke gewonnen , feurig der Welt erzählt ; er soll aber , sowenig als ich , deshalb kälter oder kürzer malen .	abgeht , noch nachfragen zu können .Zwar das Lob selber , das ich meinen Vätern hier erteile , käme ihm , wenn er noch lebte , noch so bedeutend vor als es mir selber leer erscheint , wenn ich mir ihn in der Ewigkeit vorstelle , wo er sich unter den Seligen nicht sonderlich damit brüsten wird , daß er im Jahr 1818 von meinem Lehrstuhl herab wieder als Kirchenkomponist der Baireuther Markgrafschaft ausgerufen worden ; – und ganz dasselbe und dieselbe Kälte gegen alles Loben soll mein Sohn von mir voraussetzen , wenn er einst in der Zeit , wo ich schon ein Seliger bin , den allgemeinen Beifall , den meine Werke gewonnen , feurig der Welt erzählt ; er soll aber , sowenig als ich , deshalb kälter oder kürzer malen .Jedem Feste folgen Werkeltage ; aber aus	24	56	jeanpaul_selber_selber.tsv
CARD	CARD		CARD	45		Wir waren an einer Stelle , wo die deutsche Linie nur	45	Meter entfernt war .	hier bald dort in unsere Reihen .Wir waren an einer Stelle , wo die deutsche Linie nur 45 Meter entfernt war .Jetzt waren wir nichts als willenloses Werkzeug	2769	11	paasche_kirsch_kirsch.tsv
CARD	CARD		CARD	45		Ein Milesier Namens Hekatäus( Anm.	45	) Hekatäus von Milet kann , wie Herodot » der Vater der Geschichte « , » der Vater der Geographie « genannt werden .	den Wogen des Meeres ähnliches Brausen .Ein Milesier Namens Hekatäus( Anm. 45 ) Hekatäus von Milet kann , wie Herodot » der Vater der Geschichte « , » der Vater der Geographie « genannt werden .Kein Laut , außer jenem seltsamen Tone	6125	5	ebers_aegypt_aegypt.tsv
CARD	CARD		CARD	525		Hier machten die Hispanier einen Rasttag , da das Muttergottesfest ( Mariä Verkündigung , 25. März l	525	) war .	durch unbewohntes Land zu marschleren hatte .Hier machten die Hispanier einen Rasttag , da das Muttergottesfest ( Mariä Verkündigung , 25. März l 525 ) war .Der Ort hieß Tlesean .	7067	17	schurig_cortes_cortes.tsv
CARD	CARD		CARD	70		Sie läuft ( unter	70	° südl .	a. a. O. S. 544 ) .Sie läuft ( unter 70 ° südl .« Ich habe von dem Abhange des	7359	4	humbolda_kosmos_kosmos.tsv
CARD	CARD		CARD	drei		« » Wir haben das ganze Schloß durchsucht , das Mittelgebäude sowohl wie die	drei	Türme dort , denn zu allen von außen sichtbaren Zimmern derselben führten Treppen und Korridore .	Mon dieu !« » Wir haben das ganze Schloß durchsucht , das Mittelgebäude sowohl wie die drei Türme dort , denn zu allen von außen sichtbaren Zimmern derselben führten Treppen und Korridore .« » Wie , das tut er	635	14	galen_jasmund2_jasmund2.tsv
