DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
KOUS	KOUS		KOUS	als			Als	er in die Nähe des Hotels » Preußische Krone « gekommen war , wurde die Tür aufgerissen , und der Kreisbaumeister Mulvert sprang als Anführer einiger Männer torkelnd auf die Straße .	auch etwas wie kalter Triumph enthielt .Als er in die Nähe des Hotels » Preußische Krone « gekommen war , wurde die Tür aufgerissen , und der Kreisbaumeister Mulvert sprang als Anführer einiger Männer torkelnd auf die Straße .Die Witwe des Umgekommenen saß wie entgeistert	1369	0	stehr_maechler_maechler.tsv
KOUS	APPR		APPR	als		Als er in die Nähe des Hotels » Preußische Krone « gekommen war , wurde die Tür aufgerissen , und der Kreisbaumeister Mulvert sprang	als	Anführer einiger Männer torkelnd auf die Straße .	auch etwas wie kalter Triumph enthielt .Als er in die Nähe des Hotels » Preußische Krone « gekommen war , wurde die Tür aufgerissen , und der Kreisbaumeister Mulvert sprang als Anführer einiger Männer torkelnd auf die Straße .Die Witwe des Umgekommenen saß wie entgeistert	1369	24	stehr_maechler_maechler.tsv
KOUS	KOKOM		APPR	als		Du bist es mehr vielleicht	als	ich .	Ein sechsfüßiger jambischer Vers .Du bist es mehr vielleicht als ich .V. 6 .	1449	5	plautus_menaechm_menaechm.tsv
KOUS	KOUS		KOUS	als		« Erstes Kapitel Womit meine Lebensgeschichte eingeleitet wird Meine vielfachen Bitten , mir die Angabe der Ursache zu einer an ihr vorher nie bemerkten Gemüthsaufregung nicht länger vorzuenthalten , fanden nach langem Widerstande Eingang in ihr Ohr , und ich erfuhr Folgendes : daß ihr Verlobter ihr am Morgen begegnet habe ,	als	sie von einer Standesperson aus unserer Kundschaft auf dem Wege Behufs neuer Bestellungen angesprochen worden .	Kauflustiger , so leicht verirren konnte .« Erstes Kapitel Womit meine Lebensgeschichte eingeleitet wird Meine vielfachen Bitten , mir die Angabe der Ursache zu einer an ihr vorher nie bemerkten Gemüthsaufregung nicht länger vorzuenthalten , fanden nach langem Widerstande Eingang in ihr Ohr , und ich erfuhr Folgendes : daß ihr Verlobter ihr am Morgen begegnet habe , als sie von einer Standesperson aus unserer Kundschaft auf dem Wege Behufs neuer Bestellungen angesprochen worden .Bedeutende Summen an die verschiedenen Behörden gespendet	1055	52	kohn_jgilblas_jgilblas.tsv
KOUS	KOUS		KOUS	bevor			Bevor	er aber eine Antwort erhalten hatte , kamen drei große Männer in Zivil aus der Platanenallee , mit einigen Arbeitern zwischen sich .	sind älter , aber nicht geringer .Bevor er aber eine Antwort erhalten hatte , kamen drei große Männer in Zivil aus der Platanenallee , mit einigen Arbeitern zwischen sich .Aufrecht wie das Schicksal saß sie da	4101	0	bruun_oanda_oanda.tsv
KOUS	APPR		KOUS	bis		– Aber ich würde doch lieber ein Dutzend Burschen zum Frühstück peitschen lassen ,	bis	ihnen das Blut in die Schuhe läuft , als daß ich Euch erschrecken wollte , Täubchen .	ist ein heiliger Derwisch der Christen !– Aber ich würde doch lieber ein Dutzend Burschen zum Frühstück peitschen lassen , bis ihnen das Blut in die Schuhe läuft , als daß ich Euch erschrecken wollte , Täubchen .Sie haben Mahadrö und dich gerettet !	3843	14	retcliff_sonora_sonora.tsv
KOUS	KOUS		KOUS	bis		Beide , Selmann und Tobias , waren vor allen Dingen geschäftig , ihn loszumachen , und schnitten mit Messern so lange ,	bis	alle Bande entzwei waren .	« – Tobias Knaut !Beide , Selmann und Tobias , waren vor allen Dingen geschäftig , ihn loszumachen , und schnitten mit Messern so lange , bis alle Bande entzwei waren .Ein so unbeweglicher lange anhaltender Blick mußte	4068	22	wezel_knaut_knaut.tsv
KOUS	KOUS		KOUS	da		Sie hatten keinen gelehrten Begriff von der Kunst , aber eine desto größere Meinung von ihrer eignen Geschicklichkeit ; und wirklich konnt es ihnen an Anlage nicht fehlen ,	da	die Abderiten überhaupt geborne Gaukler , Spaßmacher und Pantomimen waren , an denen immer jedes Glied ihres Leibes mit reden half , so wenig auch das , was sie sagten , zu bedeuten haben mochte .	sich sehr viel mit ihrem Theater .Sie hatten keinen gelehrten Begriff von der Kunst , aber eine desto größere Meinung von ihrer eignen Geschicklichkeit ; und wirklich konnt es ihnen an Anlage nicht fehlen , da die Abderiten überhaupt geborne Gaukler , Spaßmacher und Pantomimen waren , an denen immer jedes Glied ihres Leibes mit reden half , so wenig auch das , was sie sagten , zu bedeuten haben mochte .» « Da seht nun selbst ,	862	29	wieland_abdera_abdera.tsv
KOUS	KOUS		KOUS	da		Meine Gründe bekehrten noch manchen andern , namentlich Collins und Ralph ;	da	sie aber beide , ohne die geringste Reue , mir großes Unrecht gethan hatten , und da ich an Keiths , eines anderen Freidenkers , Benehmen , sowie an mein eigenes Verfahren gegen Vernon und Miß Read , welches mich oft sehr quälte , dachte , so geriet ich auf die Vermutung , daß wenn diese Lehre auch wahr sein möchte , sie doch nicht sehr von Nutzen sei .	, als eben die Widerlegung selbst .Meine Gründe bekehrten noch manchen andern , namentlich Collins und Ralph ; da sie aber beide , ohne die geringste Reue , mir großes Unrecht gethan hatten , und da ich an Keiths , eines anderen Freidenkers , Benehmen , sowie an mein eigenes Verfahren gegen Vernon und Miß Read , welches mich oft sehr quälte , dachte , so geriet ich auf die Vermutung , daß wenn diese Lehre auch wahr sein möchte , sie doch nicht sehr von Nutzen sei .Es fielen mir einige Bände gegen den	1163	12	franklin_frankleb_frankleb.tsv
KOUS	KOUS		KOUS	da		Meine Gründe bekehrten noch manchen andern , namentlich Collins und Ralph ; da sie aber beide , ohne die geringste Reue , mir großes Unrecht gethan hatten , und	da	ich an Keiths , eines anderen Freidenkers , Benehmen , sowie an mein eigenes Verfahren gegen Vernon und Miß Read , welches mich oft sehr quälte , dachte , so geriet ich auf die Vermutung , daß wenn diese Lehre auch wahr sein möchte , sie doch nicht sehr von Nutzen sei .	, als eben die Widerlegung selbst .Meine Gründe bekehrten noch manchen andern , namentlich Collins und Ralph ; da sie aber beide , ohne die geringste Reue , mir großes Unrecht gethan hatten , und da ich an Keiths , eines anderen Freidenkers , Benehmen , sowie an mein eigenes Verfahren gegen Vernon und Miß Read , welches mich oft sehr quälte , dachte , so geriet ich auf die Vermutung , daß wenn diese Lehre auch wahr sein möchte , sie doch nicht sehr von Nutzen sei .Es fielen mir einige Bände gegen den	1163	29	franklin_frankleb_frankleb.tsv
KOUS	KOUS		KOUS	daß		Ha , glaubt du	daß	ich kann ?	Ihr werdet das nicht tun !Ha , glaubt du daß ich kann ?Genoveva .	3836	4	hebbel_genoveva_genoveva.tsv
KOUS	KOUS		KOUS	daß		Ich blickte auf meine schlafenden Nachbarn und sah ,	daß	er Recht hatte .	, wie es mich eiskalt überlief .Ich blickte auf meine schlafenden Nachbarn und sah , daß er Recht hatte .Ich hatte meine Ladung : Bürste ,	237	9	erckchat_anno1813_anno1813.tsv
KOUS	KOUS		KOUS	daß		Chor : Nicht hilf den Menschen fürder über alles Maß , Des eignen Unheils unbekümmert ; denn ich bin Der festen Hoffnung ,	daß	du einst noch , dieser Qual Entfesselt , nicht von mindrer Macht wirst sein denn Zeus .	dem Götterknecht , kein Wort gegönnt !Chor : Nicht hilf den Menschen fürder über alles Maß , Des eignen Unheils unbekümmert ; denn ich bin Der festen Hoffnung , daß du einst noch , dieser Qual Entfesselt , nicht von mindrer Macht wirst sein denn Zeus .Drum wirst du Hüter dieses öden Felsens	239	23	aischylo_promethe_promethe.tsv
KOUS	KOUS		KOUS	daß		Ich habe Dich in meinem Brief um häufige und ausführliche Nachricht gebeten über alles , was im Hauptquartier vorgeht ; schreibe mir oft , aber ich beschwöre Dich , schreibe mir nie die Wahrheit , schreibe mir nichts von dem , was wirklich dort geschieht , nichts von dem , was ihr hofft und fürchtet – nur das eine ,	daß	Du lebst und meiner gedenkst .	die Hände des abgehenden Kuriers legt .Ich habe Dich in meinem Brief um häufige und ausführliche Nachricht gebeten über alles , was im Hauptquartier vorgeht ; schreibe mir oft , aber ich beschwöre Dich , schreibe mir nie die Wahrheit , schreibe mir nichts von dem , was wirklich dort geschieht , nichts von dem , was ihr hofft und fürchtet – nur das eine , daß Du lebst und meiner gedenkst .« rief Pawjel , seinen Handjar weit	2491	60	meding_plewna_plewna.tsv
KOUS	KOUS		KOUS	daß		Nichts desto weniger dürfen wir nicht vergessen ,	daß	er nur eine der verschiedenen bevorzugten Formen der Primaten ist .	dem Menschen die Entstehung gegeben habe .Nichts desto weniger dürfen wir nicht vergessen , daß er nur eine der verschiedenen bevorzugten Formen der Primaten ist .Dagegen werden die menschenähnlichen Affen , nämlich	1801	8	strauss_glaube_glaube.tsv
KOUS	KOUS		KOUS	daß		– Aber ich würde doch lieber ein Dutzend Burschen zum Frühstück peitschen lassen , bis ihnen das Blut in die Schuhe läuft , als	daß	ich Euch erschrecken wollte , Täubchen .	ist ein heiliger Derwisch der Christen !– Aber ich würde doch lieber ein Dutzend Burschen zum Frühstück peitschen lassen , bis ihnen das Blut in die Schuhe läuft , als daß ich Euch erschrecken wollte , Täubchen .Sie haben Mahadrö und dich gerettet !	3843	24	retcliff_sonora_sonora.tsv
KOUS	KOUS		KOUS	daß		« Erstes Kapitel Womit meine Lebensgeschichte eingeleitet wird Meine vielfachen Bitten , mir die Angabe der Ursache zu einer an ihr vorher nie bemerkten Gemüthsaufregung nicht länger vorzuenthalten , fanden nach langem Widerstande Eingang in ihr Ohr , und ich erfuhr Folgendes :	daß	ihr Verlobter ihr am Morgen begegnet habe , als sie von einer Standesperson aus unserer Kundschaft auf dem Wege Behufs neuer Bestellungen angesprochen worden .	Kauflustiger , so leicht verirren konnte .« Erstes Kapitel Womit meine Lebensgeschichte eingeleitet wird Meine vielfachen Bitten , mir die Angabe der Ursache zu einer an ihr vorher nie bemerkten Gemüthsaufregung nicht länger vorzuenthalten , fanden nach langem Widerstande Eingang in ihr Ohr , und ich erfuhr Folgendes : daß ihr Verlobter ihr am Morgen begegnet habe , als sie von einer Standesperson aus unserer Kundschaft auf dem Wege Behufs neuer Bestellungen angesprochen worden .Bedeutende Summen an die verschiedenen Behörden gespendet	1055	43	kohn_jgilblas_jgilblas.tsv
KOUS	KOUS		KOUS	daß		Darab erzählte ,	daß	man Schehanna in dem Viertel der Eingeborenen gefunden hatte – hilflos und verstört , von Tür zu Tür schwankend , um nach ihrer Mutter zu fragen .	er wieder seiner Stimme Herr wurde .Darab erzählte , daß man Schehanna in dem Viertel der Eingeborenen gefunden hatte – hilflos und verstört , von Tür zu Tür schwankend , um nach ihrer Mutter zu fragen .Aber laßt uns den Todeskampf kurz machen	1893	3	bruun_unbgott2_unbgott2.tsv
KOUS	KOUS		KOUS	daß		Meine Gründe bekehrten noch manchen andern , namentlich Collins und Ralph ; da sie aber beide , ohne die geringste Reue , mir großes Unrecht gethan hatten , und da ich an Keiths , eines anderen Freidenkers , Benehmen , sowie an mein eigenes Verfahren gegen Vernon und Miß Read , welches mich oft sehr quälte , dachte , so geriet ich auf die Vermutung ,	daß	wenn diese Lehre auch wahr sein möchte , sie doch nicht sehr von Nutzen sei .	, als eben die Widerlegung selbst .Meine Gründe bekehrten noch manchen andern , namentlich Collins und Ralph ; da sie aber beide , ohne die geringste Reue , mir großes Unrecht gethan hatten , und da ich an Keiths , eines anderen Freidenkers , Benehmen , sowie an mein eigenes Verfahren gegen Vernon und Miß Read , welches mich oft sehr quälte , dachte , so geriet ich auf die Vermutung , daß wenn diese Lehre auch wahr sein möchte , sie doch nicht sehr von Nutzen sei .Es fielen mir einige Bände gegen den	1163	66	franklin_frankleb_frankleb.tsv
KOUS	NE		KOUS	sobald			Sobald	Rasumichin fortgegangen war , stand Raskolnikow auf , wandte sich zum Fenster , rannte dann bald gegen die eine , bald gegen die andre Wand an , als hätte er die Enge seines Kämmerchens vergessen , … und setzte sich wieder auf das Sofa .	« » Ach ja , ja !Sobald Rasumichin fortgegangen war , stand Raskolnikow auf , wandte sich zum Fenster , rannte dann bald gegen die eine , bald gegen die andre Wand an , als hätte er die Enge seines Kämmerchens vergessen , … und setzte sich wieder auf das Sofa .Ach , mein Gott !	12991	0	dostojew_schuldsu_schuldsu.tsv
KOUS	KOUS		KOUS	sobald		Auch er ist ,	sobald	er an Gott und Unsterblichkeit glaubt , sofort entschlossen , nur noch der Unsterblichkeit zu leben : » einen halben Kompromiß nehm ich nicht an !	Held , beginnt durchaus als Pascal .Auch er ist , sobald er an Gott und Unsterblichkeit glaubt , sofort entschlossen , nur noch der Unsterblichkeit zu leben : » einen halben Kompromiß nehm ich nicht an !Diese Versöhnung mit der Wirklichkeit , mit	2883	4	bahr_kritik_kritik.tsv
KOUS	KOUS		KOUS	wenn		Wehe aber ,	wenn	die Gesellschaft , die sich da im Weinhaus zusammenfand , ihm nicht genehm war , wenn beschränkte , spießige Köpfe an der Tafelrunde ihn störten , dann muß er vollständig unerträglich gewesen sein , einen ganz fürchterlichen Gebrauch von seiner Kunst , Fratzen zu schneiden , Leute in Verlegenheit zu bringen , zu erschrecken , gemacht haben .	nichts tun als nippen und gähnen .Wehe aber , wenn die Gesellschaft , die sich da im Weinhaus zusammenfand , ihm nicht genehm war , wenn beschränkte , spießige Köpfe an der Tafelrunde ihn störten , dann muß er vollständig unerträglich gewesen sein , einen ganz fürchterlichen Gebrauch von seiner Kunst , Fratzen zu schneiden , Leute in Verlegenheit zu bringen , zu erschrecken , gemacht haben .Im Grunde ist natürlich immer Hoffmann selbst	976	3	benjamin_radio_radio.tsv
