DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
PDS	PDS		PDS	die			Das	ist hernachmals in einem schönen Steinbilde an der Brückenkapelle dargestellt worden , welches noch heute wohl erhalten ist .	Gestalt wurde in eine männliche verwandelt .Das ist hernachmals in einem schönen Steinbilde an der Brückenkapelle dargestellt worden , welches noch heute wohl erhalten ist .Da nun die edle Jungfrau standhaft blieb	4312	0	bechstei_dtsagen_dtsagen.tsv
PDS	PDS		PDS	die		Segnend walte sein Gedächtnis , Unsterblich fruchtend um uns her ;	Das	ist an uns sein groß Vermächtnis , So treu und deutsch zu sein wie er .	hielten die heimischen Helden nicht stand .Segnend walte sein Gedächtnis , Unsterblich fruchtend um uns her ; Das ist an uns sein groß Vermächtnis , So treu und deutsch zu sein wie er .Das Christentum vernichtete scheinbar die alten Götter	2247	11	scherer_dtbild_dtbild.tsv
PDS	PDS		PDS	die			Das	ist staunenswert für den Laien , für den Biologen nicht ganz so überraschend .	sogar solcher aus Krebsgeschwülsten , beobachtet .Das ist staunenswert für den Laien , für den Biologen nicht ganz so überraschend .Eine wunderbare , ganz gewaltig wichtige Tatsache	654	0	schleich_asklepio_asklepio.tsv
PDS	PDS		PDS	die		Sie hatten keinen gelehrten Begriff von der Kunst , aber eine desto größere Meinung von ihrer eignen Geschicklichkeit ; und wirklich konnt es ihnen an Anlage nicht fehlen , da die Abderiten überhaupt geborne Gaukler , Spaßmacher und Pantomimen waren , an denen immer jedes Glied ihres Leibes mit reden half , so wenig auch	das	, was sie sagten , zu bedeuten haben mochte .	sich sehr viel mit ihrem Theater .Sie hatten keinen gelehrten Begriff von der Kunst , aber eine desto größere Meinung von ihrer eignen Geschicklichkeit ; und wirklich konnt es ihnen an Anlage nicht fehlen , da die Abderiten überhaupt geborne Gaukler , Spaßmacher und Pantomimen waren , an denen immer jedes Glied ihres Leibes mit reden half , so wenig auch das , was sie sagten , zu bedeuten haben mochte .» « Da seht nun selbst ,	862	55	wieland_abdera_abdera.tsv
PDS	PDS		PDS	die		Aber der Herr am Schalter gab mir mein Inserat zurück und sagte : Wir sind ein seriöses Blatt und nehmen Annoncen perversen Inhalts grundsätzlich nicht an ; was Sie unter blauer Katze verstehen ,	das	wissen wir schon .	an die Bullers und ihren Kater .Aber der Herr am Schalter gab mir mein Inserat zurück und sagte : Wir sind ein seriöses Blatt und nehmen Annoncen perversen Inhalts grundsätzlich nicht an ; was Sie unter blauer Katze verstehen , das wissen wir schon .Mein nächster Nachbar war ein junger Farmer	6	34	auburtin_skizzen_brust.tsv
PDS	PDS		PDS	die		Es ist grausame Arbeit ,	das	geb' ich zu ; aber für sie ist es eine erlaubte That , während es für uns eine schmähliche That wäre .	einem Indianer eine hohe Tugend ist .Es ist grausame Arbeit , das geb' ich zu ; aber für sie ist es eine erlaubte That , während es für uns eine schmähliche That wäre .Eines weißen Mannes Gaben sind christlich eingerichtet	1234	5	cooper_derwildt_derwildt.tsv
PDS	PDS		PDS	die		was mag	das	sein ?! « 11 Betrachten wir das in sich selbst überaus lockere Wasser , das sich doch ohne allen fühlbaren Widerstand in zahllose kleinste Tröpfchen zerteilen läßt ; dieses höchstwichtige Naturelement , das in sich alle Urkeime des animalen wie des planetaren Lebens birgt , und zugleich von dir nie berechenbaren Kräften geschwängert ist , gehorcht im freien Zustande ganz unbedingt dem ihm innewohnenden Gesetze der Schwere ; laut diesem Gesetze , dessen es durch ein eigenes Wahrnehmungsvermögen gewahr wird , empfindet es die leiseste Abdachung ( Gefälle ) irgend eines Territoriums , fängt da sogleich an , nach einer größeren Niederung hin sich fort zu bewegen , und hat so lange keine Rast und Ruhe , als bis es des Meeres größte Territorialniederung vollends erreicht hat .	Erde ein mächtiger Schlag geschehen wäre ?was mag das sein ?! « 11 Betrachten wir das in sich selbst überaus lockere Wasser , das sich doch ohne allen fühlbaren Widerstand in zahllose kleinste Tröpfchen zerteilen läßt ; dieses höchstwichtige Naturelement , das in sich alle Urkeime des animalen wie des planetaren Lebens birgt , und zugleich von dir nie berechenbaren Kräften geschwängert ist , gehorcht im freien Zustande ganz unbedingt dem ihm innewohnenden Gesetze der Schwere ; laut diesem Gesetze , dessen es durch ein eigenes Wahrnehmungsvermögen gewahr wird , empfindet es die leiseste Abdachung ( Gefälle ) irgend eines Territoriums , fängt da sogleich an , nach einer größeren Niederung hin sich fort zu bewegen , und hat so lange keine Rast und Ruhe , als bis es des Meeres größte Territorialniederung vollends erreicht hat .« 1 Blum , Messenhauser und Becher	1490	2	lorber_rblum1_rblum1.tsv
PDS	PDS		PDS	die		was mag das sein ?! « 11 Betrachten wir	das	in sich selbst überaus lockere Wasser , das sich doch ohne allen fühlbaren Widerstand in zahllose kleinste Tröpfchen zerteilen läßt ; dieses höchstwichtige Naturelement , das in sich alle Urkeime des animalen wie des planetaren Lebens birgt , und zugleich von dir nie berechenbaren Kräften geschwängert ist , gehorcht im freien Zustande ganz unbedingt dem ihm innewohnenden Gesetze der Schwere ; laut diesem Gesetze , dessen es durch ein eigenes Wahrnehmungsvermögen gewahr wird , empfindet es die leiseste Abdachung ( Gefälle ) irgend eines Territoriums , fängt da sogleich an , nach einer größeren Niederung hin sich fort zu bewegen , und hat so lange keine Rast und Ruhe , als bis es des Meeres größte Territorialniederung vollends erreicht hat .	Erde ein mächtiger Schlag geschehen wäre ?was mag das sein ?! « 11 Betrachten wir das in sich selbst überaus lockere Wasser , das sich doch ohne allen fühlbaren Widerstand in zahllose kleinste Tröpfchen zerteilen läßt ; dieses höchstwichtige Naturelement , das in sich alle Urkeime des animalen wie des planetaren Lebens birgt , und zugleich von dir nie berechenbaren Kräften geschwängert ist , gehorcht im freien Zustande ganz unbedingt dem ihm innewohnenden Gesetze der Schwere ; laut diesem Gesetze , dessen es durch ein eigenes Wahrnehmungsvermögen gewahr wird , empfindet es die leiseste Abdachung ( Gefälle ) irgend eines Territoriums , fängt da sogleich an , nach einer größeren Niederung hin sich fort zu bewegen , und hat so lange keine Rast und Ruhe , als bis es des Meeres größte Territorialniederung vollends erreicht hat .« 1 Blum , Messenhauser und Becher	1490	9	lorber_rblum1_rblum1.tsv
PDS	PDS		PDS	die		Aber ich kann mir schon ungefähr denken , wie	das	eigentlich war .	zwanzig Jahren das so gedacht haben !Aber ich kann mir schon ungefähr denken , wie das eigentlich war .« sagte sie .	1823	9	bahr_omensch_omensch.tsv
PDS	PDS		PDS	die		» Wo haben Sie	das	gefunden ?	Sie es mir doch nicht glauben .» Wo haben Sie das gefunden ?Und dazu reicht es bei Ihnen nicht	3150	4	wallacee_feuerim_feuerim.tsv
