DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
PTKVZ	PTKVZ		PTKVZ	ab		Dann ging der Jäger hinaus und schnitt sehr süßes Zuckerrohr	ab	.	und steckte es in seine Schultertasche .Dann ging der Jäger hinaus und schnitt sehr süßes Zuckerrohr ab .Der Jäger kochte den Honig mit Wasser	4842	10	frobeniu_dekaschw_dekaschw.tsv
PTKVZ	APPR		PTKVZ	an		Auch er ist , sobald er an Gott und Unsterblichkeit glaubt , sofort entschlossen , nur noch der Unsterblichkeit zu leben : » einen halben Kompromiß nehm ich nicht	an	!	Held , beginnt durchaus als Pascal .Auch er ist , sobald er an Gott und Unsterblichkeit glaubt , sofort entschlossen , nur noch der Unsterblichkeit zu leben : » einen halben Kompromiß nehm ich nicht an !Diese Versöhnung mit der Wirklichkeit , mit	2883	29	bahr_kritik_kritik.tsv
PTKVZ	PTKVZ		PTKVZ	an		Sobald Rasumichin fortgegangen war , stand Raskolnikow auf , wandte sich zum Fenster , rannte dann bald gegen die eine , bald gegen die andre Wand	an	, als hätte er die Enge seines Kämmerchens vergessen , … und setzte sich wieder auf das Sofa .	« » Ach ja , ja !Sobald Rasumichin fortgegangen war , stand Raskolnikow auf , wandte sich zum Fenster , rannte dann bald gegen die eine , bald gegen die andre Wand an , als hätte er die Enge seines Kämmerchens vergessen , … und setzte sich wieder auf das Sofa .Ach , mein Gott !	12991	26	dostojew_schuldsu_schuldsu.tsv
PTKVZ	PTKVZ		PTKVZ	an		Aber der Herr am Schalter gab mir mein Inserat zurück und sagte : Wir sind ein seriöses Blatt und nehmen Annoncen perversen Inhalts grundsätzlich nicht	an	; was Sie unter blauer Katze verstehen , das wissen wir schon .	an die Bullers und ihren Kater .Aber der Herr am Schalter gab mir mein Inserat zurück und sagte : Wir sind ein seriöses Blatt und nehmen Annoncen perversen Inhalts grundsätzlich nicht an ; was Sie unter blauer Katze verstehen , das wissen wir schon .Mein nächster Nachbar war ein junger Farmer	6	25	auburtin_skizzen_brust.tsv
PTKVZ	PTKVZ		PTKVZ	an		Eine feine , alte Dame in Schwarz tritt auf mich zu und spricht mich	an	.	, als ich es so ansah .Eine feine , alte Dame in Schwarz tritt auf mich zu und spricht mich an .Als ich die Ähnlichkeit zum ersten Male	130	14	auburtin_feuillet_feuillet.tsv
PTKVZ	PTKVZ		PTKVZ	an		Livius gibt zwar nur einen Grund seiner Verstellung	an	, nämlich den , in Sicherheit zu leben und sich sein Erbe zu erhalten .	Schlacht nahm ihr Feuer noch zu .Livius gibt zwar nur einen Grund seiner Verstellung an , nämlich den , in Sicherheit zu leben und sich sein Erbe zu erhalten .Denn wenn ihnen der Sieg nicht beim	4164	8	machiave_itagesch_itagesch.tsv
PTKVZ	PTKVZ		PTKVZ	auf		Sobald Rasumichin fortgegangen war , stand Raskolnikow	auf	, wandte sich zum Fenster , rannte dann bald gegen die eine , bald gegen die andre Wand an , als hätte er die Enge seines Kämmerchens vergessen , … und setzte sich wieder auf das Sofa .	« » Ach ja , ja !Sobald Rasumichin fortgegangen war , stand Raskolnikow auf , wandte sich zum Fenster , rannte dann bald gegen die eine , bald gegen die andre Wand an , als hätte er die Enge seines Kämmerchens vergessen , … und setzte sich wieder auf das Sofa .Ach , mein Gott !	12991	7	dostojew_schuldsu_schuldsu.tsv
PTKVZ	PTKVZ		PTKVZ	auf		« Heinrich von Schauenberg stand	auf	, und sprach : » Witiko vom Witikohause , Herr im mittäglichen Böhmen unter dem Herzoge Wladislaw , ich , Heinrich von Schauenberg , gebe dir in Gutem und Treuem meine Tochter Bertha , daß sie dir in freiem Willen als Ehegemahlin folge , daß du sie ehrest und liebest , und ihr treu bist , so lange du lebst , und daß sie dich ehret und liebt und dir treu ist , so lange sie lebt .	gilt es gleich auf das Leben .« Heinrich von Schauenberg stand auf , und sprach : » Witiko vom Witikohause , Herr im mittäglichen Böhmen unter dem Herzoge Wladislaw , ich , Heinrich von Schauenberg , gebe dir in Gutem und Treuem meine Tochter Bertha , daß sie dir in freiem Willen als Ehegemahlin folge , daß du sie ehrest und liebest , und ihr treu bist , so lange du lebst , und daß sie dich ehret und liebt und dir treu ist , so lange sie lebt .Der Schaffner geleitete ihn .	14756	5	stifter_witiko_witiko.tsv
PTKVZ	PTKVZ		PTKVZ	aus		Ich bat mir Bedenkzeit	aus	.	großen Sack voll Geld erben würde .Ich bat mir Bedenkzeit aus .Tante Georginne war zum Besuch gekommen .	1522	4	skowronf_wagehals_wagehals.tsv
PTKVZ	ART		PTKVZ	ein		» Höre , Cäsar , ich hoffe , du lädtst den Herrn Abbé Loraux zum Diner	ein	!	Mein Bruder !» Höre , Cäsar , ich hoffe , du lädtst den Herrn Abbé Loraux zum Diner ein !» Mein Bruder !	1455	16	balzac_birottea_birottea.tsv
PTKVZ	PTKVZ		PTKVZ	ein		Nun solle ich sehen , rief sie , wie sie marschieren könne , und schlug einen Schritt	ein	, den ich sogleich zu mäßigen suchte .	Aber nein !Nun solle ich sehen , rief sie , wie sie marschieren könne , und schlug einen Schritt ein , den ich sogleich zu mäßigen suchte .Ich sagte aber , das gäbe sich	5080	17	kuegelgn_altmann_altmann.tsv
PTKVZ	VVPP		VVPP	entzwei		Beide , Selmann und Tobias , waren vor allen Dingen geschäftig , ihn loszumachen , und schnitten mit Messern so lange , bis alle Bande	entzwei	waren .	« – Tobias Knaut !Beide , Selmann und Tobias , waren vor allen Dingen geschäftig , ihn loszumachen , und schnitten mit Messern so lange , bis alle Bande entzwei waren .Ein so unbeweglicher lange anhaltender Blick mußte	4068	25	wezel_knaut_knaut.tsv
PTKVZ	ADJD		ADJD	fest		Der Rolladen war heruntergelassen und die Tür	fest	verschlossen .	Vorbereitungen zu seiner Abreise waren getroffen .Der Rolladen war heruntergelassen und die Tür fest verschlossen .Er atmete auf , als Rater gegangen	2716	7	wallacee_redner_redner.tsv
PTKVZ	ADV		PTKVZ	her		Alle Leichen von der ganzen Welt bringt man uns	her	!	, auch noch die Sterbegewänder liefern .Alle Leichen von der ganzen Welt bringt man uns her !» Unerhört !	1010	9	alejchem_hochzeit_hochzeit.tsv
PTKVZ	APZR		PTKVZ	hinaus		Sie hätte gern die Neugier gestillt , die in ihr lebendig wurde , aber Wicho schob sie vor den Hag	hinaus	und schloß hinter ihr das Tor .	kam Heilwig von den Ställen her .Sie hätte gern die Neugier gestillt , die in ihr lebendig wurde , aber Wicho schob sie vor den Hag hinaus und schloß hinter ihr das Tor .Wicho sprang hinaus auf die offene Lände	5152	20	ganghofe_martinsk_martinsk.tsv
PTKVZ	APZR		PTKVZ	hinaus		Dann ging der Jäger	hinaus	und schnitt sehr süßes Zuckerrohr ab .	und steckte es in seine Schultertasche .Dann ging der Jäger hinaus und schnitt sehr süßes Zuckerrohr ab .Der Jäger kochte den Honig mit Wasser	4842	4	frobeniu_dekaschw_dekaschw.tsv
PTKVZ	ADJD		PTKVZ	los		« Alle lachten lauthals	los	.	ist ein bißchen zur Ader gelassen .« Alle lachten lauthals los .Er sah alle an , die da	2145	4	loens_wehrwolf_wehrwolf.tsv
PTKVZ	PTKVZ		PTKVZ	nach		« » Sie haben recht , « sagte er mit flüsternder Stimme , » sehen Sie	nach	, ob Sie das Gesuchte finden .	dessen vornehm nachlässiger und degagierter Haltung .« » Sie haben recht , « sagte er mit flüsternder Stimme , » sehen Sie nach , ob Sie das Gesuchte finden .Daneben berichtete man ausführlich von der Begegnung	3685	16	meding_euromine_euromine.tsv
PTKVZ	APPR		PTKVZ	um		Wo ging der edle Presendent mit diese beiden Glaubensgenossen	um	!	wie Affen , Bären und Kameeler !Wo ging der edle Presendent mit diese beiden Glaubensgenossen um !» Um Vergebung !	887	9	reuter_braesig_braesig.tsv
PTKVZ	ADJD		PTKVZ	umher		Ruhelos warf sie sich	umher	auf ihrem Lager , und mit heißem Kopf erhob sie sich in aller Herrgottsfrühe .	» Die silbernen Salzlöffelchen , Auguste !Ruhelos warf sie sich umher auf ihrem Lager , und mit heißem Kopf erhob sie sich in aller Herrgottsfrühe .Meiner Seel , Fräulein Liesel , wenn	381	4	heimburg_altelieb_altelieb.tsv
PTKVZ	PTKVZ		PTKVZ	zu		Eine feine , alte Dame in Schwarz tritt auf mich	zu	und spricht mich an .	, als ich es so ansah .Eine feine , alte Dame in Schwarz tritt auf mich zu und spricht mich an .Als ich die Ähnlichkeit zum ersten Male	130	10	auburtin_feuillet_feuillet.tsv
PTKVZ	PTKVZ		PTKVZ	zu		Besonders ein Wort des Vorsitzenden drang Diethelm ins Herz , denn er hatte gesagt : Ein Verbrechen , das ungesühnt in der Seele ruht , gleicht dem Brand in einem Kohlenbergwerk ; man stopft es	zu	und will das Feuer ersticken , aber es brennt weiter , unterirdisch , ungesehen , und eine Öffnung , die sich auftut , läßt die Flamme emporschlagen .	» Da hilft kein ' Sympathie .Besonders ein Wort des Vorsitzenden drang Diethelm ins Herz , denn er hatte gesagt : Ein Verbrechen , das ungesühnt in der Seele ruht , gleicht dem Brand in einem Kohlenbergwerk ; man stopft es zu und will das Feuer ersticken , aber es brennt weiter , unterirdisch , ungesehen , und eine Öffnung , die sich auftut , läßt die Flamme emporschlagen .Hat mein Vater verkauft ?	1525	35	auerbach_diethelm_diethelm.tsv
PTKVZ	PTKVZ		PTKVZ	zu		Es ist grausame Arbeit , das geb' ich	zu	; aber für sie ist es eine erlaubte That , während es für uns eine schmähliche That wäre .	einem Indianer eine hohe Tugend ist .Es ist grausame Arbeit , das geb' ich zu ; aber für sie ist es eine erlaubte That , während es für uns eine schmähliche That wäre .Eines weißen Mannes Gaben sind christlich eingerichtet	1234	8	cooper_derwildt_derwildt.tsv
PTKVZ	PTKVZ		PTKVZ	zurück		Aber der Herr am Schalter gab mir mein Inserat	zurück	und sagte : Wir sind ein seriöses Blatt und nehmen Annoncen perversen Inhalts grundsätzlich nicht an ; was Sie unter blauer Katze verstehen , das wissen wir schon .	an die Bullers und ihren Kater .Aber der Herr am Schalter gab mir mein Inserat zurück und sagte : Wir sind ein seriöses Blatt und nehmen Annoncen perversen Inhalts grundsätzlich nicht an ; was Sie unter blauer Katze verstehen , das wissen wir schon .Mein nächster Nachbar war ein junger Farmer	6	9	auburtin_skizzen_brust.tsv
PTKVZ	PTKVZ		PTKVZ	zurück		« Dann stürzte sie wiederum , als habe sie ein Unrecht gegen Paaker begangen , zu dem Leichnam	zurück	, neben dem sie zusammensank .	Nebsecht , « rief ein Unterbefehlshaber .« Dann stürzte sie wiederum , als habe sie ein Unrecht gegen Paaker begangen , zu dem Leichnam zurück , neben dem sie zusammensank .Und wäre das Postament dort Mena's Zelt	5207	18	ebers_uarda_uarda.tsv
