DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
VAFIN	VAFIN		VAFIN	haben		Ich	habe	Dich in meinem Brief um häufige und ausführliche Nachricht gebeten über alles , was im Hauptquartier vorgeht ; schreibe mir oft , aber ich beschwöre Dich , schreibe mir nie die Wahrheit , schreibe mir nichts von dem , was wirklich dort geschieht , nichts von dem , was ihr hofft und fürchtet – nur das eine , daß Du lebst und meiner gedenkst .	die Hände des abgehenden Kuriers legt .Ich habe Dich in meinem Brief um häufige und ausführliche Nachricht gebeten über alles , was im Hauptquartier vorgeht ; schreibe mir oft , aber ich beschwöre Dich , schreibe mir nie die Wahrheit , schreibe mir nichts von dem , was wirklich dort geschieht , nichts von dem , was ihr hofft und fürchtet – nur das eine , daß Du lebst und meiner gedenkst .« rief Pawjel , seinen Handjar weit	2491	1	meding_plewna_plewna.tsv
VAFIN	VAFIN		VAFIN	haben		« » Wir	haben	das ganze Schloß durchsucht , das Mittelgebäude sowohl wie die drei Türme dort , denn zu allen von außen sichtbaren Zimmern derselben führten Treppen und Korridore .	Mon dieu !« » Wir haben das ganze Schloß durchsucht , das Mittelgebäude sowohl wie die drei Türme dort , denn zu allen von außen sichtbaren Zimmern derselben führten Treppen und Korridore .« » Wie , das tut er	635	3	galen_jasmund2_jasmund2.tsv
VAFIN	VAFIN		VAFIN	haben		Hier wohnte unten eine Kinderhälterin unehelicher Sprossen , die an dem erworbenen Monatsgeld langsam zu Tode hungerte , das obere wohnungsähnliche Gelaß	hatte	der Große Geist bezogen .	soeben gekreuzten anspruchsvollen Bürgerzeile nichts nachgab .Hier wohnte unten eine Kinderhälterin unehelicher Sprossen , die an dem erworbenen Monatsgeld langsam zu Tode hungerte , das obere wohnungsähnliche Gelaß hatte der Große Geist bezogen .Der Straßenzug des Sandgangs lief quer über	271	22	barlach_gestmond_gestmond.tsv
VAFIN	VAFIN		VAFIN	haben		Ich blickte auf meine schlafenden Nachbarn und sah , daß er Recht	hatte	.	, wie es mich eiskalt überlief .Ich blickte auf meine schlafenden Nachbarn und sah , daß er Recht hatte .Ich hatte meine Ladung : Bürste ,	237	12	erckchat_anno1813_anno1813.tsv
VAFIN	VAFIN		VAFIN	haben		Sie	hatten	keinen gelehrten Begriff von der Kunst , aber eine desto größere Meinung von ihrer eignen Geschicklichkeit ; und wirklich konnt es ihnen an Anlage nicht fehlen , da die Abderiten überhaupt geborne Gaukler , Spaßmacher und Pantomimen waren , an denen immer jedes Glied ihres Leibes mit reden half , so wenig auch das , was sie sagten , zu bedeuten haben mochte .	sich sehr viel mit ihrem Theater .Sie hatten keinen gelehrten Begriff von der Kunst , aber eine desto größere Meinung von ihrer eignen Geschicklichkeit ; und wirklich konnt es ihnen an Anlage nicht fehlen , da die Abderiten überhaupt geborne Gaukler , Spaßmacher und Pantomimen waren , an denen immer jedes Glied ihres Leibes mit reden half , so wenig auch das , was sie sagten , zu bedeuten haben mochte .» « Da seht nun selbst ,	862	1	wieland_abdera_abdera.tsv
VAFIN	VAFIN		VAFIN	haben		Wir Kinder und Krischan	hatten	die ganze Unterhaltung schweigend angehört .	Und dabei spuckte er aus .Wir Kinder und Krischan hatten die ganze Unterhaltung schweigend angehört .« sagte mein Bruder Heinrich , der	47	4	niese_vanehren_vanehren.tsv
VAFIN	VAFIN		VAFIN	haben		Sobald Rasumichin fortgegangen war , stand Raskolnikow auf , wandte sich zum Fenster , rannte dann bald gegen die eine , bald gegen die andre Wand an , als	hätte	er die Enge seines Kämmerchens vergessen , … und setzte sich wieder auf das Sofa .	« » Ach ja , ja !Sobald Rasumichin fortgegangen war , stand Raskolnikow auf , wandte sich zum Fenster , rannte dann bald gegen die eine , bald gegen die andre Wand an , als hätte er die Enge seines Kämmerchens vergessen , … und setzte sich wieder auf das Sofa .Ach , mein Gott !	12991	29	dostojew_schuldsu_schuldsu.tsv
VAFIN	VAFIN		VAFIN	haben		Sie	hätte	gern die Neugier gestillt , die in ihr lebendig wurde , aber Wicho schob sie vor den Hag hinaus und schloß hinter ihr das Tor .	kam Heilwig von den Ställen her .Sie hätte gern die Neugier gestillt , die in ihr lebendig wurde , aber Wicho schob sie vor den Hag hinaus und schloß hinter ihr das Tor .Wicho sprang hinaus auf die offene Lände	5152	1	ganghofe_martinsk_martinsk.tsv
VAFIN	VAFIN		VAFIN	sein		Chor : Nicht hilf den Menschen fürder über alles Maß , Des eignen Unheils unbekümmert ; denn ich	bin	Der festen Hoffnung , daß du einst noch , dieser Qual Entfesselt , nicht von mindrer Macht wirst sein denn Zeus .	dem Götterknecht , kein Wort gegönnt !Chor : Nicht hilf den Menschen fürder über alles Maß , Des eignen Unheils unbekümmert ; denn ich bin Der festen Hoffnung , daß du einst noch , dieser Qual Entfesselt , nicht von mindrer Macht wirst sein denn Zeus .Drum wirst du Hüter dieses öden Felsens	239	18	aischylo_promethe_promethe.tsv
VAFIN	VAFIN		VAFIN	sein		Nach etwa drei Wochen , Meister , werde ich auf Rain eintreten , wenn's Euch so recht	ist	.	als seine Rosse , hintennach knebelt !Nach etwa drei Wochen , Meister , werde ich auf Rain eintreten , wenn's Euch so recht ist .« lachte es hellauf , » denen	1871	17	lienert_rain_rain.tsv
VAFIN	VAFIN		VAFIN	sein		Auch er	ist	, sobald er an Gott und Unsterblichkeit glaubt , sofort entschlossen , nur noch der Unsterblichkeit zu leben : » einen halben Kompromiß nehm ich nicht an !	Held , beginnt durchaus als Pascal .Auch er ist , sobald er an Gott und Unsterblichkeit glaubt , sofort entschlossen , nur noch der Unsterblichkeit zu leben : » einen halben Kompromiß nehm ich nicht an !Diese Versöhnung mit der Wirklichkeit , mit	2883	2	bahr_kritik_kritik.tsv
VAFIN	VAFIN		VAFIN	sein		Auf / und wo der nechste Back-Ofen	ist	/ da steckt den Betrüger in die volle Glut .	gedencken einer Rebellion schuldig zu seyn .Auf / und wo der nechste Back-Ofen ist / da steckt den Betrüger in die volle Glut .Geon .	1259	7	weise_masaniel_masaniel.tsv
VAFIN	VAFIN		VAFIN	sein		Nichts desto weniger dürfen wir nicht vergessen , daß er nur eine der verschiedenen bevorzugten Formen der Primaten	ist	.	dem Menschen die Entstehung gegeben habe .Nichts desto weniger dürfen wir nicht vergessen , daß er nur eine der verschiedenen bevorzugten Formen der Primaten ist .Dagegen werden die menschenähnlichen Affen , nämlich	1801	18	strauss_glaube_glaube.tsv
