DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
VMFIN	VMFIN		VMFIN	dürfen		Dies plötzliche nun in die Verbannung und in einen Kerker gerufene Glück hatte sogar etwas Romantisches für die Welt , die im Grunde das Regelwidrige dem Regelmäßigen vorzieht , nur	darf	sie es in ihren nächsten Interessen nicht berühren und ihr nicht irgend welche Opfer auferlegen .	der Gerechtigkeit schon müssen aufhalten lassen .Dies plötzliche nun in die Verbannung und in einen Kerker gerufene Glück hatte sogar etwas Romantisches für die Welt , die im Grunde das Regelwidrige dem Regelmäßigen vorzieht , nur darf sie es in ihren nächsten Interessen nicht berühren und ihr nicht irgend welche Opfer auferlegen .Warum sollte man das Ergebniß jener zweihundertjährigen	24893	30	gutzkow_ritter_ritter.tsv
VMFIN	VMFIN		VMFIN	dürfen		Nichts desto weniger	dürfen	wir nicht vergessen , daß er nur eine der verschiedenen bevorzugten Formen der Primaten ist .	dem Menschen die Entstehung gegeben habe .Nichts desto weniger dürfen wir nicht vergessen , daß er nur eine der verschiedenen bevorzugten Formen der Primaten ist .Dagegen werden die menschenähnlichen Affen , nämlich	1801	3	strauss_glaube_glaube.tsv
VMFIN	VMFIN		VMFIN	können		Ha , glaubt du daß ich	kann	?	Ihr werdet das nicht tun !Ha , glaubt du daß ich kann ?Genoveva .	3836	6	hebbel_genoveva_genoveva.tsv
VMFIN	VMFIN		VMFIN	können		Man	kann	sie ja gar nicht zeigen da unten !	wird sich Frisur und Robe zerdrücken .Man kann sie ja gar nicht zeigen da unten !Nun kam über ihn die Angst eines	5388	1	stratz_deutwund_deutwund.tsv
VMFIN	VMFIN		VMFIN	können		Wie	kann	sie's nur wagen , anständige Personen um ihren Besuch zu bitten , alles bloß , um ihnen etwas von ihrer Unschuld vorzuklagen ?	hat , ist kaum zu glauben .Wie kann sie's nur wagen , anständige Personen um ihren Besuch zu bitten , alles bloß , um ihnen etwas von ihrer Unschuld vorzuklagen ?.	1292	1	fontane_5schloes_5schloes.tsv
VMFIN	VMFIN		VMFIN	können		Ein Milesier Namens Hekatäus( Anm. 45 ) Hekatäus von Milet	kann	, wie Herodot » der Vater der Geschichte « , » der Vater der Geographie « genannt werden .	den Wogen des Meeres ähnliches Brausen .Ein Milesier Namens Hekatäus( Anm. 45 ) Hekatäus von Milet kann , wie Herodot » der Vater der Geschichte « , » der Vater der Geographie « genannt werden .Kein Laut , außer jenem seltsamen Tone	6125	10	ebers_aegypt_aegypt.tsv
VMFIN	VVFIN		VVFIN	können		Sie hatten keinen gelehrten Begriff von der Kunst , aber eine desto größere Meinung von ihrer eignen Geschicklichkeit ; und wirklich	konnt	es ihnen an Anlage nicht fehlen , da die Abderiten überhaupt geborne Gaukler , Spaßmacher und Pantomimen waren , an denen immer jedes Glied ihres Leibes mit reden half , so wenig auch das , was sie sagten , zu bedeuten haben mochte .	sich sehr viel mit ihrem Theater .Sie hatten keinen gelehrten Begriff von der Kunst , aber eine desto größere Meinung von ihrer eignen Geschicklichkeit ; und wirklich konnt es ihnen an Anlage nicht fehlen , da die Abderiten überhaupt geborne Gaukler , Spaßmacher und Pantomimen waren , an denen immer jedes Glied ihres Leibes mit reden half , so wenig auch das , was sie sagten , zu bedeuten haben mochte .» « Da seht nun selbst ,	862	21	wieland_abdera_abdera.tsv
VMFIN	VMFIN		VMFIN	können		Nun solle ich sehen , rief sie , wie sie marschieren	könne	, und schlug einen Schritt ein , den ich sogleich zu mäßigen suchte .	Aber nein !Nun solle ich sehen , rief sie , wie sie marschieren könne , und schlug einen Schritt ein , den ich sogleich zu mäßigen suchte .Ich sagte aber , das gäbe sich	5080	11	kuegelgn_altmann_altmann.tsv
VMFIN	VMFIN		VMFIN	können		Und ihr kam die Frage , warum der Geliebte nicht hier sein	könnte	, in diesen Räumen , statt des anderen , für den ihr Herz längst erstorben war .	stieg ihr unwillkürlich Stassingks Bild auf .Und ihr kam die Frage , warum der Geliebte nicht hier sein könnte , in diesen Räumen , statt des anderen , für den ihr Herz längst erstorben war .Dann , Maria , wirft Du vielleicht	483	12	ompteda_maria_maria.tsv
VMFIN	VMFIN		VMFIN	können		Zudem zitterte ich , daß es jemand wagen	könnte	, nach der Ursache zu fragen .	hatte , lag noch immer verborgen .Zudem zitterte ich , daß es jemand wagen könnte , nach der Ursache zu fragen .Das Gesinde hegte die Meinung , daß	925	8	bleifran_persdeca_persdeca.tsv
