DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
VMINF	VMINF		VMFIN	dürfen		« Ein wenig Abwechslung habe ich insofern durch den Besuch ; als wir nun öfters einmal ausfahren	dürfen	, – reiten nie .	Ehre , Ihnen meine Verlobte vorzustellen .« Ein wenig Abwechslung habe ich insofern durch den Besuch ; als wir nun öfters einmal ausfahren dürfen , – reiten nie .Es konnte doch unmöglich Verlobung gefeiert werden	662	17	rose_sorgen_sorgen.tsv
VMINF	VMINF		VMINF	können		Wenn ihr › Nüchternen ‹ doch nicht in so törichter Weise glaubtet , das Geheimnis des Seins von seinem Schleier befreien zu	können	.	, seines Eigentums wäre niemand sicher .Wenn ihr › Nüchternen ‹ doch nicht in so törichter Weise glaubtet , das Geheimnis des Seins von seinem Schleier befreien zu können .» Wie kannst du im Ernste solche	119	22	lasswitz_erz_nullpnk2.tsv
VMINF	VMINF		VMINF	können		« Dann erinnerte ich mich , daß ich jetzt alle diese Dinge reichlich besitze und mich auf dem Wege befinde , mir meinen Unterhalt auch ohne die Gewehre verschaffen zu	können	, wenn meine Munition einmal verbraucht sein würde .	, ohne alle Nothwendigkeiten des Lebens .« Dann erinnerte ich mich , daß ich jetzt alle diese Dinge reichlich besitze und mich auf dem Wege befinde , mir meinen Unterhalt auch ohne die Gewehre verschaffen zu können , wenn meine Munition einmal verbraucht sein würde .Ich hatte einen Theil des Tages für	800	30	defoe_crusoe_crusoe.tsv
VMINF	VMINF		VMINF	können		Als ich , wie mir der Narr , der schöne Bogislaus gerathen hatte , von hinten an ihn heranzukommen suchte , um ihm meinen Dank für den Doktor der Weltweisheit mit Rührung anzubringen , und Sie mich mit aus seiner Stube schoben , um , wie Sie sagten , der greulichen Scene ein Ende zu machen , da habe ich freilich schon merken	können	, in was für einer heiteren Schule er Sie gehabt hat , Rosine .	Können Sie Verwesung riechen ?Als ich , wie mir der Narr , der schöne Bogislaus gerathen hatte , von hinten an ihn heranzukommen suchte , um ihm meinen Dank für den Doktor der Weltweisheit mit Rührung anzubringen , und Sie mich mit aus seiner Stube schoben , um , wie Sie sagten , der greulichen Scene ein Ende zu machen , da habe ich freilich schon merken können , in was für einer heiteren Schule er Sie gehabt hat , Rosine .Können Sie Blut sehen ?	2986	63	raabe_lar_lar.tsv
VMINF	VMINF		VMINF	können		Sie hatte mich wirklich lieb ; ich hätte sie ohne lange Bewerbung heirathen und das Geschäft ihres Vaters betreiben	können	; meine Neigung zur Musik hätte es mir lieb gemacht .	mein Leben in glücklicher Ruhe hinzubringen .Sie hatte mich wirklich lieb ; ich hätte sie ohne lange Bewerbung heirathen und das Geschäft ihres Vaters betreiben können ; meine Neigung zur Musik hätte es mir lieb gemacht .Herr Deybens schlug mir vor , die	1585	19	rousseau_bekennt1_bekennt1.tsv
VMINF	VMINF		VMINF	können		« In diesem Augenblicke und während der Herzog mit dem , was vor seinen Augen vorging , zu sehr beschäftigt war , als daß er hätte darauf achten	können	, was hinter ihm geschah , schlich sich Oliver le Dain hinter den König und flüsterte ihm ins Ohr : » Es ist der Zigeuner Hayraddin Maugrabin !	« – » Amen !« In diesem Augenblicke und während der Herzog mit dem , was vor seinen Augen vorging , zu sehr beschäftigt war , als daß er hätte darauf achten können , was hinter ihm geschah , schlich sich Oliver le Dain hinter den König und flüsterte ihm ins Ohr : » Es ist der Zigeuner Hayraddin Maugrabin !– Nun denn , Dunois , so	3471	28	scott_quentind_quentind.tsv
VMINF	VMINF		VMINF	können		Das ganze Personal ist glücklicherweise auf der Bühne ; so hoff' ich die Kleine allein sprechen zu	können	!	Was ist mir entwendet worden ?Das ganze Personal ist glücklicherweise auf der Bühne ; so hoff' ich die Kleine allein sprechen zu können !Hat man mir einen Diebstahl verschwiegen ?	2342	17	gutzkow_urbild_urbild.tsv
VMINF	VMFIN		VMINF	können		« Die von der Lokomotive nachgeschleppten Wagen sind so eingerichtet , daß die Passagiere die Reise durch ganz Amerika machen	können	, ohne nötig zu haben , nur einmal auszusteigen .	obgleich er sich immer so stellt .« Die von der Lokomotive nachgeschleppten Wagen sind so eingerichtet , daß die Passagiere die Reise durch ganz Amerika machen können , ohne nötig zu haben , nur einmal auszusteigen .» Sonnenstrahl hat seinen Willen durchgesetzt .	1568	20	kraftr_vestali4_vestali4.tsv
VMINF	VMINF		VMINF	können		« – » Und wenn es genügt , anzuklagen , wird man keinen mehr freisprechen	können	« , erwiderte ich und sprang auf von dem Tribunal .	, weise ich die Klage ab .« – » Und wenn es genügt , anzuklagen , wird man keinen mehr freisprechen können « , erwiderte ich und sprang auf von dem Tribunal .Neulich verklagt bei mir ein solcher Angeber	7620	15	dahn_julian_julian.tsv
VMINF	VMINF		VMINF	können		« » So müßte ich mich veranlaßt sehen , Ihnen eine Begleitung zu geben , die Ihnen zuweilen recht hinderlich wäre – seien Sie vernünftig , ich rathe Ihnen als älterer Freund ; versprechen Sie mir , daß , wenn Ihnen Ihr Gegner eine Erklärung gibt , mündlich und schriftlich , wie Sie es nur verlangen	können	, daß Sie sich alsdann zufrieden geben wollen .	weiteren Befehl von dem Polizeirathe erhielt .« » So müßte ich mich veranlaßt sehen , Ihnen eine Begleitung zu geben , die Ihnen zuweilen recht hinderlich wäre – seien Sie vernünftig , ich rathe Ihnen als älterer Freund ; versprechen Sie mir , daß , wenn Ihnen Ihr Gegner eine Erklärung gibt , mündlich und schriftlich , wie Sie es nur verlangen können , daß Sie sich alsdann zufrieden geben wollen .Sie sind kein Kind mehr , und	3859	56	hacklaen_geheimst_geheimst.tsv
VMINF	VMINF		VMINF	können		Die Preussen , Dänen , Schweden und Russen geben sich zwar alle Mühe , ihre Produkten selbst den Spaniern zuführen zu	können	; allein es hält schwer , die Handlung aus einem alten Gang zu bringen , und viele Kaufleute in Norden finden den Zwischenhandel der Hamburger zu gemächlich und zum Theil auch zu vortheilhaft für sich , als daß diese in Gefahr stünden , diesen Handlungskanal ganz zu verlieren .	sehr vortheilhaft für die hiesigen Kaufleute .Die Preussen , Dänen , Schweden und Russen geben sich zwar alle Mühe , ihre Produkten selbst den Spaniern zuführen zu können ; allein es hält schwer , die Handlung aus einem alten Gang zu bringen , und viele Kaufleute in Norden finden den Zwischenhandel der Hamburger zu gemächlich und zum Theil auch zu vortheilhaft für sich , als daß diese in Gefahr stünden , diesen Handlungskanal ganz zu verlieren .Das hiesige Gewerbe beruht freylich größtentheils nur	2250	21	riesbeck_brfranz2_brfranz2.tsv
VMINF	VMINF		VMINF	können		Er rasierte sich nur selten , und obgleich er sich die Hände und das Gesicht wusch , so schien es doch , als tue er nur so , wie wenn er sich wüsche ; auch hätte man ihn mit keiner Seife rein bekommen	können	.	friedlich und rührte keine Karte an .Er rasierte sich nur selten , und obgleich er sich die Hände und das Gesicht wusch , so schien es doch , als tue er nur so , wie wenn er sich wüsche ; auch hätte man ihn mit keiner Seife rein bekommen können .Und er erzählte ihm das , was	5055	43	gontscha_oblomow_oblomow.tsv
VMINF	VMFIN		VMINF	können		Niemand hat die Frage beantworten	können	.	nach der Tür des Landhauses geführt .Niemand hat die Frage beantworten können .Mein Gewährsmann war viele Jahre in Südwestafrika	2925	5	zell_haustier_haustier.tsv
