DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
$,	$,		$,	,		Sobald Rasumichin fortgegangen war , stand Raskolnikow auf , wandte sich zum Fenster	,	rannte dann bald gegen die eine , bald gegen die andre Wand an , als hätte er die Enge seines Kämmerchens vergessen , … und setzte sich wieder auf das Sofa .	« » Ach ja , ja !Sobald Rasumichin fortgegangen war , stand Raskolnikow auf , wandte sich zum Fenster , rannte dann bald gegen die eine , bald gegen die andre Wand an , als hätte er die Enge seines Kämmerchens vergessen , … und setzte sich wieder auf das Sofa .Ach , mein Gott !	12991	13	dostojew_schuldsu_schuldsu.tsv
$,	$,		$,	,		Sobald Rasumichin fortgegangen war , stand Raskolnikow auf , wandte sich zum Fenster , rannte dann bald gegen die eine	,	bald gegen die andre Wand an , als hätte er die Enge seines Kämmerchens vergessen , … und setzte sich wieder auf das Sofa .	« » Ach ja , ja !Sobald Rasumichin fortgegangen war , stand Raskolnikow auf , wandte sich zum Fenster , rannte dann bald gegen die eine , bald gegen die andre Wand an , als hätte er die Enge seines Kämmerchens vergessen , … und setzte sich wieder auf das Sofa .Ach , mein Gott !	12991	20	dostojew_schuldsu_schuldsu.tsv
$,	$,		$,	,		Sobald Rasumichin fortgegangen war , stand Raskolnikow auf , wandte sich zum Fenster , rannte dann bald gegen die eine , bald gegen die andre Wand an	,	als hätte er die Enge seines Kämmerchens vergessen , … und setzte sich wieder auf das Sofa .	« » Ach ja , ja !Sobald Rasumichin fortgegangen war , stand Raskolnikow auf , wandte sich zum Fenster , rannte dann bald gegen die eine , bald gegen die andre Wand an , als hätte er die Enge seines Kämmerchens vergessen , … und setzte sich wieder auf das Sofa .Ach , mein Gott !	12991	27	dostojew_schuldsu_schuldsu.tsv
$,	$,		$,	,		Sobald Rasumichin fortgegangen war , stand Raskolnikow auf , wandte sich zum Fenster , rannte dann bald gegen die eine , bald gegen die andre Wand an , als hätte er die Enge seines Kämmerchens vergessen	,	… und setzte sich wieder auf das Sofa .	« » Ach ja , ja !Sobald Rasumichin fortgegangen war , stand Raskolnikow auf , wandte sich zum Fenster , rannte dann bald gegen die eine , bald gegen die andre Wand an , als hätte er die Enge seines Kämmerchens vergessen , … und setzte sich wieder auf das Sofa .Ach , mein Gott !	12991	36	dostojew_schuldsu_schuldsu.tsv
$,	$,		$,	,		Sie hatten keinen gelehrten Begriff von der Kunst	,	aber eine desto größere Meinung von ihrer eignen Geschicklichkeit ; und wirklich konnt es ihnen an Anlage nicht fehlen , da die Abderiten überhaupt geborne Gaukler , Spaßmacher und Pantomimen waren , an denen immer jedes Glied ihres Leibes mit reden half , so wenig auch das , was sie sagten , zu bedeuten haben mochte .	sich sehr viel mit ihrem Theater .Sie hatten keinen gelehrten Begriff von der Kunst , aber eine desto größere Meinung von ihrer eignen Geschicklichkeit ; und wirklich konnt es ihnen an Anlage nicht fehlen , da die Abderiten überhaupt geborne Gaukler , Spaßmacher und Pantomimen waren , an denen immer jedes Glied ihres Leibes mit reden half , so wenig auch das , was sie sagten , zu bedeuten haben mochte .» « Da seht nun selbst ,	862	8	wieland_abdera_abdera.tsv
$,	$,		$,	,		Sie hatten keinen gelehrten Begriff von der Kunst , aber eine desto größere Meinung von ihrer eignen Geschicklichkeit ; und wirklich konnt es ihnen an Anlage nicht fehlen	,	da die Abderiten überhaupt geborne Gaukler , Spaßmacher und Pantomimen waren , an denen immer jedes Glied ihres Leibes mit reden half , so wenig auch das , was sie sagten , zu bedeuten haben mochte .	sich sehr viel mit ihrem Theater .Sie hatten keinen gelehrten Begriff von der Kunst , aber eine desto größere Meinung von ihrer eignen Geschicklichkeit ; und wirklich konnt es ihnen an Anlage nicht fehlen , da die Abderiten überhaupt geborne Gaukler , Spaßmacher und Pantomimen waren , an denen immer jedes Glied ihres Leibes mit reden half , so wenig auch das , was sie sagten , zu bedeuten haben mochte .» « Da seht nun selbst ,	862	28	wieland_abdera_abdera.tsv
$,	$,		$,	,		Sie hatten keinen gelehrten Begriff von der Kunst , aber eine desto größere Meinung von ihrer eignen Geschicklichkeit ; und wirklich konnt es ihnen an Anlage nicht fehlen , da die Abderiten überhaupt geborne Gaukler	,	Spaßmacher und Pantomimen waren , an denen immer jedes Glied ihres Leibes mit reden half , so wenig auch das , was sie sagten , zu bedeuten haben mochte .	sich sehr viel mit ihrem Theater .Sie hatten keinen gelehrten Begriff von der Kunst , aber eine desto größere Meinung von ihrer eignen Geschicklichkeit ; und wirklich konnt es ihnen an Anlage nicht fehlen , da die Abderiten überhaupt geborne Gaukler , Spaßmacher und Pantomimen waren , an denen immer jedes Glied ihres Leibes mit reden half , so wenig auch das , was sie sagten , zu bedeuten haben mochte .» « Da seht nun selbst ,	862	35	wieland_abdera_abdera.tsv
$,	$,		$,	,		Sie hatten keinen gelehrten Begriff von der Kunst , aber eine desto größere Meinung von ihrer eignen Geschicklichkeit ; und wirklich konnt es ihnen an Anlage nicht fehlen , da die Abderiten überhaupt geborne Gaukler , Spaßmacher und Pantomimen waren	,	an denen immer jedes Glied ihres Leibes mit reden half , so wenig auch das , was sie sagten , zu bedeuten haben mochte .	sich sehr viel mit ihrem Theater .Sie hatten keinen gelehrten Begriff von der Kunst , aber eine desto größere Meinung von ihrer eignen Geschicklichkeit ; und wirklich konnt es ihnen an Anlage nicht fehlen , da die Abderiten überhaupt geborne Gaukler , Spaßmacher und Pantomimen waren , an denen immer jedes Glied ihres Leibes mit reden half , so wenig auch das , was sie sagten , zu bedeuten haben mochte .» « Da seht nun selbst ,	862	40	wieland_abdera_abdera.tsv
$,	$,		$,	,		Sie hatten keinen gelehrten Begriff von der Kunst , aber eine desto größere Meinung von ihrer eignen Geschicklichkeit ; und wirklich konnt es ihnen an Anlage nicht fehlen , da die Abderiten überhaupt geborne Gaukler , Spaßmacher und Pantomimen waren , an denen immer jedes Glied ihres Leibes mit reden half	,	so wenig auch das , was sie sagten , zu bedeuten haben mochte .	sich sehr viel mit ihrem Theater .Sie hatten keinen gelehrten Begriff von der Kunst , aber eine desto größere Meinung von ihrer eignen Geschicklichkeit ; und wirklich konnt es ihnen an Anlage nicht fehlen , da die Abderiten überhaupt geborne Gaukler , Spaßmacher und Pantomimen waren , an denen immer jedes Glied ihres Leibes mit reden half , so wenig auch das , was sie sagten , zu bedeuten haben mochte .» « Da seht nun selbst ,	862	51	wieland_abdera_abdera.tsv
$,	$,		$,	,		Sie hatten keinen gelehrten Begriff von der Kunst , aber eine desto größere Meinung von ihrer eignen Geschicklichkeit ; und wirklich konnt es ihnen an Anlage nicht fehlen , da die Abderiten überhaupt geborne Gaukler , Spaßmacher und Pantomimen waren , an denen immer jedes Glied ihres Leibes mit reden half , so wenig auch das	,	was sie sagten , zu bedeuten haben mochte .	sich sehr viel mit ihrem Theater .Sie hatten keinen gelehrten Begriff von der Kunst , aber eine desto größere Meinung von ihrer eignen Geschicklichkeit ; und wirklich konnt es ihnen an Anlage nicht fehlen , da die Abderiten überhaupt geborne Gaukler , Spaßmacher und Pantomimen waren , an denen immer jedes Glied ihres Leibes mit reden half , so wenig auch das , was sie sagten , zu bedeuten haben mochte .» « Da seht nun selbst ,	862	56	wieland_abdera_abdera.tsv
