DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
ADJD	ADJD		ADJD	ermutigend		« sprach die Jungfrau	ermutigend	.	Du wagtest dein Leben !« sprach die Jungfrau ermutigend .» Epponina !	2243	4	dahn_bataver_bataver.tsv
ADJD	NN		NE	ewig		Vorsehung , die da alles lenkt zum Heile , Schenkt durch ihr Licht dem Himmel Ruh , darinnen	Ewig	der andere kreist mit größter Eile .	ich des Schicksals Willkür gern erfahren .Vorsehung , die da alles lenkt zum Heile , Schenkt durch ihr Licht dem Himmel Ruh , darinnen Ewig der andere kreist mit größter Eile .« In seiner Tiefe sah ich im	4877	18	dante_goettko1_goettko1.tsv
ADJD	ADJD		ADJD	ewig		Dem Juden auf drei Füssen mocht' er gleichen , Er schwankt dahin durch Schnee und kotigen Brei , Als trät' er	ewig	mit den Schuhen auf Leichen , Feindselig , hasserfüllt und stumpf dabei .	, bis ich nicht mehr kann .Dem Juden auf drei Füssen mocht' er gleichen , Er schwankt dahin durch Schnee und kotigen Brei , Als trät' er ewig mit den Schuhen auf Leichen , Feindselig , hasserfüllt und stumpf dabei .Mein Weib ist tot , und ich	137	21	baudelai_2gedicht_2gedicht.tsv
ADJD	ADJD		ADJD	falsch		Wie ich genauer hinsehe , erkenne ich in allen Dingen dieselbe Schwermut , jeder Menschenblick ist ängstlich und	falsch	, jeder Ton gebrochen ... Auf allen Dingen liegt ein grauer Nebel , der jedes Licht verdeckt und jede Freude erstickt .	Wir fahren immer weiter und weiter .Wie ich genauer hinsehe , erkenne ich in allen Dingen dieselbe Schwermut , jeder Menschenblick ist ängstlich und falsch , jeder Ton gebrochen ... Auf allen Dingen liegt ein grauer Nebel , der jedes Licht verdeckt und jede Freude erstickt .Daß er ein Mensch war , der	1600	18	antholog_pfeiffen_pfeiffen.tsv
ADJD	NN		ADJD	feindselig		Dem Juden auf drei Füssen mocht' er gleichen , Er schwankt dahin durch Schnee und kotigen Brei , Als trät' er ewig mit den Schuhen auf Leichen ,	Feindselig	, hasserfüllt und stumpf dabei .	, bis ich nicht mehr kann .Dem Juden auf drei Füssen mocht' er gleichen , Er schwankt dahin durch Schnee und kotigen Brei , Als trät' er ewig mit den Schuhen auf Leichen , Feindselig , hasserfüllt und stumpf dabei .Mein Weib ist tot , und ich	137	28	baudelai_2gedicht_2gedicht.tsv
ADJD	ADJD		ADJD	fertig		Jetzt sag , ist denn da schon was	fertig	gemacht ?	Erinnere ihn nur dran .Jetzt sag , ist denn da schon was fertig gemacht ?Ich habe als Soldat mitgespielt in der	984	8	auerbach_dorfg09_dorfg09.tsv
ADJD	VVPP		VVPP	gewohnt		» Hat er lange hier	gewohnt	?	sie , und wir flogen weg .» Hat er lange hier gewohnt ?« » Kleinmütiger !	611	5	turgenev_visionen_visionen.tsv
ADJD	ADJD		ADJD	gut		In Italien , mochte der aus Venedig bramarbasieren , weiß jeder Anfänger	besser	Bescheid .	seinen dunklen Andeutungen nicht recht klug .In Italien , mochte der aus Venedig bramarbasieren , weiß jeder Anfänger besser Bescheid .Ihm sollte er nicht alle Entwürfe willig	1337	12	pastor_duerer_duerer.tsv
ADJD	VVPP		VVFIN	haßerfüllt		Dem Juden auf drei Füssen mocht' er gleichen , Er schwankt dahin durch Schnee und kotigen Brei , Als trät' er ewig mit den Schuhen auf Leichen , Feindselig ,	hasserfüllt	und stumpf dabei .	, bis ich nicht mehr kann .Dem Juden auf drei Füssen mocht' er gleichen , Er schwankt dahin durch Schnee und kotigen Brei , Als trät' er ewig mit den Schuhen auf Leichen , Feindselig , hasserfüllt und stumpf dabei .Mein Weib ist tot , und ich	137	30	baudelai_2gedicht_2gedicht.tsv
ADJD	ADJD		ADJD	hilflos		Darab erzählte , daß man Schehanna in dem Viertel der Eingeborenen gefunden hatte –	hilflos	und verstört , von Tür zu Tür schwankend , um nach ihrer Mutter zu fragen .	er wieder seiner Stimme Herr wurde .Darab erzählte , daß man Schehanna in dem Viertel der Eingeborenen gefunden hatte – hilflos und verstört , von Tür zu Tür schwankend , um nach ihrer Mutter zu fragen .Aber laßt uns den Todeskampf kurz machen	1893	14	bruun_unbgott2_unbgott2.tsv
ADJD	ADJA		ADJD	imstande		Ich sehe mich um in dem Lokahle und sehe dort verschiedene Gesichter , die	imstande	waren , ihren eigenen Vater und Mutter an Moses Löwenthalen abzuliefern .	Hunde in die Vossische Zeitung setzen !Ich sehe mich um in dem Lokahle und sehe dort verschiedene Gesichter , die imstande waren , ihren eigenen Vater und Mutter an Moses Löwenthalen abzuliefern .Nun tun Sie mir den Gefallen und	553	14	reuter_braesig_braesig.tsv
ADJD	ADJD		ADJD	leicht		Ich erwache	leicht	geblendet , ungewohnt Eines fremden Lagers .	, verneigt sich mit goldenem Scheine .Ich erwache leicht geblendet , ungewohnt Eines fremden Lagers .Gute Genossen heischt die gute Stunde .	57	2	klabund_litaipe_litaipe.tsv
ADJD	ADJD		ADJD	lächelnd		Sophie	lächelnd	.	Sophie .Sophie lächelnd .Er will nichts sagen .	824	1	goethe_mitschul_mitsch01.tsv
ADJD	NN		ADJD	recht		« » Sie haben	recht	, « sagte er mit flüsternder Stimme , » sehen Sie nach , ob Sie das Gesuchte finden .	dessen vornehm nachlässiger und degagierter Haltung .« » Sie haben recht , « sagte er mit flüsternder Stimme , » sehen Sie nach , ob Sie das Gesuchte finden .Daneben berichtete man ausführlich von der Begegnung	3685	4	meding_euromine_euromine.tsv
ADJD	ADJD		ADJD	schlecht		Er scheint sich nicht	schlecht	gehalten zu haben , wenn man ihn hört .	wir Ulmer die Wiener überflügelt hätten ?Er scheint sich nicht schlecht gehalten zu haben , wenn man ihn hört .Meine Tante schreibt mir , er sei	4745	4	eyth_ulm_ulm.tsv
ADJD	NN		ADJD	seltsam			Seltsam	ist's , daß unser Blut – Vermischte man 's – an Farbe , Wärm' und Schwere Den Unterschied verneint , und doch so mächtig Sich trennt durch Vorurteil .	) König .Seltsam ist's , daß unser Blut – Vermischte man 's – an Farbe , Wärm' und Schwere Den Unterschied verneint , und doch so mächtig Sich trennt durch Vorurteil .( Sie gehn ab .	1319	0	shakespr_endegut_endegut.tsv
