DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
KOUI	KOUI		KOUI	ohne		In wechselnder Folge der Gedanken , Gefühle und Entwürfe ,	ohne	sich um die eingebrochene Nacht , um die ringsher niederfallenden Schneeflocken , oder die Mahnungen des nüchternen Magens , zu kümmern , schritt er hastig dahin .	rief Flavian .In wechselnder Folge der Gedanken , Gefühle und Entwürfe , ohne sich um die eingebrochene Nacht , um die ringsher niederfallenden Schneeflocken , oder die Mahnungen des nüchternen Magens , zu kümmern , schritt er hastig dahin .Verflucht sei das Gesindel !	629	10	zschokke_disentis_disentis.tsv
KOUI	KOUI		KOUI	ohne		« Der Angekommene warf ein Ränzchen , welches er auf dem Rücken trug , in den Rasen und ließ sich am Fuß der Buche nieder , wo er ,	ohne	sein Lied zu unterbrechen , die leuchtenden Augen in die weite Fernsicht schweifen ließ .	Sie wissen … heraus damit !« Der Angekommene warf ein Ränzchen , welches er auf dem Rücken trug , in den Rasen und ließ sich am Fuß der Buche nieder , wo er , ohne sein Lied zu unterbrechen , die leuchtenden Augen in die weite Fernsicht schweifen ließ .« rief der Pädagog , indem er	1502	29	dronke_maikoeni_maikoeni.tsv
KOUI	KOUI		KOUI	ohne		Ich war nach und nach so schwach geworden , daß ich kaum gehen konnte ,	ohne	geführt zu werden , und fing an , ernstlichen Bedenklichkeiten über meinen Zustand Raum zu geben .	hundert Schritte weiter davon ab genommen .Ich war nach und nach so schwach geworden , daß ich kaum gehen konnte , ohne geführt zu werden , und fing an , ernstlichen Bedenklichkeiten über meinen Zustand Raum zu geben .Eins der ansehnlichsten modernen Dörfer Ägyptens steht	4297	15	pueckler_mehemed_mehemed.tsv
KOUI	APPR		APPR	ohne		Er hat soeben das Rohr in vertikaler Richtung in der Luft gewirbelt zu einer Höhe , daß kein Gaslicht mehr da hinauf reicht , und mit langgestreckten Hälsen harrt der Ring der Gaffer des nächsten Augenblicks , wo der wunderbare Stock mit Blitzesschnelle gehorsam wieder herab und in die Hand auf den Rücken fährt ,	ohne	daß der Batonist sich nur von der Stelle bewegt hat .	ein Grab neben jenem dort graben !Er hat soeben das Rohr in vertikaler Richtung in der Luft gewirbelt zu einer Höhe , daß kein Gaslicht mehr da hinauf reicht , und mit langgestreckten Hälsen harrt der Ring der Gaffer des nächsten Augenblicks , wo der wunderbare Stock mit Blitzesschnelle gehorsam wieder herab und in die Hand auf den Rücken fährt , ohne daß der Batonist sich nur von der Stelle bewegt hat .» Wo ist der Kapitain ?	2632	55	retcliff_magent1_magent1.tsv
KOUI	KOUI		KOUI	ohne		Er war es gewohnt ,	ohne	Lärm fleißig bei einer bestimmten Beschäftigung zu sein .	sobald die Schule zu Ende war .Er war es gewohnt , ohne Lärm fleißig bei einer bestimmten Beschäftigung zu sein .Er kam zwar immer so schnell nach	613	5	spyri_kandergr_kandergr.tsv
KOUI	APPR		KOUI	ohne		Hole zum Glauben mit einem besonnenen Überglauben aus ; achte vorzüglich auf das , was ,	ohne	deine Schuld und Würdigkeit wiederkommend , wie ein Geist erscheint und geht , was plötzlich in der Nacht herunterfällt als ein Manna , das entweder ernährt , oder sanft ausheilt .	Leute , die er tragen mag .Hole zum Glauben mit einem besonnenen Überglauben aus ; achte vorzüglich auf das , was , ohne deine Schuld und Würdigkeit wiederkommend , wie ein Geist erscheint und geht , was plötzlich in der Nacht herunterfällt als ein Manna , das entweder ernährt , oder sanft ausheilt .Übrigens fällt durch Montesquieus Bemerkung ein Lorbeerkranz	451	16	jeanpaul_daemmer_daemmer.tsv
KOUI	APPR		APPR	um		»	Um	– Sophie .	– « » Ja , gleich .» Um – Sophie .« » Woher weißt du , daß	3562	1	theden_2busse_2busse.tsv
KOUI	KOUI		KOUI	um		» « Mein Liebchen ruft , von ferne ruft es , Am Strand des Saimaasees wimmert es ; Kein Kahn ist am Ufer ,	Um	mein Liebchen herüberzuführen .	Hyvä Kuopio » , antwortete Rizzi .» « Mein Liebchen ruft , von ferne ruft es , Am Strand des Saimaasees wimmert es ; Kein Kahn ist am Ufer , Um mein Liebchen herüberzuführen .Heikki nahm die Pfeife aus dem Munde	68	24	spittelr_ei_ole_ei_ole.tsv
KOUI	APPR		APPR	um			Um	Viertel nach zwei wurde er abgelöst .	und das Schloß lag in Dunkelheit .Um Viertel nach zwei wurde er abgelöst .Halb Brighton ging auf der Kurpromenade spazieren	1241	0	wallacee_clubvier_clubvier.tsv
KOUI	KOUI		APPR	um			Um	einen Prozeß zu vermeiden und diesen Mann nicht unglücklich zu machen , hat Birotteau zweifellos die dreitausend Franken wieder in die Kasse getan , das Geld für diesen Kaschmirschal , den ich deshalb erst drei Jahre später bekommen habe .	in meinem und Cäsars begraben war .Um einen Prozeß zu vermeiden und diesen Mann nicht unglücklich zu machen , hat Birotteau zweifellos die dreitausend Franken wieder in die Kasse getan , das Geld für diesen Kaschmirschal , den ich deshalb erst drei Jahre später bekommen habe .» Ach , lieber Herr , ich	1440	0	balzac_birottea_birottea.tsv
KOUI	KOUI		KOUI	um		In wechselnder Folge der Gedanken , Gefühle und Entwürfe , ohne sich um die eingebrochene Nacht ,	um	die ringsher niederfallenden Schneeflocken , oder die Mahnungen des nüchternen Magens , zu kümmern , schritt er hastig dahin .	rief Flavian .In wechselnder Folge der Gedanken , Gefühle und Entwürfe , ohne sich um die eingebrochene Nacht , um die ringsher niederfallenden Schneeflocken , oder die Mahnungen des nüchternen Magens , zu kümmern , schritt er hastig dahin .Verflucht sei das Gesindel !	629	17	zschokke_disentis_disentis.tsv
KOUI	KOUI		KOUI	um		Sie war minder hoch gewachsen als Madeline , und obwohl nicht so schmächtig ,	um	die Rundung und Fülle weiblicher Schönheit zu entbehren , erschien ihre Gestalt doch dünner , schwächer und in ihren Verhältnissen minder reich als diejenige der Schwester .	mochten , als diejenigen ihrer Schwester .Sie war minder hoch gewachsen als Madeline , und obwohl nicht so schmächtig , um die Rundung und Fülle weiblicher Schönheit zu entbehren , erschien ihre Gestalt doch dünner , schwächer und in ihren Verhältnissen minder reich als diejenige der Schwester .Ohne einen Schatten von Mißgunst war sie	6530	14	bulwer_eugenara_eugenara.tsv
KOUI	APPR		APPR	um		» Ach nein , Ingmar , « sagte sie , » mache dich	um	meinetwillen nicht unglücklich .	und sah ihn einen Augenblick an .» Ach nein , Ingmar , « sagte sie , » mache dich um meinetwillen nicht unglücklich .Aber es nützt ja nicht , über	943	13	lagerloe_jerusal2_jerusal2.tsv
KOUI	KOUI		KOUI	um		Alle Engel und Geister , deren Spielplatz es im Himmel gewesen , flohen nun nach allen Seiten aus seinen duftigen Büschen und schwangen sich auf andre Himmelswiesen ,	um	nicht mit hinab versetzt zu werden .	« sagte der König .Alle Engel und Geister , deren Spielplatz es im Himmel gewesen , flohen nun nach allen Seiten aus seinen duftigen Büschen und schwangen sich auf andre Himmelswiesen , um nicht mit hinab versetzt zu werden .« » Also stamme ich von der	1327	28	arnimg_gritta_gritta.tsv
KOUI	KOUI		KOUI	um		Der Herd wurde sorgfältig mit Brennmaterial versorgt , vorzüglich für die Nacht , was Tartelett nicht verhinderte , mehrere Male aufzustehen ,	um	die Kohlen besser zusammenzuschieben und eine lebhaftere Verbrennung zu erzielen .	Bedürfniß zu Brot umgewandelt werden kann .Der Herd wurde sorgfältig mit Brennmaterial versorgt , vorzüglich für die Nacht , was Tartelett nicht verhinderte , mehrere Male aufzustehen , um die Kohlen besser zusammenzuschieben und eine lebhaftere Verbrennung zu erzielen .Wie die Grotte der Kalypso nach der	2183	22	verne_robinson_robinson.tsv
KOUI	KOUI		KOUI	um		Seine Einfalt war zu witzig und seine Niederlage zu wohlverdient ,	um	Mitleid zu erwecken .	Wozu soll es denn führen ?Seine Einfalt war zu witzig und seine Niederlage zu wohlverdient , um Mitleid zu erwecken .» Was heißt denn das : verzichten	8838	11	wasserma_wahnscha_wahnscha.tsv
KOUI	KOUI		KOUI	um		– » Wir haben hier einen von unsern böhmischen Großen , den Grafen Lacy , der uns überreden will , seine Landsleute warteten nur unserer gnädigen Hand ,	um	ihre alten verrosteten Vorrechte und Privilegien hinein zu legen .	in ihr einen gefaßten Gegner finden !– » Wir haben hier einen von unsern böhmischen Großen , den Grafen Lacy , der uns überreden will , seine Landsleute warteten nur unserer gnädigen Hand , um ihre alten verrosteten Vorrechte und Privilegien hinein zu legen .Nach diesem Gespräch trat die alte Ruhe	3075	28	paalzow_thyrnau1_thyrnau1.tsv
KOUI	KOUI		KOUI	um		Und über den Dourofischfang früherer Zeiten bildete sich unter den nächstsitzenden Herrn ein schleppendes Gespräch , das die Damen benutzten ,	um	zu flüstern und den Druck des feierlichen Schweigens abzuschütteln , das von der Suppe bis zu den Brathähnchen immer schwerer über uns lag .	beide so scharf und so stark !Und über den Dourofischfang früherer Zeiten bildete sich unter den nächstsitzenden Herrn ein schleppendes Gespräch , das die Damen benutzten , um zu flüstern und den Druck des feierlichen Schweigens abzuschütteln , das von der Suppe bis zu den Brathähnchen immer schwerer über uns lag .So also , in diesem in Zivilisation	1654	21	queiroz_stadtgeb_stadtgeb.tsv
KOUI	KOUI		KOUI	um		Später , als wir gerade eine Senkung passierten , kamen von links zwei Reiter angaloppiert ,	um	Faisal zu begrüßen .	nebliger Sprühregen schlossen uns ringsum ein .Später , als wir gerade eine Senkung passierten , kamen von links zwei Reiter angaloppiert , um Faisal zu begrüßen .Zu Mittag , es herrschte ein Zwielicht	5243	16	lawrence_aufstand_aufstand.tsv
