DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
KOUS	KOKOM		KOKOM	als			Als	wenn er von den äußersten Grenzen der Erde daherkäme , um Toby anzublasen .	wußte davon ein Lied zu singen .Als wenn er von den äußersten Grenzen der Erde daherkäme , um Toby anzublasen .Im Winter zu warten war 's freilich	5024	0	dickens_3weihnac_3weihnac.tsv
KOUS	KOUS		KOKOM	als		Dem Juden auf drei Füssen mocht' er gleichen , Er schwankt dahin durch Schnee und kotigen Brei ,	Als	trät' er ewig mit den Schuhen auf Leichen , Feindselig , hasserfüllt und stumpf dabei .	, bis ich nicht mehr kann .Dem Juden auf drei Füssen mocht' er gleichen , Er schwankt dahin durch Schnee und kotigen Brei , Als trät' er ewig mit den Schuhen auf Leichen , Feindselig , hasserfüllt und stumpf dabei .Mein Weib ist tot , und ich	137	18	baudelai_2gedicht_2gedicht.tsv
KOUS	APPR		APPR	als		« Überdies hatte er	als	Gratias Verehrer gegolten !	sein , wie grad eben jetzt .« Überdies hatte er als Gratias Verehrer gegolten !Und es war auch sicher gschegn ,	9770	4	dickens_chuzzlew_chuzzlew.tsv
KOUS	APPR		KOUS	als		– Wir sechs Jungen wären ihr lieber	als	du Alter !	und brauchen wie heute meine Mutter ?– Wir sechs Jungen wären ihr lieber als du Alter !– Es wird immer Menschen geben ,	3183	7	koenig_nero_nero.tsv
KOUS	KOKOM		KOKOM	als		– Aber in welcher Gemeinschaft ist dann der Gerechte ein besserer Genosse als der Kitharenspieler , so wie dieser ein besserer	als	der Gerechte ist zum Schlagen der Kithara ?	und besserer Genosse als der Bauverständige ?– Aber in welcher Gemeinschaft ist dann der Gerechte ein besserer Genosse als der Kitharenspieler , so wie dieser ein besserer als der Gerechte ist zum Schlagen der Kithara ?– Der Brettspieler .	216	21	platon_platowr3_platowr3.tsv
KOUS	APPR		APPR	als		« Heinrich von Schauenberg stand auf , und sprach : » Witiko vom Witikohause , Herr im mittäglichen Böhmen unter dem Herzoge Wladislaw , ich , Heinrich von Schauenberg , gebe dir in Gutem und Treuem meine Tochter Bertha , daß sie dir in freiem Willen	als	Ehegemahlin folge , daß du sie ehrest und liebest , und ihr treu bist , so lange du lebst , und daß sie dich ehret und liebt und dir treu ist , so lange sie lebt .	gilt es gleich auf das Leben .« Heinrich von Schauenberg stand auf , und sprach : » Witiko vom Witikohause , Herr im mittäglichen Böhmen unter dem Herzoge Wladislaw , ich , Heinrich von Schauenberg , gebe dir in Gutem und Treuem meine Tochter Bertha , daß sie dir in freiem Willen als Ehegemahlin folge , daß du sie ehrest und liebest , und ihr treu bist , so lange du lebst , und daß sie dich ehret und liebt und dir treu ist , so lange sie lebt .Der Schaffner geleitete ihn .	14756	46	stifter_witiko_witiko.tsv
KOUS	APPR		APPR	als		« Der arme Herr Zipfer , der Held , der mit den ausschweifendsten Gedanken an Herzenssiege zum Feste gekommen war , saß	als	Mittelpunkt aller Geselligkeit da , aber in anderer Weise , als er gedacht .	wia schwer als 's mir fallt .« Der arme Herr Zipfer , der Held , der mit den ausschweifendsten Gedanken an Herzenssiege zum Feste gekommen war , saß als Mittelpunkt aller Geselligkeit da , aber in anderer Weise , als er gedacht .Aber es hat sein müass'n .	7551	22	adolph_toechter_toechter.tsv
KOUS	KOUS		KOKOM	als		« Der arme Herr Zipfer , der Held , der mit den ausschweifendsten Gedanken an Herzenssiege zum Feste gekommen war , saß als Mittelpunkt aller Geselligkeit da , aber in anderer Weise ,	als	er gedacht .	wia schwer als 's mir fallt .« Der arme Herr Zipfer , der Held , der mit den ausschweifendsten Gedanken an Herzenssiege zum Feste gekommen war , saß als Mittelpunkt aller Geselligkeit da , aber in anderer Weise , als er gedacht .Aber es hat sein müass'n .	7551	33	adolph_toechter_toechter.tsv
KOUS	KOUS		KOUS	dass		Der Präsident erteilte jedoch Kozina eine strenge Rüge und fügte hinzu ,	dass	nach allem , was bisher sichergestellt wurde , die Choden sich ihrer Obrigkeit gegenüber wie Rebellen benommen haben , und insbesondere er , Kozina , möge bedenken , was hier auf dem Spiele stehe .	und verschwand dann in der Menge .Der Präsident erteilte jedoch Kozina eine strenge Rüge und fügte hinzu , dass nach allem , was bisher sichergestellt wurde , die Choden sich ihrer Obrigkeit gegenüber wie Rebellen benommen haben , und insbesondere er , Kozina , möge bedenken , was hier auf dem Spiele stehe .Der Greis hob die Hand und segnete	3059	12	jirasek_chodisch_chodisch.tsv
KOUS	KOUS		KOUS	daß		Seltsam ist's ,	daß	unser Blut – Vermischte man 's – an Farbe , Wärm' und Schwere Den Unterschied verneint , und doch so mächtig Sich trennt durch Vorurteil .	) König .Seltsam ist's , daß unser Blut – Vermischte man 's – an Farbe , Wärm' und Schwere Den Unterschied verneint , und doch so mächtig Sich trennt durch Vorurteil .( Sie gehn ab .	1319	3	shakespr_endegut_endegut.tsv
