DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
NN	NN		NN	Anwesenheit		Dem Schmerz des Grafen Hugo , der zufälligen persönlichen	Anwesenheit	des Herrn von Asselyn beim Unglück mit Angiolina Pötzl trug er mit unverstellter Theilnahme Rechnung .	Wie konnte er dagegen protestiren – !Dem Schmerz des Grafen Hugo , der zufälligen persönlichen Anwesenheit des Herrn von Asselyn beim Unglück mit Angiolina Pötzl trug er mit unverstellter Theilnahme Rechnung .Bonaventura war gegen den damaligen so nüchternen	3359	9	gutzkow_zauber6_zauber6.tsv
NN	NN		NN	Enzyklika		Umsonst schleuderte der letzte Papst seine	Enzyklika	gegen die Stadt vor den Toren des heiligen Jerusalem .	steinigen Lande vorwärtsstößt oder zurückkehren heißt ?Umsonst schleuderte der letzte Papst seine Enzyklika gegen die Stadt vor den Toren des heiligen Jerusalem .Flucht vor der Notwendigkeit des Klassenkampfes mit	1355	6	holitsch_palaest_palaest.tsv
NN	NN		NN	Gesandte		Der	Gesandte	weigerte sich .	wen Sie das eigentlich geschrieben hätten .Der Gesandte weigerte sich .» Freiherr von Gleichen « : Karl	1364	1	lespinas_briefe_briefe.tsv
NN	NN		NN	Gott		Auch er ist , sobald er an	Gott	und Unsterblichkeit glaubt , sofort entschlossen , nur noch der Unsterblichkeit zu leben : » einen halben Kompromiß nehm ich nicht an !	Held , beginnt durchaus als Pascal .Auch er ist , sobald er an Gott und Unsterblichkeit glaubt , sofort entschlossen , nur noch der Unsterblichkeit zu leben : » einen halben Kompromiß nehm ich nicht an !Diese Versöhnung mit der Wirklichkeit , mit	2883	7	bahr_kritik_kritik.tsv
NN	NN		NN	Graf		Dem Schmerz des	Grafen	Hugo , der zufälligen persönlichen Anwesenheit des Herrn von Asselyn beim Unglück mit Angiolina Pötzl trug er mit unverstellter Theilnahme Rechnung .	Wie konnte er dagegen protestiren – !Dem Schmerz des Grafen Hugo , der zufälligen persönlichen Anwesenheit des Herrn von Asselyn beim Unglück mit Angiolina Pötzl trug er mit unverstellter Theilnahme Rechnung .Bonaventura war gegen den damaligen so nüchternen	3359	3	gutzkow_zauber6_zauber6.tsv
NN	NN		NN	Herr		Dem Schmerz des Grafen Hugo , der zufälligen persönlichen Anwesenheit des	Herrn	von Asselyn beim Unglück mit Angiolina Pötzl trug er mit unverstellter Theilnahme Rechnung .	Wie konnte er dagegen protestiren – !Dem Schmerz des Grafen Hugo , der zufälligen persönlichen Anwesenheit des Herrn von Asselyn beim Unglück mit Angiolina Pötzl trug er mit unverstellter Theilnahme Rechnung .Bonaventura war gegen den damaligen so nüchternen	3359	11	gutzkow_zauber6_zauber6.tsv
NN	NN		NN	Kompromiß		Auch er ist , sobald er an Gott und Unsterblichkeit glaubt , sofort entschlossen , nur noch der Unsterblichkeit zu leben : » einen halben	Kompromiß	nehm ich nicht an !	Held , beginnt durchaus als Pascal .Auch er ist , sobald er an Gott und Unsterblichkeit glaubt , sofort entschlossen , nur noch der Unsterblichkeit zu leben : » einen halben Kompromiß nehm ich nicht an !Diese Versöhnung mit der Wirklichkeit , mit	2883	25	bahr_kritik_kritik.tsv
NN	NN		NN	Korridor		« » Wir haben das ganze Schloß durchsucht , das Mittelgebäude sowohl wie die drei Türme dort , denn zu allen von außen sichtbaren Zimmern derselben führten Treppen und	Korridore	.	Mon dieu !« » Wir haben das ganze Schloß durchsucht , das Mittelgebäude sowohl wie die drei Türme dort , denn zu allen von außen sichtbaren Zimmern derselben führten Treppen und Korridore .« » Wie , das tut er	635	29	galen_jasmund2_jasmund2.tsv
NN	NN		NE	Meister		Nach etwa drei Wochen ,	Meister	, werde ich auf Rain eintreten , wenn's Euch so recht ist .	als seine Rosse , hintennach knebelt !Nach etwa drei Wochen , Meister , werde ich auf Rain eintreten , wenn's Euch so recht ist .« lachte es hellauf , » denen	1871	5	lienert_rain_rain.tsv
NN	NN		NN	Morgen		Guten	Morgen	, Hans !	auf's Herz , wie ein Centnerstein .Guten Morgen , Hans !Was macht mein Rappe , der Hengst	580	1	aurbache_volksbch_volksbch.tsv
NN	NN		NN	Nachbar		Ich blickte auf meine schlafenden	Nachbarn	und sah , daß er Recht hatte .	, wie es mich eiskalt überlief .Ich blickte auf meine schlafenden Nachbarn und sah , daß er Recht hatte .Ich hatte meine Ladung : Bürste ,	237	5	erckchat_anno1813_anno1813.tsv
NN	NN		NN	Papst		Umsonst schleuderte der letzte	Papst	seine Enzyklika gegen die Stadt vor den Toren des heiligen Jerusalem .	steinigen Lande vorwärtsstößt oder zurückkehren heißt ?Umsonst schleuderte der letzte Papst seine Enzyklika gegen die Stadt vor den Toren des heiligen Jerusalem .Flucht vor der Notwendigkeit des Klassenkampfes mit	1355	4	holitsch_palaest_palaest.tsv
NN	NN		NE	Rain		Nach etwa drei Wochen , Meister , werde ich auf	Rain	eintreten , wenn's Euch so recht ist .	als seine Rosse , hintennach knebelt !Nach etwa drei Wochen , Meister , werde ich auf Rain eintreten , wenn's Euch so recht ist .« lachte es hellauf , » denen	1871	10	lienert_rain_rain.tsv
