DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
PIAT	PIAT		PIAT	alle		was mag das sein ?! « 11 Betrachten wir das in sich selbst überaus lockere Wasser , das sich doch ohne allen fühlbaren Widerstand in zahllose kleinste Tröpfchen zerteilen läßt ; dieses höchstwichtige Naturelement , das in sich	alle	Urkeime des animalen wie des planetaren Lebens birgt , und zugleich von dir nie berechenbaren Kräften geschwängert ist , gehorcht im freien Zustande ganz unbedingt dem ihm innewohnenden Gesetze der Schwere ; laut diesem Gesetze , dessen es durch ein eigenes Wahrnehmungsvermögen gewahr wird , empfindet es die leiseste Abdachung ( Gefälle ) irgend eines Territoriums , fängt da sogleich an , nach einer größeren Niederung hin sich fort zu bewegen , und hat so lange keine Rast und Ruhe , als bis es des Meeres größte Territorialniederung vollends erreicht hat .	Erde ein mächtiger Schlag geschehen wäre ?was mag das sein ?! « 11 Betrachten wir das in sich selbst überaus lockere Wasser , das sich doch ohne allen fühlbaren Widerstand in zahllose kleinste Tröpfchen zerteilen läßt ; dieses höchstwichtige Naturelement , das in sich alle Urkeime des animalen wie des planetaren Lebens birgt , und zugleich von dir nie berechenbaren Kräften geschwängert ist , gehorcht im freien Zustande ganz unbedingt dem ihm innewohnenden Gesetze der Schwere ; laut diesem Gesetze , dessen es durch ein eigenes Wahrnehmungsvermögen gewahr wird , empfindet es die leiseste Abdachung ( Gefälle ) irgend eines Territoriums , fängt da sogleich an , nach einer größeren Niederung hin sich fort zu bewegen , und hat so lange keine Rast und Ruhe , als bis es des Meeres größte Territorialniederung vollends erreicht hat .« 1 Blum , Messenhauser und Becher	1490	38	lorber_rblum1_rblum1.tsv
PIAT	PIAT		PIS	alle		« Dann erinnerte ich mich , daß ich jetzt	alle	diese Dinge reichlich besitze und mich auf dem Wege befinde , mir meinen Unterhalt auch ohne die Gewehre verschaffen zu können , wenn meine Munition einmal verbraucht sein würde .	, ohne alle Nothwendigkeiten des Lebens .« Dann erinnerte ich mich , daß ich jetzt alle diese Dinge reichlich besitze und mich auf dem Wege befinde , mir meinen Unterhalt auch ohne die Gewehre verschaffen zu können , wenn meine Munition einmal verbraucht sein würde .Ich hatte einen Theil des Tages für	800	9	defoe_crusoe_crusoe.tsv
PIAT	PIAT		PIAT	alle		was mag das sein ?! « 11 Betrachten wir das in sich selbst überaus lockere Wasser , das sich doch ohne	allen	fühlbaren Widerstand in zahllose kleinste Tröpfchen zerteilen läßt ; dieses höchstwichtige Naturelement , das in sich alle Urkeime des animalen wie des planetaren Lebens birgt , und zugleich von dir nie berechenbaren Kräften geschwängert ist , gehorcht im freien Zustande ganz unbedingt dem ihm innewohnenden Gesetze der Schwere ; laut diesem Gesetze , dessen es durch ein eigenes Wahrnehmungsvermögen gewahr wird , empfindet es die leiseste Abdachung ( Gefälle ) irgend eines Territoriums , fängt da sogleich an , nach einer größeren Niederung hin sich fort zu bewegen , und hat so lange keine Rast und Ruhe , als bis es des Meeres größte Territorialniederung vollends erreicht hat .	Erde ein mächtiger Schlag geschehen wäre ?was mag das sein ?! « 11 Betrachten wir das in sich selbst überaus lockere Wasser , das sich doch ohne allen fühlbaren Widerstand in zahllose kleinste Tröpfchen zerteilen läßt ; dieses höchstwichtige Naturelement , das in sich alle Urkeime des animalen wie des planetaren Lebens birgt , und zugleich von dir nie berechenbaren Kräften geschwängert ist , gehorcht im freien Zustande ganz unbedingt dem ihm innewohnenden Gesetze der Schwere ; laut diesem Gesetze , dessen es durch ein eigenes Wahrnehmungsvermögen gewahr wird , empfindet es die leiseste Abdachung ( Gefälle ) irgend eines Territoriums , fängt da sogleich an , nach einer größeren Niederung hin sich fort zu bewegen , und hat so lange keine Rast und Ruhe , als bis es des Meeres größte Territorialniederung vollends erreicht hat .« 1 Blum , Messenhauser und Becher	1490	21	lorber_rblum1_rblum1.tsv
PIAT	PIAT		PIAT	alle		Und auf	allen	Bildern erschienen jetzt Einhart und Johanna .	hatte , warf einen spitzen Bootsschatten .Und auf allen Bildern erschienen jetzt Einhart und Johanna .Wetter voll Drohung zogen über den Gebirgen	630	2	hauptmac_einhart_einhart.tsv
PIAT	PIAT		PIAT	alle		Da stürzt' er sich in wildem Grimm auf mich , Mit	aller	Macht mich an der Kehle fassend .	’Η̃ν δὲ Τιθωνιάδος εροτὴ λευχείμονος ’Ηου̃ς .Da stürzt' er sich in wildem Grimm auf mich , Mit aller Macht mich an der Kehle fassend .Hier weicht die Dichterin auffallend vom Text	1625	11	gregorov_athenais_athenais.tsv
PIAT	PIS		PIAT	alle		Der Ziebingsche Gänsehirt ließ als Patriot	alles	Tote liegen und trieb so viel Lebendiges , wie sonst , nach der Festung .	.Der Ziebingsche Gänsehirt ließ als Patriot alles Tote liegen und trieb so viel Lebendiges , wie sonst , nach der Festung .Apropos , Stöcklein , in dieser Nacht	337	6	jeanpaul_ziebing_ziebing.tsv
PIAT	PIS		PIAT	alle		Zwar das Lob selber , das ich meinen Vätern hier erteile , käme ihm , wenn er noch lebte , noch so bedeutend vor als es mir selber leer erscheint , wenn ich mir ihn in der Ewigkeit vorstelle , wo er sich unter den Seligen nicht sonderlich damit brüsten wird , daß er im Jahr 1818 von meinem Lehrstuhl herab wieder als Kirchenkomponist der Baireuther Markgrafschaft ausgerufen worden ; – und ganz dasselbe und dieselbe Kälte gegen	alles	Loben soll mein Sohn von mir voraussetzen , wenn er einst in der Zeit , wo ich schon ein Seliger bin , den allgemeinen Beifall , den meine Werke gewonnen , feurig der Welt erzählt ; er soll aber , sowenig als ich , deshalb kälter oder kürzer malen .	abgeht , noch nachfragen zu können .Zwar das Lob selber , das ich meinen Vätern hier erteile , käme ihm , wenn er noch lebte , noch so bedeutend vor als es mir selber leer erscheint , wenn ich mir ihn in der Ewigkeit vorstelle , wo er sich unter den Seligen nicht sonderlich damit brüsten wird , daß er im Jahr 1818 von meinem Lehrstuhl herab wieder als Kirchenkomponist der Baireuther Markgrafschaft ausgerufen worden ; – und ganz dasselbe und dieselbe Kälte gegen alles Loben soll mein Sohn von mir voraussetzen , wenn er einst in der Zeit , wo ich schon ein Seliger bin , den allgemeinen Beifall , den meine Werke gewonnen , feurig der Welt erzählt ; er soll aber , sowenig als ich , deshalb kälter oder kürzer malen .Jedem Feste folgen Werkeltage ; aber aus	24	78	jeanpaul_selber_selber.tsv
PIAT	PIAT		PIAT	beide		Moritz fand sich bei Tische neben Jeanne , einer der	beiden	Haustöchter .	Maigny , die ihm fremd waren .Moritz fand sich bei Tische neben Jeanne , einer der beiden Haustöchter .Ihre Mutter war jung gestorben .	1066	10	anet_kleinsta_kleinsta.tsv
PIAT	PIAT		PIAT	beide		Die ganze Gegend zwischen Honneff und Plittersdorf , mit allen zwischen	beiden	liegenden Ortschaften , bildet das köstlichste Panorama .	Geng , geschwinde .Die ganze Gegend zwischen Honneff und Plittersdorf , mit allen zwischen beiden liegenden Ortschaften , bildet das köstlichste Panorama .Wunderlich genug , wurde dieser Bau von	419	11	schopenj_niederrh_niederrh.tsv
PIAT	PIAT		PIAT	einige		Mein Wirt freute sich , dieses Gespräch mit angehört zu haben , und sagte mir : » Da Sie die Absicht haben ,	einige	Zeit hier am Orte zu verweilen , so tun Sie gut , wenn Sie dem Capitano oder Landvogt einen Besuch machen .	für einige Augenblicke beraubt gewesen bin .Mein Wirt freute sich , dieses Gespräch mit angehört zu haben , und sagte mir : » Da Sie die Absicht haben , einige Zeit hier am Orte zu verweilen , so tun Sie gut , wenn Sie dem Capitano oder Landvogt einen Besuch machen .Nach den Menuetten kamen die Kontertänze an	6475	23	casanova_band06_casa6.tsv
PIAT	PIAT		PIAT	einige		Lipsius : ( nach	einigen	Sekunden ; fast flüsternd ) Du hättest mir das .	) Also in aller Form abgewimmelt .Lipsius : ( nach einigen Sekunden ; fast flüsternd ) Du hättest mir das .La bella Cenci : Um Gottes willen	4392	4	holz_sonnenfi_sonnenfi.tsv
PIAT	PIAT		PIAT	keine		So ging es fort und fort , dieses Wimmern und Stöhnen , von heulenden Stößen unterbrochen ; es wollte	kein	Ende nehmen .	wie von einer Schar wilder Tiere .So ging es fort und fort , dieses Wimmern und Stöhnen , von heulenden Stößen unterbrochen ; es wollte kein Ende nehmen .Mit den widerstreitendsten Gefühlen in unsern Herzen	1369	19	may_surehan3_0inhalt.tsv
