DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
PPOSS	ADJA		PIS	deinige		Ehre , was ihnen zukommt , als ihr Eigenthum ; behandle , was dir zukommt , zweckmäßig als das	deinige	.	die deinige , erhalten werden kann .Ehre , was ihnen zukommt , als ihr Eigenthum ; behandle , was dir zukommt , zweckmäßig als das deinige .Aber du kannst sie nur erhalten durch	1331	19	fichte_bestimmu_bestimmu.tsv
PPOSS	PPOSAT		PPOSS	ihr		Sein eines Auge fing die	ihren	.	hafteten an dem Brustbild eines Mannes .Sein eines Auge fing die ihren .An dem großen Pharusplan von Berlin .	11381	5	kraze_garba_garba.tsv
PPOSS	NN		NN	ihrige		ich bin neugierig , zu sehen , ob mein Kopf denselben Umfang hat , wie der	Ihrige	... zeigen Sie mir einmal den für Sie ausgewählten Hut ... « Cherubin zog die Klingelschnur und die Kammerjungfer trat ein .	Alles , was ihm eingeschenkt wurde .ich bin neugierig , zu sehen , ob mein Kopf denselben Umfang hat , wie der Ihrige ... zeigen Sie mir einmal den für Sie ausgewählten Hut ... « Cherubin zog die Klingelschnur und die Kammerjungfer trat ein .« Cherubin hatte neben Madame Celival ,	2742	16	kock_schuecht_schuecht.tsv
PPOSS	NN		ADJA	ihrige		560 Als sie die sitzenden Männer nunmehr und der	Ihrigen	Anblick Fröhlich vorübergeschwebt , da gab den Fertigen rufend Epytus Sohn ein Zeichen von fern , und es hallte die Geißel .	, Schaun wir entkräftet auf dich !560 Als sie die sitzenden Männer nunmehr und der Ihrigen Anblick Fröhlich vorübergeschwebt , da gab den Fertigen rufend Epytus Sohn ein Zeichen von fern , und es hallte die Geißel .Aus welcherlei Gegenden , Hector , Kommst	650	9	vergil_aeneis_aeneis.tsv
PPOSS	ADJA		ADJA	ihrige		Diese Lage ist in der That das beste Mittel , die Ausartung jener edlen , herkulischen Rassen von Menschen zu verhindern ; sie verheiraten sich blos mit ihres gleichen , geniessen einerley Nahrung , leben stets unter demselben Himmel , und sind allesammt an mäßige Bewegung gewöhnt ; lauter Umstände , die das	ihrige	beytragen , den Körperbau zu stärken und zu befestigen .	Streitereyen so gefährlicher Feinde verschont bleiben .Diese Lage ist in der That das beste Mittel , die Ausartung jener edlen , herkulischen Rassen von Menschen zu verhindern ; sie verheiraten sich blos mit ihres gleichen , geniessen einerley Nahrung , leben stets unter demselben Himmel , und sind allesammt an mäßige Bewegung gewöhnt ; lauter Umstände , die das ihrige beytragen , den Körperbau zu stärken und zu befestigen .Die Pueltsches und andere Patagonische Stämme bewohnen	2921	53	forster_bemerkun_bemerkun.tsv
PPOSS	ADJA		ADJA	ihrige		Er sah ja alle Zusammenhänge und das Skelett jeder Erscheinung ... Und dennoch bereitete es ihm ein blasses , unruhiges Glück , sie zu besitzen , mit seinen Händen dieses Blatt zu halten , das sie in der	ihrigen	gehabt , das von ihr beschrieben worden war .	.Er sah ja alle Zusammenhänge und das Skelett jeder Erscheinung ... Und dennoch bereitete es ihm ein blasses , unruhiges Glück , sie zu besitzen , mit seinen Händen dieses Blatt zu halten , das sie in der ihrigen gehabt , das von ihr beschrieben worden war ..	4039	38	boy-ed_um1weib_um1weib.tsv
PPOSS	ADJA		PIS	meinige		« Er reichte mir die Hand , und ich gab ihm die	meinige	.	: » Danke sehr , Sennor !« Er reichte mir die Hand , und ich gab ihm die meinige .Darum sah er den General fragend an	1125	12	may_amrio_0inhalt.tsv
PPOSS	ADJA		VVFIN	meinige		– Wenn ich Eure Geheimnisse ehre , so ehret auch die	meinigen	.	ich in der Tat nicht hoffen .– Wenn ich Eure Geheimnisse ehre , so ehret auch die meinigen .« – stammelte Rinaldo , – »	6854	11	vulpius_rinaldo_rinaldo.tsv
PPOSS	ADJA		ADV	meinige		Ein wahrer Gentleman würde auf meinen Vorschlag eingehen , selbst wenn seine Ansicht ganz mit der	meinigen	übereinstimmte .	« » Well !Ein wahrer Gentleman würde auf meinen Vorschlag eingehen , selbst wenn seine Ansicht ganz mit der meinigen übereinstimmte .» Sir !	6800	16	may_amstille_0inhalt.tsv
PPOSS	PPOSS		ADV	meinige		Dies ist gesagt , um zu erklären , warum es schwer ist , solche Schriften wie die	meinigen	zu verstehen : die inneren Erlebnisse , Werthschätzungen und Bedürfnisse sind bei mir anders .	worin unsere eigentlich Kraft sich ausdrückt .Dies ist gesagt , um zu erklären , warum es schwer ist , solche Schriften wie die meinigen zu verstehen : die inneren Erlebnisse , Werthschätzungen und Bedürfnisse sind bei mir anders .Der Mensch , in welcher Lage er	551	17	nietzsch_fragmen5_fragmen5.tsv
