DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
PTKVZ	PTKVZ		PTKVZ	an		Schaut ihn	an	und schaut die edeln Frauen !	ob ich Wahrheit künde , schauen ?Schaut ihn an und schaut die edeln Frauen !Der Kaiser Isaak Angelus wurde 1204 vertrieben	1234	2	zoozmann_waltherv_waltherv.tsv
PTKVZ	PTKVZ		PTKVZ	an		Ein paar Minuten betrachtete nun dieser seinen in Schlaf versunkenen Kameraden , dann beugte er sich plötzlich zu dessen Frau hinüber und stieß sie mit dem Ellbogen	an	.	er Sie alle Tage festnehmen lassen .Ein paar Minuten betrachtete nun dieser seinen in Schlaf versunkenen Kameraden , dann beugte er sich plötzlich zu dessen Frau hinüber und stieß sie mit dem Ellbogen an .» Nun aber , lieber Joe ,	1088	27	dickens_clowngri_clowngri.tsv
PTKVZ	PTKVZ		PTKVZ	an		was mag das sein ?! « 11 Betrachten wir das in sich selbst überaus lockere Wasser , das sich doch ohne allen fühlbaren Widerstand in zahllose kleinste Tröpfchen zerteilen läßt ; dieses höchstwichtige Naturelement , das in sich alle Urkeime des animalen wie des planetaren Lebens birgt , und zugleich von dir nie berechenbaren Kräften geschwängert ist , gehorcht im freien Zustande ganz unbedingt dem ihm innewohnenden Gesetze der Schwere ; laut diesem Gesetze , dessen es durch ein eigenes Wahrnehmungsvermögen gewahr wird , empfindet es die leiseste Abdachung ( Gefälle ) irgend eines Territoriums , fängt da sogleich	an	, nach einer größeren Niederung hin sich fort zu bewegen , und hat so lange keine Rast und Ruhe , als bis es des Meeres größte Territorialniederung vollends erreicht hat .	Erde ein mächtiger Schlag geschehen wäre ?was mag das sein ?! « 11 Betrachten wir das in sich selbst überaus lockere Wasser , das sich doch ohne allen fühlbaren Widerstand in zahllose kleinste Tröpfchen zerteilen läßt ; dieses höchstwichtige Naturelement , das in sich alle Urkeime des animalen wie des planetaren Lebens birgt , und zugleich von dir nie berechenbaren Kräften geschwängert ist , gehorcht im freien Zustande ganz unbedingt dem ihm innewohnenden Gesetze der Schwere ; laut diesem Gesetze , dessen es durch ein eigenes Wahrnehmungsvermögen gewahr wird , empfindet es die leiseste Abdachung ( Gefälle ) irgend eines Territoriums , fängt da sogleich an , nach einer größeren Niederung hin sich fort zu bewegen , und hat so lange keine Rast und Ruhe , als bis es des Meeres größte Territorialniederung vollends erreicht hat .« 1 Blum , Messenhauser und Becher	1490	99	lorber_rblum1_rblum1.tsv
PTKVZ	PTKVZ		PTKVZ	an		« donnerte er mich wütend	an	.	welcher der andere fast ersticken mußte .« donnerte er mich wütend an .Da aber fielen mir die damaligen Worte	8065	5	may_siloewe1_0inhalt.tsv
PTKVZ	PTKVZ		PTKVZ	auf		Anfissa Petrowna ließ sich gegen die Sofalehne zurücksinken , kreischte laut	auf	und verbarg ihr Gesicht hinter dem Fächer .	sowie Gawrila nur einen Ton sagte .Anfissa Petrowna ließ sich gegen die Sofalehne zurücksinken , kreischte laut auf und verbarg ihr Gesicht hinter dem Fächer .Foma , ich versichere dir , daß	2776	11	dostojew_gutstepa_gutstepa.tsv
PTKVZ	PTKVZ		PTKVZ	auf		Das göttlich Gute , das vom Herrn ausgeht , wird allen im Himmel im allgemeinen und einzelnen mitgeteilt , doch allenthalben nach der Fähigkeit es aufzunehmen , denn einige nehmen wenig	auf	, und andere viel .	aus dem himmlisch Guten ; 9511 .Das göttlich Gute , das vom Herrn ausgeht , wird allen im Himmel im allgemeinen und einzelnen mitgeteilt , doch allenthalben nach der Fähigkeit es aufzunehmen , denn einige nehmen wenig auf , und andere viel ." Und sie sahen den Gott Israels	13841	31	swedborg_mose2_mose2.tsv
PTKVZ	PTKVZ		PTKVZ	aus		Seitdem waren vier oder fünf Jahre verflossen , und der Mann sah	aus	wie ein Greis , obwohl er noch in der Blüte der Jugend stand .	Freunde brachten ihm Speise und Trank .Seitdem waren vier oder fünf Jahre verflossen , und der Mann sah aus wie ein Greis , obwohl er noch in der Blüte der Jugend stand .Die wilden Tiere selber schienen seinen Schmerz	1762	12	scott_hochhexe_hochhexe.tsv
PTKVZ	APPR		PTKVZ	aus		* * * Sie ließ ihre Hände in den seinen ; der röthliche Widerschein des Kaminfeuers flackerte über ihr weißes Kleid und ihre weiße Wange ; sie hatte die Augen geschlossen und sah wie eine Todte	aus	oder wie ein schlafender Engel .	wurde es still , sehr still .* * * Sie ließ ihre Hände in den seinen ; der röthliche Widerschein des Kaminfeuers flackerte über ihr weißes Kleid und ihre weiße Wange ; sie hatte die Augen geschlossen und sah wie eine Todte aus oder wie ein schlafender Engel .Die seltsamen Augen hatten den Schutzengel verscheucht	324	36	schubin_reif_reif.tsv
PTKVZ	ADV		PTKVZ	da		« Der arme Herr Zipfer , der Held , der mit den ausschweifendsten Gedanken an Herzenssiege zum Feste gekommen war , saß als Mittelpunkt aller Geselligkeit	da	, aber in anderer Weise , als er gedacht .	wia schwer als 's mir fallt .« Der arme Herr Zipfer , der Held , der mit den ausschweifendsten Gedanken an Herzenssiege zum Feste gekommen war , saß als Mittelpunkt aller Geselligkeit da , aber in anderer Weise , als er gedacht .Aber es hat sein müass'n .	7551	26	adolph_toechter_toechter.tsv
PTKVZ	ADV		PTKVZ	da		» Etwa auch die Gummiplatte	da	?	« » So ?» Etwa auch die Gummiplatte da ?» Wir haben einen weiten , weiten	9006	5	kraftr_vestali3_vestali3.tsv
