DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
PWAT	VVFIN		PWAT	welch		Und	welch	ein furchtbarer Tod !	ahnte es , ich ahnte es .Und welch ein furchtbarer Tod !» In welchem Stock liegen die Zimmer	1674	1	elvestad_gehzimme_gehzimme.tsv
PWAT	PWAT		PWAT	welche			Welche	gezwungne Deutung ist's , daß das verlorne Wort der Sohn des Königs sei , weil im Anfange des Evangeliums Johannis das ewige Wort und der ewige Sohn Eins sind ?	einem Gedanken zur Last zu legen !Welche gezwungne Deutung ist's , daß das verlorne Wort der Sohn des Königs sei , weil im Anfange des Evangeliums Johannis das ewige Wort und der ewige Sohn Eins sind ?Er käme noch zusammen , den Tod	3138	0	herder_weimarer_weimarer.tsv
PWAT	PWAT		PWS	welche			Welche	Linde und Milde !	Kriegern anfallen ließ , das Gesicht .Welche Linde und Milde !Er gehörte unter die Menschen , die	769	0	jeanpaul_kampaner_kampaner.tsv
PWAT	PWAT		PWAT	welche		Ich befand mich , nachdem ich den Brief gelesen hatte , in einem Zustand , den ich schwer beschreiben kann , denn ich weiß heute nicht ,	welche	Art von Gefühl mich bewegte .	noch interessantere Erlebnisse zu hören bekommen .Ich befand mich , nachdem ich den Brief gelesen hatte , in einem Zustand , den ich schwer beschreiben kann , denn ich weiß heute nicht , welche Art von Gefühl mich bewegte .Der Chevalier des Grieux hatte über eine	2132	27	prevost_manon_manon.tsv
PWAT	PWAT		PWAT	welche		Und die riesigen Steintöpfe mit Honig und Eingemachtem , die Blechtonnen mit Quittenbrot und Ingwerkuchen und Glaskuchen und braunen Gewürzkuchen mochten wohl staunen , für	welche	verhungerten Horden ihre Schätze preisgegeben wurden !	der Mund zu einem Lächeln mühte .Und die riesigen Steintöpfe mit Honig und Eingemachtem , die Blechtonnen mit Quittenbrot und Ingwerkuchen und Glaskuchen und braunen Gewürzkuchen mochten wohl staunen , für welche verhungerten Horden ihre Schätze preisgegeben wurden !Sie gingen von Amey zu Don Lund	5391	25	kraze_amey_amey.tsv
PWAT	PWAT		PIS	welche		« » Man macht manche Schwierigkeiten von Hietzing aus , « sagte Graf Bismarck , »	welche	verhindern , daß die Sache so schnell und so befriedigend erledigt wird , wie ich es wünsche .	, das könnte mich eifersüchtig machen .« » Man macht manche Schwierigkeiten von Hietzing aus , « sagte Graf Bismarck , » welche verhindern , daß die Sache so schnell und so befriedigend erledigt wird , wie ich es wünsche .Unten glitzerten die Wellen der Seine im	7951	16	meding_euromine_euromine.tsv
PWAT	PRELS		PWAT	welche		Nachher wurde von gleichgültigen Dingen gesprochen , doch brachte der andre die Rede auf den König , und sie verhehlte nicht in ihrer südlichen Lebhaftigkeit ,	welche	große Erwartungen sie noch für das Wohl ihres Vaterlandes von der Güte und Einsicht des Königs hege .	, befühlte ihr aber den Puls .Nachher wurde von gleichgültigen Dingen gesprochen , doch brachte der andre die Rede auf den König , und sie verhehlte nicht in ihrer südlichen Lebhaftigkeit , welche große Erwartungen sie noch für das Wohl ihres Vaterlandes von der Güte und Einsicht des Königs hege .Am nächsten Tage trat der Nußknacker in	138	26	arnim_saverne_saverne.tsv
PWAT	PWAT		PWAT	welche		Aber was soll man sagen , wenn einem mit einem Stück Bleistift und Papier schwarz auf weiß erklärt wird , auf	welche	Weise in zehn Jahren Winnipeg Chicago überflügelt und den Welthandel aus den Staaten zu sich herübergezogen haben wird ?	Bewohner ein gelinder Größenwahn bemächtigt hat .Aber was soll man sagen , wenn einem mit einem Stück Bleistift und Papier schwarz auf weiß erklärt wird , auf welche Weise in zehn Jahren Winnipeg Chicago überflügelt und den Welthandel aus den Staaten zu sich herübergezogen haben wird ?Es gibt eine ortsansässige Macht von Pionieren	3247	21	holitsch_amerikah_amerikah.tsv
PWAT	PWAT		PWAT	welche		Auch das allerunbedeutendste Geschöpf kann nicht so total übersehen werden , als sie es wurde , sooft ein seltner Zufall sie in die Nähe derer brachte ,	welche	Herr von Aarheim ohne ihr Zutun beleidigt hatte .	setzte er mit verhülltem Gesicht hinzu .Auch das allerunbedeutendste Geschöpf kann nicht so total übersehen werden , als sie es wurde , sooft ein seltner Zufall sie in die Nähe derer brachte , welche Herr von Aarheim ohne ihr Zutun beleidigt hatte .Damals , als du diesen fürchterlichen Mauern	5539	27	schopenj_gabriele_gabriele.tsv
PWAT	PWAT		PWAT	welche		Der Wert des Menschenlebens stand im niedrigsten Preise , während die verbrecherische Selbstsucht offen mit dem Prädikat der Großsinnigkeit ( magnanimitas ) bezeichnet wurde , ohne daß man auf die blutigen Opfer sah ,	welche	Ehrgeiz und Habsucht erwürgten .	um davon einen Begriff zu haben .Der Wert des Menschenlebens stand im niedrigsten Preise , während die verbrecherische Selbstsucht offen mit dem Prädikat der Großsinnigkeit ( magnanimitas ) bezeichnet wurde , ohne daß man auf die blutigen Opfer sah , welche Ehrgeiz und Habsucht erwürgten .Ew. Erlauchten Herrlichkeit Vannozza , die ewig	4170	34	gregorov_borgia_borgia.tsv
PWAT	PWAT		PWAT	welchem		Ich gab dem Manne das Geld , nicht ahnend ,	welchem	Zwecke es dienen sollte .	Domina , « verwies Callistus achselzuckend .Ich gab dem Manne das Geld , nicht ahnend , welchem Zwecke es dienen sollte .» Willst du für deine unvorsichtigen Redensarten	2618	10	schiroka_messalin_messalin.tsv
PWAT	PWAT		PWAT	welchem		» Und mit	welchem	Eid hat sie 's ihnen gelobt ?	, die Ausschmückung von vornehmstem Geschmack .» Und mit welchem Eid hat sie 's ihnen gelobt ?Der Salonwagen enthielt diesseits und jenseits von	2733	3	kipling_naulahka_naulahka.tsv
PWAT	PWAT		PWAT	welchem		Wie dem aber auch sein mag , vor	welchem	Gerichte in der Welt könnte eine solche Schmähschrift , wie die vergebliche Deklamation des Cicero gegen Sallust , als ein Dokument gegen die Ehre des letztern angeführt werden ?	Staat gar nichts angehende Schmähreden anzuhören ?Wie dem aber auch sein mag , vor welchem Gerichte in der Welt könnte eine solche Schmähschrift , wie die vergebliche Deklamation des Cicero gegen Sallust , als ein Dokument gegen die Ehre des letztern angeführt werden ?Was endlich die bekannten Deklamationen des Sallust	504	8	horaz_satiren_sahoraz.tsv
PWAT	PWAT		PWAT	welchen		Dagegen rief es aus einer Ecke der Schulstube : » Hispania ist der Mund von Europa , durch	welchen	alle Reichtümer der neuen Welt gehen und sich den anderen Teilen des Leibes mitteilen .	Also mußte er unverrichteter Dinge abziehen .Dagegen rief es aus einer Ecke der Schulstube : » Hispania ist der Mund von Europa , durch welchen alle Reichtümer der neuen Welt gehen und sich den anderen Teilen des Leibes mitteilen .Der Winzer aber war inzwischen schon aufs	617	18	antholog_schelmen_schelmen.tsv
PWAT	PWAT		PWAT	welchen		« – Bei diesem Gespräch zeigten die beiden Freundinnen den lebhaften Schmerz ,	welchen	sie empfanden , als sie meine Absichten so verkannt sahen ; worauf sie sich dann gegen mich wandten und mich bei dem Briefe des Grafen , ja im Namen des Grafen selbst , beschworen , weder Verdacht , noch Mißtrauen , noch Furcht zu haben .	Das werde ich sicherlich nicht dulden .« – Bei diesem Gespräch zeigten die beiden Freundinnen den lebhaften Schmerz , welchen sie empfanden , als sie meine Absichten so verkannt sahen ; worauf sie sich dann gegen mich wandten und mich bei dem Briefe des Grafen , ja im Namen des Grafen selbst , beschworen , weder Verdacht , noch Mißtrauen , noch Furcht zu haben ... .	910	13	toepffer_rosagert_rosagert.tsv
PWAT	PWAT		PWAT	welchen		Auf den Zehen leise schleichend ging er dann zu verschiedenen Schränken , in	welchen	vielerlei Geräth durcheinander lag .	einen Frühling in meinem Innern angezündet .Auf den Zehen leise schleichend ging er dann zu verschiedenen Schränken , in welchen vielerlei Geräth durcheinander lag .Euer liebes Bild wird immer in meinem	1817	13	tieck_grkaiser_grkaiser.tsv
PWAT	PWAT		PWAT	welchen		Ein Italiener wollte sich sehr mutig und frech anstellen und meinte , die Sterne am Himmel ständen da glänzend wie blinkende angefüllte Weingläser , aus	welchen	Geister und Engel unsre Gesundheit und unser Wohlergehen tränken , und der Komet wäre ein auslaufendes Glas , das ein angehender , ungeschickter Engel umgestoßen hätte .	er den Untergang unserer Feinde anzeige .Ein Italiener wollte sich sehr mutig und frech anstellen und meinte , die Sterne am Himmel ständen da glänzend wie blinkende angefüllte Weingläser , aus welchen Geister und Engel unsre Gesundheit und unser Wohlergehen tränken , und der Komet wäre ein auslaufendes Glas , das ein angehender , ungeschickter Engel umgestoßen hätte .Aber in der Nacht , als es	3289	25	tieck_toddicht_toddicht.tsv
PWAT	PWAT		PWAT	welchen		Nicht nur in oder nach dem Krieg – z. B. in den zahlreichen Fällen , in	welchen	die Römer viele Zehntausende eines besiegten Stammes aus dessen bisherigen Sitzen hinweg in ein fernes , ganz unter römischer Herrschaft stehendes Land wie Gallien oder Italien verpflanzten , wo ihre nationale Existenz alsbald erlosch – ( Ubier , Sugambern ) – auch im Frieden durch politische Maßregeln oder diplomatische Intervention : so werden die Anhänger des Katwalda und des Vannius von den Römern aus Böhmen entfernt und fern im Osten angesiedelt : so werden die Vandalen aus Spanien nach Afrika gerufen : so werden die Ostgoten aus der Nähe von Byzanz und dem oströmischen Gebiet entfernt , indem man sie veranlaßt , in das von Odovakar besetzte und beherrschte Italien überzuwandern .	, die Kirchengeschichte der germanischen Völker .Nicht nur in oder nach dem Krieg – z. B. in den zahlreichen Fällen , in welchen die Römer viele Zehntausende eines besiegten Stammes aus dessen bisherigen Sitzen hinweg in ein fernes , ganz unter römischer Herrschaft stehendes Land wie Gallien oder Italien verpflanzten , wo ihre nationale Existenz alsbald erlosch – ( Ubier , Sugambern ) – auch im Frieden durch politische Maßregeln oder diplomatische Intervention : so werden die Anhänger des Katwalda und des Vannius von den Römern aus Böhmen entfernt und fern im Osten angesiedelt : so werden die Vandalen aus Spanien nach Afrika gerufen : so werden die Ostgoten aus der Nähe von Byzanz und dem oströmischen Gebiet entfernt , indem man sie veranlaßt , in das von Odovakar besetzte und beherrschte Italien überzuwandern .Nicht allein ward die gefährliche Macht der	4244	16	dahn_voelker_voelker.tsv
PWAT	PWAT		PWAT	welchen		So kam es denn , daß ich mich bald mit Resignation von den verstockten Alten abwandte , und dermalen stehe ich neben meiner Wirksamkeit in der Schule nur noch mit der jüngeren Generation meiner Gemeinde in näherer Verbindung , besonders mittels des Singvereins ,	welchen	ich für die ledigen Burschen und Mädchen gestiftet habe .	machen auch den besten Willen erlahmen .So kam es denn , daß ich mich bald mit Resignation von den verstockten Alten abwandte , und dermalen stehe ich neben meiner Wirksamkeit in der Schule nur noch mit der jüngeren Generation meiner Gemeinde in näherer Verbindung , besonders mittels des Singvereins , welchen ich für die ledigen Burschen und Mädchen gestiftet habe .Doch genug .	3548	44	scherr_michel_michel.tsv
PWAT	PWAT		PWAT	welchen		Ein guter Agent mußte aus Schlauheit und Voraussicht , aus Geistesgegenwart und agilen Muskeln zusammengesetzt sein , denn die Raschheit sichert den Erfolg , ganz abgesehen von der Nothwendigkeit guter Verbindungen in der hohen Bankwelt , von den Erkundigungen , die man allerorten einholen muß , von den Depeschen , die man von den französischen und ausländischen Börsen erhält und mit	welchen	man jedem Anderen zuvorkommt .	Glocke zur Eröffnung geläutet werden würde .Ein guter Agent mußte aus Schlauheit und Voraussicht , aus Geistesgegenwart und agilen Muskeln zusammengesetzt sein , denn die Raschheit sichert den Erfolg , ganz abgesehen von der Nothwendigkeit guter Verbindungen in der hohen Bankwelt , von den Erkundigungen , die man allerorten einholen muß , von den Depeschen , die man von den französischen und ausländischen Börsen erhält und mit welchen man jedem Anderen zuvorkommt .Und er kehrte zu den Gruppen der	2035	61	zola_dasgeld_dasgeld.tsv
PWAT	PWAT		PWAT	welcher		» Als das Kathrinli wieder zu Atem gekommen und sich umschaute , in	welcher	Richtung es weiter laufen sollte , um in das Osterland zu kommen , glaubte es plötzlich seinen Augen nicht zu trauen : gar nicht weit von ihm , auf einer Lichtung im Walde , entfaltete sich ein wunderbares Leben , und ein buntes Gewimmel verwirrte zuerst förmlich Kathrinlis Sinn .	» , sagte Erna .» Als das Kathrinli wieder zu Atem gekommen und sich umschaute , in welcher Richtung es weiter laufen sollte , um in das Osterland zu kommen , glaubte es plötzlich seinen Augen nicht zu trauen : gar nicht weit von ihm , auf einer Lichtung im Walde , entfaltete sich ein wunderbares Leben , und ein buntes Gewimmel verwirrte zuerst förmlich Kathrinlis Sinn .» « Ja , bis du dann	648	13	zuercher_freudeng_freudeng.tsv
PWAT	PWAT		PWAT	welcher		« Philipp erwiderte den Blick , der diese Worte begleitete , mit einem andern ,	welcher	Rache und Wuth drohte , aber indem er seinen Grimm mit seiner gewohnten Klugheit unterdrückte und erstickte , verließ er den Hügel , und nahm eine Miene an , die mehr Mitleid und Erbarmen , als Zorn und Unzufriedenheit zu zeigen sich bemühte .	Ein Mann kann nicht ewig leben .« Philipp erwiderte den Blick , der diese Worte begleitete , mit einem andern , welcher Rache und Wuth drohte , aber indem er seinen Grimm mit seiner gewohnten Klugheit unterdrückte und erstickte , verließ er den Hügel , und nahm eine Miene an , die mehr Mitleid und Erbarmen , als Zorn und Unzufriedenheit zu zeigen sich bemühte .Je schneller und gewandter Du Dich auf	1188	15	cooper_wishtonw_wishtonw.tsv
