DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
PWAV	PWAV		PWAV	warum			Warum	treten Sie nicht in die englische Armee ein ?	will , daß du mich liebst .Warum treten Sie nicht in die englische Armee ein ?« » Ich mache keinen Gebrauch davon	10301	0	kraftr_kaiserk2_kaiserk2.tsv
PWAV	PWAV		PWAV	warum		« » Aber	warum	denn ?	Von wem weißt du meine Angelegenheiten ?« » Aber warum denn ?I werd mi schon generös zeigen .	2308	3	schmidtm_jachgrie_jachgrie.tsv
PWAV	PWAV		PWAV	wie			Wie	die Jahre flohen , wurde ihre Gestalt schlanker und kräftiger , ihre Wangen röteten sich , ihr Schritt gewann an Elastizität ; allmählich und unmerklich hatte sich die Knospe zur Blume entfaltet .	ihrem Pflegevater bei allen seinen Unternehmungen .Wie die Jahre flohen , wurde ihre Gestalt schlanker und kräftiger , ihre Wangen röteten sich , ihr Schritt gewann an Elastizität ; allmählich und unmerklich hatte sich die Knospe zur Blume entfaltet .Sie hätten doch den lästigen Menschen los	1230	0	doyle_spaete_spaete.tsv
PWAV	PWAV		KOKOM	wie		« »	Wie	Sie wollen , Herr Graf – Alles was ich höre , beweist aber , daß Sie als tapfrer Mann und als Ehrenmann gehandelt haben .	Seine Zeit ist auch vorbei .« » Wie Sie wollen , Herr Graf – Alles was ich höre , beweist aber , daß Sie als tapfrer Mann und als Ehrenmann gehandelt haben .Vielleicht folgt er ihm selbst bald !	2337	2	retcliff_solferin_solferin.tsv
PWAV	PWAV		KOKOM	wie		Besonders der Schluß läßt darin nichts zu wünschen übrig : ›	Wie	wir hören , war diese von Herrn Professor Weber ganz neu entdeckte Berühmtheit längere Zeit Hauslehrer bei dem Sohne eines der ersten Grundbesitzer unsres Landes , mit dessen Erziehung sie aber durchaus kein glänzendes Resultat erzielte .	Er reichte ihm das Zeitungsblatt hin .Besonders der Schluß läßt darin nichts zu wünschen übrig : › Wie wir hören , war diese von Herrn Professor Weber ganz neu entdeckte Berühmtheit längere Zeit Hauslehrer bei dem Sohne eines der ersten Grundbesitzer unsres Landes , mit dessen Erziehung sie aber durchaus kein glänzendes Resultat erzielte .Einen Willen haben und ihn unter allen	4803	11	wernere_vineta_vineta.tsv
PWAV	PWAV		PWAV	wie		Als ich , wie mir der Narr , der schöne Bogislaus gerathen hatte , von hinten an ihn heranzukommen suchte , um ihm meinen Dank für den Doktor der Weltweisheit mit Rührung anzubringen , und Sie mich mit aus seiner Stube schoben , um ,	wie	Sie sagten , der greulichen Scene ein Ende zu machen , da habe ich freilich schon merken können , in was für einer heiteren Schule er Sie gehabt hat , Rosine .	Können Sie Verwesung riechen ?Als ich , wie mir der Narr , der schöne Bogislaus gerathen hatte , von hinten an ihn heranzukommen suchte , um ihm meinen Dank für den Doktor der Weltweisheit mit Rührung anzubringen , und Sie mich mit aus seiner Stube schoben , um , wie Sie sagten , der greulichen Scene ein Ende zu machen , da habe ich freilich schon merken können , in was für einer heiteren Schule er Sie gehabt hat , Rosine .Können Sie Blut sehen ?	2986	45	raabe_lar_lar.tsv
PWAV	KOKOM		PWAV	wie		Bei keinem Theologen ferner , ja wohl überhaupt bei keinem namhaften deutschen Schriftsteller seines Jahrhunderts begegnen uns so viele dem Volksmund entstammte Sprichwörter , als bei ihm , dem sie ungesucht in Büchern , Predigten und akademischen Vorlesungen ,	wie	in Gesprächen und Briefen sich aufdrängten .	Sachsen , nach einem alten Holzschnitt .Bei keinem Theologen ferner , ja wohl überhaupt bei keinem namhaften deutschen Schriftsteller seines Jahrhunderts begegnen uns so viele dem Volksmund entstammte Sprichwörter , als bei ihm , dem sie ungesucht in Büchern , Predigten und akademischen Vorlesungen , wie in Gesprächen und Briefen sich aufdrängten .Aber sie war in seinem Innern wohl	2238	39	koestlin_luther_luther.tsv
PWAV	PWAV		PWAV	wie		Der Zigeuner freute sich sehr ,	wie	er am nächsten Tage seine Wünsche erfüllt sah .	– » Es soll dir werden !Der Zigeuner freute sich sehr , wie er am nächsten Tage seine Wünsche erfüllt sah .« – » So bitte ich «	356	6	haltrich_maerchen_volkmaer.tsv
PWAV	PWAV		PWAV	wie		Nur draußen auf dem Corridor vernehm' ich deutlich ,	wie	sie ausruft : Ich bin nur ein armes Mädchen , aber dieses Schloß soll eher über mir zusammenstürzen – Damit ging er hinaus und noch denselben Tag verließ er das Schloß , und wir sahen ihn viele Jahre nicht wieder .	sie laut und heftig sprechen hörte .Nur draußen auf dem Corridor vernehm' ich deutlich , wie sie ausruft : Ich bin nur ein armes Mädchen , aber dieses Schloß soll eher über mir zusammenstürzen – Damit ging er hinaus und noch denselben Tag verließ er das Schloß , und wir sahen ihn viele Jahre nicht wieder .Bis Mitternacht blieb Alles drüben still .	847	9	heyse_imgrafen_imgrafen.tsv
PWAV	KOKOM		KON	wie		Der Ziebingsche Gänsehirt ließ als Patriot alles Tote liegen und trieb so viel Lebendiges ,	wie	sonst , nach der Festung .	.Der Ziebingsche Gänsehirt ließ als Patriot alles Tote liegen und trieb so viel Lebendiges , wie sonst , nach der Festung .Apropos , Stöcklein , in dieser Nacht	337	15	jeanpaul_ziebing_ziebing.tsv
