DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
VAINF	VAINF		VAINF	haben		– Glaubst du nun also , sprach ich , eingestanden zu	haben	, auch das den Regierenden und Stärkeren unzuträgliche zu tun sei gerecht , wenn die Regierenden wider Wissen was ihnen übel ist anordnen , und du doch sagst , diesen sei gerecht zu tun was jene angeordnet haben ?	ist das nicht eingestanden ?– Glaubst du nun also , sprach ich , eingestanden zu haben , auch das den Regierenden und Stärkeren unzuträgliche zu tun sei gerecht , wenn die Regierenden wider Wissen was ihnen übel ist anordnen , und du doch sagst , diesen sei gerecht zu tun was jene angeordnet haben ?Ist es nicht eingestanden , daß ,	26989	11	schleier_platowrk_platowrk.tsv
VAINF	VAFIN		VAINF	haben		« » Wie Sie wollen , Herr Graf – Alles was ich höre , beweist aber , daß Sie als tapfrer Mann und als Ehrenmann gehandelt	haben	.	Seine Zeit ist auch vorbei .« » Wie Sie wollen , Herr Graf – Alles was ich höre , beweist aber , daß Sie als tapfrer Mann und als Ehrenmann gehandelt haben .Vielleicht folgt er ihm selbst bald !	2337	26	retcliff_solferin_solferin.tsv
VAINF	VAFIN		VAFIN	haben		« » Aber wenn wir uns oben herabgelassen	haben	, dann sehen sie uns und werden hier heraus fliehen .	daß wir gerade nach Albuquerque reiten .« » Aber wenn wir uns oben herabgelassen haben , dann sehen sie uns und werden hier heraus fliehen .« » Mein Bruder hat recht ;	11480	8	may_satan3_0inhalt.tsv
VAINF	VAINF		VAINF	haben		und der Kultus , welcher ihnen ohne Zweifel im Heidentume zukam , scheint sich selbst auf das Mittelalter übertragen zu	haben	.	und da der Sonne freien Durchgang .und der Kultus , welcher ihnen ohne Zweifel im Heidentume zukam , scheint sich selbst auf das Mittelalter übertragen zu haben .Wahrscheinlich gehören sie zu der Gruppe der	1956	20	masius_ndtland_ndtland.tsv
VAINF	VAINF		VAINF	haben		« Die von der Lokomotive nachgeschleppten Wagen sind so eingerichtet , daß die Passagiere die Reise durch ganz Amerika machen können , ohne nötig zu	haben	, nur einmal auszusteigen .	obgleich er sich immer so stellt .« Die von der Lokomotive nachgeschleppten Wagen sind so eingerichtet , daß die Passagiere die Reise durch ganz Amerika machen können , ohne nötig zu haben , nur einmal auszusteigen .» Sonnenstrahl hat seinen Willen durchgesetzt .	1568	25	kraftr_vestali4_vestali4.tsv
VAINF	VAFIN		VAINF	haben		» Mein Papa kann dich kaufen « , sagte Eva rasch , » und wenn er dich kauft , wirst du es gut	haben	.	Tieren über Lizzys Brücke zu reiten .» Mein Papa kann dich kaufen « , sagte Eva rasch , » und wenn er dich kauft , wirst du es gut haben .Master Haley braucht uns jetzt nicht mehr	5026	23	beecher_onkeltom_onkeltom.tsv
VAINF	VAINF		VAINF	haben		Ich rief mir meine geliebte Mutter und die Bibel wieder in's Gedächtniß , und wäre mir gestattet gewesen , länger unter der Obhut meiner Erzieherin zu weilen , so zweifle ich nicht , daß ich die Reinheit meines Herzens , wie meiner Sitten , wieder gewonnen	haben	würde .	ihre Nähe in den Himmel versetzt .Ich rief mir meine geliebte Mutter und die Bibel wieder in's Gedächtniß , und wäre mir gestattet gewesen , länger unter der Obhut meiner Erzieherin zu weilen , so zweifle ich nicht , daß ich die Reinheit meines Herzens , wie meiner Sitten , wieder gewonnen haben würde .Mit Scham und Zerknirschung blickte ich auf	957	46	marryat_flottofz_flottofz.tsv
VAINF	VAFIN		VAINF	haben		Peter I. war eine der energischsten Naturen , welche jemals existiert	haben	, zwar ein vollkommener Barbar , aber doch kultivierbar .	Parlament und hierauf zum Bürgerkriege kam .Peter I. war eine der energischsten Naturen , welche jemals existiert haben , zwar ein vollkommener Barbar , aber doch kultivierbar .Neben solchen , die zwar mit der	1319	11	ranke_epochen_epochen.tsv
VAINF	VAFIN		VAINF	haben		Ihre Eigenliebe würde in einer solchen Ehe hohe Befriedigung gefunden	haben	.	, wie sie das Lieben verstand .Ihre Eigenliebe würde in einer solchen Ehe hohe Befriedigung gefunden haben .Sie behielt ihren Verkaufstisch in der Abteilung	3858	10	zola_bauch_bauch.tsv
VAINF	VAFIN		VAINF	haben		Studenten sollen es wie einen Kanon für starke Geister begrüßt , und Professoren sollen nicht widersprochen	haben	: hier und da hat man darin wirklich ein Religionsbuch für den Gelehrten finden wollen .	, zum boshaften Narren aus Langeweile .Studenten sollen es wie einen Kanon für starke Geister begrüßt , und Professoren sollen nicht widersprochen haben : hier und da hat man darin wirklich ein Religionsbuch für den Gelehrten finden wollen .Wahrlich , jeder gewöhnliche Erdensohn hat das	2346	16	nietzsch_unzeit1_unzeit1.tsv
