DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
VAPP	VAPP		VAPP	haben		« Hätt 's nur noch damit sein Bewenden	gehabt	!	auf kaltem Boden recht tüchtige Zahnschmerzen .« Hätt 's nur noch damit sein Bewenden gehabt !Zu Fuß marschieren und noch obenein einen	1462	8	gaudy_werke4_book.tsv
VAPP	VAPP		VAPP	haben		Ihr Vater hatte drei wunderschöne Töchter	gehabt	, die waren ihm alle drei gestohlen worden und seit drei Jahren schon segelten des Königs Schiffe in der Welt umher und suchten .	schneller als eine Kugel fliegen kann .Ihr Vater hatte drei wunderschöne Töchter gehabt , die waren ihm alle drei gestohlen worden und seit drei Jahren schon segelten des Königs Schiffe in der Welt umher und suchten .« Der Prinz that , wie gesagt	809	6	wolf_hausmrch_hausmrch.tsv
VAPP	VAPP		VAPP	sein		» Nicht vonnöten « , ist die Antwort	gewesen	.	Geld ist er nicht zu erfüllen .» Nicht vonnöten « , ist die Antwort gewesen .« Ich erkläre , daß ich mir	3071	8	rosegger_waldschu_waldschu.tsv
VAPP	VAPP		VAPP	sein		» Ist's nicht brav von mir	gewesen	, Sie zu rufen ?	das wundersam prophetische Bild seines Glückes .» Ist's nicht brav von mir gewesen , Sie zu rufen ?Josefs Hand umkrampfte den gewundenen Griff des	1208	6	eschstru_fruehlin_fruehlin.tsv
VAPP	VAPP		VAPP	sein		Seine Reisen sind weit und lang	gewesen	, und zahllos und höchst merkwürdig die Abenteuer und Schicksale , die er auf ihnen erlebte .	ist mein Freund Dirck Meinerts Hahn .Seine Reisen sind weit und lang gewesen , und zahllos und höchst merkwürdig die Abenteuer und Schicksale , die er auf ihnen erlebte .In diesem lieben Hause wohnt mein Freund	462	6	rodenber_sylt_sylt.tsv
VAPP	VAPP		VAPP	sein		« » Sanderus sagte , « entgegnete Zbyszko , » daß sich keine Burgen hier in der Nähe befinden , und so verhält es sich auch , da die Kreuzritter neuerdings dies Land in Besitz genommen haben , aber nicht im stande	gewesen	sind , sich darin anzubauen .	gefangen genommen oder erschlagen worden wäre .« » Sanderus sagte , « entgegnete Zbyszko , » daß sich keine Burgen hier in der Nähe befinden , und so verhält es sich auch , da die Kreuzritter neuerdings dies Land in Besitz genommen haben , aber nicht im stande gewesen sind , sich darin anzubauen .Jurand , welcher auf seine Tochter zugeeilt	4679	42	sienkiew_kreuzri2_kreuzri2.tsv
VAPP	VAPP		VAPP	sein		Ich befahl , vier Gedecke aufzulegen , und im nächsten Augenblick saßen wir beisammen , wie wenn wir die besten Freunde	gewesen	wären .	aber nicht aus der Hauptstadt stammte .Ich befahl , vier Gedecke aufzulegen , und im nächsten Augenblick saßen wir beisammen , wie wenn wir die besten Freunde gewesen wären .Haben Sie mir denn nicht geschrieben ?	1810	21	casanova_band05_casa5.tsv
VAPP	VAPP		VAPP	sein		« Und als die Jungfer Schätti beleidigt schwieg , versicherte Studer , er zweifle keinen Augenblick an der Erzählung , aber ob die Frau auch sicher sei , daß es das Otti	gewesen	sei und nicht das Gespenst ?	sich leise in ihr Zimmer geschlichen .« Und als die Jungfer Schätti beleidigt schwieg , versicherte Studer , er zweifle keinen Augenblick an der Erzählung , aber ob die Frau auch sicher sei , daß es das Otti gewesen sei und nicht das Gespenst ?Sie ist abgefahren , und ich bin	1960	32	glauser_krock_krock.tsv
VAPP	VAPP		VAPP	sein		Er flehte sie an , seine kleinen Geschenke an ihrem Herzen zu tragen , und kam dann immer wieder auf dieselben Worte zurück , als ob er schon nicht mehr klaren Geistes	gewesen	, was , wie ich vermute , auch der Fall war .	da die ganze Schuld seine wäre .Er flehte sie an , seine kleinen Geschenke an ihrem Herzen zu tragen , und kam dann immer wieder auf dieselben Worte zurück , als ob er schon nicht mehr klaren Geistes gewesen , was , wie ich vermute , auch der Fall war .Sie hatte damals nur noch einige Monate	6012	32	dickens_oliver_twist.tsv
VAPP	VAPP		VAPP	sein		« Seine Augen hatten sich an die Dunkelheit gewöhnt und er hätte seinen Angreifer erkennen können , wäre das Gesicht unbedeckt	gewesen	; aber wo das Gesicht sein sollte , war ein schwarzer Fleck .	Gunners an der Tür vorbeigehen hörte .« Seine Augen hatten sich an die Dunkelheit gewöhnt und er hätte seinen Angreifer erkennen können , wäre das Gesicht unbedeckt gewesen ; aber wo das Gesicht sein sollte , war ein schwarzer Fleck .Jetzt mußte sie noch einmal vierundzwanzig Stunden	2076	21	wallacee_handsup_handsup.tsv
VAPP	VAPP		VAPP	sein		Rings um mich erhoben sich die Berg , und drüberhalb dem Wasser , was die Leizach	gewesen	, stand der Wendelstein , der Birkenstein und Fischbachau .	erhob mich und machte mich zurecht .Rings um mich erhoben sich die Berg , und drüberhalb dem Wasser , was die Leizach gewesen , stand der Wendelstein , der Birkenstein und Fischbachau .Und aus dieser Ursach geschah es auch	1922	16	christ_bichler_bichler.tsv
VAPP	VAPP		VAPP	werden		Wenn sie , wie es wahrscheinlich erscheint , beständig ihre weiblichen Nebenbuhler wegtreiben und ihre hellen Farben oder andere Reize entfalten und damit die Männchen anzuziehen versuchen , so können wir verstehen , wie es gekommen ist , daß sie allmählich mittelst der geschlechtlichen Zuchtwahl und der geschlechtlich beschränkten Vererbung schöner als die Männchen	geworden	sind , während die letzteren nicht modificiert oder nur unbedeutend modificiert wurden .	und heller gefärbt als ihre Männchen .Wenn sie , wie es wahrscheinlich erscheint , beständig ihre weiblichen Nebenbuhler wegtreiben und ihre hellen Farben oder andere Reize entfalten und damit die Männchen anzuziehen versuchen , so können wir verstehen , wie es gekommen ist , daß sie allmählich mittelst der geschlechtlichen Zuchtwahl und der geschlechtlich beschränkten Vererbung schöner als die Männchen geworden sind , während die letzteren nicht modificiert oder nur unbedeutend modificiert wurden .Ich wünschte gleichermaßen festzustellen , in wie	4316	54	darwin_abstammu_abstammu.tsv
