DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
VVPP	VVFIN		VVPP	anführen		Ein Ort Wyck wird schon auf Dankwerth's Karte von 1240	angeführt	; hier hatten an einer Bucht Fischer ihre Hütten sich gebaut .	eine Allee vom steilen Ufer trennt .Ein Ort Wyck wird schon auf Dankwerth's Karte von 1240 angeführt ; hier hatten an einer Bucht Fischer ihre Hütten sich gebaut .Der bedeutendste Ort auf Föhr ist der	2453	10	kobbe_nordost_nordost.tsv
VVPP	NE		VVPP	antuen		Prinz Biribinker , sagte die Hummel , wenn sie Langeweile haben , so versichere ich sie , daß es mir noch schlimmer geht : Die Fee Melisotte , unsre Königin , hat mir seit etlichen Wochen die Ehre	angethan	, mich zu ihrem Liebling zu erkiesen ; aber ich gestehe ihnen , daß ich der Last meines Amtes nicht gewachsen bin .	Sapperment !Prinz Biribinker , sagte die Hummel , wenn sie Langeweile haben , so versichere ich sie , daß es mir noch schlimmer geht : Die Fee Melisotte , unsre Königin , hat mir seit etlichen Wochen die Ehre angethan , mich zu ihrem Liebling zu erkiesen ; aber ich gestehe ihnen , daß ich der Last meines Amtes nicht gewachsen bin .Sey es so , weil ihrs für	886	38	wieland_sylvio_sylvio.tsv
VVPP	VVPP		VVPP	anzeigen		Sie hat nicht gezaudert ... « » Es ist unumstößlich , daß ohne den Eingriff der Vorsehung dieser Unglückliche niemals das Verbrechen	angezeigt	hätte , von dem er Zeuge war .	entdeckt werden , das wußte sie .Sie hat nicht gezaudert ... « » Es ist unumstößlich , daß ohne den Eingriff der Vorsehung dieser Unglückliche niemals das Verbrechen angezeigt hätte , von dem er Zeuge war .Sagen Sie doch , ob diese Sie	9725	22	gaboriau_strick_strick.tsv
VVPP	VVPP		VVPP	bauen		Ein Ort Wyck wird schon auf Dankwerth's Karte von 1240 angeführt ; hier hatten an einer Bucht Fischer ihre Hütten sich	gebaut	.	eine Allee vom steilen Ufer trennt .Ein Ort Wyck wird schon auf Dankwerth's Karte von 1240 angeführt ; hier hatten an einer Bucht Fischer ihre Hütten sich gebaut .Der bedeutendste Ort auf Föhr ist der	2453	21	kobbe_nordost_nordost.tsv
VVPP	VVPP		VVPP	bereiten		Jetzt drohte den Jägern dasselbe Schicksal , das Don Antonio von ihnen	bereitet	worden war und das ihnen zwei Tage zuvor auf dem Eiland gedroht hatte .	es angebunden war , zu zerreißen .Jetzt drohte den Jägern dasselbe Schicksal , das Don Antonio von ihnen bereitet worden war und das ihnen zwei Tage zuvor auf dem Eiland gedroht hatte .« Nach diesen Worten warf sich Pepe	11175	12	ferry_waldlauf_waldlauf.tsv
VVPP	VVPP		VVPP	bleiben		« Ich bin mehrere Tage daheim	geblieben	.	» Das willst du doch !« Ich bin mehrere Tage daheim geblieben .« Solch Fest ist Punkt zehn beendet	1660	6	megede_ueberka2_ueberka2.tsv
VVPP	VVPP		VVPP	blenden		Ich erwache leicht	geblendet	, ungewohnt Eines fremden Lagers .	, verneigt sich mit goldenem Scheine .Ich erwache leicht geblendet , ungewohnt Eines fremden Lagers .Gute Genossen heischt die gute Stunde .	57	3	klabund_litaipe_litaipe.tsv
VVPP	VVPP		VVPP	drohen		Jetzt drohte den Jägern dasselbe Schicksal , das Don Antonio von ihnen bereitet worden war und das ihnen zwei Tage zuvor auf dem Eiland	gedroht	hatte .	es angebunden war , zu zerreißen .Jetzt drohte den Jägern dasselbe Schicksal , das Don Antonio von ihnen bereitet worden war und das ihnen zwei Tage zuvor auf dem Eiland gedroht hatte .« Nach diesen Worten warf sich Pepe	11175	24	ferry_waldlauf_waldlauf.tsv
VVPP	VVPP		VVPP	erhalten		Bevor er aber eine Antwort	erhalten	hatte , kamen drei große Männer in Zivil aus der Platanenallee , mit einigen Arbeitern zwischen sich .	sind älter , aber nicht geringer .Bevor er aber eine Antwort erhalten hatte , kamen drei große Männer in Zivil aus der Platanenallee , mit einigen Arbeitern zwischen sich .Aufrecht wie das Schicksal saß sie da	4101	5	bruun_oanda_oanda.tsv
VVPP	VVFIN		VVPP	erhalten		Um den Riegel am Hudson für Clinton zu verstärken , eine Wegnahme Westpoints völlig unmöglich zu machen , hatte Steuben von Washington Befehl	erhalten	, aus der in Westpoint , Fishhill und der umliegenden zweiten , sehr starken Division neun Bataillone Riflemen auszuheben , von denen vier Bataillone unter General Howe südlich an den Hudson vorgeschoben werden sollten , fünf Bataillone aber direkt zu Washingtons Hauptarmee zu stoßen hätten .	« fragte er .Um den Riegel am Hudson für Clinton zu verstärken , eine Wegnahme Westpoints völlig unmöglich zu machen , hatte Steuben von Washington Befehl erhalten , aus der in Westpoint , Fishhill und der umliegenden zweiten , sehr starken Division neun Bataillone Riflemen auszuheben , von denen vier Bataillone unter General Howe südlich an den Hudson vorgeschoben werden sollten , fünf Bataillone aber direkt zu Washingtons Hauptarmee zu stoßen hätten .– » Willst du den Brief mir	5514	23	brachvog_steuben_steuben.tsv
VVPP	NE		VVFIN	erinnern			Erinnert	Ihr Euch noch ?	je , « entgegnete d' Artagnan .Erinnert Ihr Euch noch ?– Frei !	6227	0	dumasalt_zwanzigj_zwanzigj.tsv
VVPP	ADJD		ADJD	fallen		Ringsumher lagerten die sehr ermüdeten Träger , trotz ihres Durstes bald in tiefen Schlaf	fallend	.	Organismus im Zinne des Wortes ausdörren !Ringsumher lagerten die sehr ermüdeten Träger , trotz ihres Durstes bald in tiefen Schlaf fallend .Die Schläfen pochen , kurz und heftig	412	14	schillcg_elelesch_elelesch.tsv
VVPP	ADJA		VVPP	gelten		« Überdies hatte er als Gratias Verehrer	gegolten	!	sein , wie grad eben jetzt .« Überdies hatte er als Gratias Verehrer gegolten !Und es war auch sicher gschegn ,	9770	7	dickens_chuzzlew_chuzzlew.tsv
VVPP	VVPP		VVPP	halten		Er scheint sich nicht schlecht	gehalten	zu haben , wenn man ihn hört .	wir Ulmer die Wiener überflügelt hätten ?Er scheint sich nicht schlecht gehalten zu haben , wenn man ihn hört .Meine Tante schreibt mir , er sei	4745	5	eyth_ulm_ulm.tsv
VVPP	VVPP		VVPP	herunterlassen		Der Rolladen war	heruntergelassen	und die Tür fest verschlossen .	Vorbereitungen zu seiner Abreise waren getroffen .Der Rolladen war heruntergelassen und die Tür fest verschlossen .Er atmete auf , als Rater gegangen	2716	3	wallacee_redner_redner.tsv
VVPP	VVPP		VVPP	holen		Unaufhörlich Lenz gelesen und mir aus ihm – so steht es mit mir – Besinnung	geholt	.	, wie eine Wetterfahne im Gebirge .Unaufhörlich Lenz gelesen und mir aus ihm – so steht es mit mir – Besinnung geholt .Zu jener Zeit , die heute niemand	5986	15	kafka_tagebuch_tagebuch.tsv
VVPP	VVPP		VVPP	lesen		Unaufhörlich Lenz	gelesen	und mir aus ihm – so steht es mit mir – Besinnung geholt .	, wie eine Wetterfahne im Gebirge .Unaufhörlich Lenz gelesen und mir aus ihm – so steht es mit mir – Besinnung geholt .Zu jener Zeit , die heute niemand	5986	2	kafka_tagebuch_tagebuch.tsv
VVPP	VVPP		VVPP	machen		Jetzt sag , ist denn da schon was fertig	gemacht	?	Erinnere ihn nur dran .Jetzt sag , ist denn da schon was fertig gemacht ?Ich habe als Soldat mitgespielt in der	984	9	auerbach_dorfg09_dorfg09.tsv
VVPP	VVPP		VVPP	sagen		Besonders ein Wort des Vorsitzenden drang Diethelm ins Herz , denn er hatte	gesagt	: Ein Verbrechen , das ungesühnt in der Seele ruht , gleicht dem Brand in einem Kohlenbergwerk ; man stopft es zu und will das Feuer ersticken , aber es brennt weiter , unterirdisch , ungesehen , und eine Öffnung , die sich auftut , läßt die Flamme emporschlagen .	» Da hilft kein ' Sympathie .Besonders ein Wort des Vorsitzenden drang Diethelm ins Herz , denn er hatte gesagt : Ein Verbrechen , das ungesühnt in der Seele ruht , gleicht dem Brand in einem Kohlenbergwerk ; man stopft es zu und will das Feuer ersticken , aber es brennt weiter , unterirdisch , ungesehen , und eine Öffnung , die sich auftut , läßt die Flamme emporschlagen .Hat mein Vater verkauft ?	1525	13	auerbach_diethelm_diethelm.tsv
VVPP	VVPP		VVPP	tun		Meine Gründe bekehrten noch manchen andern , namentlich Collins und Ralph ; da sie aber beide , ohne die geringste Reue , mir großes Unrecht	gethan	hatten , und da ich an Keiths , eines anderen Freidenkers , Benehmen , sowie an mein eigenes Verfahren gegen Vernon und Miß Read , welches mich oft sehr quälte , dachte , so geriet ich auf die Vermutung , daß wenn diese Lehre auch wahr sein möchte , sie doch nicht sehr von Nutzen sei .	, als eben die Widerlegung selbst .Meine Gründe bekehrten noch manchen andern , namentlich Collins und Ralph ; da sie aber beide , ohne die geringste Reue , mir großes Unrecht gethan hatten , und da ich an Keiths , eines anderen Freidenkers , Benehmen , sowie an mein eigenes Verfahren gegen Vernon und Miß Read , welches mich oft sehr quälte , dachte , so geriet ich auf die Vermutung , daß wenn diese Lehre auch wahr sein möchte , sie doch nicht sehr von Nutzen sei .Es fielen mir einige Bände gegen den	1163	25	franklin_frankleb_frankleb.tsv
VVPP	VVPP		VVPP	verneinen		Seltsam ist's , daß unser Blut – Vermischte man 's – an Farbe , Wärm' und Schwere Den Unterschied	verneint	, und doch so mächtig Sich trennt durch Vorurteil .	) König .Seltsam ist's , daß unser Blut – Vermischte man 's – an Farbe , Wärm' und Schwere Den Unterschied verneint , und doch so mächtig Sich trennt durch Vorurteil .( Sie gehn ab .	1319	19	shakespr_endegut_endegut.tsv
VVPP	VVPP		VVPP	verschließen		Der Rolladen war heruntergelassen und die Tür fest	verschlossen	.	Vorbereitungen zu seiner Abreise waren getroffen .Der Rolladen war heruntergelassen und die Tür fest verschlossen .Er atmete auf , als Rater gegangen	2716	8	wallacee_redner_redner.tsv
VVPP	VVPP		VVPP	vorschieben		Um den Riegel am Hudson für Clinton zu verstärken , eine Wegnahme Westpoints völlig unmöglich zu machen , hatte Steuben von Washington Befehl erhalten , aus der in Westpoint , Fishhill und der umliegenden zweiten , sehr starken Division neun Bataillone Riflemen auszuheben , von denen vier Bataillone unter General Howe südlich an den Hudson	vorgeschoben	werden sollten , fünf Bataillone aber direkt zu Washingtons Hauptarmee zu stoßen hätten .	« fragte er .Um den Riegel am Hudson für Clinton zu verstärken , eine Wegnahme Westpoints völlig unmöglich zu machen , hatte Steuben von Washington Befehl erhalten , aus der in Westpoint , Fishhill und der umliegenden zweiten , sehr starken Division neun Bataillone Riflemen auszuheben , von denen vier Bataillone unter General Howe südlich an den Hudson vorgeschoben werden sollten , fünf Bataillone aber direkt zu Washingtons Hauptarmee zu stoßen hätten .– » Willst du den Brief mir	5514	55	brachvog_steuben_steuben.tsv
VVPP	ADJD		VVPP	wachsen		Prinz Biribinker , sagte die Hummel , wenn sie Langeweile haben , so versichere ich sie , daß es mir noch schlimmer geht : Die Fee Melisotte , unsre Königin , hat mir seit etlichen Wochen die Ehre angethan , mich zu ihrem Liebling zu erkiesen ; aber ich gestehe ihnen , daß ich der Last meines Amtes nicht	gewachsen	bin .	Sapperment !Prinz Biribinker , sagte die Hummel , wenn sie Langeweile haben , so versichere ich sie , daß es mir noch schlimmer geht : Die Fee Melisotte , unsre Königin , hat mir seit etlichen Wochen die Ehre angethan , mich zu ihrem Liebling zu erkiesen ; aber ich gestehe ihnen , daß ich der Last meines Amtes nicht gewachsen bin .Sey es so , weil ihrs für	886	59	wieland_sylvio_sylvio.tsv
VVPP	VVPP		VVPP	zaudern		Sie hat nicht	gezaudert	... « » Es ist unumstößlich , daß ohne den Eingriff der Vorsehung dieser Unglückliche niemals das Verbrechen angezeigt hätte , von dem er Zeuge war .	entdeckt werden , das wußte sie .Sie hat nicht gezaudert ... « » Es ist unumstößlich , daß ohne den Eingriff der Vorsehung dieser Unglückliche niemals das Verbrechen angezeigt hätte , von dem er Zeuge war .Sagen Sie doch , ob diese Sie	9725	3	gaboriau_strick_strick.tsv
