DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
APPO	APPR		APPO	entgegen		Sie sah auf , und ihr Blick begegnete dem seiner schwarzglänzenden Augen , aus dem ihr ein seltsamer milder Ausdruck tiefer Besorgtheit	entgegen	leuchtete .	den sich ihre Hand instinktiv schloß .Sie sah auf , und ihr Blick begegnete dem seiner schwarzglänzenden Augen , aus dem ihr ein seltsamer milder Ausdruck tiefer Besorgtheit entgegen leuchtete .Seine Nähe hatte sie schon gespürt .	990	22	gjelleru_weltwand_weltwand.tsv
APPO	PTKVZ		APPO	entgegen		Er stellte uns drei seiner Hindus zur Verfügung , ohne Kalagani , der stets bereit war , wo es galt , einer Gefahr	entgegen	zu gehen .	Befehl , die Leuchtfeuer zu löschen .Er stellte uns drei seiner Hindus zur Verfügung , ohne Kalagani , der stets bereit war , wo es galt , einer Gefahr entgegen zu gehen .Nur ihm – das bemühte er sich	816	23	verne_dampfha2_dampfha2.tsv
APPO	APPR		APPO	entgegen		Der Weg wand sich in die Höhe zwischen weißstämmigen Birken und hohen Eichen hindurch und bald erreichte er eine Brücke , unter welcher ein geschwätziger Waldbach rauschte , der ihm von der Höhe des Gebirges	entgegen	kam .	sprach sie schrecklich lachend .Der Weg wand sich in die Höhe zwischen weißstämmigen Birken und hohen Eichen hindurch und bald erreichte er eine Brücke , unter welcher ein geschwätziger Waldbach rauschte , der ihm von der Höhe des Gebirges entgegen kam .« Zu meinem Vater !	2474	35	hacklaen_namenlo2_namenlo2.tsv
APPO	APPO		APPO	entlang		Auf holperigem Pfade , hier ein Stück ausgetretenen Rasenbodens , dort ein Stück schlechtgepflasterten Sandes , wandert man den Fluß	entlang	, über welchem majestätisch der eiserne Trajekt der Stadtbahn sich spannt ; unten gehen Kähne , von hart arbeitenden Männern an Stangen mühsam fortgeschoben , oben gleitet , leicht und graziös , in kühn geschwungener Linie , Zug um Zug dahin , mit der Dampfwolke hinter sich .	der Täuschung seines Rechtes erhalten wolle .Auf holperigem Pfade , hier ein Stück ausgetretenen Rasenbodens , dort ein Stück schlechtgepflasterten Sandes , wandert man den Fluß entlang , über welchem majestätisch der eiserne Trajekt der Stadtbahn sich spannt ; unten gehen Kähne , von hart arbeitenden Männern an Stangen mühsam fortgeschoben , oben gleitet , leicht und graziös , in kühn geschwungener Linie , Zug um Zug dahin , mit der Dampfwolke hinter sich .Es ist nicht ganz mehr die unberührte	1551	20	rodenber_berliner_berliner.tsv
APPO	APZR		APPO	entlang		Die Matrosen hatten indessen ihre Segel wieder gehißt , und die Barke fuhr das Ufer	entlang	; bald erblickte man das Feuer deutlicher und fünf daran sitzende Personen .	die Sanftmut selbst war , so ?Die Matrosen hatten indessen ihre Segel wieder gehißt , und die Barke fuhr das Ufer entlang ; bald erblickte man das Feuer deutlicher und fünf daran sitzende Personen ..	3151	15	dumasalt_montchr2_montchr2.tsv
APPO	APZR		APPO	entlang		So fielen viele Ketzerpfennige unter die Bank , und als einer auf den Boden vor den Küster rollte , schippte ihn der mit dem Fuße fort , daß er den ganzen Gang	entlang	schwirrte .	in der Wuhle und viele andere .So fielen viele Ketzerpfennige unter die Bank , und als einer auf den Boden vor den Küster rollte , schippte ihn der mit dem Fuße fort , daß er den ganzen Gang entlang schwirrte .Denn was der Herrgott durch einen Engel	6721	32	stehr_heiligen_heiligen.tsv
APPO	APPR		APPO	gegenüber		Ich selber war in die Schenke	gegenüber	geritten , um zu sehen , wie der Vater ankam und wie er aussah .	Waren dürfen die Stadt nicht verlassen .Ich selber war in die Schenke gegenüber geritten , um zu sehen , wie der Vater ankam und wie er aussah .» « Ich bin bereit , Ihnen	3371	6	freytag_sollhabn_sollhabn.tsv
APPO	APPR		APPO	gegenüber		Ihm	gegenüber	stand ein Thronsessel mit niedrigem , rotem Baldachin voll goldener Quasten .	» So werde ich warten .Ihm gegenüber stand ein Thronsessel mit niedrigem , rotem Baldachin voll goldener Quasten .» Um so besser « , sagte	2460	1	seidelw_sakije_sakije.tsv
APPO	APPO		APPO	gegenüber		Dem Eingang	gegenüber	steht ein einfacher Altar .	und Granit sahen wir nirgends angewandt .Dem Eingang gegenüber steht ein einfacher Altar .Neben ihnen befinden sich die Reste zweier	264	2	pueckler_mehemed_mehemed.tsv
APPO	ADV		APPO	gegenüber		Ein kleines Häuflein von Dorfbewohnern hatte sich mit verstörten Mienen	gegenüber	an der Kirchhofsmauer dicht zusammengedrängt .	von ihnen auf und ab ging .Ein kleines Häuflein von Dorfbewohnern hatte sich mit verstörten Mienen gegenüber an der Kirchhofsmauer dicht zusammengedrängt .Der Gesang brach jäh ab , und	4181	10	schweich_stvigil_stvigil.tsv
