DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
ART	ART		ART	d		Chor : Nicht hilf den Menschen fürder über alles Maß , Des eignen Unheils unbekümmert ; denn ich bin	Der	festen Hoffnung , daß du einst noch , dieser Qual Entfesselt , nicht von mindrer Macht wirst sein denn Zeus .	dem Götterknecht , kein Wort gegönnt !Chor : Nicht hilf den Menschen fürder über alles Maß , Des eignen Unheils unbekümmert ; denn ich bin Der festen Hoffnung , daß du einst noch , dieser Qual Entfesselt , nicht von mindrer Macht wirst sein denn Zeus .Drum wirst du Hüter dieses öden Felsens	239	19	aischylo_promethe_promethe.tsv
ART	NN		NN	d		Chor : Nicht hilf den Menschen fürder über alles Maß ,	Des	eignen Unheils unbekümmert ; denn ich bin Der festen Hoffnung , daß du einst noch , dieser Qual Entfesselt , nicht von mindrer Macht wirst sein denn Zeus .	dem Götterknecht , kein Wort gegönnt !Chor : Nicht hilf den Menschen fürder über alles Maß , Des eignen Unheils unbekümmert ; denn ich bin Der festen Hoffnung , daß du einst noch , dieser Qual Entfesselt , nicht von mindrer Macht wirst sein denn Zeus .Drum wirst du Hüter dieses öden Felsens	239	11	aischylo_promethe_promethe.tsv
ART	ART		ART	d		Sie hätte gern die Neugier gestillt , die in ihr lebendig wurde , aber Wicho schob sie vor den Hag hinaus und schloß hinter ihr	das	Tor .	kam Heilwig von den Ställen her .Sie hätte gern die Neugier gestillt , die in ihr lebendig wurde , aber Wicho schob sie vor den Hag hinaus und schloß hinter ihr das Tor .Wicho sprang hinaus auf die offene Lände	5152	25	ganghofe_martinsk_martinsk.tsv
ART	PDS		ART	d		Ich habe Dich in meinem Brief um häufige und ausführliche Nachricht gebeten über alles , was im Hauptquartier vorgeht ; schreibe mir oft , aber ich beschwöre Dich , schreibe mir nie die Wahrheit , schreibe mir nichts von dem , was wirklich dort geschieht , nichts von dem , was ihr hofft und fürchtet – nur	das	eine , daß Du lebst und meiner gedenkst .	die Hände des abgehenden Kuriers legt .Ich habe Dich in meinem Brief um häufige und ausführliche Nachricht gebeten über alles , was im Hauptquartier vorgeht ; schreibe mir oft , aber ich beschwöre Dich , schreibe mir nie die Wahrheit , schreibe mir nichts von dem , was wirklich dort geschieht , nichts von dem , was ihr hofft und fürchtet – nur das eine , daß Du lebst und meiner gedenkst .« rief Pawjel , seinen Handjar weit	2491	57	meding_plewna_plewna.tsv
ART	ART		ART	d		– Aber ich würde doch lieber ein Dutzend Burschen zum Frühstück peitschen lassen , bis ihnen	das	Blut in die Schuhe läuft , als daß ich Euch erschrecken wollte , Täubchen .	ist ein heiliger Derwisch der Christen !– Aber ich würde doch lieber ein Dutzend Burschen zum Frühstück peitschen lassen , bis ihnen das Blut in die Schuhe läuft , als daß ich Euch erschrecken wollte , Täubchen .Sie haben Mahadrö und dich gerettet !	3843	16	retcliff_sonora_sonora.tsv
ART	PDS		PDS	d		Ich habe Dich in meinem Brief um häufige und ausführliche Nachricht gebeten über alles , was im Hauptquartier vorgeht ; schreibe mir oft , aber ich beschwöre Dich , schreibe mir nie die Wahrheit , schreibe mir nichts von	dem	, was wirklich dort geschieht , nichts von dem , was ihr hofft und fürchtet – nur das eine , daß Du lebst und meiner gedenkst .	die Hände des abgehenden Kuriers legt .Ich habe Dich in meinem Brief um häufige und ausführliche Nachricht gebeten über alles , was im Hauptquartier vorgeht ; schreibe mir oft , aber ich beschwöre Dich , schreibe mir nie die Wahrheit , schreibe mir nichts von dem , was wirklich dort geschieht , nichts von dem , was ihr hofft und fürchtet – nur das eine , daß Du lebst und meiner gedenkst .« rief Pawjel , seinen Handjar weit	2491	39	meding_plewna_plewna.tsv
ART	PDS		PDS	d		Ich habe Dich in meinem Brief um häufige und ausführliche Nachricht gebeten über alles , was im Hauptquartier vorgeht ; schreibe mir oft , aber ich beschwöre Dich , schreibe mir nie die Wahrheit , schreibe mir nichts von dem , was wirklich dort geschieht , nichts von	dem	, was ihr hofft und fürchtet – nur das eine , daß Du lebst und meiner gedenkst .	die Hände des abgehenden Kuriers legt .Ich habe Dich in meinem Brief um häufige und ausführliche Nachricht gebeten über alles , was im Hauptquartier vorgeht ; schreibe mir oft , aber ich beschwöre Dich , schreibe mir nie die Wahrheit , schreibe mir nichts von dem , was wirklich dort geschieht , nichts von dem , was ihr hofft und fürchtet – nur das eine , daß Du lebst und meiner gedenkst .« rief Pawjel , seinen Handjar weit	2491	48	meding_plewna_plewna.tsv
ART	ART		ART	d		Bei	dem	Vorgebirg Vincent Steht ein Turm mit Marmorschwellen ; Eine helle Fackel brennt Dort , den Erdball zu erhellen .	uns stets zu hören sie verlanget .Bei dem Vorgebirg Vincent Steht ein Turm mit Marmorschwellen ; Eine helle Fackel brennt Dort , den Erdball zu erhellen .Kein Fischer am Gestad , Kein Licht	891	1	freiligr_band1-3_band1-3.tsv
ART	ART		ART	d		Chor : Nicht hilf	den	Menschen fürder über alles Maß , Des eignen Unheils unbekümmert ; denn ich bin Der festen Hoffnung , daß du einst noch , dieser Qual Entfesselt , nicht von mindrer Macht wirst sein denn Zeus .	dem Götterknecht , kein Wort gegönnt !Chor : Nicht hilf den Menschen fürder über alles Maß , Des eignen Unheils unbekümmert ; denn ich bin Der festen Hoffnung , daß du einst noch , dieser Qual Entfesselt , nicht von mindrer Macht wirst sein denn Zeus .Drum wirst du Hüter dieses öden Felsens	239	4	aischylo_promethe_promethe.tsv
ART	ART		ART	d		Bei dem Vorgebirg Vincent Steht ein Turm mit Marmorschwellen ; Eine helle Fackel brennt Dort ,	den	Erdball zu erhellen .	uns stets zu hören sie verlanget .Bei dem Vorgebirg Vincent Steht ein Turm mit Marmorschwellen ; Eine helle Fackel brennt Dort , den Erdball zu erhellen .Kein Fischer am Gestad , Kein Licht	891	16	freiligr_band1-3_band1-3.tsv
