DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
NE	NE		NE	Antonio		Jetzt drohte den Jägern dasselbe Schicksal , das Don	Antonio	von ihnen bereitet worden war und das ihnen zwei Tage zuvor auf dem Eiland gedroht hatte .	es angebunden war , zu zerreißen .Jetzt drohte den Jägern dasselbe Schicksal , das Don Antonio von ihnen bereitet worden war und das ihnen zwei Tage zuvor auf dem Eiland gedroht hatte .« Nach diesen Worten warf sich Pepe	11175	9	ferry_waldlauf_waldlauf.tsv
NE	NE		NE	Biribinker		Prinz	Biribinker	, sagte die Hummel , wenn sie Langeweile haben , so versichere ich sie , daß es mir noch schlimmer geht : Die Fee Melisotte , unsre Königin , hat mir seit etlichen Wochen die Ehre angethan , mich zu ihrem Liebling zu erkiesen ; aber ich gestehe ihnen , daß ich der Last meines Amtes nicht gewachsen bin .	Sapperment !Prinz Biribinker , sagte die Hummel , wenn sie Langeweile haben , so versichere ich sie , daß es mir noch schlimmer geht : Die Fee Melisotte , unsre Königin , hat mir seit etlichen Wochen die Ehre angethan , mich zu ihrem Liebling zu erkiesen ; aber ich gestehe ihnen , daß ich der Last meines Amtes nicht gewachsen bin .Sey es so , weil ihrs für	886	1	wieland_sylvio_sylvio.tsv
NE	NE		NE	Clinton		Um den Riegel am Hudson für	Clinton	zu verstärken , eine Wegnahme Westpoints völlig unmöglich zu machen , hatte Steuben von Washington Befehl erhalten , aus der in Westpoint , Fishhill und der umliegenden zweiten , sehr starken Division neun Bataillone Riflemen auszuheben , von denen vier Bataillone unter General Howe südlich an den Hudson vorgeschoben werden sollten , fünf Bataillone aber direkt zu Washingtons Hauptarmee zu stoßen hätten .	« fragte er .Um den Riegel am Hudson für Clinton zu verstärken , eine Wegnahme Westpoints völlig unmöglich zu machen , hatte Steuben von Washington Befehl erhalten , aus der in Westpoint , Fishhill und der umliegenden zweiten , sehr starken Division neun Bataillone Riflemen auszuheben , von denen vier Bataillone unter General Howe südlich an den Hudson vorgeschoben werden sollten , fünf Bataillone aber direkt zu Washingtons Hauptarmee zu stoßen hätten .– » Willst du den Brief mir	5514	6	brachvog_steuben_steuben.tsv
NE	NN		NN	Daidalos		In diesem ersten Schritt des	Dädalus	in der Kunst lag etwas Hohes und Göttliches , das die Verehrung und Bewundrung der Nachwelt auf sich zog und den Namen des Künstlers unsterblich machte , der dennoch seinen Ruhm durch eine grausame und schwarze Tat befleckte .	ist , die Sphinx zu töten .In diesem ersten Schritt des Dädalus in der Kunst lag etwas Hohes und Göttliches , das die Verehrung und Bewundrung der Nachwelt auf sich zog und den Namen des Künstlers unsterblich machte , der dennoch seinen Ruhm durch eine grausame und schwarze Tat befleckte .Vom Polynikes , mit dem Kopf auf	1739	5	moritz_goetterl_goetterl.tsv
NE	NE		NE	Don		Jetzt drohte den Jägern dasselbe Schicksal , das	Don	Antonio von ihnen bereitet worden war und das ihnen zwei Tage zuvor auf dem Eiland gedroht hatte .	es angebunden war , zu zerreißen .Jetzt drohte den Jägern dasselbe Schicksal , das Don Antonio von ihnen bereitet worden war und das ihnen zwei Tage zuvor auf dem Eiland gedroht hatte .« Nach diesen Worten warf sich Pepe	11175	8	ferry_waldlauf_waldlauf.tsv
NE	NE		NE	Fishhill		Um den Riegel am Hudson für Clinton zu verstärken , eine Wegnahme Westpoints völlig unmöglich zu machen , hatte Steuben von Washington Befehl erhalten , aus der in Westpoint ,	Fishhill	und der umliegenden zweiten , sehr starken Division neun Bataillone Riflemen auszuheben , von denen vier Bataillone unter General Howe südlich an den Hudson vorgeschoben werden sollten , fünf Bataillone aber direkt zu Washingtons Hauptarmee zu stoßen hätten .	« fragte er .Um den Riegel am Hudson für Clinton zu verstärken , eine Wegnahme Westpoints völlig unmöglich zu machen , hatte Steuben von Washington Befehl erhalten , aus der in Westpoint , Fishhill und der umliegenden zweiten , sehr starken Division neun Bataillone Riflemen auszuheben , von denen vier Bataillone unter General Howe südlich an den Hudson vorgeschoben werden sollten , fünf Bataillone aber direkt zu Washingtons Hauptarmee zu stoßen hätten .– » Willst du den Brief mir	5514	30	brachvog_steuben_steuben.tsv
NE	NN		NE	General		Um den Riegel am Hudson für Clinton zu verstärken , eine Wegnahme Westpoints völlig unmöglich zu machen , hatte Steuben von Washington Befehl erhalten , aus der in Westpoint , Fishhill und der umliegenden zweiten , sehr starken Division neun Bataillone Riflemen auszuheben , von denen vier Bataillone unter	General	Howe südlich an den Hudson vorgeschoben werden sollten , fünf Bataillone aber direkt zu Washingtons Hauptarmee zu stoßen hätten .	« fragte er .Um den Riegel am Hudson für Clinton zu verstärken , eine Wegnahme Westpoints völlig unmöglich zu machen , hatte Steuben von Washington Befehl erhalten , aus der in Westpoint , Fishhill und der umliegenden zweiten , sehr starken Division neun Bataillone Riflemen auszuheben , von denen vier Bataillone unter General Howe südlich an den Hudson vorgeschoben werden sollten , fünf Bataillone aber direkt zu Washingtons Hauptarmee zu stoßen hätten .– » Willst du den Brief mir	5514	49	brachvog_steuben_steuben.tsv
NE	NE		NE	Heinrich		«	Heinrich	von Schauenberg stand auf , und sprach : » Witiko vom Witikohause , Herr im mittäglichen Böhmen unter dem Herzoge Wladislaw , ich , Heinrich von Schauenberg , gebe dir in Gutem und Treuem meine Tochter Bertha , daß sie dir in freiem Willen als Ehegemahlin folge , daß du sie ehrest und liebest , und ihr treu bist , so lange du lebst , und daß sie dich ehret und liebt und dir treu ist , so lange sie lebt .	gilt es gleich auf das Leben .« Heinrich von Schauenberg stand auf , und sprach : » Witiko vom Witikohause , Herr im mittäglichen Böhmen unter dem Herzoge Wladislaw , ich , Heinrich von Schauenberg , gebe dir in Gutem und Treuem meine Tochter Bertha , daß sie dir in freiem Willen als Ehegemahlin folge , daß du sie ehrest und liebest , und ihr treu bist , so lange du lebst , und daß sie dich ehret und liebt und dir treu ist , so lange sie lebt .Der Schaffner geleitete ihn .	14756	1	stifter_witiko_witiko.tsv
NE	NE		NE	Heinrich		« Heinrich von Schauenberg stand auf , und sprach : » Witiko vom Witikohause , Herr im mittäglichen Böhmen unter dem Herzoge Wladislaw , ich ,	Heinrich	von Schauenberg , gebe dir in Gutem und Treuem meine Tochter Bertha , daß sie dir in freiem Willen als Ehegemahlin folge , daß du sie ehrest und liebest , und ihr treu bist , so lange du lebst , und daß sie dich ehret und liebt und dir treu ist , so lange sie lebt .	gilt es gleich auf das Leben .« Heinrich von Schauenberg stand auf , und sprach : » Witiko vom Witikohause , Herr im mittäglichen Böhmen unter dem Herzoge Wladislaw , ich , Heinrich von Schauenberg , gebe dir in Gutem und Treuem meine Tochter Bertha , daß sie dir in freiem Willen als Ehegemahlin folge , daß du sie ehrest und liebest , und ihr treu bist , so lange du lebst , und daß sie dich ehret und liebt und dir treu ist , so lange sie lebt .Der Schaffner geleitete ihn .	14756	26	stifter_witiko_witiko.tsv
NE	NE		NE	Howe		Um den Riegel am Hudson für Clinton zu verstärken , eine Wegnahme Westpoints völlig unmöglich zu machen , hatte Steuben von Washington Befehl erhalten , aus der in Westpoint , Fishhill und der umliegenden zweiten , sehr starken Division neun Bataillone Riflemen auszuheben , von denen vier Bataillone unter General	Howe	südlich an den Hudson vorgeschoben werden sollten , fünf Bataillone aber direkt zu Washingtons Hauptarmee zu stoßen hätten .	« fragte er .Um den Riegel am Hudson für Clinton zu verstärken , eine Wegnahme Westpoints völlig unmöglich zu machen , hatte Steuben von Washington Befehl erhalten , aus der in Westpoint , Fishhill und der umliegenden zweiten , sehr starken Division neun Bataillone Riflemen auszuheben , von denen vier Bataillone unter General Howe südlich an den Hudson vorgeschoben werden sollten , fünf Bataillone aber direkt zu Washingtons Hauptarmee zu stoßen hätten .– » Willst du den Brief mir	5514	50	brachvog_steuben_steuben.tsv
NE	NN		NE	Hudson		Um den Riegel am	Hudson	für Clinton zu verstärken , eine Wegnahme Westpoints völlig unmöglich zu machen , hatte Steuben von Washington Befehl erhalten , aus der in Westpoint , Fishhill und der umliegenden zweiten , sehr starken Division neun Bataillone Riflemen auszuheben , von denen vier Bataillone unter General Howe südlich an den Hudson vorgeschoben werden sollten , fünf Bataillone aber direkt zu Washingtons Hauptarmee zu stoßen hätten .	« fragte er .Um den Riegel am Hudson für Clinton zu verstärken , eine Wegnahme Westpoints völlig unmöglich zu machen , hatte Steuben von Washington Befehl erhalten , aus der in Westpoint , Fishhill und der umliegenden zweiten , sehr starken Division neun Bataillone Riflemen auszuheben , von denen vier Bataillone unter General Howe südlich an den Hudson vorgeschoben werden sollten , fünf Bataillone aber direkt zu Washingtons Hauptarmee zu stoßen hätten .– » Willst du den Brief mir	5514	4	brachvog_steuben_steuben.tsv
NE	NN		NE	Hudson		Um den Riegel am Hudson für Clinton zu verstärken , eine Wegnahme Westpoints völlig unmöglich zu machen , hatte Steuben von Washington Befehl erhalten , aus der in Westpoint , Fishhill und der umliegenden zweiten , sehr starken Division neun Bataillone Riflemen auszuheben , von denen vier Bataillone unter General Howe südlich an den	Hudson	vorgeschoben werden sollten , fünf Bataillone aber direkt zu Washingtons Hauptarmee zu stoßen hätten .	« fragte er .Um den Riegel am Hudson für Clinton zu verstärken , eine Wegnahme Westpoints völlig unmöglich zu machen , hatte Steuben von Washington Befehl erhalten , aus der in Westpoint , Fishhill und der umliegenden zweiten , sehr starken Division neun Bataillone Riflemen auszuheben , von denen vier Bataillone unter General Howe südlich an den Hudson vorgeschoben werden sollten , fünf Bataillone aber direkt zu Washingtons Hauptarmee zu stoßen hätten .– » Willst du den Brief mir	5514	54	brachvog_steuben_steuben.tsv
NE	NE		NE	Ilse			Ilse	verbeißt ein Lachen .	Müller Man muß Pläne machen !Ilse verbeißt ein Lachen .Komm !	319	0	horvath_mordmohr_mordmohr.tsv
NE	NE		NE	Italien		In	Italien	, mochte der aus Venedig bramarbasieren , weiß jeder Anfänger besser Bescheid .	seinen dunklen Andeutungen nicht recht klug .In Italien , mochte der aus Venedig bramarbasieren , weiß jeder Anfänger besser Bescheid .Ihm sollte er nicht alle Entwürfe willig	1337	1	pastor_duerer_duerer.tsv
NE	NE		VVFIN	Melisotte		Prinz Biribinker , sagte die Hummel , wenn sie Langeweile haben , so versichere ich sie , daß es mir noch schlimmer geht : Die Fee	Melisotte	, unsre Königin , hat mir seit etlichen Wochen die Ehre angethan , mich zu ihrem Liebling zu erkiesen ; aber ich gestehe ihnen , daß ich der Last meines Amtes nicht gewachsen bin .	Sapperment !Prinz Biribinker , sagte die Hummel , wenn sie Langeweile haben , so versichere ich sie , daß es mir noch schlimmer geht : Die Fee Melisotte , unsre Königin , hat mir seit etlichen Wochen die Ehre angethan , mich zu ihrem Liebling zu erkiesen ; aber ich gestehe ihnen , daß ich der Last meines Amtes nicht gewachsen bin .Sey es so , weil ihrs für	886	26	wieland_sylvio_sylvio.tsv
NE	NE		NE	Moses		Ich sehe mich um in dem Lokahle und sehe dort verschiedene Gesichter , die imstande waren , ihren eigenen Vater und Mutter an	Moses	Löwenthalen abzuliefern .	Hunde in die Vossische Zeitung setzen !Ich sehe mich um in dem Lokahle und sehe dort verschiedene Gesichter , die imstande waren , ihren eigenen Vater und Mutter an Moses Löwenthalen abzuliefern .Nun tun Sie mir den Gefallen und	553	23	reuter_braesig_braesig.tsv
NE	NE		NE	Schauenberg		« Heinrich von	Schauenberg	stand auf , und sprach : » Witiko vom Witikohause , Herr im mittäglichen Böhmen unter dem Herzoge Wladislaw , ich , Heinrich von Schauenberg , gebe dir in Gutem und Treuem meine Tochter Bertha , daß sie dir in freiem Willen als Ehegemahlin folge , daß du sie ehrest und liebest , und ihr treu bist , so lange du lebst , und daß sie dich ehret und liebt und dir treu ist , so lange sie lebt .	gilt es gleich auf das Leben .« Heinrich von Schauenberg stand auf , und sprach : » Witiko vom Witikohause , Herr im mittäglichen Böhmen unter dem Herzoge Wladislaw , ich , Heinrich von Schauenberg , gebe dir in Gutem und Treuem meine Tochter Bertha , daß sie dir in freiem Willen als Ehegemahlin folge , daß du sie ehrest und liebest , und ihr treu bist , so lange du lebst , und daß sie dich ehret und liebt und dir treu ist , so lange sie lebt .Der Schaffner geleitete ihn .	14756	3	stifter_witiko_witiko.tsv
NE	NN		NE	Sophie			Sophie	lächelnd .	Sophie .Sophie lächelnd .Er will nichts sagen .	824	0	goethe_mitschul_mitsch01.tsv
NE	NN		NN	Toby		Als wenn er von den äußersten Grenzen der Erde daherkäme , um	Toby	anzublasen .	wußte davon ein Lied zu singen .Als wenn er von den äußersten Grenzen der Erde daherkäme , um Toby anzublasen .Im Winter zu warten war 's freilich	5024	12	dickens_3weihnac_3weihnac.tsv
NE	NE		NE	Venedig		In Italien , mochte der aus	Venedig	bramarbasieren , weiß jeder Anfänger besser Bescheid .	seinen dunklen Andeutungen nicht recht klug .In Italien , mochte der aus Venedig bramarbasieren , weiß jeder Anfänger besser Bescheid .Ihm sollte er nicht alle Entwürfe willig	1337	6	pastor_duerer_duerer.tsv
NE	NE		NE	Washington		Um den Riegel am Hudson für Clinton zu verstärken , eine Wegnahme Westpoints völlig unmöglich zu machen , hatte Steuben von	Washington	Befehl erhalten , aus der in Westpoint , Fishhill und der umliegenden zweiten , sehr starken Division neun Bataillone Riflemen auszuheben , von denen vier Bataillone unter General Howe südlich an den Hudson vorgeschoben werden sollten , fünf Bataillone aber direkt zu Washingtons Hauptarmee zu stoßen hätten .	« fragte er .Um den Riegel am Hudson für Clinton zu verstärken , eine Wegnahme Westpoints völlig unmöglich zu machen , hatte Steuben von Washington Befehl erhalten , aus der in Westpoint , Fishhill und der umliegenden zweiten , sehr starken Division neun Bataillone Riflemen auszuheben , von denen vier Bataillone unter General Howe südlich an den Hudson vorgeschoben werden sollten , fünf Bataillone aber direkt zu Washingtons Hauptarmee zu stoßen hätten .– » Willst du den Brief mir	5514	21	brachvog_steuben_steuben.tsv
NE	NE		NE	Washington		Um den Riegel am Hudson für Clinton zu verstärken , eine Wegnahme Westpoints völlig unmöglich zu machen , hatte Steuben von Washington Befehl erhalten , aus der in Westpoint , Fishhill und der umliegenden zweiten , sehr starken Division neun Bataillone Riflemen auszuheben , von denen vier Bataillone unter General Howe südlich an den Hudson vorgeschoben werden sollten , fünf Bataillone aber direkt zu	Washingtons	Hauptarmee zu stoßen hätten .	« fragte er .Um den Riegel am Hudson für Clinton zu verstärken , eine Wegnahme Westpoints völlig unmöglich zu machen , hatte Steuben von Washington Befehl erhalten , aus der in Westpoint , Fishhill und der umliegenden zweiten , sehr starken Division neun Bataillone Riflemen auszuheben , von denen vier Bataillone unter General Howe südlich an den Hudson vorgeschoben werden sollten , fünf Bataillone aber direkt zu Washingtons Hauptarmee zu stoßen hätten .– » Willst du den Brief mir	5514	64	brachvog_steuben_steuben.tsv
NE	NE		NE	Witiko		« Heinrich von Schauenberg stand auf , und sprach : »	Witiko	vom Witikohause , Herr im mittäglichen Böhmen unter dem Herzoge Wladislaw , ich , Heinrich von Schauenberg , gebe dir in Gutem und Treuem meine Tochter Bertha , daß sie dir in freiem Willen als Ehegemahlin folge , daß du sie ehrest und liebest , und ihr treu bist , so lange du lebst , und daß sie dich ehret und liebt und dir treu ist , so lange sie lebt .	gilt es gleich auf das Leben .« Heinrich von Schauenberg stand auf , und sprach : » Witiko vom Witikohause , Herr im mittäglichen Böhmen unter dem Herzoge Wladislaw , ich , Heinrich von Schauenberg , gebe dir in Gutem und Treuem meine Tochter Bertha , daß sie dir in freiem Willen als Ehegemahlin folge , daß du sie ehrest und liebest , und ihr treu bist , so lange du lebst , und daß sie dich ehret und liebt und dir treu ist , so lange sie lebt .Der Schaffner geleitete ihn .	14756	11	stifter_witiko_witiko.tsv
