DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
PDAT	PDAT		PDAT	dasselbe		Die Zeremonien des Festes , die dabei handelnden oder zuschauenden Personen , Senatoren , Magistrate , Zünfte , Ritter und Volk , schöne Frauen , der Held des Tages , ein Poet im Gewande eines Königs , und der altertümliche , mit Teppichen und Blumen verzierte Saal im Kapitole Roms würden sich zu einem der glanzvollsten und seltsamsten Gemälde des Mittelalters vereinigen , wenn wir noch imstande wären ,	dasselbe	getreu darzustellen .	Neugierde , bei vielen schwärmerische Begeisterung .Die Zeremonien des Festes , die dabei handelnden oder zuschauenden Personen , Senatoren , Magistrate , Zünfte , Ritter und Volk , schöne Frauen , der Held des Tages , ein Poet im Gewande eines Königs , und der altertümliche , mit Teppichen und Blumen verzierte Saal im Kapitole Roms würden sich zu einem der glanzvollsten und seltsamsten Gemälde des Mittelalters vereinigen , wenn wir noch imstande wären , dasselbe getreu darzustellen .Zu den Krönungen von Kaisern und Päpsten	28297	69	gregorov_stadtrom_stadtrom.tsv
PDAT	PDAT		PDAT	demselben		» Es ist Zeit , ein Ende zu machen , « sagte Herr Lenoir , immer in	demselben	Ton , indem eine triumphierende Freude aus seinen Augen sprühte .	oh , das muß sie töten !» Es ist Zeit , ein Ende zu machen , « sagte Herr Lenoir , immer in demselben Ton , indem eine triumphierende Freude aus seinen Augen sprühte .Ich werde es nicht übelnehmen , «	1430	17	meding_2kaiserk_2kaiserk.tsv
PDAT	PDAT		PDAT	diese			Diese	Offensiven waren in ihren ersten Stadien überraschend erfolgreich .	Das ist es .Diese Offensiven waren in ihren ersten Stadien überraschend erfolgreich .Die Bauern haben in diesen drei Jahren	1283	0	holitsch_3monate_3monate.tsv
PDAT	PDAT		PDAT	diese		» Welch eine grauenhafte Macht	diese	Furcht im Leben der Heiden bedeutet , können wir , die wir uns in Gottes Hand sicher wissen , nicht ausdenken .	als die Ahnherrin der gotischen Kathedrale .» Welch eine grauenhafte Macht diese Furcht im Leben der Heiden bedeutet , können wir , die wir uns in Gottes Hand sicher wissen , nicht ausdenken .Gottes Wege sind unerforschlich .	2189	5	ernstp_credo_credo.tsv
PDAT	PDAT		PDAT	diese		Jetzt hat	diese	alberne Person alles verpatzt .	schon gemacht hatte , wegradiert hätte .Jetzt hat diese alberne Person alles verpatzt .Der Skandal in der Deutschstunde !! Wir	3106	2	anonymus_halbwuch_halbwuch.tsv
PDAT	PDAT		PDAT	diese		Der Ton keines Menschen und keines Thieres kann eine Vorstellung von dem Lärmen geben , welches sich in	diese	Aufregung des Meeres mischte .	Höhe , Fluthen in der Tiefe .Der Ton keines Menschen und keines Thieres kann eine Vorstellung von dem Lärmen geben , welches sich in diese Aufregung des Meeres mischte .Unendlicher Schaum bespritzte alle Felsen .	3855	18	hugo_meerarbe_meerarbe.tsv
PDAT	PDAT		PDAT	diese		Auch	diese	Stelle zeigt , wie nötig es Copernicus fand , mit seinem Zeitalter über diese Dinge als mit Kindern und Schwachen zu sprechen .	4. S.9 .Auch diese Stelle zeigt , wie nötig es Copernicus fand , mit seinem Zeitalter über diese Dinge als mit Kindern und Schwachen zu sprechen .8. S.65 und in Herrn J. L.	1964	1	lichtenb_aufsatzg_aufsatzg.tsv
PDAT	PDAT		PDAT	diese		Auch diese Stelle zeigt , wie nötig es Copernicus fand , mit seinem Zeitalter über	diese	Dinge als mit Kindern und Schwachen zu sprechen .	4. S.9 .Auch diese Stelle zeigt , wie nötig es Copernicus fand , mit seinem Zeitalter über diese Dinge als mit Kindern und Schwachen zu sprechen .8. S.65 und in Herrn J. L.	1964	15	lichtenb_aufsatzg_aufsatzg.tsv
PDAT	PDAT		PDAT	diese		« Aber für	diese	neue Art , Livree zu geben , wird eitlen Prahlern immer das Verständnis fehlen .	erweicht und seine Sinne mürbe gemacht .« Aber für diese neue Art , Livree zu geben , wird eitlen Prahlern immer das Verständnis fehlen .« » Aha !	4565	3	cervante_quijote2_quijote2.tsv
PDAT	PDS		PDAT	diese		« Man mußte einen Ort haben , wo der gewaltsame Tod alltäglich war , wo der Selbstmord unaufhörlich der Beobachtung eine ungeheure Menge von Frauen lieferte , Frauen von jedem Alter , und die meisten in den Stadien ihrer Leiden :	diese	in dem Moment des Monats , wo die Natur sie exaltiert ; jene , schwanger , die mit ihrem Kinde sterben wollten ; Jungfrauen endlich , arme Blumen , die an der Liebe verzweifelten .	Ihr habt euch als dieselben wiedergefunden .« Man mußte einen Ort haben , wo der gewaltsame Tod alltäglich war , wo der Selbstmord unaufhörlich der Beobachtung eine ungeheure Menge von Frauen lieferte , Frauen von jedem Alter , und die meisten in den Stadien ihrer Leiden : diese in dem Moment des Monats , wo die Natur sie exaltiert ; jene , schwanger , die mit ihrem Kinde sterben wollten ; Jungfrauen endlich , arme Blumen , die an der Liebe verzweifelten .... Du liebst sie , ich weiß	4373	41	michelet_dieliebe_dieliebe.tsv
