DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
PDS	PDS		PDS	die		« »	Das	ist meine Sache , geben Sie mir einfach !	Dampfwolke , » bloß eine Frage !« » Das ist meine Sache , geben Sie mir einfach !« » Up din Kamer liggt allens	726	2	speckman_heidehof_heidehof.tsv
PDS	PDS		PDS	die			Das	war eine Hoffnung , die einzige .	zerteilen , bevor sie sich entluden .Das war eine Hoffnung , die einzige .Wie der Sturmwind wollte er in die	1068	0	freytag_erhebung_erhebung.tsv
PDS	PDS		PDS	die		«	Das	ist die Frage , die ich an Euch richten wollte , liebe Jungfrau , und nun entscheidet « , schloß Klaus seine lange Rede und hemmte den Schritt , denn sie waren unterdessen an die ersten Häuser des Dorfes gekommen .	Aber es kommt noch viel besser .« Das ist die Frage , die ich an Euch richten wollte , liebe Jungfrau , und nun entscheidet « , schloß Klaus seine lange Rede und hemmte den Schritt , denn sie waren unterdessen an die ersten Häuser des Dorfes gekommen .» Seid gewiß , daß ich Eure	636	1	schrecke_wintzing_wintzing.tsv
PDS	PDS		PDS	die			Das	noch vor Frankreich liegende Deutschland will ich nicht rechnen , da ein großer Teil der Polen es ungerechterweise wie einen breiten Sumpf ansah , den man schnell überspringen müsse , um nach dem gebenedeiten Lande zu gelangen , wo die Sitten und die Pomaden am feinsten fabriziert werden .	weit mehr der Fall als irgendwo .Das noch vor Frankreich liegende Deutschland will ich nicht rechnen , da ein großer Teil der Polen es ungerechterweise wie einen breiten Sumpf ansah , den man schnell überspringen müsse , um nach dem gebenedeiten Lande zu gelangen , wo die Sitten und die Pomaden am feinsten fabriziert werden .Die Erziehung selbst wird überall und immer	2560	0	heine_reisebld_reisebld.tsv
PDS	ART		PDS	die		Da erschien er ihr in Träumen : » Der den Ring dir wieder fand ,	Dem	darfst du zu geben nicht säumen Deine Lieb und deine Hand !	Und deiner Hoffnung Keime sind vernichtet .Da erschien er ihr in Träumen : » Der den Ring dir wieder fand , Dem darfst du zu geben nicht säumen Deine Lieb und deine Hand !Doch jene holden Stimmen , welche riefen	2769	15	antholog_blumenl2_blumenl2.tsv
PDS	PDS		PDS	die		Warum hast du mir	das	nicht früher gesagt ?	ich könnt' ihm nicht helfen – !Warum hast du mir das nicht früher gesagt ?» Von allen Türmen läuten die Glocken	9984	4	ertl_freiheit_freiheit.tsv
PDS	PDS		PDS	die		« » Ja ,	das	ist mein Name , « antwortete der Genannte .	Winter , sparen Sie Ihr Geld !« » Ja , das ist mein Name , « antwortete der Genannte .Ihre Sprache ist mir gerade so unbekannt	2243	4	may_sendado2_sendado2.tsv
PDS	PDS		PDS	die		Aber	das	ist ja mein Unglück : solche Bücher werden mir nie zur Besprechung eingeschickt .	er hat es mir nicht eingesandt .Aber das ist ja mein Unglück : solche Bücher werden mir nie zur Besprechung eingeschickt .Und ist immer noch nicht klar ,	81	1	auburtin_feuillet_feuillet.tsv
PDS	PDS		PDS	die		Freilich geben edle Seelen – z. B. mein Großonkel – Summen Geldes – da dieses dem Gifte so ähnlich und wie dieses in großen Portionen gefährlich ist und nur in kleinen offizinell – wie Materialhändler dieses Gift-Metall oder Metallgift nur gegen obrigkeitliche Permisse und Scheine aus ; aber	das	ist gutes Herz , der andere soll sich nicht damit vergiften durch die große Portion .	ja sonst unbezahlt wütig fressen könnte .Freilich geben edle Seelen – z. B. mein Großonkel – Summen Geldes – da dieses dem Gifte so ähnlich und wie dieses in großen Portionen gefährlich ist und nur in kleinen offizinell – wie Materialhändler dieses Gift-Metall oder Metallgift nur gegen obrigkeitliche Permisse und Scheine aus ; aber das ist gutes Herz , der andere soll sich nicht damit vergiften durch die große Portion .Was mich wundert , ist die allgemeine	5763	48	jeanpaul_titan_titan.tsv
PDS	PDS		PDS	die		Und hier , was ist	das	?	ich mußte doch etwas vornehm tun .Und hier , was ist das ?Denn was meinst du wohl ?	3223	5	kraftr_nobody1_nobody1.tsv
