DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
PPOSAT	NN		PPOSAT	ihr		Sie stehen zum letztenmal freigelassen hier vor meiner segnenden Hand , um	Ihren	gereiften frommen Entschluß zu bestätigen und zu erfüllen , und so wird es Ihnen wohlgehen und Sie lange leben auf Erden .	erste Gebot , das Verheißung hat .Sie stehen zum letztenmal freigelassen hier vor meiner segnenden Hand , um Ihren gereiften frommen Entschluß zu bestätigen und zu erfüllen , und so wird es Ihnen wohlgehen und Sie lange leben auf Erden .Der Glanz ihrer Sterbestunde erhelle die gegenwärtige	8205	12	thuemmel_provinz_provinz.tsv
PPOSAT	PPOSAT		PPOSAT	ihr		Jakobine und	ihr	Bruder erzählten nun ihre Begebenheiten , und ihre Augen standen voll Freudenthränen , als sie von ihres Retters Liebe zu ihnen sprachen .	wo bliebt ihr ?Jakobine und ihr Bruder erzählten nun ihre Begebenheiten , und ihre Augen standen voll Freudenthränen , als sie von ihres Retters Liebe zu ihnen sprachen .Jetzt erhob sich wieder eine frohe Verwirrung	2509	2	lafonta_flaming_flaming.tsv
PPOSAT	PPOSAT		PPOSAT	ihr		Anfissa Petrowna ließ sich gegen die Sofalehne zurücksinken , kreischte laut auf und verbarg	ihr	Gesicht hinter dem Fächer .	sowie Gawrila nur einen Ton sagte .Anfissa Petrowna ließ sich gegen die Sofalehne zurücksinken , kreischte laut auf und verbarg ihr Gesicht hinter dem Fächer .Foma , ich versichere dir , daß	2776	14	dostojew_gutstepa_gutstepa.tsv
PPOSAT	PPOSAT		PPOSAT	ihr		* * * Sie ließ ihre Hände in den seinen ; der röthliche Widerschein des Kaminfeuers flackerte über	ihr	weißes Kleid und ihre weiße Wange ; sie hatte die Augen geschlossen und sah wie eine Todte aus oder wie ein schlafender Engel .	wurde es still , sehr still .* * * Sie ließ ihre Hände in den seinen ; der röthliche Widerschein des Kaminfeuers flackerte über ihr weißes Kleid und ihre weiße Wange ; sie hatte die Augen geschlossen und sah wie eine Todte aus oder wie ein schlafender Engel .Die seltsamen Augen hatten den Schutzengel verscheucht	324	18	schubin_reif_reif.tsv
PPOSAT	PPER		PPER	ihr		Was ist dann vor	ihr	gewesen , was wird nach ihr sein ?	, alles muß ein Gleiches sein !Was ist dann vor ihr gewesen , was wird nach ihr sein ?Wenn die Welt ein Ewiges ist ,	14443	4	ganghofe_hschein_hschein.tsv
PPOSAT	PPER		PPOSAT	ihr		Was ist dann vor ihr gewesen , was wird nach	ihr	sein ?	, alles muß ein Gleiches sein !Was ist dann vor ihr gewesen , was wird nach ihr sein ?Wenn die Welt ein Ewiges ist ,	14443	10	ganghofe_hschein_hschein.tsv
PPOSAT	PPOSAT		PPOSAT	ihr		Jakobine und ihr Bruder erzählten nun	ihre	Begebenheiten , und ihre Augen standen voll Freudenthränen , als sie von ihres Retters Liebe zu ihnen sprachen .	wo bliebt ihr ?Jakobine und ihr Bruder erzählten nun ihre Begebenheiten , und ihre Augen standen voll Freudenthränen , als sie von ihres Retters Liebe zu ihnen sprachen .Jetzt erhob sich wieder eine frohe Verwirrung	2509	6	lafonta_flaming_flaming.tsv
PPOSAT	PPOSAT		PPOSAT	ihr		Jakobine und ihr Bruder erzählten nun ihre Begebenheiten , und	ihre	Augen standen voll Freudenthränen , als sie von ihres Retters Liebe zu ihnen sprachen .	wo bliebt ihr ?Jakobine und ihr Bruder erzählten nun ihre Begebenheiten , und ihre Augen standen voll Freudenthränen , als sie von ihres Retters Liebe zu ihnen sprachen .Jetzt erhob sich wieder eine frohe Verwirrung	2509	10	lafonta_flaming_flaming.tsv
PPOSAT	PPOSAT		PPOSAT	ihr		* * * Sie ließ	ihre	Hände in den seinen ; der röthliche Widerschein des Kaminfeuers flackerte über ihr weißes Kleid und ihre weiße Wange ; sie hatte die Augen geschlossen und sah wie eine Todte aus oder wie ein schlafender Engel .	wurde es still , sehr still .* * * Sie ließ ihre Hände in den seinen ; der röthliche Widerschein des Kaminfeuers flackerte über ihr weißes Kleid und ihre weiße Wange ; sie hatte die Augen geschlossen und sah wie eine Todte aus oder wie ein schlafender Engel .Die seltsamen Augen hatten den Schutzengel verscheucht	324	5	schubin_reif_reif.tsv
PPOSAT	PPOSAT		PPOSAT	ihr		* * * Sie ließ ihre Hände in den seinen ; der röthliche Widerschein des Kaminfeuers flackerte über ihr weißes Kleid und	ihre	weiße Wange ; sie hatte die Augen geschlossen und sah wie eine Todte aus oder wie ein schlafender Engel .	wurde es still , sehr still .* * * Sie ließ ihre Hände in den seinen ; der röthliche Widerschein des Kaminfeuers flackerte über ihr weißes Kleid und ihre weiße Wange ; sie hatte die Augen geschlossen und sah wie eine Todte aus oder wie ein schlafender Engel .Die seltsamen Augen hatten den Schutzengel verscheucht	324	22	schubin_reif_reif.tsv
PPOSAT	PPOSAT		PPOSAT	ihr		» Wenn die Chinesen wirklich in	ihrem	Recht gefährdet sind , sollen sie sich an mich wenden , und ich werde ihnen dazu verhelfen .	Spatzen aus einem Feld scheuchen würde .» Wenn die Chinesen wirklich in ihrem Recht gefährdet sind , sollen sie sich an mich wenden , und ich werde ihnen dazu verhelfen .In allen anderen Ländern der Welt wurde	10696	6	gerstaec_gold_gold.tsv
PPOSAT	PPOSAT		PPOSAT	ihr		Aber Samen könnte von diesen seltenen Wanderern nur durch den Schmutz , der an	ihren	Füßen oder Schnäbeln hängt , befördert werden , was an sich ein seltener Zufall ist .	, unser Klima nicht aushalten können .Aber Samen könnte von diesen seltenen Wanderern nur durch den Schmutz , der an ihren Füßen oder Schnäbeln hängt , befördert werden , was an sich ein seltener Zufall ist .Die Pflanzenwelten weit entfernter Erdteile würden durch	1156	14	darwin_arten_arten.tsv
PPOSAT	PPOSAT		PPOSAT	ihr		Jakobine und ihr Bruder erzählten nun ihre Begebenheiten , und ihre Augen standen voll Freudenthränen , als sie von	ihres	Retters Liebe zu ihnen sprachen .	wo bliebt ihr ?Jakobine und ihr Bruder erzählten nun ihre Begebenheiten , und ihre Augen standen voll Freudenthränen , als sie von ihres Retters Liebe zu ihnen sprachen .Jetzt erhob sich wieder eine frohe Verwirrung	2509	19	lafonta_flaming_flaming.tsv
PPOSAT	PPOSAT		PPOSAT	mein		Ihr aber kennet mich und wisset , daß ich gottesfürchtig war	mein	Leben und mich Euch so leicht nicht hingegeben , daß Ihr müßtet besorgen , als könnt ich mich leichten Herzens mit einem anderen vergessen .	stellt , wie sie mir sagen .Ihr aber kennet mich und wisset , daß ich gottesfürchtig war mein Leben und mich Euch so leicht nicht hingegeben , daß Ihr müßtet besorgen , als könnt ich mich leichten Herzens mit einem anderen vergessen .Dazu fühlte er sich von unsichtbaren Augen	3573	11	david_hanna1_hanna1.tsv
PPOSAT	PPOSAT		PPOSAT	mein		Mama war an der Landestelle Euch entgegengekommen , zu Hause dampfte schon der Tee ,	mein	Platz war leer , aber Ihr gedachtet meiner freundlich und erzähltet , was Ihr in Hamburg gesehen und erlebt .	ist nicht Liebe Alles , Alles ?Mama war an der Landestelle Euch entgegengekommen , zu Hause dampfte schon der Tee , mein Platz war leer , aber Ihr gedachtet meiner freundlich und erzähltet , was Ihr in Hamburg gesehen und erlebt .O Du Einziger , Du Seligkeit für	3367	15	antholog_liebesbr_liebesbr.tsv
PPOSAT	PPOSAT		PPOSAT	meine		Heilige Mutter Gottes , erlöse sie und tröste	meine	Wallburg .	Noch einmal faltete er die Hände .Heilige Mutter Gottes , erlöse sie und tröste meine Wallburg .« Da schlug es dumpf zwölf Uhr	123	8	pichler_fluechtl_fluechtl.tsv
PPOSAT	PPOSAT		PPOSAT	meine		Und erst , wenn er da gar gekocht ist , heisse ich ihn willkommen , als	meine	Speise .	ist's , der jede Sache heiligt .Und erst , wenn er da gar gekocht ist , heisse ich ihn willkommen , als meine Speise .Tapfer sein ist gut .	4896	16	nietzsch_zara_zara.tsv
PPOSAT	PPOSAT		PPOSAT	meine		« Dann erinnerte ich mich , daß ich jetzt alle diese Dinge reichlich besitze und mich auf dem Wege befinde , mir meinen Unterhalt auch ohne die Gewehre verschaffen zu können , wenn	meine	Munition einmal verbraucht sein würde .	, ohne alle Nothwendigkeiten des Lebens .« Dann erinnerte ich mich , daß ich jetzt alle diese Dinge reichlich besitze und mich auf dem Wege befinde , mir meinen Unterhalt auch ohne die Gewehre verschaffen zu können , wenn meine Munition einmal verbraucht sein würde .Ich hatte einen Theil des Tages für	800	33	defoe_crusoe_crusoe.tsv
PPOSAT	VVFIN		VVFIN	meine		« Dann erinnerte ich mich , daß ich jetzt alle diese Dinge reichlich besitze und mich auf dem Wege befinde , mir	meinen	Unterhalt auch ohne die Gewehre verschaffen zu können , wenn meine Munition einmal verbraucht sein würde .	, ohne alle Nothwendigkeiten des Lebens .« Dann erinnerte ich mich , daß ich jetzt alle diese Dinge reichlich besitze und mich auf dem Wege befinde , mir meinen Unterhalt auch ohne die Gewehre verschaffen zu können , wenn meine Munition einmal verbraucht sein würde .Ich hatte einen Theil des Tages für	800	22	defoe_crusoe_crusoe.tsv
PPOSAT	PPOSAT		PPOSAT	meine		Sie stehen zum letztenmal freigelassen hier vor	meiner	segnenden Hand , um Ihren gereiften frommen Entschluß zu bestätigen und zu erfüllen , und so wird es Ihnen wohlgehen und Sie lange leben auf Erden .	erste Gebot , das Verheißung hat .Sie stehen zum letztenmal freigelassen hier vor meiner segnenden Hand , um Ihren gereiften frommen Entschluß zu bestätigen und zu erfüllen , und so wird es Ihnen wohlgehen und Sie lange leben auf Erden .Der Glanz ihrer Sterbestunde erhelle die gegenwärtige	8205	7	thuemmel_provinz_provinz.tsv
PPOSAT	PPOSAT		PPOSAT	seine		» Ja , ja « , machte der Greis ,	seine	Schätze überblickend , » heute haben wir wieder reich geerntet .	ihm nach und nach auch gelang .» Ja , ja « , machte der Greis , seine Schätze überblickend , » heute haben wir wieder reich geerntet .Das Marieli aber hatte die Wintergünschen seiner	1174	10	lienert_euland_euland.tsv
PPOSAT	PPOSAT		PPOSAT	seine		Ein paar Minuten betrachtete nun dieser	seinen	in Schlaf versunkenen Kameraden , dann beugte er sich plötzlich zu dessen Frau hinüber und stieß sie mit dem Ellbogen an .	er Sie alle Tage festnehmen lassen .Ein paar Minuten betrachtete nun dieser seinen in Schlaf versunkenen Kameraden , dann beugte er sich plötzlich zu dessen Frau hinüber und stieß sie mit dem Ellbogen an .» Nun aber , lieber Joe ,	1088	6	dickens_clowngri_clowngri.tsv
PPOSAT	PPOSAT		PPOSAT	seine		* * * Sie ließ ihre Hände in den	seinen	; der röthliche Widerschein des Kaminfeuers flackerte über ihr weißes Kleid und ihre weiße Wange ; sie hatte die Augen geschlossen und sah wie eine Todte aus oder wie ein schlafender Engel .	wurde es still , sehr still .* * * Sie ließ ihre Hände in den seinen ; der röthliche Widerschein des Kaminfeuers flackerte über ihr weißes Kleid und ihre weiße Wange ; sie hatte die Augen geschlossen und sah wie eine Todte aus oder wie ein schlafender Engel .Die seltsamen Augen hatten den Schutzengel verscheucht	324	9	schubin_reif_reif.tsv
