DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
PRELS	PRELS		PRELS	die		Zwar das Lob selber ,	das	ich meinen Vätern hier erteile , käme ihm , wenn er noch lebte , noch so bedeutend vor als es mir selber leer erscheint , wenn ich mir ihn in der Ewigkeit vorstelle , wo er sich unter den Seligen nicht sonderlich damit brüsten wird , daß er im Jahr 1818 von meinem Lehrstuhl herab wieder als Kirchenkomponist der Baireuther Markgrafschaft ausgerufen worden ; – und ganz dasselbe und dieselbe Kälte gegen alles Loben soll mein Sohn von mir voraussetzen , wenn er einst in der Zeit , wo ich schon ein Seliger bin , den allgemeinen Beifall , den meine Werke gewonnen , feurig der Welt erzählt ; er soll aber , sowenig als ich , deshalb kälter oder kürzer malen .	abgeht , noch nachfragen zu können .Zwar das Lob selber , das ich meinen Vätern hier erteile , käme ihm , wenn er noch lebte , noch so bedeutend vor als es mir selber leer erscheint , wenn ich mir ihn in der Ewigkeit vorstelle , wo er sich unter den Seligen nicht sonderlich damit brüsten wird , daß er im Jahr 1818 von meinem Lehrstuhl herab wieder als Kirchenkomponist der Baireuther Markgrafschaft ausgerufen worden ; – und ganz dasselbe und dieselbe Kälte gegen alles Loben soll mein Sohn von mir voraussetzen , wenn er einst in der Zeit , wo ich schon ein Seliger bin , den allgemeinen Beifall , den meine Werke gewonnen , feurig der Welt erzählt ; er soll aber , sowenig als ich , deshalb kälter oder kürzer malen .Jedem Feste folgen Werkeltage ; aber aus	24	5	jeanpaul_selber_selber.tsv
PRELS	PRELS		PRELS	die		Denn diese ist nichts anders als in der selbstständigen Wirklichkeit der Individuen die absolute geistige Einheit ihres Wesens ; ein an sich allgemeines Selbstbewußtsein ,	das	sich in einem andern Bewußtsein so wirklich ist , daß dieses vollkommene Selbstständigkeit hat , oder ein Ding für es , und daß es eben darin der Einheit mit ihm sich bewußt ist , und in dieser Einheit mit diesem gegenständlichen Wesen erst Selbstbewußtsein ist .	wirkliche Sittlichkeit zu erwerben und hervorzubringen .Denn diese ist nichts anders als in der selbstständigen Wirklichkeit der Individuen die absolute geistige Einheit ihres Wesens ; ein an sich allgemeines Selbstbewußtsein , das sich in einem andern Bewußtsein so wirklich ist , daß dieses vollkommene Selbstständigkeit hat , oder ein Ding für es , und daß es eben darin der Einheit mit ihm sich bewußt ist , und in dieser Einheit mit diesem gegenständlichen Wesen erst Selbstbewußtsein ist .Der Bruder ist die Seite , nach	3877	25	hegel_phaenom_phaenom.tsv
PRELS	PRELS		PRELS	die		» Ein zufälliges Ereignis ,	das	Sie erschreckte ... « » Ich muß gestehen , ich traue ihm nicht .	Vorwärts , Brüder , vorwärts !» Ein zufälliges Ereignis , das Sie erschreckte ... « » Ich muß gestehen , ich traue ihm nicht .» Tötet den Verräter !	3083	5	retcliff_maharani_maharani.tsv
PRELS	PRELS		PRELS	die		Bei keinem Theologen ferner , ja wohl überhaupt bei keinem namhaften deutschen Schriftsteller seines Jahrhunderts begegnen uns so viele dem Volksmund entstammte Sprichwörter , als bei ihm ,	dem	sie ungesucht in Büchern , Predigten und akademischen Vorlesungen , wie in Gesprächen und Briefen sich aufdrängten .	Sachsen , nach einem alten Holzschnitt .Bei keinem Theologen ferner , ja wohl überhaupt bei keinem namhaften deutschen Schriftsteller seines Jahrhunderts begegnen uns so viele dem Volksmund entstammte Sprichwörter , als bei ihm , dem sie ungesucht in Büchern , Predigten und akademischen Vorlesungen , wie in Gesprächen und Briefen sich aufdrängten .Aber sie war in seinem Innern wohl	2238	28	koestlin_luther_luther.tsv
PRELS	PRELS		PRELS	die		Durch sie bin ich gescheuert wie dein Becher , von	dem	du sprachst , und wenn ich jetzt in der Stille vor dir tobe , so nimm an , daß es mein deutsches Silber ist , ein empörtes Gemüt , was an mir zum Vorschein kommt .	Untreue zu begegnen mit gleicher Verstellung .Durch sie bin ich gescheuert wie dein Becher , von dem du sprachst , und wenn ich jetzt in der Stille vor dir tobe , so nimm an , daß es mein deutsches Silber ist , ein empörtes Gemüt , was an mir zum Vorschein kommt .» Die Völker leben in Siechtum und	8310	10	freytag_ahnen_ahnen.tsv
PRELS	PRELS		PRELS	die		Von den verschiedenen Lebenslagen , in denen ich mich befunden , haben sich einige durch ein solches Gefühl von Wohlsein ausgezeichnet , daß mich in der Erinnerung an sie das gleiche Behagen beschleicht , von	dem	ich damals ergriffen war .	anderen Gängen auch gar nicht versucht .Von den verschiedenen Lebenslagen , in denen ich mich befunden , haben sich einige durch ein solches Gefühl von Wohlsein ausgezeichnet , daß mich in der Erinnerung an sie das gleiche Behagen beschleicht , von dem ich damals ergriffen war .Ich war geschaffen , die Unabhängigkeit zu	1839	35	rousseau_bekennt1_bekennt1.tsv
PRELS	PRELS		PRELS	die		Die Offiziere kamen uns aufs freundlichste entgegen , und da sie an dem U. S. ( United States ) , mit	dem	unsere Tiere und Wagen gezeichnet waren , uns ebenfalls als eine Regierungsexpedition erkannten , so bedurfte es keiner großen Förmlichkeiten , um schnell ein kameradschaftliches Begegnen herzustellen .	Wagen nach dem rechten Ufer hinauf .Die Offiziere kamen uns aufs freundlichste entgegen , und da sie an dem U. S. ( United States ) , mit dem unsere Tiere und Wagen gezeichnet waren , uns ebenfalls als eine Regierungsexpedition erkannten , so bedurfte es keiner großen Förmlichkeiten , um schnell ein kameradschaftliches Begegnen herzustellen .Nach zweistündiger Rast brachen wir wieder auf	95	21	moellhsn_nordame2_nordame2.tsv
PRELS	ART		PRELS	die		Der ,	den	ich , James Brown , als August Frobel auf dem Schiffe gekannt , ich , James Brown , der war ein schmucker Lockenkopf , heil vom Wirbel bis zur Zehe und zwei Augen , klar wie die einer Forelle .	zehn Jahren von dem Klushofe verschwand ?Der , den ich , James Brown , als August Frobel auf dem Schiffe gekannt , ich , James Brown , der war ein schmucker Lockenkopf , heil vom Wirbel bis zur Zehe und zwei Augen , klar wie die einer Forelle .Lassen Sie mich arretieren , rekognoszieren ,	2247	2	francois_judith_judith.tsv
PRELS	ART		PRELS	die		Zwar das Lob selber , das ich meinen Vätern hier erteile , käme ihm , wenn er noch lebte , noch so bedeutend vor als es mir selber leer erscheint , wenn ich mir ihn in der Ewigkeit vorstelle , wo er sich unter den Seligen nicht sonderlich damit brüsten wird , daß er im Jahr 1818 von meinem Lehrstuhl herab wieder als Kirchenkomponist der Baireuther Markgrafschaft ausgerufen worden ; – und ganz dasselbe und dieselbe Kälte gegen alles Loben soll mein Sohn von mir voraussetzen , wenn er einst in der Zeit , wo ich schon ein Seliger bin , den allgemeinen Beifall ,	den	meine Werke gewonnen , feurig der Welt erzählt ; er soll aber , sowenig als ich , deshalb kälter oder kürzer malen .	abgeht , noch nachfragen zu können .Zwar das Lob selber , das ich meinen Vätern hier erteile , käme ihm , wenn er noch lebte , noch so bedeutend vor als es mir selber leer erscheint , wenn ich mir ihn in der Ewigkeit vorstelle , wo er sich unter den Seligen nicht sonderlich damit brüsten wird , daß er im Jahr 1818 von meinem Lehrstuhl herab wieder als Kirchenkomponist der Baireuther Markgrafschaft ausgerufen worden ; – und ganz dasselbe und dieselbe Kälte gegen alles Loben soll mein Sohn von mir voraussetzen , wenn er einst in der Zeit , wo ich schon ein Seliger bin , den allgemeinen Beifall , den meine Werke gewonnen , feurig der Welt erzählt ; er soll aber , sowenig als ich , deshalb kälter oder kürzer malen .Jedem Feste folgen Werkeltage ; aber aus	24	105	jeanpaul_selber_selber.tsv
PRELS	PRELS		PRELS	die		Von den verschiedenen Lebenslagen , in	denen	ich mich befunden , haben sich einige durch ein solches Gefühl von Wohlsein ausgezeichnet , daß mich in der Erinnerung an sie das gleiche Behagen beschleicht , von dem ich damals ergriffen war .	anderen Gängen auch gar nicht versucht .Von den verschiedenen Lebenslagen , in denen ich mich befunden , haben sich einige durch ein solches Gefühl von Wohlsein ausgezeichnet , daß mich in der Erinnerung an sie das gleiche Behagen beschleicht , von dem ich damals ergriffen war .Ich war geschaffen , die Unabhängigkeit zu	1839	6	rousseau_bekennt1_bekennt1.tsv
