DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
PRF	ADJD		PRF	dich		Sie wird	dich	erdrücken .	» Eine Stelle ?Sie wird dich erdrücken .Joyeuse umarmte seinen Bruder und ließ ihn	2281	2	dumasalt_die45_die45.tsv
PRF	PPER		PPER	mich		Als ich , wie mir der Narr , der schöne Bogislaus gerathen hatte , von hinten an ihn heranzukommen suchte , um ihm meinen Dank für den Doktor der Weltweisheit mit Rührung anzubringen , und Sie	mich	mit aus seiner Stube schoben , um , wie Sie sagten , der greulichen Scene ein Ende zu machen , da habe ich freilich schon merken können , in was für einer heiteren Schule er Sie gehabt hat , Rosine .	Können Sie Verwesung riechen ?Als ich , wie mir der Narr , der schöne Bogislaus gerathen hatte , von hinten an ihn heranzukommen suchte , um ihm meinen Dank für den Doktor der Weltweisheit mit Rührung anzubringen , und Sie mich mit aus seiner Stube schoben , um , wie Sie sagten , der greulichen Scene ein Ende zu machen , da habe ich freilich schon merken können , in was für einer heiteren Schule er Sie gehabt hat , Rosine .Können Sie Blut sehen ?	2986	36	raabe_lar_lar.tsv
PRF	PRF		PPER	mich		Ich habe	mich	in den fünfundzwanzig Jahren sehr verändert ; meine Heimat ist Indien ; ich könnte meinen Aufenthalt dort bis zu meiner Jugend zurück beweisen ; ich bin noch niemals in Amerika gewesen , und , zum Schluß , ich darf meinen Posten unter keinen Verhältnissen verlassen , es sei denn , mein Verbleib führe einen Verrat unserer Absichten herbei .	Waren Sie denn wirklich dort ?Ich habe mich in den fünfundzwanzig Jahren sehr verändert ; meine Heimat ist Indien ; ich könnte meinen Aufenthalt dort bis zu meiner Jugend zurück beweisen ; ich bin noch niemals in Amerika gewesen , und , zum Schluß , ich darf meinen Posten unter keinen Verhältnissen verlassen , es sei denn , mein Verbleib führe einen Verrat unserer Absichten herbei .« » In Indien ?	9928	2	kraftr_kaiserk1_kaiserk1.tsv
PRF	PPER		PPER	mich		Ihre Antwort sollte das Mädchen auf ein Zettelchen schreiben , diesen mit ein wenig Wachs oder Pech an einen Rohrpfeil kleben und durch ihren Bruder zu	mir	hinaufschießen lassen .	einer Antwort von ihrer Seite fest .Ihre Antwort sollte das Mädchen auf ein Zettelchen schreiben , diesen mit ein wenig Wachs oder Pech an einen Rohrpfeil kleben und durch ihren Bruder zu mir hinaufschießen lassen .Aber dennoch arbeitete ich im Geiste schon	10	26	seidelh_lindenbm_lindenbm.tsv
PRF	PRF		PRF	sich		Alle schwiegen und schienen sich vor der Erscheinung meines Prinzen in	sich	selbst zurückzuziehen , wie Tauben , die des Habichts ansichtig werden .	alles nur Illusion und Leiden wäre ?Alle schwiegen und schienen sich vor der Erscheinung meines Prinzen in sich selbst zurückzuziehen , wie Tauben , die des Habichts ansichtig werden .« Meinem Prinzen erschien eine Nacht in	104	11	queiroz_stadtgeb_stadtgeb.tsv
PRF	PRF		PRF	sich		Bei keinem Theologen ferner , ja wohl überhaupt bei keinem namhaften deutschen Schriftsteller seines Jahrhunderts begegnen uns so viele dem Volksmund entstammte Sprichwörter , als bei ihm , dem sie ungesucht in Büchern , Predigten und akademischen Vorlesungen , wie in Gesprächen und Briefen	sich	aufdrängten .	Sachsen , nach einem alten Holzschnitt .Bei keinem Theologen ferner , ja wohl überhaupt bei keinem namhaften deutschen Schriftsteller seines Jahrhunderts begegnen uns so viele dem Volksmund entstammte Sprichwörter , als bei ihm , dem sie ungesucht in Büchern , Predigten und akademischen Vorlesungen , wie in Gesprächen und Briefen sich aufdrängten .Aber sie war in seinem Innern wohl	2238	44	koestlin_luther_luther.tsv
PRF	PRF		PRF	sich		Der Zigeuner freute	sich	sehr , wie er am nächsten Tage seine Wünsche erfüllt sah .	– » Es soll dir werden !Der Zigeuner freute sich sehr , wie er am nächsten Tage seine Wünsche erfüllt sah .« – » So bitte ich «	356	3	haltrich_maerchen_volkmaer.tsv
PRF	PRF		PRF	sich		Sie beeilte	sich	, den Kopf wieder unter dem Kranze hervorzuziehen , und schritt auf ihn zu , um seinem Grimm durch irgend ein scherzendes Wort die Spitze abzubrechen .	der üppigen grünen Umrahmung gewahr ward .Sie beeilte sich , den Kopf wieder unter dem Kranze hervorzuziehen , und schritt auf ihn zu , um seinem Grimm durch irgend ein scherzendes Wort die Spitze abzubrechen .» Sehr wohl , Herr Baron !	958	2	wolzogen_thronfo2_thronfo2.tsv
PRF	PRF		PRF	sich		Nebenbei freilich blieb es nicht aus , daß	sich	früh ein kleiner Hochmuthsteufel ihr in den Nacken setzte , ihr das Näschen kräftig in die Höhe reckte und ihren Kindergeberden eine seltsam possirliche Würde lieh .	sprach Photinissa kurz mit ruhiger Ueberzeugung .Nebenbei freilich blieb es nicht aus , daß sich früh ein kleiner Hochmuthsteufel ihr in den Nacken setzte , ihr das Näschen kräftig in die Höhe reckte und ihren Kindergeberden eine seltsam possirliche Würde lieh .Folget mir !	442	8	hoffmaha_phaeaken_phaeaken.tsv
PRF	PRF		PRF	sich		Mein Wirt freute	sich	, dieses Gespräch mit angehört zu haben , und sagte mir : » Da Sie die Absicht haben , einige Zeit hier am Orte zu verweilen , so tun Sie gut , wenn Sie dem Capitano oder Landvogt einen Besuch machen .	für einige Augenblicke beraubt gewesen bin .Mein Wirt freute sich , dieses Gespräch mit angehört zu haben , und sagte mir : » Da Sie die Absicht haben , einige Zeit hier am Orte zu verweilen , so tun Sie gut , wenn Sie dem Capitano oder Landvogt einen Besuch machen .Nach den Menuetten kamen die Kontertänze an	6475	3	casanova_band06_casa6.tsv
PRF	PRF		PRF	sich		Sie ließen nicht ab ,	sich	in die Augen zu sehen , Wange auf Wange und Lippe auf Lippe zu schmiegen .	» O du ... !Sie ließen nicht ab , sich in die Augen zu sehen , Wange auf Wange und Lippe auf Lippe zu schmiegen .« Er fühlte es selber : Mittagsbrot	3758	5	lauff_heilnied_heilnied.tsv
PRF	PRF		PRF	sich		Sie tummelten	sich	mitten im ärgsten Sturme auf dem Eise herum und schienen sich dabei außerordentlich wohl zu fühlen .	vergessen , wie das eigentlich war .Sie tummelten sich mitten im ärgsten Sturme auf dem Eise herum und schienen sich dabei außerordentlich wohl zu fühlen .Welch seltsames Gefühl , die Füße wieder	870	2	nansen_nachtei3_nachtei3.tsv
PRF	PRF		PRF	sich		Sie tummelten sich mitten im ärgsten Sturme auf dem Eise herum und schienen	sich	dabei außerordentlich wohl zu fühlen .	vergessen , wie das eigentlich war .Sie tummelten sich mitten im ärgsten Sturme auf dem Eise herum und schienen sich dabei außerordentlich wohl zu fühlen .Welch seltsames Gefühl , die Füße wieder	870	13	nansen_nachtei3_nachtei3.tsv
PRF	PRF		PRF	sich		Der Schein des Mondes , welcher	sich	zwischen einzelnen Zweigen hindurch herniederstahl , erlaubte ihm , die Pferde zu sehen .	« Es war ein Schoschone .Der Schein des Mondes , welcher sich zwischen einzelnen Zweigen hindurch herniederstahl , erlaubte ihm , die Pferde zu sehen .« » Gewiß .	6811	6	may_baerenj_0inhalt.tsv
PRF	PRF		PRF	sich		Der Neger setzte	sich	an ihre Seite , sein Glied aber stand immer noch hochaufgerichtet wie eine Säule .	wiederum beide zu gleicher Zeit überströmten .Der Neger setzte sich an ihre Seite , sein Glied aber stand immer noch hochaufgerichtet wie eine Säule .Unverzüglich warf Bahlul sich auf sie und	920	3	nefzaui_garten_garten.tsv
PRF	PRF		PRF	sich		Ob	sich	dieser erst an die englische Königin gewandt hat , weiß ich nicht , aber jedenfalls ist es so .	, ich soll Sie nur beobachten .Ob sich dieser erst an die englische Königin gewandt hat , weiß ich nicht , aber jedenfalls ist es so .» Mademoiselle können Revolver und Hundepeitsche ruhig	1585	1	kraftr_nobody7_nobody7.tsv
PRF	PRF		PRF	sich		In Niederösterreich zog der Herzog die niederländischen Truppen des Grafen von Boucquoi an	sich	, und diese kaiserlich bayerische Armee , nach ihrer Vereinigung zu fünfzigtausend Mann angewachsen , drang ohne Zeitverlust in das böhmische Gebiet .	der Ulmische Vergleich ihrem Schicksal überließ .In Niederösterreich zog der Herzog die niederländischen Truppen des Grafen von Boucquoi an sich , und diese kaiserlich bayerische Armee , nach ihrer Vereinigung zu fünfzigtausend Mann angewachsen , drang ohne Zeitverlust in das böhmische Gebiet .Bernhard steht in der neuern Geschichte als	4132	13	schiller_30jkrieg_30jkrieg.tsv
PRF	PRF		PRF	sich		» Ich habe es nur vorhin eingefangen und muß sehen , wo ich es hier unterbringe , bis	sich	die Indianer etwas beruhigt haben oder wieder weitergezogen sind .	mit unterdrückter Stimme der junge Mann .» Ich habe es nur vorhin eingefangen und muß sehen , wo ich es hier unterbringe , bis sich die Indianer etwas beruhigt haben oder wieder weitergezogen sind .« » Du weißt also , wo	1745	18	gerstaec_gold_gold.tsv
PRF	PRF		PRF	sich		Wie die Jahre flohen , wurde ihre Gestalt schlanker und kräftiger , ihre Wangen röteten	sich	, ihr Schritt gewann an Elastizität ; allmählich und unmerklich hatte sich die Knospe zur Blume entfaltet .	ihrem Pflegevater bei allen seinen Unternehmungen .Wie die Jahre flohen , wurde ihre Gestalt schlanker und kräftiger , ihre Wangen röteten sich , ihr Schritt gewann an Elastizität ; allmählich und unmerklich hatte sich die Knospe zur Blume entfaltet .Sie hätten doch den lästigen Menschen los	1230	15	doyle_spaete_spaete.tsv
PRF	PRF		PRF	sich		Wie die Jahre flohen , wurde ihre Gestalt schlanker und kräftiger , ihre Wangen röteten sich , ihr Schritt gewann an Elastizität ; allmählich und unmerklich hatte	sich	die Knospe zur Blume entfaltet .	ihrem Pflegevater bei allen seinen Unternehmungen .Wie die Jahre flohen , wurde ihre Gestalt schlanker und kräftiger , ihre Wangen röteten sich , ihr Schritt gewann an Elastizität ; allmählich und unmerklich hatte sich die Knospe zur Blume entfaltet .Sie hätten doch den lästigen Menschen los	1230	27	doyle_spaete_spaete.tsv
